"Date (UTC)","Timestamp (UTC)","Price"
"07-11-2025 16:00","1752249608","0.44"
"07-11-2025 17:00","1752253209","0.455"
"07-11-2025 18:00","1752256808","0.465"
"07-11-2025 19:00","1752260408","0.465"
"07-11-2025 20:00","1752264009","0.475"
"07-11-2025 21:00","1752267608","0.48"
"07-11-2025 22:00","1752271208","0.48"
"07-11-2025 23:00","1752274808","0.47"
"07-12-2025 00:00","1752278409","0.47"
"07-12-2025 01:00","1752282008","0.45"
"07-12-2025 02:00","1752285608","0.46"
"07-12-2025 03:00","1752289208","0.445"
"07-12-2025 04:00","1752292809","0.45"
"07-12-2025 05:00","1752296408","0.45"
"07-12-2025 06:00","1752300008","0.445"
"07-12-2025 07:00","1752303609","0.455"
"07-12-2025 08:00","1752307208","0.44"
"07-12-2025 09:00","1752310809","0.445"
"07-12-2025 10:00","1752314408","0.455"
"07-12-2025 11:00","1752318007","0.455"
"07-12-2025 12:00","1752321608","0.445"
"07-12-2025 13:00","1752325208","0.43"
"07-12-2025 14:00","1752328809","0.425"
"07-12-2025 15:00","1752332407","0.425"
"07-12-2025 16:00","1752336009","0.395"
"07-12-2025 17:00","1752339608","0.415"
"07-12-2025 18:00","1752343208","0.415"
"07-12-2025 19:00","1752346808","0.42"
"07-12-2025 20:00","1752350407","0.425"
"07-12-2025 21:00","1752354008","0.395"
"07-12-2025 22:00","1752357608","0.42"
"07-12-2025 23:00","1752361208","0.42"
"07-13-2025 00:00","1752364808","0.415"
"07-13-2025 01:00","1752368408","0.42"
"07-13-2025 02:00","1752372008","0.43"
"07-13-2025 03:00","1752375608","0.435"
"07-13-2025 04:00","1752379208","0.445"
"07-13-2025 05:00","1752382808","0.45"
"07-13-2025 06:00","1752386407","0.46"
"07-13-2025 07:00","1752390008","0.455"
"07-13-2025 08:00","1752393608","0.47"
"07-13-2025 09:00","1752397208","0.47"
"07-13-2025 10:00","1752400808","0.45"
"07-13-2025 11:00","1752404408","0.435"
"07-13-2025 12:00","1752408007","0.455"
"07-13-2025 13:00","1752411608","0.485"
"07-13-2025 14:00","1752415207","0.52"
"07-13-2025 15:00","1752418808","0.525"
"07-13-2025 16:00","1752422408","0.525"
"07-13-2025 17:00","1752426008","0.505"
"07-13-2025 18:00","1752429608","0.5"
"07-13-2025 19:00","1752433208","0.53"
"07-13-2025 20:00","1752436808","0.545"
"07-13-2025 21:00","1752440408","0.54"
"07-13-2025 22:00","1752444006","0.49"
"07-13-2025 23:00","1752447606","0.5"
"07-14-2025 00:00","1752451207","0.535"
"07-14-2025 01:00","1752454807","0.535"
"07-14-2025 02:00","1752458407","0.535"
"07-14-2025 03:00","1752462007","0.57"
"07-14-2025 04:00","1752465608","0.655"
"07-14-2025 05:00","1752469207","0.715"
"07-14-2025 06:00","1752472807","0.785"
"07-14-2025 07:00","1752476406","0.785"
"07-14-2025 08:00","1752480007","0.83"
"07-14-2025 09:00","1752483607","0.805"
"07-14-2025 10:00","1752487207","0.78"
"07-14-2025 11:00","1752490807","0.765"
"07-14-2025 12:00","1752494407","0.715"
"07-14-2025 13:00","1752498007","0.74"
"07-14-2025 14:00","1752501608","0.725"
"07-14-2025 15:00","1752505207","0.7"
"07-14-2025 16:00","1752508807","0.59"
"07-14-2025 17:00","1752512407","0.655"
"07-14-2025 18:00","1752516007","0.615"
"07-14-2025 19:00","1752519607","0.6"
"07-14-2025 20:00","1752523207","0.61"
"07-14-2025 21:00","1752526807","0.64"
"07-14-2025 22:00","1752530407","0.65"
"07-14-2025 23:00","1752534007","0.645"
"07-15-2025 00:00","1752537608","0.645"
"07-15-2025 01:00","1752541207","0.615"
"07-15-2025 02:00","1752544807","0.565"
"07-15-2025 03:00","1752548407","0.505"
"07-15-2025 04:00","1752552007","0.46"
"07-15-2025 05:00","1752555608","0.485"
"07-15-2025 06:00","1752559208","0.465"
"07-15-2025 07:00","1752562808","0.445"
"07-15-2025 08:00","1752566407","0.405"
"07-15-2025 09:00","1752570007","0.415"
"07-15-2025 10:00","1752573606","0.42"
"07-15-2025 11:00","1752577208","0.415"
"07-15-2025 12:00","1752580808","0.425"
"07-15-2025 13:00","1752584407","0.44"
"07-15-2025 14:00","1752588008","0.505"
"07-15-2025 15:00","1752591607","0.39"
"07-15-2025 16:00","1752595207","0.415"
"07-15-2025 17:00","1752598808","0.445"
"07-15-2025 18:00","1752602408","0.465"
"07-15-2025 19:00","1752606007","0.425"
"07-15-2025 20:00","1752609608","0.405"
"07-15-2025 21:00","1752613208","0.4"
"07-15-2025 22:00","1752616808","0.445"
"07-15-2025 23:00","1752620408","0.465"
"07-16-2025 00:00","1752624008","0.455"
"07-16-2025 01:00","1752627608","0.485"
"07-16-2025 02:00","1752631208","0.465"
"07-16-2025 03:00","1752634808","0.415"
"07-16-2025 04:00","1752638408","0.415"
"07-16-2025 05:00","1752642008","0.425"
"07-16-2025 06:00","1752645607","0.445"
"07-16-2025 07:00","1752649208","0.475"
"07-16-2025 08:00","1752652808","0.475"
"07-16-2025 09:00","1752656408","0.495"
