"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"05-30-2025 21:00","1748638808","0.475","0.265","0.44","0.59","0.7","0.42","0.21","0.5"
"05-30-2025 22:00","1748642407","0.025","0.265","0.445","0.68","0.7","0.41","0.2","0.495"
"05-30-2025 23:00","1748646008","0.021","0.25","0.415","0.64","0.74","0.44","0.22","0.495"
"05-31-2025 00:00","1748649607","0.021","0.245","0.415","0.65","0.74","0.445","0.22","0.04"
"05-31-2025 01:00","1748653209","0.0185","0.245","0.41","0.645","0.75","0.46","0.22","0.0195"
"05-31-2025 02:00","1748656807","0.0215","0.22","0.38","0.615","0.785","0.485","0.24","0.0195"
"05-31-2025 03:00","1748660407","0.0215","0.225","0.37","0.61","0.805","0.5","0.255","0.0195"
"05-31-2025 04:00","1748664008","0.0215","0.245","0.405","0.625","0.795","0.48","0.245","0.0195"
"05-31-2025 05:00","1748667608","0.0165","0.25","0.415","0.625","0.775","0.48","0.245","0.019"
"05-31-2025 06:00","1748671206","0.0145","0.25","0.41","0.62","0.78","0.5","0.275","0.0195"
"05-31-2025 07:00","1748674807","0.021","0.255","0.415","0.64","0.77","0.485","0.265","0.0195"
"05-31-2025 08:00","1748678407","0.012","0.255","0.415","0.64","0.775","0.49","0.265","0.0175"
"05-31-2025 09:00","1748682007","0.012","0.24","0.405","0.63","0.775","0.49","0.26","0.019"
"05-31-2025 10:00","1748685607","0.013","0.24","0.405","0.62","0.77","0.495","0.26","0.019"
"05-31-2025 11:00","1748689206","0.013","0.23","0.395","0.605","0.785","0.495","0.26","0.019"
"05-31-2025 12:00","1748692807","0.017","0.235","0.39","0.605","0.785","0.47","0.23","0.019"
"05-31-2025 13:00","1748696408","0.0205","0.255","0.41","0.63","0.755","0.41","0.215","0.0175"
"05-31-2025 14:00","1748700008","0.02","0.265","0.42","0.64","0.735","0.43","0.24","0.0175"
"05-31-2025 15:00","1748703607","0.0255","0.285","0.44","0.66","0.72","0.415","0.23","0.0145"
"05-31-2025 16:00","1748707207","0.0275","0.285","0.445","0.655","0.785","0.435","0.245","0.015"
"05-31-2025 17:00","1748710806","0.027","0.28","0.445","0.68","0.73","0.43","0.24","0.0145"
"05-31-2025 18:00","1748714407","0.026","0.285","0.45","0.68","0.745","0.455","0.245","0.015"
"05-31-2025 19:00","1748718007","0.0265","0.28","0.455","0.685","0.74","0.445","0.245","0.0155"
"05-31-2025 20:00","1748721607","0.026","0.285","0.465","0.7","0.725","0.44","0.245","0.015"
"05-31-2025 21:00","1748725206","0.025","0.285","0.47","0.7","0.72","0.435","0.245","0.0185"
"05-31-2025 22:00","1748728806","0.0255","0.285","0.485","0.705","0.72","0.435","0.245","0.0225"
"05-31-2025 23:00","1748732407","0.0255","0.285","0.485","0.705","0.725","0.445","0.255","0.0215"
"06-01-2025 00:00","1748736007","0.0235","0.285","0.48","0.7","0.725","0.445","0.25","0.0205"
"06-01-2025 01:00","1748739607","0.0235","0.29","0.46","0.68","0.74","0.445","0.255","0.0205"
