"Date (UTC)","Timestamp (UTC)","$200k","$150k","$125k","$115k","$110k","$105k","$100k","$90k","$85k","$80k","$75k","$70k","$60k","$50k"
"04-30-2025 23:00","1746054006","0.013","0.0245","0.055","0.11","0.205","0.39","0.67","0.73","0.325","0.175","0.115","0.065","0.035","0.03"
"05-01-2025 00:00","1746057606","0.006","0.0245","0.055","0.13","0.195","0.39","0.655","0.725","0.32","0.175","0.115","0.065","0.035","0.0165"
"05-01-2025 01:00","1746061206","0.0065","0.0245","0.055","0.13","0.195","0.4","0.695","0.72","0.315","0.17","0.11","0.065","0.035","0.0165"
"05-01-2025 02:00","1746064805","0.0065","0.015","0.0335","0.11","0.205","0.355","0.645","0.71","0.42","0.2","0.08","0.05","0.023","0.014"
"05-01-2025 03:00","1746068405","0.006","0.014","0.0345","0.11","0.205","0.35","0.665","0.685","0.405","0.185","0.08","0.05","0.022","0.013"
"05-01-2025 04:00","1746072005","0.006","0.0135","0.0345","0.115","0.205","0.355","0.66","0.695","0.405","0.185","0.08","0.045","0.0215","0.0125"
"05-01-2025 05:00","1746075605","0.0075","0.014","0.037","0.12","0.21","0.37","0.675","0.685","0.405","0.19","0.085","0.04","0.022","0.0125"
"05-01-2025 06:00","1746079206","0.0095","0.0095","0.0345","0.125","0.22","0.39","0.695","0.665","0.375","0.18","0.08","0.04","0.017","0.0085"
"05-01-2025 07:00","1746082806","0.0045","0.009","0.043","0.13","0.22","0.385","0.675","0.68","0.405","0.19","0.085","0.045","0.017","0.0085"
"05-01-2025 08:00","1746086405","0.004","0.0085","0.0275","0.115","0.215","0.385","0.675","0.67","0.385","0.175","0.08","0.04","0.017","0.0085"
"05-01-2025 09:00","1746090005","0.0035","0.0075","0.0395","0.115","0.215","0.395","0.68","0.675","0.4","0.175","0.08","0.035","0.017","0.0085"
"05-01-2025 10:00","1746093606","0.0035","0.0075","0.0385","0.125","0.235","0.415","0.72","0.675","0.38","0.17","0.08","0.036","0.0165","0.008"
"05-01-2025 11:00","1746097205","0.0035","0.008","0.0415","0.135","0.25","0.46","0.755","0.63","0.355","0.16","0.075","0.0365","0.0125","0.0075"
"05-01-2025 12:00","1746100805","0.0035","0.011","0.039","0.135","0.245","0.48","0.755","0.625","0.36","0.165","0.08","0.038","0.0125","0.0075"
"05-01-2025 13:00","1746104406","0.0035","0.0065","0.039","0.135","0.255","0.485","0.775","0.635","0.34","0.155","0.08","0.0365","0.0115","0.0065"
"05-01-2025 14:00","1746108005","0.0035","0.0075","0.042","0.135","0.25","0.465","0.75","0.65","0.365","0.16","0.08","0.038","0.0075","0.006"
"05-01-2025 15:00","1746111605","0.0035","0.011","0.045","0.145","0.27","0.495","0.8","0.6","0.325","0.145","0.075","0.04","0.007","0.006"
"05-01-2025 16:00","1746115205","0.0035","0.0095","0.0395","0.175","0.31","0.52","0.815","0.6","0.315","0.15","0.08","0.0415","0.009","0.006"
"05-01-2025 17:00","1746118806","0.0035","0.0095","0.042","0.18","0.31","0.52","0.815","0.575","0.31","0.145","0.07","0.0415","0.009","0.006"
"05-01-2025 18:00","1746122406","0.0035","0.007","0.0415","0.165","0.29","0.5","0.79","0.6","0.32","0.15","0.07","0.0415","0.0075","0.006"
"05-01-2025 19:00","1746126006","0.0035","0.008","0.041","0.165","0.285","0.505","0.795","0.59","0.32","0.15","0.07","0.0415","0.0095","0.006"
"05-01-2025 20:00","1746129606","0.0035","0.008","0.04","0.165","0.28","0.49","0.775","0.61","0.33","0.16","0.075","0.0415","0.0095","0.007"
"05-01-2025 21:00","1746133206","0.0035","0.008","0.0375","0.16","0.28","0.48","0.765","0.62","0.33","0.16","0.065","0.042","0.01","0.0065"
"05-01-2025 22:00","1746136806","0.0035","0.0085","0.037","0.16","0.275","0.49","0.775","0.61","0.33","0.155","0.065","0.038","0.0085","0.006"
"05-01-2025 23:00","1746140406","0.0035","0.0085","0.039","0.155","0.275","0.48","0.775","0.61","0.33","0.155","0.065","0.038","0.0085","0.006"
"05-02-2025 00:00","1746144006","0.0035","0.008","0.0405","0.165","0.28","0.48","0.775","0.605","0.33","0.16","0.065","0.038","0.008","0.006"
"05-02-2025 01:00","1746147605","0.0035","0.008","0.044","0.165","0.285","0.5","0.795","0.58","0.31","0.145","0.065","0.038","0.008","0.0055"
"05-02-2025 02:00","1746151206","0.0035","0.008","0.045","0.165","0.29","0.51","0.795","0.58","0.31","0.145","0.065","0.038","0.008","0.0055"
"05-02-2025 03:00","1746154805","0.0035","0.0085","0.045","0.165","0.29","0.515","0.8","0.575","0.31","0.145","0.065","0.038","0.0085","0.0055"
"05-02-2025 04:00","1746158406","0.004","0.008","0.0445","0.17","0.295","0.52","0.81","0.575","0.3","0.145","0.065","0.0375","0.0085","0.0055"
"05-02-2025 05:00","1746162005","0.0045","0.008","0.0465","0.175","0.3","0.515","0.795","0.59","0.31","0.145","0.065","0.038","0.0085","0.0055"
"05-02-2025 06:00","1746165605","0.0045","0.007","0.0435","0.195","0.32","0.515","0.785","0.595","0.325","0.145","0.065","0.038","0.0085","0.0055"
"05-02-2025 07:00","1746169205","0.0035","0.007","0.045","0.185","0.32","0.515","0.785","0.595","0.325","0.145","0.065","0.038","0.0085","0.0055"
"05-02-2025 08:00","1746172805","0.0035","0.008","0.04","0.165","0.3","0.495","0.77","0.61","0.335","0.165","0.07","0.0375","0.0085","0.005"
"05-02-2025 09:00","1746176405","0.0035","0.0075","0.047","0.18","0.32","0.505","0.78","0.6","0.33","0.165","0.07","0.038","0.0085","0.0065"
"05-02-2025 10:00","1746180005","0.0025","0.0075","0.046","0.18","0.315","0.52","0.785","0.58","0.33","0.165","0.07","0.0385","0.0085","0.006"
"05-02-2025 11:00","1746183604","0.0025","0.0075","0.04","0.185","0.32","0.53","0.8","0.575","0.33","0.165","0.07","0.039","0.0085","0.0045"
"05-02-2025 12:00","1746187206","0.0025","0.0075","0.0405","0.175","0.315","0.53","0.805","0.565","0.31","0.15","0.065","0.039","0.008","0.0035"
"05-02-2025 13:00","1746190804","0.0035","0.0085","0.041","0.175","0.31","0.535","0.825","0.555","0.3","0.14","0.065","0.0385","0.008","0.005"
"05-02-2025 14:00","1746194405","0.004","0.01","0.042","0.17","0.305","0.515","0.795","0.565","0.305","0.14","0.065","0.041","0.008","0.005"
"05-02-2025 15:00","1746198005","0.0055","0.0145","0.049","0.175","0.33","0.56","0.84","0.515","0.265","0.13","0.065","0.039","0.0085","0.006"
"05-02-2025 16:00","1746201606","0.006","0.013","0.0445","0.17","0.3","0.545","0.83","0.525","0.28","0.13","0.06","0.039","0.0095","0.0065"
"05-02-2025 17:00","1746205205","0.0055","0.0095","0.0485","0.17","0.3","0.54","0.835","0.525","0.265","0.13","0.065","0.039","0.009","0.006"
"05-02-2025 18:00","1746208805","0.005","0.008","0.05","0.16","0.3","0.53","0.825","0.52","0.275","0.13","0.065","0.039","0.009","0.006"
"05-02-2025 19:00","1746212406","0.005","0.011","0.05","0.16","0.3","0.53","0.825","0.525","0.27","0.125","0.065","0.039","0.009","0.005"
"05-02-2025 20:00","1746216005","0.0055","0.011","0.048","0.155","0.28","0.515","0.795","0.54","0.285","0.135","0.055","0.039","0.009","0.005"
"05-02-2025 21:00","1746219606","0.0055","0.011","0.05","0.155","0.29","0.515","0.805","0.535","0.285","0.135","0.055","0.039","0.0085","0.0035"
"05-02-2025 22:00","1746223206","0.0045","0.0095","0.0445","0.14","0.27","0.5","0.78","0.555","0.295","0.135","0.065","0.0385","0.0085","0.004"
"05-02-2025 23:00","1746226806","0.0045","0.009","0.041","0.135","0.27","0.5","0.775","0.56","0.29","0.135","0.065","0.0385","0.0085","0.005"
"05-03-2025 00:00","1746230406","0.0045","0.009","0.043","0.135","0.275","0.505","0.78","0.555","0.285","0.13","0.06","0.039","0.0085","0.005"
"05-03-2025 01:00","1746234006","0.0045","0.009","0.043","0.14","0.27","0.5","0.78","0.56","0.29","0.13","0.06","0.039","0.009","0.0055"
"05-03-2025 02:00","1746237605","0.004","0.009","0.036","0.135","0.26","0.47","0.765","0.565","0.285","0.13","0.06","0.0375","0.0095","0.006"
"05-03-2025 03:00","1746241206","0.0035","0.0085","0.039","0.135","0.255","0.47","0.76","0.56","0.285","0.13","0.065","0.037","0.0095","0.005"
"05-03-2025 04:00","1746244806","0.004","0.0085","0.039","0.13","0.255","0.47","0.75","0.565","0.295","0.13","0.065","0.037","0.009","0.005"
"05-03-2025 05:00","1746248405","0.004","0.0085","0.037","0.13","0.25","0.47","0.755","0.56","0.295","0.13","0.065","0.037","0.009","0.005"
