"Date (UTC)","Timestamp (UTC)","Price"
"07-22-2025 11:00","1753182009","0.5"
"07-22-2025 12:00","1753185609","0.7"
"07-22-2025 13:00","1753189210","0.7"
"07-22-2025 14:00","1753192810","0.5"
"07-22-2025 15:00","1753196408","0.5"
"07-22-2025 16:00","1753200008","0.605"
"07-22-2025 17:00","1753203610","0.815"
"07-22-2025 18:00","1753207209","0.79"
"07-22-2025 19:00","1753210809","0.775"
"07-22-2025 20:00","1753214409","0.665"
"07-22-2025 21:00","1753218009","0.71"
"07-22-2025 22:00","1753221609","0.735"
"07-22-2025 23:00","1753225209","0.755"
"07-23-2025 00:00","1753228809","0.86"
"07-23-2025 01:00","1753232409","0.81"
"07-23-2025 02:00","1753236009","0.775"
"07-23-2025 03:00","1753239608","0.77"
"07-23-2025 04:00","1753243209","0.725"
"07-23-2025 05:00","1753246803","0.735"
"07-23-2025 05:00","1753246824","0.735"
"07-23-2025 06:00","1753250408","0.735"
"07-23-2025 07:00","1753254008","0.705"
"07-23-2025 08:00","1753257609","0.67"
"07-23-2025 09:00","1753261209","0.665"
"07-23-2025 10:00","1753264809","0.6"
"07-23-2025 11:00","1753268408","0.615"
"07-23-2025 12:00","1753272009","0.6"
"07-23-2025 13:00","1753275608","0.5"
"07-23-2025 14:00","1753279209","0.385"
"07-23-2025 15:00","1753282809","0.42"
"07-23-2025 16:00","1753286410","0.465"
"07-23-2025 16:18","1753287489","0.405"
