"Date (UTC)","Timestamp (UTC)","Price"
"07-18-2025 11:00","1752836408","0.5"
"07-18-2025 12:00","1752840008","0.5"
"07-18-2025 13:00","1752843608","0.765"
"07-18-2025 14:00","1752847208","0.76"
"07-18-2025 15:00","1752850808","0.69"
"07-18-2025 16:00","1752854408","0.585"
"07-18-2025 17:00","1752858009","0.665"
"07-18-2025 18:00","1752861608","0.68"
"07-18-2025 19:00","1752865208","0.67"
"07-18-2025 20:00","1752868808","0.66"
"07-18-2025 21:00","1752872409","0.645"
"07-18-2025 22:00","1752876009","0.605"
"07-18-2025 23:00","1752879609","0.6"
"07-19-2025 00:00","1752883209","0.625"
"07-19-2025 01:00","1752886807","0.665"
"07-19-2025 02:00","1752890408","0.66"
"07-19-2025 03:00","1752894008","0.685"
"07-19-2025 04:00","1752897607","0.675"
"07-19-2025 05:00","1752901208","0.695"
"07-19-2025 06:00","1752904808","0.675"
"07-19-2025 07:00","1752908407","0.665"
"07-19-2025 08:00","1752912008","0.685"
"07-19-2025 09:00","1752915609","0.66"
"07-19-2025 10:00","1752919208","0.675"
"07-19-2025 11:00","1752922808","0.635"
"07-19-2025 12:00","1752926408","0.595"
"07-19-2025 13:00","1752930009","0.615"
"07-19-2025 14:00","1752933608","0.605"
"07-19-2025 15:00","1752937208","0.545"
"07-19-2025 16:00","1752940808","0.605"
"07-19-2025 17:00","1752944408","0.65"
"07-19-2025 18:00","1752948007","0.615"
"07-19-2025 19:00","1752951608","0.615"
"07-19-2025 20:00","1752955209","0.62"
"07-19-2025 21:00","1752958808","0.61"
"07-19-2025 22:00","1752962408","0.575"
"07-19-2025 23:00","1752966008","0.61"
"07-20-2025 00:00","1752969608","0.615"
"07-20-2025 01:00","1752973208","0.62"
"07-20-2025 02:00","1752976808","0.61"
"07-20-2025 03:00","1752980409","0.58"
"07-20-2025 04:00","1752984008","0.62"
"07-20-2025 05:00","1752987608","0.6"
"07-20-2025 06:00","1752991208","0.595"
"07-20-2025 07:00","1752994807","0.595"
"07-20-2025 08:00","1752998408","0.625"
"07-20-2025 09:00","1753002008","0.69"
"07-20-2025 10:00","1753005607","0.695"
"07-20-2025 11:00","1753009207","0.72"
"07-20-2025 12:00","1753012808","0.7"
"07-20-2025 13:00","1753016408","0.695"
"07-20-2025 14:00","1753020007","0.735"
"07-20-2025 15:00","1753023608","0.79"
"07-20-2025 16:00","1753027207","0.77"
"07-20-2025 17:00","1753030807","0.75"
"07-20-2025 18:00","1753034408","0.74"
"07-20-2025 19:00","1753038008","0.755"
"07-20-2025 20:00","1753041607","0.745"
"07-20-2025 21:00","1753045207","0.73"
"07-20-2025 22:00","1753048807","0.725"
"07-20-2025 23:00","1753052407","0.66"
"07-21-2025 00:00","1753056007","0.67"
"07-21-2025 01:00","1753059607","0.645"
"07-21-2025 02:00","1753063208","0.68"
"07-21-2025 03:00","1753066807","0.69"
"07-21-2025 04:00","1753070408","0.69"
"07-21-2025 05:00","1753074007","0.725"
"07-21-2025 06:00","1753077608","0.735"
"07-21-2025 07:00","1753081207","0.81"
"07-21-2025 08:00","1753084807","0.82"
"07-21-2025 09:00","1753088408","0.81"
"07-21-2025 10:00","1753092007","0.785"
"07-21-2025 11:00","1753095608","0.79"
"07-21-2025 12:00","1753099207","0.77"
"07-21-2025 13:00","1753102809","0.76"
"07-21-2025 14:00","1753106408","0.8"
"07-21-2025 15:00","1753110007","0.915"
"07-21-2025 16:00","1753113608","0.89"
"07-21-2025 17:00","1753117208","0.835"
"07-21-2025 18:00","1753120808","0.875"
"07-21-2025 19:00","1753124408","0.805"
"07-21-2025 20:00","1753128008","0.78"
"07-21-2025 21:00","1753131608","0.76"
"07-21-2025 22:00","1753135209","0.785"
"07-21-2025 23:00","1753138808","0.8"
"07-22-2025 00:00","1753142409","0.785"
"07-22-2025 01:00","1753146009","0.75"
"07-22-2025 02:00","1753149609","0.78"
"07-22-2025 03:00","1753153208","0.725"
"07-22-2025 04:00","1753156809","0.705"
"07-22-2025 05:00","1753160408","0.595"
"07-22-2025 06:00","1753164008","0.645"
"07-22-2025 07:00","1753167609","0.65"
"07-22-2025 08:00","1753171208","0.66"
"07-22-2025 09:00","1753174808","0.65"
"07-22-2025 10:00","1753178408","0.65"
"07-22-2025 11:00","1753182009","0.68"
"07-22-2025 12:00","1753185609","0.71"
"07-22-2025 13:00","1753189210","0.695"
"07-22-2025 14:00","1753192810","0.665"
"07-22-2025 15:00","1753196408","0.71"
"07-22-2025 16:00","1753200008","0.7"
"07-22-2025 17:00","1753203610","0.705"
"07-22-2025 18:00","1753207209","0.775"
"07-22-2025 19:00","1753210809","0.765"
"07-22-2025 20:00","1753214409","0.715"
"07-22-2025 21:00","1753218009","0.725"
"07-22-2025 22:00","1753221609","0.7"
"07-22-2025 23:00","1753225209","0.7"
"07-23-2025 00:00","1753228809","0.745"
"07-23-2025 01:00","1753232409","0.695"
"07-23-2025 02:00","1753236009","0.695"
"07-23-2025 03:00","1753239608","0.67"
"07-23-2025 04:00","1753243209","0.66"
"07-23-2025 05:00","1753246803","0.67"
"07-23-2025 05:00","1753246824","0.67"
"07-23-2025 06:00","1753250408","0.63"
"07-23-2025 07:00","1753254008","0.615"
"07-23-2025 08:00","1753257609","0.615"
"07-23-2025 09:00","1753261209","0.6"
"07-23-2025 10:00","1753264809","0.565"
"07-23-2025 11:00","1753268408","0.545"
