trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,liquidation,block_rfq_id,combo_trade_id,unix_sec
6781,369574992,1748638922425,0,0.047,0.04707292,42.34,BTC-27JUN25-105000-C,104643.86,buy,1.6,1.6,,,,,,,1748638922.425
6782,369575434,1748639345521,0,0.0475,0.0474881,42.31,BTC-27JUN25-105000-C,104761.76,buy,1.6,1.6,,,,,,,1748639345.521
6783,369579074,1748642383259,2,0.0465,0.04669208,41.95,BTC-27JUN25-105000-C,104644.54,sell,0.1,0.1,,,,,,,1748642383.259
6784,369579269,1748642591909,0,0.047,0.04692609,42.16,BTC-27JUN25-105000-C,104691.01,buy,1.6,1.6,,,,,,,1748642591.909
6785,369579538,1748642827522,2,0.046,0.04594784,42.14,BTC-27JUN25-105000-C,104494.32,buy,1.6,1.6,,,,,,,1748642827.522
6786,369579647,1748642901910,0,0.0465,0.0464384,42.12,BTC-27JUN25-105000-C,104580.08,buy,1.6,1.6,,,,,,,1748642901.91
6787,369580414,1748643817355,1,0.0465,0.04624128,42.25,BTC-27JUN25-105000-C,104578.97,buy,0.2,0.2,,,,,,,1748643817.355
6788,369582629,1748644794377,2,0.0455,0.04537495,42.41,BTC-27JUN25-105000-C,104320.44,sell,0.1,0.1,,,,,,,1748644794.377
6789,369582641,1748644795462,3,0.0455,0.04533973,42.45,BTC-27JUN25-105000-C,104312.7,sell,0.1,0.1,,,,,,,1748644795.462
6790,369582642,1748644795462,3,0.0455,0.04533973,42.45,BTC-27JUN25-105000-C,104312.7,sell,0.1,0.1,,,,,,,1748644795.462
6791,369582650,1748644797386,3,0.0455,0.04523504,42.53,BTC-27JUN25-105000-C,104292.74,sell,0.1,0.1,,,,,,,1748644797.386
6792,369583156,1748645058831,2,0.045,0.04479403,42.53,BTC-27JUN25-105000-C,104180.37,sell,0.1,0.1,,,,,,,1748645058.831
6794,369586533,1748646094585,3,0.043,0.0428955,42.34,BTC-27JUN25-105000-C,103816.72,buy,0.1,0.1,,,,,,,1748646094.585
6793,369586532,1748646094585,2,0.043,0.0428955,42.34,BTC-27JUN25-105000-C,103816.72,buy,0.7,0.7,,,,,,,1748646094.585
6795,369586876,1748646174007,0,0.044,0.04390921,42.38,BTC-27JUN25-105000-C,104000.74,sell,0.1,0.1,,,,,,,1748646174.007
6796,369587951,1748646836667,0,0.0445,0.04451455,42.36,BTC-27JUN25-105000-C,104122.93,sell,0.1,0.1,,,,,,,1748646836.667
6797,369603108,1748652513084,2,0.0435,0.04397949,41.4,BTC-27JUN25-105000-C,104138.76,sell,0.1,0.1,,,,,,,1748652513.084
6800,369603552,1748653235855,3,0.043,0.04351203,41.49,BTC-27JUN25-105000-C,103991.02,sell,0.7,0.7,,,,,,,1748653235.855
6799,369603551,1748653235855,3,0.043,0.04351203,41.49,BTC-27JUN25-105000-C,103991.02,sell,0.9,0.9,,,,,,,1748653235.855
6798,369603550,1748653235855,2,0.043,0.04351203,41.49,BTC-27JUN25-105000-C,103991.02,sell,0.9,0.9,,,,,,,1748653235.855
6801,369603553,1748653235858,3,0.043,0.04351203,41.49,BTC-27JUN25-105000-C,103991.02,buy,2.5,2.5,,,,,,,1748653235.858
6802,369607891,1748655689685,2,0.0425,0.04250706,41.51,BTC-27JUN25-105000-C,103879.66,buy,0.3,0.3,,,,,,,1748655689.685
6803,369607932,1748655772508,3,0.0425,0.04233591,41.68,BTC-27JUN25-105000-C,103844.03,sell,0.1,0.1,,,,,,,1748655772.508
6804,369607934,1748655778077,3,0.0425,0.04234387,41.68,BTC-27JUN25-105000-C,103846.15,sell,0.1,0.1,,,,,,,1748655778.077
6805,369610523,1748656904689,2,0.041,0.04101521,41.66,BTC-27JUN25-105000-C,103530.91,buy,0.3,0.3,,,,,,,1748656904.689
6806,369611126,1748657150105,2,0.0405,0.04042306,41.72,BTC-27JUN25-105000-C,103397.76,buy,0.3,0.3,,,,,,,1748657150.105
6807,369611133,1748657154605,3,0.0405,0.04047536,41.71,BTC-27JUN25-105000-C,103399.5,buy,0.6,0.6,,,,,,,1748657154.605
6808,369611209,1748657184662,0,0.041,0.04099776,41.67,BTC-27JUN25-105000-C,103516.03,buy,0.2,0.2,,,,,,,1748657184.662
6809,369611398,1748657290736,0,0.0415,0.04152907,41.71,BTC-27JUN25-105000-C,103623.94,buy,0.4,0.4,,,,,,,1748657290.736
6810,369611483,1748657344158,1,0.0415,0.04153205,41.69,BTC-27JUN25-105000-C,103633.84,buy,0.5,0.5,,,,,,,1748657344.158
6812,369611856,1748657679384,1,0.042,0.04188295,41.79,BTC-27JUN25-105000-C,103721.57,buy,0.3,0.3,,,,,,,1748657679.384
6811,369611855,1748657679384,0,0.042,0.04188295,41.79,BTC-27JUN25-105000-C,103721.57,buy,0.3,0.3,,,,,,,1748657679.384
6813,369613987,1748659183298,1,0.042,0.04170246,42.2,BTC-27JUN25-105000-C,103600.18,buy,0.3,0.3,,,,,,,1748659183.298
6814,369614063,1748659265868,1,0.042,0.04173201,42.36,BTC-27JUN25-105000-C,103562.36,buy,0.1,0.1,,,,,,,1748659265.868
6815,369614098,1748659327278,1,0.042,0.04187066,42.12,BTC-27JUN25-105000-C,103621.95,buy,0.3,0.3,,,,,,,1748659327.278
6816,369614099,1748659327278,1,0.042,0.04187066,42.12,BTC-27JUN25-105000-C,103621.95,buy,0.6,0.6,,,,,,,1748659327.278
6817,369614101,1748659329974,1,0.042,0.04187615,42.12,BTC-27JUN25-105000-C,103622.03,buy,0.3,0.3,,,,,,,1748659329.974
6819,369615907,1748660234602,3,0.041,0.0404964,42.65,BTC-27JUN25-105000-C,103264.89,buy,0.2,0.2,,,,,,,1748660234.602
6818,369615906,1748660234602,2,0.041,0.0404964,42.65,BTC-27JUN25-105000-C,103264.89,buy,0.3,0.3,,,,,,,1748660234.602
6820,369615986,1748660265347,3,0.041,0.04047854,42.67,BTC-27JUN25-105000-C,103263.03,sell,0.1,0.1,,,,,,,1748660265.347
6821,369616357,1748660582204,3,0.041,0.04077647,42.42,BTC-27JUN25-105000-C,103335.05,sell,0.1,0.1,,,,,,,1748660582.204
6822,369617303,1748661202075,3,0.041,0.04041861,42.79,BTC-27JUN25-105000-C,103242.79,buy,0.3,0.3,,,,,,,1748661202.075
6823,369617490,1748661362524,0,0.0415,0.04114352,42.79,BTC-27JUN25-105000-C,103348.44,buy,0.2,0.2,,,,,,,1748661362.524
6824,369617731,1748661487419,2,0.041,0.04058276,42.95,BTC-27JUN25-105000-C,103188.7,buy,0.3,0.3,,,,,,,1748661487.419
