trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,block_rfq_id,combo_trade_id,liquidation,unix_sec
9567,369578489,1748641956826,0,0.028,0.0279823,42.42,BTC-27JUN25-110000-C,104687.74,buy,0.3,0.3,,,,,,,1748641956.826
9568,369578709,1748642123884,1,0.028,0.02800872,42.4,BTC-27JUN25-110000-C,104685.78,buy,0.3,0.3,,,,,,,1748642123.884
9569,369583001,1748644945387,2,0.0265,0.02650808,42.42,BTC-27JUN25-110000-C,104230.34,sell,0.4,0.4,,,,,,,1748644945.387
9570,369583002,1748644945387,3,0.0265,0.02650808,42.42,BTC-27JUN25-110000-C,104230.34,sell,0.1,0.1,,,,,,,1748644945.387
9571,369583006,1748644951409,3,0.0265,0.02651936,42.41,BTC-27JUN25-110000-C,104232.5,buy,1.0,1.0,,,,,,,1748644951.409
9572,369584802,1748645235615,2,0.026,0.02626536,42.15,BTC-27JUN25-110000-C,104138.08,sell,0.1,0.1,,,,,,,1748645235.615
9574,369584804,1748645235615,3,0.026,0.02626536,42.15,BTC-27JUN25-110000-C,104138.08,sell,1.0,1.0,,,,,,,1748645235.615
9573,369584803,1748645235615,3,0.026,0.02626536,42.15,BTC-27JUN25-110000-C,104138.08,sell,17.8,17.8,,,,,,,1748645235.615
9575,369584805,1748645235617,3,0.026,0.02626536,42.15,BTC-27JUN25-110000-C,104138.08,buy,0.1,0.1,,,,,,,1748645235.617
9576,369584806,1748645235620,3,0.026,0.02626536,42.15,BTC-27JUN25-110000-C,104138.08,buy,4.5,4.5,,,,,,,1748645235.62
9577,369585418,1748645657581,3,0.026,0.02644283,41.89,BTC-27JUN25-110000-C,104257.7,sell,0.1,0.1,,,,,,,1748645657.581
9578,369586129,1748646052674,2,0.0255,0.02556068,42.29,BTC-27JUN25-110000-C,103987.42,sell,0.1,0.1,,,,,,,1748646052.674
9579,369590440,1748647932549,2,0.025,0.02517817,42.18,BTC-27JUN25-110000-C,103848.22,sell,0.2,0.2,,,,,,,1748647932.549
9580,369599187,1748650776783,2,0.024,0.02423019,41.73,BTC-27JUN25-110000-C,103680.05,sell,1.0,1.0,,,,,,,1748650776.783
9581,369600289,1748650890337,0,0.0245,0.02445715,41.91,BTC-27JUN25-110000-C,103766.07,buy,0.4,0.4,,,,,,,1748650890.337
9582,369601264,1748651380909,1,0.0245,0.02459176,41.83,BTC-27JUN25-110000-C,103804.74,sell,0.6,0.6,,,,,,,1748651380.909
9583,369601265,1748651380911,1,0.0245,0.02459176,41.83,BTC-27JUN25-110000-C,103804.74,buy,0.3,0.3,,,,,,,1748651380.911
9584,369601270,1748651397836,1,0.0245,0.02463323,41.77,BTC-27JUN25-110000-C,103820.92,buy,0.3,0.3,,,,,,,1748651397.836
9585,369601280,1748651400299,1,0.0245,0.024655,41.76,BTC-27JUN25-110000-C,103823.06,buy,0.4,0.4,,,,,,,1748651400.299
9586,369601283,1748651400393,1,0.0245,0.024655,41.76,BTC-27JUN25-110000-C,103823.06,buy,0.4,0.4,,,,,,,1748651400.393
9587,369601716,1748651676621,1,0.0245,0.02500598,41.41,BTC-27JUN25-110000-C,103931.68,sell,0.1,0.1,,,,,,,1748651676.621
9588,369604626,1748653752675,0,0.025,0.0250947,41.61,BTC-27JUN25-110000-C,104016.42,sell,8.5,8.5,,,,,,,1748653752.675
9589,369606176,1748655010185,2,0.0245,0.02434029,41.6,BTC-27JUN25-110000-C,103901.32,buy,0.3,0.3,,,,,,,1748655010.185
9590,369606177,1748655010187,3,0.0245,0.02434029,41.6,BTC-27JUN25-110000-C,103901.32,sell,0.7,0.7,,,,,,,1748655010.187
9591,369616389,1748660606707,2,0.0235,0.02334076,42.5,BTC-27JUN25-110000-C,103278.98,sell,0.1,0.1,,,,,,,1748660606.707
9592,369617136,1748661083121,2,0.023,0.02303645,42.29,BTC-27JUN25-110000-C,103189.46,buy,0.1,0.1,,,,,,,1748661083.121
9594,369617207,1748661118699,1,0.0235,0.02317163,42.68,BTC-27JUN25-110000-C,103217.75,buy,0.1,0.1,,,,,,,1748661118.699
9593,369617206,1748661118699,0,0.0235,0.02317163,42.68,BTC-27JUN25-110000-C,103217.75,buy,0.7,0.7,,,,,,,1748661118.699
9595,369617208,1748661118701,1,0.0235,0.02317163,42.68,BTC-27JUN25-110000-C,103217.75,sell,1.5,1.5,,,,,,,1748661118.701
9596,369617209,1748661118717,1,0.0235,0.02317163,42.68,BTC-27JUN25-110000-C,103217.75,sell,1.3,1.3,,,,,,,1748661118.717
9597,369617214,1748661119131,1,0.0235,0.02316605,42.68,BTC-27JUN25-110000-C,103216.67,sell,2.2,2.2,,,,,,,1748661119.131
9598,369617215,1748661119142,1,0.0235,0.02316605,42.68,BTC-27JUN25-110000-C,103216.67,sell,0.4,0.4,,,,,,,1748661119.142
9599,369617229,1748661132455,1,0.0235,0.02318239,42.69,BTC-27JUN25-110000-C,103213.85,sell,3.8,3.8,,,,,,,1748661132.455
9600,369617235,1748661135018,1,0.0235,0.0231592,42.73,BTC-27JUN25-110000-C,103201.06,buy,2.2,2.2,,,,,,,1748661135.018
9601,369617236,1748661135018,1,0.0235,0.0231592,42.73,BTC-27JUN25-110000-C,103201.06,buy,1.5,1.5,,,,,,,1748661135.018
9602,369617237,1748661137602,1,0.0235,0.02313536,42.72,BTC-27JUN25-110000-C,103202.33,sell,6.0,6.0,,,,,,,1748661137.602
9603,369617465,1748661330181,0,0.024,0.02375429,42.84,BTC-27JUN25-110000-C,103320.75,buy,0.1,0.1,,,,,,,1748661330.181
9604,369617525,1748661395858,0,0.0245,0.02397344,43.17,BTC-27JUN25-110000-C,103374.61,buy,0.1,0.1,,,,,,,1748661395.858
9605,369618110,1748661782952,0,0.025,0.02447976,43.6,BTC-27JUN25-110000-C,103387.89,buy,0.1,0.1,,,,,,,1748661782.952
9606,369618277,1748661983647,0,0.0255,0.02506841,43.76,BTC-27JUN25-110000-C,103481.26,buy,0.1,0.1,,,,,,,1748661983.647
9607,369618383,1748662058043,1,0.0255,0.0251861,43.77,BTC-27JUN25-110000-C,103472.1,buy,0.3,0.3,,,,,,,1748662058.043
9608,369618736,1748662360274,1,0.0255,0.02538191,43.68,BTC-27JUN25-110000-C,103494.62,sell,0.1,0.1,,,,,,,1748662360.274
9609,369618738,1748662361902,1,0.0255,0.02537769,43.68,BTC-27JUN25-110000-C,103494.73,sell,0.1,0.1,,,,,,,1748662361.902
9611,369619057,1748662446350,1,0.0255,0.02494926,44.17,BTC-27JUN25-110000-C,103327.4,buy,0.7,0.7,,,,,,,1748662446.35
9610,369619056,1748662446350,1,0.0255,0.02494926,44.17,BTC-27JUN25-110000-C,103327.4,buy,6.0,6.0,,,,,,,1748662446.35
9612,369619429,1748662752127,0,0.026,0.02580512,44.1,BTC-27JUN25-110000-C,103505.08,buy,0.1,0.1,,,,,,,1748662752.127
9613,369619490,1748662906974,0,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,0.1,0.1,,,,,,,1748662906.974
9619,369619496,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,1.4,1.4,,,,,,,1748662906.974
9617,369619494,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,18.1,18.1,,,,,,,1748662906.974
9618,369619495,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,6.0,6.0,,,,,,,1748662906.974
9620,369619497,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,1.5,1.5,,,,,,,1748662906.974
9614,369619491,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,0.7,0.7,,,,,,,1748662906.974
9615,369619492,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,0.6,0.6,,,,,,,1748662906.974
9621,369619498,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,18.9,18.9,,,,,,,1748662906.974
9616,369619493,1748662906974,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,buy,5.4,5.4,,,,,,,1748662906.974
9622,369619499,1748662906978,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,sell,2.3,2.3,,,,,,,1748662906.978
9623,369619500,1748662906978,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,sell,18.0,18.0,,,,,,,1748662906.978
9624,369619501,1748662906980,1,0.0265,0.02577006,44.66,BTC-27JUN25-110000-C,103494.05,sell,0.5,0.5,,,,,,,1748662906.98
