trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot
4,100000.0,2025-05-30 22:00:00+00:00,2025-05-30 23:00:00+00:00,YES,0.7,0.74,-0.049157982983254,-0.0090102853073823,257.87894646429316,180.5152625250052,-0.8252126286857049,convergence,8812.323817664064,8813.149030292749
1,60000.0,2025-05-30 22:00:00+00:00,2025-05-31 00:00:00+00:00,NO,0.495,0.04,0.4884467123315223,0.0345647120375519,990.09900990099,500.0,406.98019801980195,take_profit,9734.304015683867,10000.0
3,95000.0,2025-05-30 22:00:00+00:00,2025-05-31 00:00:00+00:00,YES,0.41,0.445,-0.0632514231663443,-0.0277078879903917,582.315542120423,238.7493722693734,5.444650318825978,convergence,9985.660519440147,9059.060883730202
5,115000.0,2025-05-31 03:00:00+00:00,2025-05-31 04:00:00+00:00,YES,0.37,0.405,-0.0401806326516085,-0.00489572146862,451.83576251722377,167.1792321313728,5.309070209577385,convergence,9990.969589649725,9985.660519440147
2,90000.0,2025-05-30 22:00:00+00:00,2025-05-31 06:00:00+00:00,YES,0.2,0.275,-0.1046367416152753,-0.0272387270870479,2067.6656129601793,413.5331225920359,125.6106859873309,convergence,10542.519391906853,9485.0
6,90000.0,2025-05-31 09:00:00+00:00,2025-05-31 14:00:00+00:00,YES,0.26,0.24,-0.0413329839307011,-0.0278815726462317,698.3233727801133,181.56407692282949,-24.44131804730398,convergence,10090.262791740563,10542.519391906853
8,90000.0,2025-05-31 15:00:00+00:00,2025-05-31 16:00:00+00:00,YES,0.23,0.245,-0.0405663311484259,-0.0252637001747682,741.5306916383843,170.55205907682839,0.5561480187287771,convergence,10090.81893975929,10090.262791740563
9,100000.0,2025-05-31 16:00:00+00:00,2025-05-31 17:00:00+00:00,NO,0.785,0.73,0.0557873523722589,0.0009496902935079,1090.9691316221233,234.5583632987565,44.12970137411497,convergence,10134.948641133406,10090.81893975929
7,95000.0,2025-05-31 13:00:00+00:00,2025-06-01 01:00:00+00:00,YES,0.41,0.445,-0.0962628878275562,-0.0279952298006401,1013.0601044730886,415.3546428339663,9.472111976823385,convergence,10354.363314891405,10355.508392676338
10,115000.0,2025-05-31 20:00:00+00:00,2025-06-01 04:00:00+00:00,NO,0.465,0.46,0.0500904946886458,-0.0128973900804951,395.37740738192434,211.5269129493295,-10.774034351157411,convergence,10561.462000878057,10134.948641133406
11,120000.0,2025-06-01 08:00:00+00:00,2025-06-01 09:00:00+00:00,YES,0.24,0.255,-0.044319119111191,-0.0192798971644985,812.6296743146394,195.03112183551343,0.12189445114719888,convergence,10561.583895329202,10561.462000878057
12,115000.0,2025-06-01 09:00:00+00:00,2025-06-01 15:00:00+00:00,YES,0.425,0.455,-0.0465052341465067,-0.0148187004259936,481.5381686375087,204.6537216709412,1.7335374070950422,convergence,10380.476467514032,10561.583895329202
13,110000.0,2025-06-01 14:00:00+00:00,2025-06-01 15:00:00+00:00,YES,0.655,0.675,-0.0411598706365137,-0.0273898181323775,271.01603086380516,177.51550021579237,-5.393219014189697,convergence,10557.924213722108,10350.790562008133
