trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,85000.0,BTC_may,long,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,0.32,0.375,323.99859761358147,17.81992286874698,10031.556137447265,convergence,10017.819922868746,10000.0,False,
2,100000.0,BTC_may,short,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,0.695,0.645,274.7242915704013,13.736214578520046,10013.73621457852,convergence,10031.556137447265,10017.819922868746,False,
3,90000.0,BTC_may,short,2025-05-01 02:00:00+00:00,2025-05-01 06:00:00+00:00,0.71,0.665,259.21525781285555,11.664686601578481,10043.220824048843,convergence,10043.220824048843,10031.556137447265,False,
4,100000.0,BTC_may,short,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,0.695,0.675,200.32736719049885,4.006547343809959,10047.227371392653,convergence,10047.227371392653,10043.220824048843,False,
5,85000.0,BTC_may,short,2025-05-01 07:00:00+00:00,2025-05-01 13:00:00+00:00,0.405,0.34,215.56139515580148,14.011490685127097,10061.23886207778,convergence,10061.23886207778,10047.227371392653,False,
6,90000.0,BTC_may,short,2025-05-01 09:00:00+00:00,2025-05-02 13:00:00+00:00,0.675,0.555,301.2033802192096,36.14440562630515,10103.035506019756,convergence,10097.383267704085,10061.23886207778,False,
7,100000.0,BTC_may,short,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,0.775,0.8,254.81125487546203,-6.3702813718865565,10054.868580705894,convergence,10091.012986332198,10097.383267704085,False,
8,115000.0,BTC_may,long,2025-05-01 15:00:00+00:00,2025-05-01 17:00:00+00:00,0.145,0.18,232.35853977972997,8.132548892290549,10063.001129598184,convergence,10099.145535224488,10091.012986332198,False,
9,85000.0,BTC_may,short,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,0.33,0.31,194.4985397633466,3.8899707952669353,10066.891100393452,convergence,10103.035506019756,10099.145535224488,False,
10,100000.0,BTC_may,short,2025-05-02 13:00:00+00:00,2025-05-02 16:00:00+00:00,0.825,0.83,219.4722541365761,-1.0973612706828815,10103.008869876117,convergence,10101.938144749074,10103.035506019756,False,
