trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,85000.0,BTC_may,long,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,0.32,0.375,353.45301557845255,19.43991585681489,10034.4248772152,convergence,10019.439915856816,10000.0,False,
2,100000.0,BTC_may,short,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,0.695,0.645,299.6992271677105,14.984961358385505,10014.984961358385,convergence,10034.4248772152,10019.439915856816,False,
3,90000.0,BTC_may,short,2025-05-01 02:00:00+00:00,2025-05-01 06:00:00+00:00,0.71,0.665,282.81554490803313,12.726699520861471,10047.151576736062,convergence,10047.151576736062,10034.4248772152,False,
4,105000.0,BTC_may,long,2025-05-01 03:00:00+00:00,2025-05-01 06:00:00+00:00,0.35,0.39,225.50388170243437,9.020155268097383,10056.171732004159,convergence,10056.171732004159,10047.151576736062,False,
5,100000.0,BTC_may,short,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,0.695,0.675,218.82075579840335,4.376415115968046,10060.548147120127,convergence,10060.548147120127,10056.171732004159,False,
6,85000.0,BTC_may,short,2025-05-01 07:00:00+00:00,2025-05-01 13:00:00+00:00,0.405,0.34,235.4696617333972,15.305528012670818,10075.853675132797,convergence,10075.853675132797,10060.548147120127,False,
7,90000.0,BTC_may,short,2025-05-01 09:00:00+00:00,2025-05-02 13:00:00+00:00,0.675,0.555,329.02114964468063,39.48253795736167,10135.375592185252,convergence,10115.336213090159,10075.853675132797,False,
8,115000.0,BTC_may,long,2025-05-01 10:00:00+00:00,2025-05-01 17:00:00+00:00,0.125,0.18,244.81051529230712,13.464578341076889,10091.637373714735,convergence,10128.800791431235,10115.336213090159,False,
9,100000.0,BTC_may,short,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,0.775,0.8,278.3796982853765,-6.959492457134418,10068.894182675664,convergence,10121.841298974101,10128.800791431235,False,
10,110000.0,BTC_may,long,2025-05-01 15:00:00+00:00,2025-05-01 16:00:00+00:00,0.27,0.31,231.96531744990813,9.278612697996321,10078.172795373659,convergence,10131.119911672096,10121.841298974101,False,
11,85000.0,BTC_may,short,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,0.33,0.31,212.78402565780877,4.255680513156179,10095.89305422789,convergence,10135.375592185252,10131.119911672096,False,
12,100000.0,BTC_may,short,2025-05-02 13:00:00+00:00,2025-05-02 16:00:00+00:00,0.825,0.83,240.1906807382791,-1.2009534036913965,10134.17463878156,convergence,10134.17463878156,10135.375592185252,False,
13,115000.0,BTC_may,long,2025-05-02 14:00:00+00:00,2025-05-02 17:00:00+00:00,0.17,0.17,234.36055565207985,0.0,10134.17463878156,convergence,10134.17463878156,10134.17463878156,False,
14,90000.0,BTC_may,short,2025-05-02 17:00:00+00:00,2025-05-02 19:00:00+00:00,0.525,0.525,209.8839365919603,-0.0,10134.17463878156,convergence,10134.17463878156,10134.17463878156,False,
15,100000.0,BTC_may,short,2025-05-02 19:00:00+00:00,2025-05-02 20:00:00+00:00,0.825,0.795,220.73215451304506,6.6219646353913335,10140.796603416951,convergence,10140.796603416951,10134.17463878156,False,
16,90000.0,BTC_may,short,2025-05-02 23:00:00+00:00,2025-05-03 10:00:00+00:00,0.56,0.585,280.4002069573231,-7.010005173933053,10133.786598243018,convergence,10133.786598243018,10140.796603416951,False,
17,90000.0,BTC_may,short,2025-05-03 12:00:00+00:00,2025-05-04 22:00:00+00:00,0.6,0.63,288.09691987045704,-8.64290759611372,10129.219858209713,convergence,10125.143690646904,10133.786598243018,False,
