trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,1800.0,ETH_june,short,2025-05-31 02:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.115,500.0,190.0,10190.0,take_profit,10190.0,10000.0,False,
2,2700.0,ETH_june,long,2025-05-31 04:00:00+00:00,2025-05-31 06:00:00+00:00,0.4,0.675,500.0,137.5,10327.5,take_profit,10327.5,10190.0,False,
3,2300.0,ETH_june,long,2025-05-31 06:00:00+00:00,2025-06-01 14:00:00+00:00,0.54,0.7,500.0,79.99999999999996,10517.536259309652,convergence,10407.5,10327.5,False,
4,2200.0,ETH_june,long,2025-05-31 08:00:00+00:00,2025-06-01 13:00:00+00:00,0.38,0.555,500.0,87.50000000000003,10437.536259309652,take_profit,10495.0,10407.5,False,
5,2800.0,ETH_june,long,2025-05-31 10:00:00+00:00,2025-06-03 02:00:00+00:00,0.575,0.75,362.3223716988152,63.40641504729267,10472.698786577954,convergence,10558.406415047293,10495.0,False,
6,1800.0,ETH_june,long,2025-05-31 12:00:00+00:00,2025-06-01 02:00:00+00:00,0.11,0.16,450.72518619306464,22.536259309653232,10350.036259309652,take_profit,10580.942674356946,10558.406415047293,False,
7,3200.0,ETH_june,long,2025-06-01 02:00:00+00:00,2025-06-02 10:00:00+00:00,0.21,0.155,500.0,-27.499999999999996,10490.036259309652,stop_loss,10553.442674356946,10580.942674356946,False,
8,3000.0,ETH_june,long,2025-06-01 13:00:00+00:00,2025-06-03 02:00:00+00:00,0.32,0.465,500.0,72.50000000000001,10545.198786577954,take_profit,10625.942674356946,10553.442674356946,False,
9,2200.0,ETH_june,long,2025-06-01 15:00:00+00:00,2025-06-03 00:00:00+00:00,0.52,0.38,291.0277698499361,-40.74388777899105,10409.29237153066,stop_loss,10585.198786577954,10625.942674356946,False,
10,2000.0,ETH_june,long,2025-06-02 10:00:00+00:00,2025-06-02 23:00:00+00:00,0.285,0.205,500.0,-39.99999999999999,10450.036259309652,stop_loss,10545.198786577954,10585.198786577954,False,
11,2000.0,ETH_june,long,2025-06-02 23:00:00+00:00,2025-06-04 15:00:00+00:00,0.205,0.15,417.84213577319036,-22.981317467525468,10519.610628454599,stop_loss,10522.217469110428,10545.198786577954,False,
12,2700.0,ETH_june,long,2025-06-03 01:00:00+00:00,2025-06-03 03:00:00+00:00,0.87,0.86,260.68406558300745,-2.606840655830077,10542.591945922124,convergence,10519.610628454599,10522.217469110428,False,
13,3200.0,ETH_june,long,2025-06-03 03:00:00+00:00,2025-06-05 20:00:00+00:00,0.255,0.185,500.0,-35.0,10451.899174294616,stop_loss,10484.610628454599,10519.610628454599,False,Cooldown started after 5 consecutive losses
15,3000.0,ETH_june,long,2025-06-03 07:00:00+00:00,2025-06-05 20:00:00+00:00,0.43,0.315,500.0,-57.49999999999999,10394.399174294616,stop_loss,10394.399174294616,10451.899174294616,False,
16,2000.0,ETH_june,long,2025-06-04 15:00:00+00:00,2025-06-05 21:00:00+00:00,0.15,0.335,447.5071691966261,82.78882630137583,10477.188000595992,take_profit,10477.188000595992,10394.399174294616,False,
17,2300.0,ETH_june,long,2025-06-04 17:00:00+00:00,2025-06-05 21:00:00+00:00,0.44,0.82,500.0,189.99999999999997,10667.188000595992,take_profit,10667.188000595992,10477.188000595992,False,
18,2800.0,ETH_june,short,2025-06-05 20:00:00+00:00,2025-06-08 21:00:00+00:00,0.54,0.52,244.51686233787942,4.890337246757593,10654.57833784275,max_hold,10672.07833784275,10667.188000595992,False,
19,2700.0,ETH_june,long,2025-06-05 22:00:00+00:00,2025-06-08 22:00:00+00:00,0.555,0.71,387.3523682292109,60.03961707552766,10714.617954918278,convergence,10732.117954918278,10672.07833784275,False,
20,1800.0,ETH_june,long,2025-06-06 00:00:00+00:00,2025-06-06 10:00:00+00:00,0.13,0.095,500.0,-17.5,10649.688000595992,stop_loss,10714.617954918278,10732.117954918278,False,
21,3200.0,ETH_june,long,2025-06-06 02:00:00+00:00,2025-06-09 03:00:00+00:00,0.145,0.155,500.0,5.000000000000004,10719.617954918278,max_hold,10719.617954918278,10714.617954918278,False,
22,3000.0,ETH_june,long,2025-06-06 10:00:00+00:00,2025-06-09 11:00:00+00:00,0.27,0.27,500.0,0.0,10719.617954918278,max_hold,10719.617954918278,10719.617954918278,False,
23,2800.0,ETH_june,long,2025-06-08 21:00:00+00:00,2025-06-10 00:00:00+00:00,0.52,0.775,500.0,127.5,10844.993204758674,take_profit,10847.117954918278,10719.617954918278,False,
24,2000.0,ETH_june,long,2025-06-08 23:00:00+00:00,2025-06-09 22:00:00+00:00,0.195,0.13,500.0,-32.5,10687.117954918278,stop_loss,10814.617954918278,10847.117954918278,False,
25,3200.0,ETH_june,long,2025-06-09 03:00:00+00:00,2025-06-09 23:00:00+00:00,0.155,0.235,500.0,39.99999999999999,10717.493204758674,take_profit,10854.617954918278,10814.617954918278,False,
26,1800.0,ETH_june,long,2025-06-09 11:00:00+00:00,2025-06-09 22:00:00+00:00,0.075,0.055,481.2375079802008,-9.624750159604014,10677.493204758674,stop_loss,10844.993204758674,10854.617954918278,False,
27,2700.0,ETH_june,long,2025-06-09 22:00:00+00:00,2025-06-10 01:00:00+00:00,0.895,0.9995,268.8277555620582,28.092500456235094,10873.08570521491,convergence,10873.08570521491,10844.993204758674,False,
28,1800.0,ETH_june,long,2025-06-10 00:00:00+00:00,2025-06-10 20:00:00+00:00,0.055,0.041,273.80371463321046,-3.833252004864946,10929.252453210045,stop_loss,10869.252453210045,10873.08570521491,False,
29,2000.0,ETH_june,long,2025-06-10 02:00:00+00:00,2025-06-11 04:00:00+00:00,0.115,0.085,500.0,-15.0,11039.252453210045,stop_loss,10854.252453210045,10869.252453210045,False,
30,3000.0,ETH_june,long,2025-06-10 04:00:00+00:00,2025-06-10 23:00:00+00:00,0.465,0.715,500.0,124.99999999999997,11054.252453210045,take_profit,10979.252453210045,10854.252453210045,False,
31,3200.0,ETH_june,long,2025-06-10 06:00:00+00:00,2025-06-10 12:00:00+00:00,0.245,0.365,500.0,60.0,10933.08570521491,take_profit,11039.252453210045,10979.252453210045,False,
32,2300.0,ETH_june,long,2025-06-10 12:00:00+00:00,2025-06-11 17:00:00+00:00,0.275,0.205,500.0,-35.000000000000014,10969.252453210045,stop_loss,11004.252453210045,11039.252453210045,False,
33,2200.0,ETH_june,long,2025-06-10 20:00:00+00:00,2025-06-11 16:00:00+00:00,0.21,0.14,500.0,-34.99999999999999,11004.252453210045,stop_loss,10969.252453210045,11004.252453210045,False,
34,3200.0,ETH_june,long,2025-06-10 23:00:00+00:00,2025-06-12 08:00:00+00:00,0.425,0.29,500.0,-67.5,10970.992845667246,stop_loss,10901.752453210045,10969.252453210045,False,
35,3000.0,ETH_june,long,2025-06-11 04:00:00+00:00,2025-06-11 17:00:00+00:00,0.67,0.805,401.78068486815897,54.240392457201466,11023.492845667246,convergence,10955.992845667246,10901.752453210045,False,
36,2000.0,ETH_june,long,2025-06-11 16:00:00+00:00,2025-06-11 23:00:00+00:00,0.06,0.09,500.0,15.0,11038.492845667246,take_profit,10970.992845667246,10955.992845667246,False,
37,2200.0,ETH_june,long,2025-06-11 18:00:00+00:00,2025-06-12 21:00:00+00:00,0.15,0.285,500.0,67.49999999999999,11038.492845667246,take_profit,11038.492845667246,10970.992845667246,False,
38,2300.0,ETH_june,long,2025-06-11 20:00:00+00:00,2025-06-12 21:00:00+00:00,0.25,0.405,500.0,77.50000000000001,11115.992845667246,take_profit,11115.992845667246,11038.492845667246,False,
39,2000.0,ETH_june,long,2025-06-11 23:00:00+00:00,2025-06-12 21:00:00+00:00,0.09,0.135,500.0,22.500000000000007,11138.492845667246,take_profit,11138.492845667246,11115.992845667246,False,
40,3000.0,ETH_june,long,2025-06-12 08:00:00+00:00,2025-06-12 21:00:00+00:00,0.56,0.405,500.0,-77.50000000000001,11060.992845667246,stop_loss,11060.992845667246,11138.492845667246,False,
41,2200.0,ETH_june,long,2025-06-12 21:00:00+00:00,2025-06-13 01:00:00+00:00,0.285,0.42,500.0,67.5,11128.492845667246,take_profit,11128.492845667246,11060.992845667246,False,
42,2300.0,ETH_june,long,2025-06-12 23:00:00+00:00,2025-06-13 02:00:00+00:00,0.395,0.635,500.0,120.0,11248.492845667246,take_profit,11248.492845667246,11128.492845667246,False,
43,2200.0,ETH_june,long,2025-06-13 01:00:00+00:00,2025-06-16 02:00:00+00:00,0.42,0.35,500.0,-35.0,11150.903957915,max_hold,11213.492845667246,11248.492845667246,False,
44,2000.0,ETH_june,long,2025-06-13 03:00:00+00:00,2025-06-13 11:00:00+00:00,0.26,0.195,435.98288849609173,-28.338887752245963,11220.153957915,stop_loss,11185.153957915,11213.492845667246,False,
45,3200.0,ETH_june,long,2025-06-13 05:00:00+00:00,2025-06-14 17:00:00+00:00,0.15,0.105,500.0,-22.5,11197.653957915,stop_loss,11162.653957915,11185.153957915,False,
46,1800.0,ETH_june,long,2025-06-13 08:00:00+00:00,2025-06-15 17:00:00+00:00,0.087,0.0635,500.0,-11.749999999999996,11185.903957915,stop_loss,11150.903957915,11162.653957915,False,
47,2300.0,ETH_june,long,2025-06-13 11:00:00+00:00,2025-06-16 06:00:00+00:00,0.57,0.425,370.3082149080976,-53.69469116167414,11064.709266753325,stop_loss,11097.209266753325,11150.903957915,False,Cooldown started after 5 consecutive losses
48,2000.0,ETH_june,long,2025-06-14 17:00:00+00:00,2025-06-16 03:00:00+00:00,0.205,0.14,500.0,-32.499999999999986,11118.403957915,stop_loss,11064.709266753325,11097.209266753325,False,
49,1800.0,ETH_june,long,2025-06-15 17:00:00+00:00,2025-06-16 10:00:00+00:00,0.0635,0.0445,500.0,-9.500000000000002,11010.209266753325,stop_loss,11055.209266753325,11064.709266753325,False,
50,2200.0,ETH_june,long,2025-06-16 02:00:00+00:00,2025-06-16 08:00:00+00:00,0.35,0.26,500.0,-44.999999999999986,11019.709266753325,stop_loss,11010.209266753325,11055.209266753325,False,
51,3200.0,ETH_june,long,2025-06-16 04:00:00+00:00,2025-06-17 16:00:00+00:00,0.15,0.095,500.0,-27.499999999999996,10927.709266753325,stop_loss,10982.709266753325,11010.209266753325,False,
52,2300.0,ETH_june,long,2025-06-16 06:00:00+00:00,2025-06-17 17:00:00+00:00,0.425,0.64,500.0,107.50000000000001,11065.209266753325,take_profit,11090.209266753325,10982.709266753325,False,
