trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,1800.0,ETH_june,short,2025-05-31 02:00:00+00:00,2025-05-31 06:00:00+00:00,0.495,0.115,500.0,190.0,10190.0,take_profit,10190.0,10000.0,False,
2,2700.0,ETH_june,long,2025-05-31 04:00:00+00:00,2025-05-31 06:00:00+00:00,0.4,0.675,500.0,137.5,10327.5,take_profit,10327.5,10190.0,False,
3,2300.0,ETH_june,long,2025-05-31 06:00:00+00:00,2025-06-01 14:00:00+00:00,0.54,0.7,500.0,79.99999999999996,10407.5,convergence,10407.5,10327.5,False,
4,2200.0,ETH_june,long,2025-05-31 08:00:00+00:00,2025-06-04 09:00:00+00:00,0.38,0.335,500.0,-22.499999999999993,10506.166142543867,max_hold,10385.0,10407.5,False,
5,2800.0,ETH_june,long,2025-05-31 10:00:00+00:00,2025-06-03 02:00:00+00:00,0.575,0.75,362.3223716988152,63.40641504729267,10470.906415047293,convergence,10448.406415047293,10385.0,False,
6,1800.0,ETH_june,long,2025-05-31 12:00:00+00:00,2025-06-03 14:00:00+00:00,0.11,0.08,450.72518619306464,-13.521755585791938,10528.666142543867,stop_loss,10434.8846594615,10448.406415047293,False,
7,2700.0,ETH_june,long,2025-06-01 14:00:00+00:00,2025-06-03 03:00:00+00:00,0.67,0.86,375.16570043351174,71.28148308236722,10542.18789812966,convergence,10506.166142543867,10434.8846594615,False,
8,2300.0,ETH_june,long,2025-06-03 02:00:00+00:00,2025-06-05 21:00:00+00:00,0.47,0.82,500.0,175.0,10610.05055880442,take_profit,10681.166142543867,10506.166142543867,False,
9,2000.0,ETH_june,long,2025-06-03 04:00:00+00:00,2025-06-04 09:00:00+00:00,0.21,0.155,476.7428597337429,-26.220857285355855,10479.945285258511,stop_loss,10654.945285258511,10681.166142543867,False,
10,3200.0,ETH_june,long,2025-06-03 14:00:00+00:00,2025-06-05 20:00:00+00:00,0.265,0.185,500.0,-40.00000000000001,10435.05055880442,stop_loss,10614.945285258511,10654.945285258511,False,
11,2800.0,ETH_june,long,2025-06-04 09:00:00+00:00,2025-06-05 13:00:00+00:00,0.72,0.705,326.3150969394341,-4.894726454091516,10475.05055880442,convergence,10610.05055880442,10614.945285258511,False,
12,2000.0,ETH_june,long,2025-06-04 11:00:00+00:00,2025-06-05 21:00:00+00:00,0.155,0.335,500.0,90.00000000000001,10700.05055880442,take_profit,10700.05055880442,10610.05055880442,False,
13,2200.0,ETH_june,long,2025-06-05 13:00:00+00:00,2025-06-05 21:00:00+00:00,0.335,0.65,500.0,157.5,10857.55055880442,take_profit,10857.55055880442,10700.05055880442,False,
14,2800.0,ETH_june,short,2025-06-05 20:00:00+00:00,2025-06-09 21:00:00+00:00,0.54,0.59,245.47314165940188,-12.273657082970077,10888.887962845749,max_hold,10845.27690172145,10857.55055880442,False,
15,2700.0,ETH_june,long,2025-06-05 22:00:00+00:00,2025-06-08 22:00:00+00:00,0.555,0.71,394.2649104793415,61.1110611242979,10901.161619928718,convergence,10906.387962845749,10845.27690172145,False,
16,1800.0,ETH_june,long,2025-06-06 00:00:00+00:00,2025-06-06 10:00:00+00:00,0.13,0.095,500.0,-17.5,10840.05055880442,stop_loss,10888.887962845749,10906.387962845749,False,
17,3200.0,ETH_june,long,2025-06-06 02:00:00+00:00,2025-06-09 23:00:00+00:00,0.145,0.235,500.0,45.0,10858.887962845749,take_profit,10933.887962845749,10888.887962845749,False,
18,3000.0,ETH_june,long,2025-06-06 10:00:00+00:00,2025-06-09 23:00:00+00:00,0.27,0.445,500.0,87.5,10946.387962845749,take_profit,11021.387962845749,10933.887962845749,False,
19,2200.0,ETH_june,long,2025-06-08 22:00:00+00:00,2025-06-09 22:00:00+00:00,0.415,0.265,500.0,-74.99999999999999,10813.887962845749,stop_loss,10946.387962845749,11021.387962845749,False,
20,2000.0,ETH_june,long,2025-06-09 21:00:00+00:00,2025-06-10 02:00:00+00:00,0.155,0.115,445.65362946952786,-17.82614517878111,10928.561817666969,stop_loss,10928.561817666969,10946.387962845749,False,
21,3000.0,ETH_june,long,2025-06-09 23:00:00+00:00,2025-06-10 23:00:00+00:00,0.445,0.715,500.0,134.99999999999997,11063.561817666969,take_profit,11063.561817666969,10928.561817666969,False,
22,3200.0,ETH_june,long,2025-06-10 01:00:00+00:00,2025-06-11 16:00:00+00:00,0.295,0.49,500.0,97.5,11073.561817666969,take_profit,11161.061817666969,11063.561817666969,False,
23,2200.0,ETH_june,long,2025-06-10 03:00:00+00:00,2025-06-11 06:00:00+00:00,0.23,0.17,500.0,-30.0,11033.561817666969,stop_loss,11131.061817666969,11161.061817666969,False,
24,2300.0,ETH_june,long,2025-06-10 05:00:00+00:00,2025-06-11 06:00:00+00:00,0.34,0.255,500.0,-42.50000000000001,10991.061817666969,stop_loss,11088.561817666969,11131.061817666969,False,
25,2000.0,ETH_june,long,2025-06-10 23:00:00+00:00,2025-06-11 15:00:00+00:00,0.1,0.07,500.0,-15.0,10976.061817666969,stop_loss,11073.561817666969,11088.561817666969,False,
26,3000.0,ETH_june,long,2025-06-11 06:00:00+00:00,2025-06-11 17:00:00+00:00,0.68,0.805,316.7160087945425,39.589501099317815,11113.151318766286,convergence,11113.151318766286,11073.561817666969,False,
27,2200.0,ETH_june,long,2025-06-11 08:00:00+00:00,2025-06-12 21:00:00+00:00,0.175,0.285,500.0,54.99999999999999,11098.151318766286,take_profit,11168.151318766286,11113.151318766286,False,
28,2300.0,ETH_june,long,2025-06-11 15:00:00+00:00,2025-06-12 21:00:00+00:00,0.22,0.405,500.0,92.50000000000001,11190.651318766286,take_profit,11260.651318766286,11168.151318766286,False,
29,2000.0,ETH_june,long,2025-06-11 17:00:00+00:00,2025-06-12 21:00:00+00:00,0.065,0.135,500.0,35.0,11225.651318766286,take_profit,11295.651318766286,11260.651318766286,False,
30,3200.0,ETH_june,long,2025-06-11 19:00:00+00:00,2025-06-12 08:00:00+00:00,0.43,0.29,500.0,-70.0,11043.151318766286,stop_loss,11225.651318766286,11295.651318766286,False,
31,3000.0,ETH_june,long,2025-06-12 08:00:00+00:00,2025-06-12 21:00:00+00:00,0.56,0.405,500.0,-77.50000000000001,11148.151318766286,stop_loss,11148.151318766286,11225.651318766286,False,
32,2200.0,ETH_june,long,2025-06-12 21:00:00+00:00,2025-06-13 02:00:00+00:00,0.285,0.465,500.0,90.00000000000003,11238.151318766286,take_profit,11238.151318766286,11148.151318766286,False,
33,2300.0,ETH_june,long,2025-06-12 23:00:00+00:00,2025-06-13 02:00:00+00:00,0.395,0.635,500.0,120.0,11358.151318766286,take_profit,11358.151318766286,11238.151318766286,False,
34,3200.0,ETH_june,long,2025-06-13 01:00:00+00:00,2025-06-17 02:00:00+00:00,0.13,0.15,500.0,9.999999999999995,11244.568016980156,max_hold,11368.151318766286,11358.151318766286,False,
35,2000.0,ETH_june,long,2025-06-13 03:00:00+00:00,2025-06-13 11:00:00+00:00,0.26,0.195,440.2331661560189,-28.61515580014123,11329.536162966144,stop_loss,11339.536162966144,11368.151318766286,False,
36,1800.0,ETH_june,long,2025-06-13 05:00:00+00:00,2025-06-13 17:00:00+00:00,0.1015,0.07,500.0,-15.75,11313.786162966144,stop_loss,11323.786162966144,11339.536162966144,False,
37,3000.0,ETH_june,long,2025-06-13 08:00:00+00:00,2025-06-17 09:00:00+00:00,0.3,0.275,500.0,-12.499999999999984,11232.068016980156,max_hold,11311.286162966144,11323.786162966144,False,
38,2300.0,ETH_june,long,2025-06-13 11:00:00+00:00,2025-06-16 06:00:00+00:00,0.57,0.425,373.91824817922105,-54.218145985987036,11259.568016980156,stop_loss,11257.068016980156,11311.286162966144,False,
39,2000.0,ETH_june,long,2025-06-13 17:00:00+00:00,2025-06-16 06:00:00+00:00,0.165,0.115,500.0,-25.0,11234.568016980156,stop_loss,11232.068016980156,11257.068016980156,False,Cooldown started after 5 consecutive losses
40,2300.0,ETH_june,long,2025-06-16 06:00:00+00:00,2025-06-20 07:00:00+00:00,0.425,0.45,500.0,12.50000000000001,11209.568016980156,max_hold,11244.568016980156,11232.068016980156,False,
41,2200.0,ETH_june,long,2025-06-16 08:00:00+00:00,2025-06-17 17:00:00+00:00,0.26,0.445,500.0,92.5,11299.568016980156,take_profit,11337.068016980156,11244.568016980156,False,
42,2000.0,ETH_june,long,2025-06-17 02:00:00+00:00,2025-06-20 02:00:00+00:00,0.135,0.095,500.0,-20.000000000000004,11197.068016980156,stop_loss,11317.068016980156,11337.068016980156,False,
43,3200.0,ETH_june,long,2025-06-17 09:00:00+00:00,2025-06-17 16:00:00+00:00,0.145,0.095,500.0,-24.999999999999993,11207.068016980156,stop_loss,11292.068016980156,11317.068016980156,False,
44,3000.0,ETH_june,long,2025-06-17 16:00:00+00:00,2025-06-19 22:00:00+00:00,0.18,0.13,500.0,-24.999999999999993,11217.068016980156,stop_loss,11267.068016980156,11292.068016980156,False,
45,2200.0,ETH_june,long,2025-06-17 18:00:00+00:00,2025-06-18 21:00:00+00:00,0.44,0.325,500.0,-57.49999999999999,11242.068016980156,stop_loss,11209.568016980156,11267.068016980156,False,
46,2200.0,ETH_june,long,2025-06-18 21:00:00+00:00,2025-06-20 08:00:00+00:00,0.325,0.225,500.0,-50.0,11159.568016980156,stop_loss,11159.568016980156,11209.568016980156,False,Cooldown started after 5 consecutive losses
47,3000.0,ETH_june,long,2025-06-19 22:00:00+00:00,2025-06-20 18:00:00+00:00,0.13,0.07,500.0,-30.0,11129.568016980156,stop_loss,11129.568016980156,11159.568016980156,False,
48,3200.0,ETH_june,long,2025-06-20 02:00:00+00:00,2025-06-20 18:00:00+00:00,0.065,0.0255,500.0,-19.750000000000004,11109.818016980156,stop_loss,11109.818016980156,11129.568016980156,False,
49,2000.0,ETH_june,long,2025-06-20 07:00:00+00:00,2025-06-20 18:00:00+00:00,0.09,0.15,500.0,30.0,11139.818016980156,take_profit,11139.818016980156,11109.818016980156,False,
50,2200.0,ETH_june,long,2025-06-20 09:00:00+00:00,2025-06-20 18:00:00+00:00,0.225,0.42,500.0,97.49999999999999,11237.318016980156,take_profit,11237.318016980156,11139.818016980156,False,
51,1800.0,ETH_june,long,2025-06-20 18:00:00+00:00,2025-06-21 22:00:00+00:00,0.053,0.1105,500.0,28.75,11233.568016980156,take_profit,11266.068016980156,11237.318016980156,False,
