trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,market,in_cooldown,cooldown_reason
1,85000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.32,0.375,-0.0706906031156905,0.0103611564831165,920.4505614022202,294.54417964871044,31.43338667188584,convergence,10031.433386671886,10000.0,BTC_may,False,
2,90000.0,2025-05-01 00:00:00+00:00,2025-05-01 06:00:00+00:00,NO,0.725,0.665,0.0426171722301299,0.0124532214052375,626.1250046467023,172.18437627784314,26.109412693767467,convergence,10057.542799365654,10031.433386671886,BTC_may,False,
3,100000.0,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,NO,0.695,0.645,0.0599398454335421,-0.0030419558670371,779.4857209135427,237.74314487863055,23.540468771588905,convergence,10081.083268137243,10057.542799365654,BTC_may,False,
4,105000.0,2025-05-01 02:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.355,0.39,-0.0454615734204218,-0.0091748666959778,509.1915023539745,180.76298333566095,6.4412725047778,convergence,10087.524540642022,10081.083268137243,BTC_may,False,
5,110000.0,2025-05-01 04:00:00+00:00,2025-05-01 06:00:00+00:00,YES,0.205,0.22,-0.040362874195728,-0.0173538163585097,767.6021235945444,157.3584353368816,1.7271047780877211,convergence,10089.251645420109,10087.524540642022,BTC_may,False,
6,100000.0,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,NO,0.695,0.675,0.0435196935036417,0.0148957916532235,599.837621980595,182.95047470408153,0.6598213841785707,convergence,10089.911466804288,10089.251645420109,BTC_may,False,
7,85000.0,2025-05-01 07:00:00+00:00,2025-05-01 13:00:00+00:00,NO,0.405,0.34,0.0468105034218839,-0.0101899143160394,330.75198546452907,196.79743135139478,9.046066802454874,convergence,10098.957533606743,10089.911466804288,BTC_may,False,
9,110000.0,2025-05-01 09:00:00+00:00,2025-05-01 16:00:00+00:00,YES,0.215,0.31,-0.0466342005349768,-0.0118257707358749,868.4866171687214,186.7246226912751,68.82756441062116,take_profit,10167.785098017364,10098.957533606743,BTC_may,False,Cooldown started after 5 consecutive losses
8,90000.0,2025-05-01 09:00:00+00:00,2025-05-02 13:00:00+00:00,NO,0.675,0.555,0.0654081954249907,0.0195672490049544,829.1084246758359,269.4602380196466,80.34060635108852,convergence,10248.125704368453,10167.785098017364,BTC_may,False,
10,115000.0,2025-05-01 09:00:00+00:00,2025-05-01 16:00:00+00:00,YES,0.115,0.175,-0.0413247016452144,-0.0255313289827189,1410.0317160915167,162.15364735052444,72.33462703549478,take_profit,10320.460331403947,10248.125704368453,BTC_may,False,
11,105000.0,2025-05-01 10:00:00+00:00,2025-05-01 11:00:00+00:00,YES,0.415,0.46,-0.0566048800413436,-0.0123644174133613,525.7162007794643,218.17222332347768,9.857178764614957,convergence,10330.317510168561,10320.460331403947,BTC_may,False,
12,100000.0,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.775,0.8,0.0552567965476548,0.0130924658926794,969.2375751996034,218.07845441991074,-36.58871846378506,convergence,10293.728791704776,10330.317510168561,BTC_may,False,
13,85000.0,2025-05-01 14:00:00+00:00,2025-05-01 15:00:00+00:00,NO,0.365,0.325,0.0557419378129683,0.017060785573746,338.23012708807414,214.77613070092707,0.23676108896165715,convergence,10293.965552793738,10293.728791704776,BTC_may,False,
14,105000.0,2025-05-01 14:00:00+00:00,2025-05-01 15:00:00+00:00,YES,0.465,0.495,-0.0423597538475155,-0.0145905300660483,342.6010518033884,159.3094890885756,0.4111212621640732,convergence,10294.376674055902,10293.965552793738,BTC_may,False,Cooldown started after 5 consecutive losses
15,85000.0,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,NO,0.33,0.31,0.0421703669638464,0.0198378953703519,260.58800679355545,174.59396455168212,-5.420230541305955,convergence,10288.956443514597,10294.376674055902,BTC_may,False,
16,110000.0,2025-05-02 03:00:00+00:00,2025-05-02 05:00:00+00:00,YES,0.29,0.3,-0.041490262189704,-0.0240586319905147,592.0154776939501,171.6844885312455,-4.558519178243415,convergence,10284.397924336354,10288.956443514597,BTC_may,False,
17,115000.0,2025-05-02 03:00:00+00:00,2025-05-02 06:00:00+00:00,YES,0.165,0.195,-0.0389997952547523,-0.0146562149537491,960.6394869954647,158.50551535425168,18.444278150312925,convergence,10302.842202486667,10284.397924336354,BTC_may,False,
18,115000.0,2025-05-02 08:00:00+00:00,2025-05-02 09:00:00+00:00,YES,0.165,0.18,-0.0418144283896877,-0.0234597096138984,1050.107867054905,173.26779806405932,4.883001581805303,convergence,10307.725204068473,10302.842202486667,BTC_may,False,
19,115000.0,2025-05-02 12:00:00+00:00,2025-05-02 13:00:00+00:00,YES,0.175,0.175,-0.0361436895447354,-0.0170532553836427,856.2474951220098,149.8433116463517,-8.990598698781127,convergence,10298.734605369691,10307.725204068473,BTC_may,False,
20,100000.0,2025-05-02 13:00:00+00:00,2025-05-02 16:00:00+00:00,NO,0.825,0.83,0.0473965031791175,0.0171547797784804,1162.2000177721234,203.38500311012163,-17.8397702728021,convergence,10280.89483509689,10298.734605369691,BTC_may,False,
23,105000.0,2025-05-02 14:00:00+00:00,2025-05-02 17:00:00+00:00,YES,0.515,0.54,-0.0364770911075335,0.0195343598643893,280.76877725153463,144.59592028454034,-1.867112368722701,convergence,10279.027722728166,10280.89483509689,BTC_may,False,
24,110000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,YES,0.305,0.33,-0.0382221271081294,0.0091389583280953,488.9881155313726,149.14137523706864,2.9094792874116706,convergence,10281.937202015577,10279.027722728166,BTC_may,False,
22,90000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,NO,0.565,0.515,0.0837433501098873,0.0121512852999773,791.5763058360584,344.33569303868546,17.73130925072769,convergence,10299.668511266305,10281.937202015577,BTC_may,False,
21,85000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,NO,0.305,0.265,0.0510244266923283,-0.0031720804454247,308.63195300867716,214.49920734103065,-0.8950326637252033,convergence,10298.77347860258,10299.668511266305,BTC_may,False,
25,115000.0,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,YES,0.17,0.175,-0.0462460524566609,-0.0222119645449819,1044.0611598508806,177.4903971746497,-5.585727205202232,convergence,10293.187751397378,10298.77347860258,BTC_may,False,
26,90000.0,2025-05-02 17:00:00+00:00,2025-05-02 18:00:00+00:00,NO,0.525,0.52,0.0414210222485755,0.0239951385812207,373.9950516310488,177.64764952474818,-8.844982971074302,convergence,10284.342768426304,10293.187751397378,BTC_may,False,
27,100000.0,2025-05-02 19:00:00+00:00,2025-05-02 20:00:00+00:00,NO,0.825,0.795,0.043561940144261,0.0068785088925484,1066.6807716696428,186.66913504218752,19.840262353055266,convergence,10304.183030779359,10284.342768426304,BTC_may,False,
29,115000.0,2025-05-02 23:00:00+00:00,2025-05-03 01:00:00+00:00,YES,0.135,0.14,-0.0368122922670203,-0.0236417242292512,1142.9567364966283,154.29915942704483,-3.7146093936140403,convergence,10300.468421385745,10304.183030779359,BTC_may,False,Cooldown started after 5 consecutive losses
28,90000.0,2025-05-02 23:00:00+00:00,2025-05-03 03:00:00+00:00,NO,0.56,0.56,0.0553014162344686,0.0212202806949118,539.6173435049977,237.43163114219897,-14.245897868531927,convergence,10286.222523517214,10300.468421385745,BTC_may,True,Cooldown until 2025-07-03 16:00:00+00:00
30,90000.0,2025-05-03 12:00:00+00:00,2025-05-03 23:00:00+00:00,NO,0.6,0.585,0.0568586908906108,0.0220993856187556,609.2303613507331,243.69214454029324,-5.757226914764402,convergence,10280.46529660245,10286.222523517214,BTC_may,True,Cooldown until 2025-07-03 16:00:00+00:00
31,110000.0,2025-05-03 13:00:00+00:00,2025-05-04 22:00:00+00:00,YES,0.235,0.215,-0.0381272168253621,-0.0153799349794048,678.395379676477,159.42291422397207,-22.72624521916194,convergence,10257.739051383287,10280.46529660245,BTC_may,False,
32,115000.0,2025-05-03 14:00:00+00:00,2025-05-03 22:00:00+00:00,YES,0.125,0.125,-0.0390407831536296,-0.0224868079704072,1284.5737252919414,160.57171566149268,-9.634302939689576,convergence,10248.104748443597,10257.739051383287,BTC_may,False,Cooldown started after 5 consecutive losses
33,100000.0,2025-05-03 23:00:00+00:00,2025-05-04 00:00:00+00:00,NO,0.74,0.725,0.0402235385883842,0.0237286418955232,651.4811481633669,169.3850985224754,-0.684055205571525,convergence,10247.420693238026,10248.104748443597,BTC_may,False,
34,90000.0,2025-05-04 00:00:00+00:00,2025-05-04 22:00:00+00:00,NO,0.6,0.63,0.0450721105592835,0.013885955522071,474.4751096230997,189.79004384923988,-25.194628320986595,convergence,10222.226064917038,10247.420693238026,BTC_may,False,
35,115000.0,2025-05-04 05:00:00+00:00,2025-05-04 22:00:00+00:00,YES,0.095,0.105,-0.0458800701808393,-0.0238179706798118,1994.2653062664758,189.4552040953152,7.97706122506591,convergence,10230.203126142105,10222.226064917038,BTC_may,False,
36,100000.0,2025-05-04 22:00:00+00:00,2025-05-05 00:00:00+00:00,NO,0.69,0.61,0.0405717528064804,-0.0194242450251147,557.872677948818,172.9405301641336,32.914487998980235,convergence,10263.117614141085,10230.203126142105,BTC_may,False,
38,105000.0,2025-05-05 00:00:00+00:00,2025-05-05 01:00:00+00:00,YES,0.34,0.365,-0.0465749434284736,0.0156866616377489,569.713217616451,193.70249398959334,2.1933958878233284,convergence,10265.311010028909,10263.117614141085,BTC_may,False,
40,115000.0,2025-05-05 00:00:00+00:00,2025-05-05 01:00:00+00:00,YES,0.09,0.095,-0.0392195770869164,-0.0206597709740125,1738.490674093425,156.46416066840825,-0.9561698707513813,convergence,10264.354840158157,10265.311010028909,BTC_may,False,
39,110000.0,2025-05-05 00:00:00+00:00,2025-05-05 23:00:00+00:00,YES,0.175,0.17,-0.049377467135851,-0.0243903793522945,1150.0185529177593,201.25324676060788,-17.65278478728763,convergence,10246.70205537087,10264.354840158157,BTC_may,False,Cooldown started after 5 consecutive losses
37,90000.0,2025-05-05 00:00:00+00:00,2025-05-05 01:00:00+00:00,NO,0.705,0.68,0.0639461684528123,-0.0135222473449111,926.959107069055,273.4529365853713,6.071582151302209,convergence,10252.773637522172,10246.70205537087,BTC_may,True,Cooldown until 2025-06-03 04:00:00+00:00
