unix_sec,timestamp,poly_prob,barrier_prob,F,divergence
1751382007.0,2025-07-01 15:00:00+00:00,0.03,0.044672927596067585,105955.18,-0.014672927596067586
1751385606.0,2025-07-01 16:00:00+00:00,0.0385,0.04573762516150164,106082.56,-0.007237625161501643
1751389207.0,2025-07-01 17:00:00+00:00,0.0555,0.04726745470863526,106253.79,0.008232545291364739
1751392807.0,2025-07-01 18:00:00+00:00,0.061,0.042191112960768634,105749.68,0.018808887039231365
1751396407.0,2025-07-01 19:00:00+00:00,0.0425,0.03886741859186025,105398.53,0.003632581408139754
1751400008.0,2025-07-01 20:00:00+00:00,0.046,0.043436950960973844,105920.01,0.002563049039026155
1751403608.0,2025-07-01 21:00:00+00:00,0.047,0.048131073755454015,105784.13,-0.0011310737554540151
1751407208.0,2025-07-01 22:00:00+00:00,0.045,0.04624467623209991,105613.22,-0.0012446762320999089
1751410808.0,2025-07-01 23:00:00+00:00,0.0385,0.04672452875887691,105681.14,-0.008224528758876908
1751414407.0,2025-07-02 00:00:00+00:00,0.0395,0.04376244475831801,105392.3,-0.00426244475831801
1751418008.0,2025-07-02 01:00:00+00:00,0.0375,0.04673138935662024,105720.0,-0.00923138935662024
1751421607.0,2025-07-02 02:00:00+00:00,0.0385,0.048432587516254504,105908.7,-0.009932587516254504
1751425207.0,2025-07-02 03:00:00+00:00,0.038,0.051212565239947994,106194.7,-0.013212565239947995
1751428808.0,2025-07-02 04:00:00+00:00,0.038,0.0530415722020635,106382.86,-0.015041572202063501
1751432408.0,2025-07-02 05:00:00+00:00,0.038,0.04813488987501757,106638.83,-0.010134889875017573
1751436007.0,2025-07-02 06:00:00+00:00,0.0385,0.05562238557667757,107014.38,-0.01712238557667757
1751439607.0,2025-07-02 07:00:00+00:00,0.0375,0.05617074107578715,107080.0,-0.018670741075787152
1751443207.0,2025-07-02 08:00:00+00:00,0.0385,0.06170454472822448,107728.99,-0.02320454472822448
1751446807.0,2025-07-02 09:00:00+00:00,0.039,0.05561536753963722,107636.16,-0.016615367539637223
1751450408.0,2025-07-02 10:00:00+00:00,0.0395,0.057961753383497655,107848.95,-0.018461753383497655
1751454007.0,2025-07-02 11:00:00+00:00,0.0355,0.0577836729935834,107479.99,-0.0222836729935834
1751457607.0,2025-07-02 12:00:00+00:00,0.0395,0.05637230284279182,107379.92,-0.01687230284279182
1751461207.0,2025-07-02 13:00:00+00:00,0.0345,0.06088318988198735,107768.2,-0.026383189881987346
1751464807.0,2025-07-02 14:00:00+00:00,0.0395,0.06718066436660303,108139.99,-0.027680664366603026
1751468407.0,2025-07-02 15:00:00+00:00,0.0465,0.07510462481970699,108737.74,-0.028604624819706992
1751472008.0,2025-07-02 16:00:00+00:00,0.0765,0.08506647949631142,109413.02,-0.008566479496311424
1751475608.0,2025-07-02 17:00:00+00:00,0.09,0.08351302324393593,109129.67,0.006486976756064064
1751479207.0,2025-07-02 18:00:00+00:00,0.076,0.08576132328528821,109538.88,-0.009761323285288212
1751482808.0,2025-07-02 19:00:00+00:00,0.076,0.08374059385375894,109676.14,-0.0077405938537589425
1751486408.0,2025-07-02 20:00:00+00:00,0.0795,0.08123323151942263,109136.3,-0.0017332315194226317
1751490008.0,2025-07-02 21:00:00+00:00,0.0655,0.08785285720347424,109441.8,-0.02235285720347424
1751493607.0,2025-07-02 22:00:00+00:00,0.0655,0.0805005862298632,109142.0,-0.015000586229863194
1751497208.0,2025-07-02 23:00:00+00:00,0.077,0.07707045396288392,108849.6,-7.045396288392347e-05
1751500808.0,2025-07-03 00:00:00+00:00,0.0735,0.07358736972437575,108915.0,-8.736972437575763e-05
1751504408.0,2025-07-03 01:00:00+00:00,0.084,0.07587994263186337,108975.97,0.008120057368136632
1751508007.0,2025-07-03 02:00:00+00:00,0.0885,0.07511864931983656,108721.52,0.01338135068016344
1751511607.0,2025-07-03 03:00:00+00:00,0.084,0.07375861305566653,108628.21,0.010241386944333478
1751515208.0,2025-07-03 04:00:00+00:00,0.0845,0.073726143739335,108790.0,0.010773856260665002
1751518807.0,2025-07-03 05:00:00+00:00,0.085,0.08263233780885301,109340.37,0.0023676621911469936
1751522408.0,2025-07-03 06:00:00+00:00,0.0865,0.087653579567846,109478.94,-0.0011535795678460081
1751526008.0,2025-07-03 07:00:00+00:00,0.0825,0.08851217700287783,109280.0,-0.00601217700287783
1751529608.0,2025-07-03 08:00:00+00:00,0.083,0.08751034798094247,109377.57,-0.004510347980942464
1751533207.0,2025-07-03 09:00:00+00:00,0.0815,0.09800270143829329,109942.2,-0.016502701438293285
1751536808.0,2025-07-03 10:00:00+00:00,0.087,0.09587085990899755,109839.37,-0.008870859908997553
1751540408.0,2025-07-03 11:00:00+00:00,0.09,0.09140940543840684,109599.19,-0.001409405438406841
1751544008.0,2025-07-03 12:00:00+00:00,0.0865,0.08916948578293526,109167.99,-0.0026694857829352714
1751547607.0,2025-07-03 13:00:00+00:00,0.0865,0.10373637088615105,110255.63,-0.017236370886151056
1751551207.0,2025-07-03 14:00:00+00:00,0.0925,0.09741035210942497,109718.57,-0.004910352109424976
1751554808.0,2025-07-03 15:00:00+00:00,0.079,0.08162015564526656,109127.84,-0.0026201556452665614
1751558407.0,2025-07-03 16:00:00+00:00,0.074,0.07644810090896252,109288.46,-0.002448100908962525
1751562008.0,2025-07-03 17:00:00+00:00,0.076,0.07715411050656279,109556.0,-0.0011541105065627916
1751565608.0,2025-07-03 18:00:00+00:00,0.0765,0.08328279697512646,109678.75,-0.006782796975126459
1751569207.0,2025-07-03 19:00:00+00:00,0.0725,0.08846069904509657,109803.41,-0.015960699045096574
1751572809.0,2025-07-03 20:00:00+00:00,0.078,0.09450598832252838,109947.11,-0.016505988322528378
1751576408.0,2025-07-03 21:00:00+00:00,0.081,0.091435920982369,109788.0,-0.010435920982368993
1751580008.0,2025-07-03 22:00:00+00:00,0.0845,0.09859469996966028,109699.17,-0.014094699969660271
1751583607.0,2025-07-03 23:00:00+00:00,0.0845,0.09626693200245728,109584.78,-0.011766932002457278
1751587208.0,2025-07-04 00:00:00+00:00,0.084,0.08413870882219907,109478.94,-0.0001387088221990601
1751590808.0,2025-07-04 01:00:00+00:00,0.0825,0.08515588892667056,109500.01,-0.002655888926670555
1751594407.0,2025-07-04 02:00:00+00:00,0.082,0.08318918986519039,109180.54,-0.0011891898651903848
1751598008.0,2025-07-04 03:00:00+00:00,0.0795,0.0839844639655817,109235.57,-0.004484463965581692
