trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,block_rfq_id,unix_sec
6309,373877683,1751313503877,3,0.012,0.01209038,37.93,BTC-25JUL25-100000-P,107610.72,sell,1.0,1.0,,,,,,1751313503.877
6310,373878344,1751313604402,2,0.0115,0.01173139,37.73,BTC-25JUL25-100000-P,107775.08,sell,1.0,1.0,,,,,,1751313604.402
6311,373878345,1751313604402,3,0.0115,0.01173139,37.73,BTC-25JUL25-100000-P,107775.08,sell,1.0,1.0,,,,,,1751313604.402
6312,373878346,1751313604402,3,0.0115,0.01173139,37.73,BTC-25JUL25-100000-P,107775.08,sell,1.0,1.0,,,,,,1751313604.402
6313,373878347,1751313604402,3,0.0115,0.01173139,37.73,BTC-25JUL25-100000-P,107775.08,sell,1.6,1.6,,,,,,1751313604.402
6314,373878348,1751313604405,3,0.0115,0.01173139,37.73,BTC-25JUL25-100000-P,107775.08,buy,0.4,0.4,,,,,,1751313604.405
6315,373878689,1751313740480,0,0.012,0.01199073,38.0,BTC-25JUL25-100000-P,107642.63,buy,0.1,0.1,,,,,,1751313740.48
6316,373878690,1751313740815,1,0.012,0.01199073,38.0,BTC-25JUL25-100000-P,107642.63,sell,0.1,0.1,,,,,,1751313740.815
6319,373879001,1751313885154,1,0.012,0.01227425,37.66,BTC-25JUL25-100000-P,107518.32,sell,0.2,0.2,,,,,,1751313885.154
6317,373878999,1751313885154,1,0.012,0.01227425,37.66,BTC-25JUL25-100000-P,107518.32,sell,1.0,1.0,,,,,,1751313885.154
6318,373879000,1751313885154,1,0.012,0.01227425,37.66,BTC-25JUL25-100000-P,107518.32,sell,1.0,1.0,,,,,,1751313885.154
6320,373879289,1751313950739,1,0.012,0.01224836,37.69,BTC-25JUL25-100000-P,107524.82,sell,0.2,0.2,,,,,,1751313950.739
6321,373879311,1751313950911,1,0.012,0.01224836,37.69,BTC-25JUL25-100000-P,107524.82,sell,0.5,0.5,,,,,,1751313950.911
6323,373879313,1751313950926,1,0.012,0.01224836,37.69,BTC-25JUL25-100000-P,107524.82,sell,1.0,1.0,,,,,,1751313950.926
6322,373879312,1751313950926,1,0.012,0.01224836,37.69,BTC-25JUL25-100000-P,107524.82,sell,0.3,0.3,,,,,,1751313950.926
6324,373879412,1751313969388,1,0.012,0.01213421,37.81,BTC-25JUL25-100000-P,107563.54,buy,1.0,1.0,,,,,,1751313969.388
6325,373879413,1751313969397,1,0.012,0.01213421,37.81,BTC-25JUL25-100000-P,107563.54,buy,1.0,1.0,,,,,,1751313969.397
6326,373879434,1751313988076,1,0.012,0.01213069,37.8,BTC-25JUL25-100000-P,107556.77,buy,0.3,0.3,,,,,,1751313988.076
6328,373880356,1751314234547,3,0.0115,0.01190001,37.29,BTC-25JUL25-100000-P,107631.1,sell,1.0,1.0,,,,,,1751314234.547
6327,373880355,1751314234547,2,0.0115,0.01190001,37.29,BTC-25JUL25-100000-P,107631.1,sell,1.0,1.0,,,,,,1751314234.547
6329,373880357,1751314234547,3,0.0115,0.01190001,37.29,BTC-25JUL25-100000-P,107631.1,sell,0.9,0.9,,,,,,1751314234.547
6330,373880358,1751314234547,3,0.0115,0.01190001,37.29,BTC-25JUL25-100000-P,107631.1,sell,2.1,2.1,,,,,,1751314234.547
6331,373880359,1751314236613,3,0.0115,0.01189891,37.29,BTC-25JUL25-100000-P,107631.06,sell,1.6,1.6,,,,,,1751314236.613
6332,373880360,1751314236615,3,0.0115,0.01189891,37.29,BTC-25JUL25-100000-P,107631.06,buy,3.3,3.3,,,,,,1751314236.615
6333,373880361,1751314236697,3,0.0115,0.01189861,37.29,BTC-25JUL25-100000-P,107631.06,buy,0.1,0.1,,,,,,1751314236.697
6334,373880363,1751314240665,3,0.0115,0.0118963,37.29,BTC-25JUL25-100000-P,107631.06,buy,0.9,0.9,,,,,,1751314240.665
6335,373882293,1751315294927,0,0.012,0.01171765,37.98,BTC-25JUL25-100000-P,107630.38,buy,0.1,0.1,,,,,,1751315294.927
6336,373882580,1751315383163,1,0.012,0.01181794,37.84,BTC-25JUL25-100000-P,107587.25,buy,0.1,0.1,,,,,,1751315383.163
6337,373884756,1751316399232,1,0.012,0.01180048,37.89,BTC-25JUL25-100000-P,107583.87,buy,0.1,0.1,,,,,,1751316399.232
6338,373886538,1751317712335,1,0.012,0.01194522,37.59,BTC-25JUL25-100000-P,107478.64,buy,0.1,0.1,,,,,,1751317712.335
6339,373886539,1751317712347,1,0.012,0.01194522,37.59,BTC-25JUL25-100000-P,107478.64,sell,0.9,0.9,,,,,,1751317712.347
6340,373890129,1751320736351,0,0.0125,0.012486,37.44,BTC-25JUL25-100000-P,107125.65,sell,1.0,1.0,,,,,,1751320736.351
6341,373890235,1751320788815,1,0.0125,0.01242018,37.5,BTC-25JUL25-100000-P,107154.2,sell,0.9,0.9,,,,,,1751320788.815
