trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,liquidation,unix_sec
1022,373895807,1751329999394,2,0.0485,0.04859675,35.85,BTC-25JUL25-105000-C,107091.5,sell,1.0,1.0,,,,,,1751329999.394
1023,373987602,1751395348205,2,0.0415,0.04176778,35.93,BTC-25JUL25-105000-C,105842.19,sell,0.4,0.4,,,,,,1751395348.205
1024,373988134,1751396037579,2,0.041,0.04153982,35.64,BTC-25JUL25-105000-C,105799.66,sell,0.1,0.1,,,,,,1751396037.579
1025,373988738,1751396405398,3,0.041,0.04125924,36.02,BTC-25JUL25-105000-C,105713.15,sell,0.1,0.1,,,,,,1751396405.398
1026,374011354,1751411855546,2,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,sell,0.6,0.6,,,,,,1751411855.546
1028,374011356,1751411855548,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,0.1,0.1,,,,,,1751411855.548
1027,374011355,1751411855548,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,0.1,0.1,,,,,,1751411855.548
1029,374011357,1751411855550,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,0.8,0.8,,,,,,1751411855.55
1030,374011358,1751411855551,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,2.9,2.9,,,,,,1751411855.551
1032,374011360,1751411855552,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,0.9,0.9,,,,,,1751411855.552
1031,374011359,1751411855552,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,2.1,2.1,,,,,,1751411855.552
1033,374011361,1751411855560,3,0.039,0.03928048,35.36,BTC-25JUL25-105000-C,105482.78,buy,0.4,0.4,,,,,,1751411855.56
1034,374011369,1751411857393,3,0.039,0.0392886,35.35,BTC-25JUL25-105000-C,105482.62,buy,2.1,2.1,,,,,,1751411857.393
1035,374040474,1751441829116,0,0.048,0.04750667,36.06,BTC-25JUL25-105000-C,107127.26,sell,1.0,1.0,,,,,M,1751441829.116
1036,374066201,1751458068961,0,0.05,0.0495379,36.08,BTC-25JUL25-105000-C,107488.97,buy,0.5,0.5,,,,,,1751458068.961
1037,374080312,1751465729897,0,0.052,0.05191838,36.01,BTC-25JUL25-105000-C,107900.94,sell,0.5,0.5,,,,,,1751465729.897
1038,374100750,1751471054591,0,0.0561,0.05628792,36.33,BTC-25JUL25-105000-C,108523.55,buy,1.0,1.0,,,374100749,BTC-CS-25JUL25-105000_120000,,1751471054.591
1039,374130377,1751473453498,0,0.0625,0.06189067,38.2,BTC-25JUL25-105000-C,109316.43,sell,2.0,2.0,,,,,,1751473453.498
1040,374131030,1751473552752,2,0.062,0.06167978,37.83,BTC-25JUL25-105000-C,109288.13,sell,1.0,1.0,,,,,,1751473552.752
1041,374146702,1751477968736,2,0.06,0.06047206,37.37,BTC-25JUL25-105000-C,109054.5,sell,0.4,0.4,,,,,,1751477968.736
1042,374167132,1751490126995,0,0.062,0.06204341,38.6,BTC-25JUL25-105000-C,109206.87,sell,0.5,0.5,,,,,,1751490126.995
1043,374267272,1751546061050,2,0.0615,0.06305106,37.11,BTC-25JUL25-105000-C,109363.48,sell,0.1,0.1,,,,,,1751546061.05
1044,374292503,1751551726036,0,0.0675,0.06749193,38.46,BTC-25JUL25-105000-C,110209.72,sell,0.1,0.1,,,,,,1751551726.036
1045,374310945,1751560305317,2,0.06,0.06024049,36.68,BTC-25JUL25-105000-C,109228.34,buy,0.2,0.2,,,,,,1751560305.317
1046,374323128,1751573264014,0,0.0635,0.06370123,36.07,BTC-25JUL25-105000-C,109899.79,buy,0.2,0.2,,,,,,1751573264.014
1047,374342491,1751590637585,2,0.06,0.06015478,36.0,BTC-25JUL25-105000-C,109478.67,sell,0.2,0.2,,,,,,1751590637.585
1048,374366890,1751600068616,2,0.059,0.05871306,35.92,BTC-25JUL25-105000-C,109350.26,sell,0.1,0.1,,,,,,1751600068.616
1049,374435009,1751639692004,2,0.0505,0.05029837,36.48,BTC-25JUL25-105000-C,107882.41,sell,0.1,0.1,,,,,,1751639692.004
1050,374459051,1751657203600,2,0.0481,0.04789784,36.98,BTC-25JUL25-105000-C,107323.35,sell,0.3,0.3,,,374459049,BTC-CS-25JUL25-105000_108000,,1751657203.6
1051,374559043,1751840162034,0,0.058,0.0581538,35.94,BTC-25JUL25-105000-C,109487.99,buy,0.1,0.1,,,,,,1751840162.034
1052,374590593,1751879861271,2,0.0545,0.05466197,36.45,BTC-25JUL25-105000-C,108846.81,sell,0.6,0.6,,,,,,1751879861.271
1053,374590595,1751879861278,3,0.0545,0.05466197,36.45,BTC-25JUL25-105000-C,108846.81,sell,1.7,1.7,,,,,,1751879861.278
1054,374590596,1751879861289,3,0.0545,0.05466197,36.45,BTC-25JUL25-105000-C,108846.81,sell,0.4,0.4,,,,,,1751879861.289
1055,374590598,1751879862332,3,0.0545,0.05464419,36.46,BTC-25JUL25-105000-C,108845.02,sell,0.2,0.2,,,,,,1751879862.332
1056,374590611,1751879871143,3,0.0545,0.05462071,36.47,BTC-25JUL25-105000-C,108844.02,sell,0.2,0.2,,,,,,1751879871.143
1057,374590617,1751879903043,3,0.0545,0.05455687,36.55,BTC-25JUL25-105000-C,108836.96,sell,0.2,0.2,,,,,,1751879903.043
1058,374590643,1751879973656,3,0.0545,0.05449795,36.59,BTC-25JUL25-105000-C,108827.35,sell,0.7,0.7,,,,,,1751879973.656
1059,374590646,1751879973769,3,0.0545,0.05449795,36.59,BTC-25JUL25-105000-C,108827.35,sell,1.0,1.0,,,,,,1751879973.769
1060,374608071,1751897715852,2,0.05,0.05008874,36.27,BTC-25JUL25-105000-C,108134.13,buy,0.1,0.1,,,,,,1751897715.852
1061,374674872,1751963782937,2,0.0485,0.04832718,34.33,BTC-25JUL25-105000-C,108358.02,sell,0.3,0.3,,,,,,1751963782.937
1062,374674875,1751963782960,3,0.0485,0.04832718,34.33,BTC-25JUL25-105000-C,108358.02,sell,0.5,0.5,,,,,,1751963782.96
1063,374674876,1751963782965,3,0.0485,0.04832718,34.33,BTC-25JUL25-105000-C,108358.02,sell,0.1,0.1,,,,,,1751963782.965
1064,374674892,1751963785978,3,0.0485,0.04828838,34.42,BTC-25JUL25-105000-C,108355.26,sell,0.1,0.1,,,,,,1751963785.978
1065,374674893,1751963787003,3,0.0485,0.04828275,34.36,BTC-25JUL25-105000-C,108357.61,sell,4.0,4.0,,,,,,1751963787.003
1066,374692032,1751982450467,0,0.0535,0.05348115,33.86,BTC-25JUL25-105000-C,109172.29,buy,0.3,0.3,,,,,,1751982450.467
1067,374692033,1751982451507,1,0.0535,0.0534619,33.99,BTC-25JUL25-105000-C,109164.63,buy,0.2,0.2,,,,,,1751982451.507
1068,374719193,1752000388001,2,0.052,0.05178302,33.57,BTC-25JUL25-105000-C,109026.22,sell,2.0,2.0,,,,,,1752000388.001
1069,374759743,1752063285960,0,0.054,0.05409751,33.78,BTC-25JUL25-105000-C,109401.95,buy,0.5,0.5,,,,,,1752063285.96
1070,374800996,1752089822090,0,0.061,0.0609063,34.34,BTC-25JUL25-105000-C,110460.79,buy,0.1,0.1,,,,,,1752089822.09
1071,374804360,1752089871941,0,0.0645,0.06429723,34.87,BTC-25JUL25-105000-C,110922.36,buy,0.2,0.2,,,,,,1752089871.941
1072,374818268,1752091059163,0,0.073,0.07206388,39.13,BTC-25JUL25-105000-C,111784.13,sell,1.0,1.0,,,,,,1752091059.163
1073,374858604,1752103539436,2,0.07,0.06980363,36.6,BTC-25JUL25-105000-C,111546.96,buy,0.2,0.2,,,,,,1752103539.436
1074,374858652,1752103552353,3,0.07,0.06989884,36.43,BTC-25JUL25-105000-C,111558.21,buy,0.1,0.1,,,,,,1752103552.353
1075,374900194,1752142801613,2,0.0645,0.06559462,33.45,BTC-25JUL25-105000-C,111066.5,sell,0.1,0.1,,,,,,1752142801.613
1076,374990987,1752177914793,0,0.0815,0.08198735,36.25,BTC-25JUL25-105000-C,113482.53,buy,0.5,0.5,,,,,,1752177914.793
1077,375008531,1752182363351,0,0.099,0.0986747,39.03,BTC-25JUL25-105000-C,115682.65,buy,0.1,0.1,,,,,,1752182363.351
1078,375011206,1752182371000,0,0.1075,0.10230144,46.31,BTC-25JUL25-105000-C,116487.4,buy,3.2,3.2,,,,,,1752182371.0
1079,375042595,1752183583562,2,0.102,0.10224576,38.9,BTC-25JUL25-105000-C,116311.34,buy,0.1,0.1,,,,,,1752183583.562
1080,375212939,1752221653382,0,0.1155,0.11524079,44.93,BTC-25JUL25-105000-C,117834.06,sell,0.1,0.1,,,,,,1752221653.382
1081,375220254,1752224825688,1,0.1155,0.1156721,41.16,BTC-25JUL25-105000-C,117962.06,buy,0.5,0.5,,,,,,1752224825.688
1082,375280956,1752243995086,2,0.1145,0.11444114,40.3,BTC-25JUL25-105000-C,117968.94,sell,1.0,1.0,,,,,,1752243995.086
1083,375328616,1752256036849,2,0.111,0.11123712,38.93,BTC-25JUL25-105000-C,117502.53,buy,1.0,1.0,,,,,,1752256036.849
1084,375389223,1752319459421,0,0.115,0.11483802,39.5,BTC-25JUL25-105000-C,118093.78,buy,0.1,0.1,,,,,,1752319459.421
1085,375389225,1752319459476,1,0.115,0.11483802,39.5,BTC-25JUL25-105000-C,118093.78,buy,0.3,0.3,,,,,,1752319459.476
1086,375400746,1752329435093,2,0.112,0.11176013,40.88,BTC-25JUL25-105000-C,117588.74,buy,0.6,0.6,,,,,,1752329435.093
1087,375495918,1752423478894,0,0.121,0.12098027,45.6,BTC-25JUL25-105000-C,118816.95,buy,0.1,0.1,,,,,,1752423478.894
1088,375676130,1752472924162,0,0.147,0.14670799,54.95,BTC-25JUL25-105000-C,122391.77,sell,1.7,1.7,,,,,,1752472924.162
1089,375865787,1752524200106,2,0.1265,0.12650928,50.3,BTC-25JUL25-105000-C,119635.34,sell,0.1,0.1,,,,,,1752524200.106
1090,375924432,1752549638721,2,0.1095,0.10965151,51.36,BTC-25JUL25-105000-C,117148.8,buy,0.1,0.1,,,,,,1752549638.721
1091,375928554,1752550678285,2,0.109,0.10920899,50.8,BTC-25JUL25-105000-C,117076.07,buy,0.1,0.1,,,,,,1752550678.285
1092,375961633,1752562085765,2,0.107,0.1072184,48.65,BTC-25JUL25-105000-C,116907.02,buy,0.1,0.1,,,,,,1752562085.765
1093,376067765,1752594764456,2,0.1039,0.10418324,43.68,BTC-25JUL25-105000-C,116586.43,buy,0.2,0.2,,,376067764,BTC-CS-25JUL25-105000_116000,,1752594764.456
1094,376100795,1752605445796,0,0.1045,0.10452156,45.13,BTC-25JUL25-105000-C,116731.24,buy,0.1,0.1,,,,,,1752605445.796
1095,376172181,1752652491060,0,0.1149,0.11461276,46.72,BTC-25JUL25-105000-C,118194.22,buy,20.0,20.0,2.0,BLOCK-211168,,BTC-CDIAG-26SEP25_25JUL25-120000_105000,,1752652491.06
1096,376181583,1752657008823,0,0.12,0.1200515,45.23,BTC-25JUL25-105000-C,118899.25,buy,5.0,5.0,,,,,,1752657008.823
1097,376209855,1752674375848,2,0.119,0.11874927,48.72,BTC-25JUL25-105000-C,118731.78,sell,5.0,5.0,,,,,,1752674375.848
1098,376210139,1752674496179,2,0.1185,0.11832641,48.72,BTC-25JUL25-105000-C,118673.6,sell,2.2,2.2,,,,,,1752674496.179
1099,376210166,1752674527410,3,0.1185,0.11858599,46.24,BTC-25JUL25-105000-C,118711.67,sell,2.8,2.8,,,,,,1752674527.41
1100,376210256,1752674626826,3,0.1185,0.11847975,46.58,BTC-25JUL25-105000-C,118703.28,sell,1.1,1.1,,,,,,1752674626.826
