trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,liquidation,unix_sec
2907,373887891,1751320320424,2,0.014,0.01409563,36.86,BTC-25JUL25-115000-C,107297.41,sell,1.1,1.1,,,,,,,1751320320.424
2908,373887892,1751320320457,3,0.014,0.01409563,36.86,BTC-25JUL25-115000-C,107297.41,sell,0.1,0.1,,,,,,,1751320320.457
2909,373887908,1751320320656,3,0.014,0.01409563,36.86,BTC-25JUL25-115000-C,107297.41,sell,3.7,3.7,,,,,,,1751320320.656
2910,373887909,1751320320662,3,0.014,0.01409563,36.86,BTC-25JUL25-115000-C,107297.41,sell,0.3,0.3,,,,,,,1751320320.662
2911,373887910,1751320320678,3,0.014,0.01409563,36.86,BTC-25JUL25-115000-C,107297.41,sell,0.3,0.3,,,,,,,1751320320.678
2912,373887920,1751320358656,3,0.014,0.01404106,36.94,BTC-25JUL25-115000-C,107272.15,sell,0.3,0.3,,,,,,,1751320358.656
2913,373887934,1751320365989,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,3.0,3.0,,,,,,,1751320365.989
2914,373887935,1751320365996,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,0.1,0.1,,,,,,,1751320365.996
2915,373887944,1751320366039,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,11.5,11.5,,,,,,,1751320366.039
2916,373887945,1751320366039,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,0.1,0.1,,,,,,,1751320366.039
2917,373887946,1751320366041,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,0.3,0.3,,,,,,,1751320366.041
2918,373887947,1751320366044,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,11.5,11.5,,,,,,,1751320366.044
2919,373887948,1751320366048,3,0.014,0.01403017,36.96,BTC-25JUL25-115000-C,107269.17,sell,0.3,0.3,,,,,,,1751320366.048
2920,373887971,1751320371466,3,0.014,0.01401712,36.98,BTC-25JUL25-115000-C,107262.48,sell,0.1,0.1,,,,,,,1751320371.466
2921,373887974,1751320371481,3,0.014,0.01401712,36.98,BTC-25JUL25-115000-C,107262.48,sell,0.1,0.1,,,,,,,1751320371.481
2922,373887984,1751320375636,3,0.014,0.01399216,37.04,BTC-25JUL25-115000-C,107242.22,sell,0.1,0.1,,,,,,,1751320375.636
2923,373887985,1751320375900,3,0.014,0.01396559,37.04,BTC-25JUL25-115000-C,107241.28,sell,0.1,0.1,,,,,,,1751320375.9
2924,373888041,1751320399148,3,0.014,0.01400423,37.01,BTC-25JUL25-115000-C,107250.15,sell,11.5,11.5,,,,,,,1751320399.148
2925,373888042,1751320399150,3,0.014,0.01400423,37.01,BTC-25JUL25-115000-C,107250.15,sell,0.3,0.3,,,,,,,1751320399.15
2927,373888062,1751320410115,3,0.014,0.01400553,37.01,BTC-25JUL25-115000-C,107247.51,sell,0.1,0.1,,,,,,,1751320410.115
2926,373888061,1751320410115,3,0.014,0.01400553,37.01,BTC-25JUL25-115000-C,107247.51,sell,55.2,55.2,,,,,,,1751320410.115
2928,373900194,1751338777100,2,0.013,0.01332645,36.1,BTC-25JUL25-115000-C,107132.56,buy,0.1,0.1,,,,,,,1751338777.1
2930,373900769,1751339313145,3,0.013,0.01315878,35.99,BTC-25JUL25-115000-C,107153.35,buy,0.6,0.6,,,,,,,1751339313.145
2929,373900768,1751339313145,3,0.013,0.01315878,35.99,BTC-25JUL25-115000-C,107153.35,buy,0.6,0.6,,,,,,,1751339313.145
2931,373900770,1751339313145,3,0.013,0.01315878,35.99,BTC-25JUL25-115000-C,107153.35,buy,0.1,0.1,,,,,,,1751339313.145
2937,373901636,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,7.8,7.8,,,,,,,1751340268.562
2933,373901632,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,8.0,8.0,,,,,,,1751340268.562
2936,373901635,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,15.0,15.0,,,,,,,1751340268.562
2934,373901633,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,5.2,5.2,,,,,,,1751340268.562
2938,373901637,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,1.6,1.6,,,,,,,1751340268.562
2932,373901631,1751340268562,0,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,3.4,3.4,,,,,,,1751340268.562
2935,373901634,1751340268562,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,buy,11.6,11.6,,,,,,,1751340268.562
2939,373901638,1751340268565,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,17.8,17.8,,,,,,,1751340268.565
2940,373901639,1751340268573,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,1.0,1.0,,,,,,,1751340268.573
2941,373901640,1751340268575,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,11.6,11.6,,,,,,,1751340268.575
2942,373901641,1751340268585,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,5.0,5.0,,,,,,,1751340268.585
2943,373901642,1751340268589,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,1.3,1.3,,,,,,,1751340268.589
2944,373901643,1751340268590,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,0.1,0.1,,,,,,,1751340268.59
2945,373901644,1751340268593,1,0.0135,0.01314418,36.49,BTC-25JUL25-115000-C,107198.93,sell,10.6,10.6,,,,,,,1751340268.593
2946,373905415,1751346843363,2,0.012,0.01201012,35.73,BTC-25JUL25-115000-C,106823.99,sell,0.3,0.3,,,,,,,1751346843.363
2947,373905425,1751346878424,3,0.012,0.01202631,35.7,BTC-25JUL25-115000-C,106837.26,buy,4.7,4.7,,,,,,,1751346878.424
2948,373908962,1751351974800,2,0.0115,0.01181802,35.1,BTC-25JUL25-115000-C,106840.19,sell,0.2,0.2,,,,,,,1751351974.8
2949,373909774,1751353708165,0,0.012,0.01203763,35.24,BTC-25JUL25-115000-C,107037.35,buy,3.5,3.5,,,,,,,1751353708.165
2950,373910622,1751354425159,2,0.0113,0.01141069,35.26,BTC-25JUL25-115000-C,106718.83,sell,12.5,12.5,2.0,BLOCK-207982,7498.0,BTC-CDIAG-26SEP25_25JUL25-125000_115000,,,1751354425.159
2951,373912433,1751355019222,0,0.012,0.01191241,35.57,BTC-25JUL25-115000-C,106975.45,buy,0.5,0.5,,,,,,,1751355019.222
2952,373912434,1751355019222,1,0.012,0.01191241,35.57,BTC-25JUL25-115000-C,106975.45,buy,0.5,0.5,,,,,,,1751355019.222
2953,373912435,1751355019222,1,0.012,0.01191241,35.57,BTC-25JUL25-115000-C,106975.45,buy,2.2,2.2,,,,,,,1751355019.222
2954,373928527,1751361931077,2,0.011,0.01129826,35.03,BTC-25JUL25-115000-C,106726.67,sell,5.0,5.0,,,,,,,1751361931.077
2955,373928581,1751361999089,3,0.011,0.01123844,35.09,BTC-25JUL25-115000-C,106704.89,buy,1.0,1.0,,,,,,,1751361999.089
2956,373928984,1751362448604,3,0.011,0.01102677,35.25,BTC-25JUL25-115000-C,106664.09,buy,5.0,5.0,,,,,,,1751362448.604
2957,373934901,1751364979671,2,0.0105,0.01108394,34.88,BTC-25JUL25-115000-C,106534.21,sell,0.1,0.1,,,,,,,1751364979.671
2958,373938060,1751366510261,3,0.0105,0.01088629,35.21,BTC-25JUL25-115000-C,106398.61,sell,0.1,0.1,,,,,,,1751366510.261
2961,373938096,1751366547126,3,0.0105,0.01088897,35.22,BTC-25JUL25-115000-C,106395.76,sell,7.7,7.7,,,,,,,1751366547.126
2960,373938095,1751366547126,3,0.0105,0.01088897,35.22,BTC-25JUL25-115000-C,106395.76,sell,1.2,1.2,,,,,,,1751366547.126
2959,373938094,1751366547126,3,0.0105,0.01088897,35.22,BTC-25JUL25-115000-C,106395.76,sell,1.1,1.1,,,,,,,1751366547.126
2962,373938409,1751366715109,3,0.0105,0.01089481,35.17,BTC-25JUL25-115000-C,106400.65,sell,0.1,0.1,,,,,,,1751366715.109
2963,373938560,1751366897380,3,0.0105,0.01084299,35.17,BTC-25JUL25-115000-C,106399.53,sell,0.1,0.1,,,,,,,1751366897.38
2964,373939013,1751367080709,3,0.0105,0.01074446,35.24,BTC-25JUL25-115000-C,106369.14,sell,0.1,0.1,,,,,,,1751367080.709
2965,373940082,1751367263655,3,0.0105,0.0107285,35.24,BTC-25JUL25-115000-C,106385.71,sell,0.1,0.1,,,,,,,1751367263.655
2967,373940782,1751367564016,1,0.011,0.01096005,35.58,BTC-25JUL25-115000-C,106508.52,buy,1.2,1.2,,,,,,,1751367564.016
2966,373940781,1751367564016,0,0.011,0.01096005,35.58,BTC-25JUL25-115000-C,106508.52,buy,0.1,0.1,,,,,,,1751367564.016
2968,373941562,1751367912050,1,0.011,0.01113192,35.39,BTC-25JUL25-115000-C,106580.18,sell,0.1,0.1,,,,,,,1751367912.05
2969,373942118,1751368272045,1,0.011,0.01103676,35.5,BTC-25JUL25-115000-C,106551.87,sell,0.1,0.1,,,,,,,1751368272.045
2970,373942432,1751368383574,1,0.011,0.01087521,35.78,BTC-25JUL25-115000-C,106449.61,sell,0.4,0.4,,,,,,,1751368383.574
2971,373942448,1751368385756,1,0.011,0.01083486,35.8,BTC-25JUL25-115000-C,106434.1,sell,0.1,0.1,,,,,,,1751368385.756
2972,373943857,1751369078050,2,0.0105,0.01098329,34.93,BTC-25JUL25-115000-C,106501.66,sell,0.1,0.1,,,,,,,1751369078.05
2976,373950894,1751375607784,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,0.8,0.8,,,,,,,1751375607.784
2977,373950895,1751375607784,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,0.1,0.1,,,,,,,1751375607.784
2973,373950891,1751375607784,0,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,5.0,5.0,,,,,,,1751375607.784
2975,373950893,1751375607784,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,5.2,5.2,,,,,,,1751375607.784
2978,373950896,1751375607784,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,0.1,0.1,,,,,,,1751375607.784
2974,373950892,1751375607784,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,1.0,1.0,,,,,,,1751375607.784
2979,373950897,1751375607893,1,0.011,0.01071461,35.7,BTC-25JUL25-115000-C,106513.39,buy,12.2,12.2,,,,,,,1751375607.893
2980,373955826,1751377430086,1,0.011,0.01098687,36.1,BTC-25JUL25-115000-C,106330.67,buy,0.5,0.5,,,,,,,1751377430.086
2981,373958363,1751378470541,0,0.012,0.01217805,35.75,BTC-25JUL25-115000-C,106964.84,buy,0.2,0.2,,,,,,,1751378470.541
2982,373965973,1751380716400,2,0.011,0.01101468,35.94,BTC-25JUL25-115000-C,106395.81,buy,0.2,0.2,,,,,,,1751380716.4
2983,373965974,1751380716405,3,0.011,0.01101468,35.94,BTC-25JUL25-115000-C,106395.81,buy,0.1,0.1,,,,,,,1751380716.405
2984,373967657,1751380978936,2,0.0105,0.01047909,36.21,BTC-25JUL25-115000-C,106023.14,sell,0.2,0.2,,,,,,,1751380978.936
2985,373967669,1751380983041,3,0.0105,0.01047323,36.2,BTC-25JUL25-115000-C,106024.4,sell,0.5,0.5,,,,,,,1751380983.041
2986,373968305,1751381090042,3,0.0105,0.01060892,36.05,BTC-25JUL25-115000-C,106097.15,sell,0.8,0.8,,,,,,,1751381090.042
2988,373968307,1751381090045,3,0.0105,0.01060892,36.05,BTC-25JUL25-115000-C,106097.15,buy,2.2,2.2,,,,,,,1751381090.045
2987,373968306,1751381090045,3,0.0105,0.01060892,36.05,BTC-25JUL25-115000-C,106097.15,buy,2.0,2.0,,,,,,,1751381090.045
2989,373971777,1751381827921,3,0.0105,0.01053697,36.3,BTC-25JUL25-115000-C,106000.09,buy,0.3,0.3,,,,,,,1751381827.921
2990,373971803,1751381844961,3,0.0105,0.01045424,36.4,BTC-25JUL25-115000-C,105965.88,buy,0.1,0.1,,,,,,,1751381844.961
2991,373971850,1751381885836,3,0.0105,0.01050772,36.3,BTC-25JUL25-115000-C,105994.62,buy,0.4,0.4,,,,,,,1751381885.836
2992,373976674,1751383875862,3,0.0105,0.01051756,36.24,BTC-25JUL25-115000-C,106069.35,buy,0.1,0.1,,,,,,,1751383875.862
2993,373976822,1751384003891,3,0.0105,0.01044309,36.29,BTC-25JUL25-115000-C,106052.3,buy,10.0,10.0,,,,,,,1751384003.891
2994,373977002,1751384082927,3,0.0105,0.01061357,35.91,BTC-25JUL25-115000-C,106191.58,buy,3.0,3.0,,,,,,,1751384082.927
2995,373977032,1751384087801,3,0.0105,0.01059534,35.91,BTC-25JUL25-115000-C,106192.95,buy,6.1,6.1,,,,,,,1751384087.801
2996,373977167,1751384135037,3,0.0105,0.01056283,35.92,BTC-25JUL25-115000-C,106190.64,buy,12.3,12.3,,,,,,,1751384135.037
2997,373977170,1751384135046,3,0.0105,0.01056283,35.92,BTC-25JUL25-115000-C,106190.64,buy,0.4,0.4,,,,,,,1751384135.046
2998,373977171,1751384135059,3,0.0105,0.01056283,35.92,BTC-25JUL25-115000-C,106190.64,buy,2.3,2.3,,,,,,,1751384135.059
2999,373981169,1751387820890,0,0.0109,0.01086992,36.5,BTC-25JUL25-115000-C,106202.06,buy,20.0,20.0,2.0,BLOCK-208036,,BTC-CS-25JUL25-106000_115000,,,1751387820.89
3000,373985655,1751393847032,0,0.011,0.01094701,36.76,BTC-25JUL25-115000-C,106124.34,sell,0.3,0.3,,,,,,,1751393847.032
3001,373986182,1751394166284,2,0.0105,0.01062778,36.51,BTC-25JUL25-115000-C,105964.43,sell,0.2,0.2,,,,,,,1751394166.284
