trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,liquidation,unix_sec
2449,373873008,1751307424065,1,0.0075,0.00703105,38.47,BTC-25JUL25-120000-C,107453.27,buy,0.1,0.1,,,,,,,1751307424.065
2450,373873426,1751308023997,1,0.0075,0.00692457,38.76,BTC-25JUL25-120000-C,107331.62,buy,0.1,0.1,,,,,,,1751308023.997
2451,373873691,1751308309785,2,0.007,0.00686595,38.11,BTC-25JUL25-120000-C,107249.21,sell,0.1,0.1,,,,,,,1751308309.785
2452,373875106,1751310249991,3,0.007,0.00702357,37.89,BTC-25JUL25-120000-C,107370.76,sell,0.2,0.2,,,,,,,1751310249.991
2454,373878706,1751313742225,3,0.007,0.00698756,37.37,BTC-25JUL25-120000-C,107642.27,sell,0.2,0.2,,,,,,,1751313742.225
2453,373878705,1751313742225,3,0.007,0.00698756,37.37,BTC-25JUL25-120000-C,107642.27,sell,0.1,0.1,,,,,,,1751313742.225
2455,373881955,1751315185045,2,0.0065,0.00677642,36.72,BTC-25JUL25-120000-C,107570.53,sell,0.1,0.1,,,,,,,1751315185.045
2456,373885875,1751316936314,3,0.0065,0.00689885,36.64,BTC-25JUL25-120000-C,107588.67,sell,2.0,2.0,,,,,,,1751316936.314
2457,373886659,1751318289359,0,0.007,0.0067391,37.72,BTC-25JUL25-120000-C,107485.01,buy,0.1,0.1,,,,,,,1751318289.359
2458,373886878,1751318829105,1,0.007,0.0067005,37.86,BTC-25JUL25-120000-C,107402.72,buy,0.1,0.1,,,,,,,1751318829.105
2459,373889643,1751320638443,2,0.0065,0.00650912,37.89,BTC-25JUL25-120000-C,106997.12,sell,7.8,7.8,,,,,,,1751320638.443
2460,373890671,1751320926009,3,0.0065,0.00666639,37.45,BTC-25JUL25-120000-C,107199.49,sell,0.2,0.2,,,,,,,1751320926.009
2461,373892792,1751325483572,3,0.0065,0.00632763,37.4,BTC-25JUL25-120000-C,107246.68,buy,0.1,0.1,,,,,,,1751325483.572
2462,373892954,1751326083001,3,0.0065,0.00626566,37.57,BTC-25JUL25-120000-C,107174.29,buy,0.1,0.1,,,,,,,1751326083.001
2463,373895098,1751329196721,3,0.0065,0.00645187,37.0,BTC-25JUL25-120000-C,107449.87,buy,0.1,0.1,,,,,,,1751329196.721
2464,373895224,1751329436724,3,0.0065,0.0063797,37.15,BTC-25JUL25-120000-C,107394.09,buy,0.1,0.1,,,,,,,1751329436.724
2465,373895561,1751329650623,2,0.006,0.00613729,36.68,BTC-25JUL25-120000-C,107194.96,sell,1.0,1.0,,,,,,,1751329650.623
2466,373895562,1751329650623,3,0.006,0.00613729,36.68,BTC-25JUL25-120000-C,107194.96,sell,0.1,0.1,,,,,,,1751329650.623
2467,373898777,1751336024369,0,0.0065,0.00606762,37.39,BTC-25JUL25-120000-C,107307.08,buy,0.1,0.1,,,,,,,1751336024.369
2468,373898844,1751336324418,1,0.0065,0.00605281,37.42,BTC-25JUL25-120000-C,107298.19,buy,0.1,0.1,,,,,,,1751336324.418
2469,373898964,1751336924397,1,0.0065,0.00607376,37.3,BTC-25JUL25-120000-C,107354.04,buy,0.1,0.1,,,,,,,1751336924.397
2470,373900849,1751339348433,2,0.006,0.00597305,36.7,BTC-25JUL25-120000-C,107154.21,sell,0.3,0.3,,,,,,,1751339348.433
2471,373902712,1751341668405,3,0.006,0.00614376,36.77,BTC-25JUL25-120000-C,107153.09,buy,1.0,1.0,,,,,,,1751341668.405
2472,373903158,1751343190318,0,0.0065,0.00600908,37.55,BTC-25JUL25-120000-C,107217.27,buy,0.1,0.1,,,,,,,1751343190.318
2473,373903225,1751343430315,1,0.0065,0.0059677,37.64,BTC-25JUL25-120000-C,107181.93,buy,0.1,0.1,,,,,,,1751343430.315
2474,373903309,1751343519258,2,0.006,0.00590832,36.88,BTC-25JUL25-120000-C,107128.29,sell,0.1,0.1,,,,,,,1751343519.258
2475,373907851,1751350109382,2,0.0055,0.005451,36.63,BTC-25JUL25-120000-C,106845.06,sell,0.3,0.3,,,,,,,1751350109.382
