trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,liquidation,block_rfq_id,unix_sec
1423,373889774,1751320646048,2,0.0031,0.00304791,39.12,BTC-25JUL25-125000-C,106982.79,sell,10.0,10.0,,,,,,,1751320646.048
1424,373900195,1751338777223,2,0.0028,0.00277903,38.09,BTC-25JUL25-125000-C,107132.56,sell,0.1,0.1,,,,,,,1751338777.223
1425,373900973,1751339494470,0,0.0029,0.00277406,38.4,BTC-25JUL25-125000-C,107117.99,buy,0.1,0.1,,,,,,,1751339494.47
1426,373903944,1751344742748,2,0.0028,0.00269211,38.16,BTC-25JUL25-125000-C,107120.14,sell,0.1,0.1,,,,,,,1751344742.748
1427,373924812,1751359340968,2,0.0024,0.00228989,37.8,BTC-25JUL25-125000-C,106777.65,buy,0.5,0.5,,,,,,,1751359340.968
1428,373924992,1751359428103,3,0.0024,0.00229927,37.81,BTC-25JUL25-125000-C,106773.15,buy,2.0,2.0,,,,,,,1751359428.103
1429,373925245,1751359512307,3,0.0024,0.00230647,37.81,BTC-25JUL25-125000-C,106774.72,buy,1.0,1.0,,,,,,,1751359512.307
1430,373949196,1751373843164,2,0.0022,0.00228271,37.82,BTC-25JUL25-125000-C,106450.54,sell,1.0,1.0,,,,,,,1751373843.164
1431,373953844,1751376851623,0,0.0024,0.00240069,37.83,BTC-25JUL25-125000-C,106803.51,buy,0.3,0.3,,,,,,,1751376851.623
1432,373953845,1751376851759,1,0.0024,0.00240069,37.83,BTC-25JUL25-125000-C,106803.51,buy,0.1,0.1,,,,,,,1751376851.759
1433,373953924,1751376880410,1,0.0024,0.00237596,37.89,BTC-25JUL25-125000-C,106770.26,buy,0.1,0.1,,,,,,,1751376880.41
1434,373953925,1751376880410,1,0.0024,0.00237596,37.89,BTC-25JUL25-125000-C,106770.26,buy,0.1,0.1,,,,,,,1751376880.41
1435,373953931,1751376886433,1,0.0024,0.00238145,37.86,BTC-25JUL25-125000-C,106777.02,buy,0.4,0.4,,,,,,,1751376886.433
1436,373953934,1751376888359,1,0.0024,0.0023818,37.85,BTC-25JUL25-125000-C,106783.83,buy,0.1,0.1,,,,,,,1751376888.359
1437,373953937,1751376894083,1,0.0024,0.00239057,37.85,BTC-25JUL25-125000-C,106789.25,buy,0.3,0.3,,,,,,,1751376894.083
