trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,block_rfq_id,liquidation,unix_sec
2657,373872869,1751307100160,3,0.0016,0.00166364,40.18,BTC-25JUL25-130000-C,107402.08,buy,0.2,0.2,,,,,,,1751307100.16
2658,373875528,1751311148753,2,0.0015,0.00167351,39.66,BTC-25JUL25-130000-C,107489.35,sell,0.1,0.1,,,,,,,1751311148.753
2659,373876199,1751311748730,3,0.0015,0.00164763,39.59,BTC-25JUL25-130000-C,107546.09,sell,0.1,0.1,,,,,,,1751311748.73
2660,373881246,1751314688516,0,0.0016,0.0016903,39.91,BTC-25JUL25-130000-C,107646.53,sell,0.1,0.1,,,,,,,1751314688.516
2661,373881807,1751315048525,1,0.0016,0.00166045,40.01,BTC-25JUL25-130000-C,107594.61,sell,0.1,0.1,,,,,,,1751315048.525
2662,373882941,1751315759378,0,0.0017,0.0017086,40.32,BTC-25JUL25-130000-C,107667.18,sell,0.5,0.5,,,,,,,1751315759.378
2663,373886656,1751318229919,2,0.0015,0.00163359,39.72,BTC-25JUL25-130000-C,107483.1,sell,0.1,0.1,,,,,,,1751318229.919
2664,373886879,1751318829398,3,0.0015,0.00162487,39.82,BTC-25JUL25-130000-C,107403.2,sell,0.1,0.1,,,,,,,1751318829.398
2665,373891210,1751321825325,3,0.0015,0.00164194,40.03,BTC-25JUL25-130000-C,107275.95,sell,0.1,0.1,,,,,,,1751321825.325
2666,373891415,1751322425034,3,0.0015,0.00162799,40.02,BTC-25JUL25-130000-C,107294.61,sell,0.1,0.1,,,,,,,1751322425.034
2667,373895067,1751329137286,3,0.0015,0.00164749,39.84,BTC-25JUL25-130000-C,107448.96,sell,0.1,0.1,,,,,,,1751329137.286
2668,373895225,1751329437010,3,0.0015,0.00159989,39.96,BTC-25JUL25-130000-C,107394.09,sell,0.1,0.1,,,,,,,1751329437.01
2669,373895885,1751330036753,3,0.0015,0.00155236,40.41,BTC-25JUL25-130000-C,107105.33,sell,0.1,0.1,,,,,,,1751330036.753
2671,373899763,1751338328929,3,0.0015,0.00151711,40.42,BTC-25JUL25-130000-C,107155.31,sell,0.5,0.5,,,,,,,1751338328.929
2670,373899762,1751338328929,3,0.0015,0.00151711,40.42,BTC-25JUL25-130000-C,107155.31,sell,6.8,6.8,,,,,,,1751338328.929
2672,373909935,1751354110252,2,0.0014,0.00120385,40.37,BTC-25JUL25-130000-C,106951.27,buy,10.0,10.0,,,,,,,1751354110.252
2675,373909958,1751354137645,3,0.0014,0.00120939,40.33,BTC-25JUL25-130000-C,106971.17,buy,6.0,6.0,,,,,,,1751354137.645
2673,373909956,1751354137645,3,0.0014,0.00120939,40.33,BTC-25JUL25-130000-C,106971.17,buy,2.0,2.0,,,,,,,1751354137.645
2674,373909957,1751354137645,3,0.0014,0.00120939,40.33,BTC-25JUL25-130000-C,106971.17,buy,2.0,2.0,,,,,,,1751354137.645
2676,373943908,1751369102227,2,0.0012,0.00116591,40.18,BTC-25JUL25-130000-C,106520.36,buy,200.0,200.0,2.0,BLOCK-208004,,BTC-CCAL-29AUG25_25JUL25-130000,,,1751369102.227
2677,373944298,1751369475563,3,0.0012,0.00115797,40.16,BTC-25JUL25-130000-C,106539.36,sell,2.0,2.0,,,,,,,1751369475.563
2678,373948760,1751373487287,0,0.0013,0.00123871,40.93,BTC-25JUL25-130000-C,106440.35,buy,2.5,2.5,,,,,,,1751373487.287
2679,373948762,1751373488893,1,0.0013,0.00123851,40.92,BTC-25JUL25-130000-C,106446.09,buy,0.2,0.2,,,,,,,1751373488.893
2680,373948804,1751373555401,1,0.0013,0.00123948,40.92,BTC-25JUL25-130000-C,106445.48,buy,0.3,0.3,,,,,,,1751373555.401
2681,373949013,1751373697196,1,0.0013,0.00126946,40.82,BTC-25JUL25-130000-C,106505.07,sell,2.1,2.1,,,,,,,1751373697.196
2682,373949111,1751373738327,2,0.0012,0.00125053,40.38,BTC-25JUL25-130000-C,106447.82,sell,0.1,0.1,,,,,,,1751373738.327
2683,373949596,1751374064298,0,0.0013,0.00125303,40.93,BTC-25JUL25-130000-C,106451.95,buy,0.1,0.1,,,,,,,1751374064.298
2684,373950933,1751375634067,1,0.0013,0.00128426,40.85,BTC-25JUL25-130000-C,106515.39,sell,2.1,2.1,,,,,,,1751375634.067
2685,373952861,1751376569104,2,0.0012,0.00132046,40.03,BTC-25JUL25-130000-C,106649.5,sell,5.0,5.0,,,,,,,1751376569.104
2686,373954440,1751377161256,0,0.0013,0.00130562,40.35,BTC-25JUL25-130000-C,106791.57,buy,0.1,0.1,,,,,,,1751377161.256
2687,373955034,1751377248520,1,0.0013,0.0012598,40.86,BTC-25JUL25-130000-C,106456.73,sell,2.3,2.3,,,,,,,1751377248.52
2688,373957100,1751377851260,2,0.0012,0.00134755,39.83,BTC-25JUL25-130000-C,106790.27,sell,0.1,0.1,,,,,,,1751377851.26
2689,373958876,1751378719557,0,0.0014,0.00135703,40.65,BTC-25JUL25-130000-C,106948.56,sell,4.0,4.0,,,,,,,1751378719.557
2690,373974499,1751382842020,2,0.0013,0.00132058,42.18,BTC-25JUL25-130000-C,105698.14,sell,2.0,2.0,,,,,,,1751382842.02
2693,373977793,1751384746381,3,0.0012,0.00132373,41.17,BTC-25JUL25-130000-C,106013.06,sell,2.0,2.0,,,,,,,1751384746.381
2691,373977791,1751384746381,2,0.0012,0.00132373,41.17,BTC-25JUL25-130000-C,106013.06,sell,4.8,4.8,,,,,,,1751384746.381
2692,373977792,1751384746381,3,0.0012,0.00132373,41.17,BTC-25JUL25-130000-C,106013.06,sell,3.0,3.0,,,,,,,1751384746.381
2697,373977798,1751384761031,3,0.0011,0.00131665,40.61,BTC-25JUL25-130000-C,106000.16,sell,0.2,0.2,,,,,,,1751384761.031
2695,373977796,1751384761031,3,0.0011,0.00131665,40.61,BTC-25JUL25-130000-C,106000.16,sell,1.0,1.0,,,,,,,1751384761.031
2694,373977795,1751384761031,2,0.0011,0.00131665,40.61,BTC-25JUL25-130000-C,106000.16,sell,2.0,2.0,,,,,,,1751384761.031
2696,373977797,1751384761031,3,0.0011,0.00131665,40.61,BTC-25JUL25-130000-C,106000.16,sell,2.0,2.0,,,,,,,1751384761.031
2698,373977922,1751384921572,3,0.0011,0.0012856,40.59,BTC-25JUL25-130000-C,106014.7,sell,2.0,2.0,,,,,,,1751384921.572
2699,373977923,1751384921581,3,0.0011,0.0012856,40.59,BTC-25JUL25-130000-C,106014.7,buy,3.0,3.0,,,,,,,1751384921.581
2700,373977929,1751384932742,3,0.0011,0.00128272,40.58,BTC-25JUL25-130000-C,106010.95,buy,5.0,5.0,,,,,,,1751384932.742
2701,373977933,1751384970130,3,0.0011,0.00127059,40.59,BTC-25JUL25-130000-C,106011.2,buy,5.0,5.0,,,,,,,1751384970.13
2702,374005807,1751404713265,0,0.0013,0.00126257,42.04,BTC-25JUL25-130000-C,105934.06,buy,0.5,0.5,,,,,,,1751404713.265
2703,374005819,1751404725326,1,0.0013,0.00126676,42.02,BTC-25JUL25-130000-C,105949.13,buy,0.7,0.7,,,,,,,1751404725.326
2704,374007802,1751406493021,1,0.0013,0.00127902,42.27,BTC-25JUL25-130000-C,105789.21,sell,2.1,2.1,,,,,,,1751406493.021
2705,374034079,1751435124806,2,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,sell,5.0,5.0,,,,,,,1751435124.806
2706,374034080,1751435124806,3,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,sell,12.0,12.0,,,,,,,1751435124.806
2707,374034081,1751435124806,3,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,sell,1.5,1.5,,,,,,,1751435124.806
2708,374034082,1751435124806,3,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,sell,5.2,5.2,,,,,,,1751435124.806
2709,374034083,1751435124806,3,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,sell,5.5,5.5,,,,,,,1751435124.806
2710,374034084,1751435124809,3,0.0012,0.0013408,40.72,BTC-25JUL25-130000-C,106604.71,buy,0.8,0.8,,,,,,,1751435124.809
2711,374036524,1751437084312,0,0.0014,0.00135595,41.47,BTC-25JUL25-130000-C,106819.11,buy,1.0,1.0,,,,,,,1751437084.312
2712,374038175,1751438855042,1,0.0014,0.00139786,41.27,BTC-25JUL25-130000-C,106958.23,buy,20.0,20.0,,,,,,,1751438855.042
2714,374045435,1751443458369,1,0.0015,0.00151836,41.01,BTC-25JUL25-130000-C,107433.25,buy,0.9,0.9,,,,,,,1751443458.369
2713,374045434,1751443458369,0,0.0015,0.00151836,41.01,BTC-25JUL25-130000-C,107433.25,buy,0.1,0.1,,,,,,,1751443458.369
2716,374053245,1751446856903,1,0.0015,0.00148201,40.4,BTC-25JUL25-130000-C,107802.22,buy,2.0,2.0,,,,,,,1751446856.903
2715,374053244,1751446856903,1,0.0015,0.00148201,40.4,BTC-25JUL25-130000-C,107802.22,buy,3.1,3.1,,,,,,,1751446856.903
2717,374056395,1751447814488,2,0.0014,0.00147049,40.15,BTC-25JUL25-130000-C,107634.77,sell,0.1,0.1,,,,,,,1751447814.488
2718,374057219,1751448414561,3,0.0014,0.00149584,40.07,BTC-25JUL25-130000-C,107700.09,sell,0.1,0.1,,,,,,,1751448414.561
2719,374058919,1751449702819,3,0.0014,0.0015151,40.07,BTC-25JUL25-130000-C,107710.91,sell,0.1,0.1,,,,,,,1751449702.819
2721,374062524,1751455511917,1,0.0016,0.00148671,40.98,BTC-25JUL25-130000-C,107785.54,buy,2.0,2.0,,,,,,,1751455511.917
2720,374062523,1751455511917,0,0.0016,0.00148671,40.98,BTC-25JUL25-130000-C,107785.54,buy,0.1,0.1,,,,,,,1751455511.917
2722,374062525,1751455511917,1,0.0016,0.00148671,40.98,BTC-25JUL25-130000-C,107785.54,buy,0.1,0.1,,,,,,,1751455511.917
2724,374077922,1751464840633,1,0.0016,0.00156486,40.95,BTC-25JUL25-130000-C,107885.64,buy,0.1,0.1,,,,,,,1751464840.633
