trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,unix_sec
2001,373878057,1751313553627,3,0.0006,0.00062964,45.06,BTC-25JUL25-140000-C,107702.87,sell,2.0,2.0,,,,,1751313553.627
2002,373892825,1751325590071,2,0.0005,0.0005954,44.72,BTC-25JUL25-140000-C,107222.36,sell,0.1,0.1,,,,,1751325590.071
2004,373899999,1751338507707,3,0.0005,0.00058691,44.93,BTC-25JUL25-140000-C,107154.89,sell,1.5,1.5,,,,,1751338507.707
2003,373899998,1751338507707,3,0.0005,0.00058691,44.93,BTC-25JUL25-140000-C,107154.89,sell,2.9,2.9,,,,,1751338507.707
2005,373900000,1751338507707,3,0.0005,0.00058691,44.93,BTC-25JUL25-140000-C,107154.89,sell,1.0,1.0,,,,,1751338507.707
2006,373900004,1751338514873,3,0.0005,0.00058821,44.92,BTC-25JUL25-140000-C,107158.88,sell,0.1,0.1,,,,,1751338514.873
2007,373925214,1751359485968,3,0.0005,0.00044108,45.74,BTC-25JUL25-140000-C,106780.56,buy,0.1,0.1,,,,,1751359485.968
2008,374028032,1751425834628,3,0.0005,0.00049648,47.6,BTC-25JUL25-140000-C,105962.02,buy,0.1,0.1,,,,,1751425834.628
2009,374039220,1751440199950,0,0.0006,0.00054841,47.43,BTC-25JUL25-140000-C,107001.08,buy,4.0,4.0,,,,,1751440199.95
2010,374039288,1751440402026,1,0.0006,0.00057615,47.49,BTC-25JUL25-140000-C,106974.56,sell,0.4,0.4,,,,,1751440402.026
2012,374095825,1751469622455,1,0.0008,0.00067476,47.43,BTC-25JUL25-140000-C,108505.4,buy,6.2,6.2,,,,,1751469622.455
2011,374095824,1751469622455,0,0.0008,0.00067476,47.43,BTC-25JUL25-140000-C,108505.4,buy,7.0,7.0,,,,,1751469622.455
2013,374095826,1751469622457,1,0.0008,0.00067476,47.43,BTC-25JUL25-140000-C,108505.4,sell,7.1,7.1,,,,,1751469622.457
2014,374222609,1751533787269,1,0.0008,0.00096,46.57,BTC-25JUL25-140000-C,109574.73,sell,0.1,0.1,,,,,1751533787.269
2015,374223048,1751533970047,1,0.0008,0.00096874,46.47,BTC-25JUL25-140000-C,109649.25,sell,0.1,0.1,,,,,1751533970.047
2016,374233498,1751535786313,0,0.001,0.00103143,47.16,BTC-25JUL25-140000-C,110222.03,buy,0.1,0.1,,,,,1751535786.313
2017,374254411,1751540932125,0,0.0011,0.00105599,48.69,BTC-25JUL25-140000-C,109712.57,sell,1.0,1.0,,,,,1751540932.125
2018,374269572,1751546360719,2,0.001,0.000988,49.02,BTC-25JUL25-140000-C,109066.67,sell,0.5,0.5,,,,,1751546360.719
2019,374284121,1751550611947,0,0.0012,0.00109205,48.36,BTC-25JUL25-140000-C,110430.87,buy,1.0,1.0,,,,,1751550611.947
2020,374293564,1751552047632,2,0.001,0.00101497,47.63,BTC-25JUL25-140000-C,110033.3,sell,2.2,2.2,,,,,1751552047.632
2021,374293799,1751552138073,3,0.001,0.00103195,47.66,BTC-25JUL25-140000-C,110004.67,sell,2.0,2.0,,,,,1751552138.073
