trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,unix_sec
1798,373873858,1751308441121,2,0.0003,0.0003171,51.18,BTC-25JUL25-150000-C,107160.15,sell,0.1,,,0.1,1751308441.121
1799,373885718,1751316838735,3,0.0003,0.00029172,50.72,BTC-25JUL25-150000-C,107623.26,sell,0.1,,,0.1,1751316838.735
1800,373886648,1751318111679,3,0.0003,0.00028994,50.89,BTC-25JUL25-150000-C,107501.77,sell,0.1,,,0.1,1751318111.679
1801,373886664,1751318418332,3,0.0003,0.00028813,50.92,BTC-25JUL25-150000-C,107483.31,sell,0.1,,,0.1,1751318418.332
1802,373886813,1751318718358,3,0.0003,0.0002838,51.04,BTC-25JUL25-150000-C,107387.7,sell,0.1,,,0.1,1751318718.358
1803,373886977,1751319018424,3,0.0003,0.00028425,51.06,BTC-25JUL25-150000-C,107372.74,sell,0.1,,,0.1,1751319018.424
1804,373887305,1751319402265,3,0.0003,0.00028803,51.03,BTC-25JUL25-150000-C,107400.04,sell,0.1,,,0.1,1751319402.265
1805,373887339,1751319702287,3,0.0003,0.0002875,51.04,BTC-25JUL25-150000-C,107397.61,sell,0.1,,,0.1,1751319702.287
1806,373892563,1751324802935,3,0.0003,0.00029368,51.36,BTC-25JUL25-150000-C,107167.14,sell,0.1,,,0.1,1751324802.935
1807,373899919,1751338396133,3,0.0003,0.00029866,51.56,BTC-25JUL25-150000-C,107147.01,sell,0.1,,,0.1,1751338396.133
1808,373900117,1751338696160,3,0.0003,0.00031085,51.55,BTC-25JUL25-150000-C,107133.29,sell,0.1,,,0.1,1751338696.16
1809,373900605,1751339143799,3,0.0003,0.00032186,51.52,BTC-25JUL25-150000-C,107136.03,sell,0.1,,,0.1,1751339143.799
1810,373900941,1751339443826,3,0.0003,0.00032299,51.53,BTC-25JUL25-150000-C,107141.66,sell,0.1,,,0.1,1751339443.826
1811,373901096,1751339743870,3,0.0003,0.0003241,51.54,BTC-25JUL25-150000-C,107133.57,sell,0.1,,,0.1,1751339743.87
1812,373901539,1751340043902,3,0.0003,0.00032975,51.47,BTC-25JUL25-150000-C,107173.6,sell,0.1,,,0.1,1751340043.902
1813,373902357,1751341097191,3,0.0003,0.00030788,51.49,BTC-25JUL25-150000-C,107203.58,sell,0.1,,,0.1,1751341097.191
1814,373902542,1751341397213,3,0.0003,0.00029857,51.49,BTC-25JUL25-150000-C,107208.97,sell,0.1,,,0.1,1751341397.213
1815,373902725,1751341697254,3,0.0003,0.00029697,51.55,BTC-25JUL25-150000-C,107153.38,sell,0.1,,,0.1,1751341697.254
1816,373902810,1751341997272,3,0.0003,0.0002952,51.49,BTC-25JUL25-150000-C,107191.23,sell,0.1,,,0.1,1751341997.272
1817,373902904,1751342297296,3,0.0003,0.00029314,51.45,BTC-25JUL25-150000-C,107225.28,sell,0.1,,,0.1,1751342297.296
1818,373903041,1751342597331,3,0.0003,0.0002903,51.45,BTC-25JUL25-150000-C,107225.51,sell,0.1,,,0.1,1751342597.331
1819,373903091,1751342890912,3,0.0003,0.0002882,51.48,BTC-25JUL25-150000-C,107221.5,buy,0.1,,,0.1,1751342890.912
1820,373903095,1751342903667,3,0.0003,0.00028832,51.47,BTC-25JUL25-150000-C,107223.77,buy,0.1,,,0.1,1751342903.667
1821,373903096,1751342903740,3,0.0003,0.00028832,51.47,BTC-25JUL25-150000-C,107223.77,sell,0.1,,,0.1,1751342903.74
1822,373903101,1751343021271,3,0.0003,0.00028816,51.47,BTC-25JUL25-150000-C,107226.14,buy,0.1,,,0.1,1751343021.271
1823,373903105,1751343032958,3,0.0003,0.00028806,51.47,BTC-25JUL25-150000-C,107225.26,buy,0.1,,,0.1,1751343032.958
1824,373903154,1751343162216,3,0.0003,0.00028729,51.49,BTC-25JUL25-150000-C,107216.72,buy,0.1,,,0.1,1751343162.216
1825,373903156,1751343171756,3,0.0003,0.00028718,51.49,BTC-25JUL25-150000-C,107216.65,buy,0.1,,,0.1,1751343171.756
1826,373903161,1751343203759,3,0.0003,0.00028717,51.49,BTC-25JUL25-150000-C,107218.44,sell,0.1,,,0.1,1751343203.759
1827,373903270,1751343503813,3,0.0003,0.00028322,51.59,BTC-25JUL25-150000-C,107150.67,sell,0.1,,,0.1,1751343503.813
1828,373903554,1751343803840,3,0.0003,0.00028718,51.53,BTC-25JUL25-150000-C,107183.7,sell,0.1,,,0.1,1751343803.84
1829,373903687,1751344103875,3,0.0003,0.00028433,51.61,BTC-25JUL25-150000-C,107126.06,sell,0.1,,,0.1,1751344103.875
1830,373903851,1751344403896,3,0.0003,0.00028533,51.62,BTC-25JUL25-150000-C,107120.5,sell,0.1,,,0.1,1751344403.896
1831,373903943,1751344703950,3,0.0003,0.00028646,51.62,BTC-25JUL25-150000-C,107125.71,sell,0.1,,,0.1,1751344703.95
1832,373904019,1751345003988,3,0.0003,0.0002862,51.64,BTC-25JUL25-150000-C,107119.29,sell,0.1,,,0.1,1751345003.988
1833,373904296,1751345304024,3,0.0003,0.00028003,51.81,BTC-25JUL25-150000-C,106998.63,sell,0.1,,,0.1,1751345304.024
1834,373904524,1751345604073,3,0.0003,0.00028103,51.88,BTC-25JUL25-150000-C,106957.16,sell,0.1,,,0.1,1751345604.073
1835,373904828,1751345904121,3,0.0003,0.00028386,51.88,BTC-25JUL25-150000-C,106944.79,sell,0.1,,,0.1,1751345904.121
1836,373905051,1751346204168,3,0.0003,0.00028737,51.84,BTC-25JUL25-150000-C,106970.22,sell,0.1,,,0.1,1751346204.168
1837,373905195,1751346504209,3,0.0003,0.0002847,51.91,BTC-25JUL25-150000-C,106929.6,sell,0.1,,,0.1,1751346504.209
1838,373905406,1751346804266,3,0.0003,0.00028155,52.02,BTC-25JUL25-150000-C,106824.82,sell,0.1,,,0.1,1751346804.266
1839,373905620,1751347104314,3,0.0003,0.00028437,52.01,BTC-25JUL25-150000-C,106843.76,sell,0.1,,,0.1,1751347104.314
1840,373905763,1751347404333,3,0.0003,0.00028442,52.05,BTC-25JUL25-150000-C,106812.91,sell,0.1,,,0.1,1751347404.333
1841,373905906,1751347795420,3,0.0003,0.00028607,52.08,BTC-25JUL25-150000-C,106787.31,sell,0.1,,,0.1,1751347795.42
1842,373906372,1751348095433,3,0.0003,0.00029018,51.99,BTC-25JUL25-150000-C,106866.11,sell,0.1,,,0.1,1751348095.433
1843,373906464,1751348263008,3,0.0003,0.00028499,52.1,BTC-25JUL25-150000-C,106786.17,buy,0.1,,,0.1,1751348263.008
1844,373906468,1751348272599,3,0.0003,0.00028473,52.1,BTC-25JUL25-150000-C,106785.34,buy,0.1,,,0.1,1751348272.599
1845,373906583,1751348371163,3,0.0003,0.00028993,51.99,BTC-25JUL25-150000-C,106842.72,buy,0.1,,,0.1,1751348371.163
1846,373906584,1751348379599,3,0.0003,0.00028847,52.02,BTC-25JUL25-150000-C,106836.85,buy,0.1,,,0.1,1751348379.599
1847,373906587,1751348395498,3,0.0003,0.00028796,52.03,BTC-25JUL25-150000-C,106829.6,sell,0.1,,,0.1,1751348395.498
1848,373906667,1751348695526,3,0.0003,0.00028902,52.0,BTC-25JUL25-150000-C,106862.32,sell,0.1,,,0.1,1751348695.526
1849,373907008,1751348995568,3,0.0003,0.00029318,51.89,BTC-25JUL25-150000-C,106935.5,sell,0.1,,,0.1,1751348995.568
