trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
247,373945125,1751370466089,3,0.0001,8.824e-05,81.19,BTC-25JUL25-200000-C,106615.15,buy,3.0,3.0,1751370466.089
248,374057977,1751448865132,3,0.0001,8.331e-05,81.59,BTC-25JUL25-200000-C,107636.2,buy,1.0,1.0,1751448865.132
249,374057978,1751448865132,3,0.0001,8.331e-05,81.59,BTC-25JUL25-200000-C,107636.2,buy,2.0,2.0,1751448865.132
250,374197675,1751517435140,3,0.0001,8.482e-05,81.47,BTC-25JUL25-200000-C,109004.97,buy,1.0,1.0,1751517435.14
251,374499143,1751746115685,3,0.0001,3.144e-05,88.07,BTC-25JUL25-200000-C,108085.77,buy,3.0,3.0,1751746115.685
252,374499144,1751746115685,3,0.0001,3.144e-05,88.07,BTC-25JUL25-200000-C,108085.77,buy,0.1,0.1,1751746115.685
253,374519263,1751808689306,3,0.0001,2.71e-05,89.05,BTC-25JUL25-200000-C,108660.79,buy,2.0,2.0,1751808689.306
254,374519264,1751808689306,3,0.0001,2.71e-05,89.05,BTC-25JUL25-200000-C,108660.79,buy,1.0,1.0,1751808689.306
255,374694120,1751983851242,3,0.0001,1.234e-05,94.05,BTC-25JUL25-200000-C,108734.36,buy,5.0,5.0,1751983851.242
256,374694121,1751983851242,3,0.0001,1.234e-05,94.05,BTC-25JUL25-200000-C,108734.36,buy,1.0,1.0,1751983851.242
257,374694122,1751983851242,3,0.0001,1.234e-05,94.05,BTC-25JUL25-200000-C,108734.36,buy,5.0,5.0,1751983851.242
258,374724951,1752011031780,3,0.0001,1.101e-05,94.75,BTC-25JUL25-200000-C,108906.12,buy,5.0,5.0,1752011031.78
259,374724952,1752011031780,3,0.0001,1.101e-05,94.75,BTC-25JUL25-200000-C,108906.12,buy,5.0,5.0,1752011031.78
260,374799203,1752089581438,3,0.0001,9.72e-06,95.58,BTC-25JUL25-200000-C,110382.3,sell,3.3,3.3,1752089581.438
261,374940953,1752165008663,3,0.0001,1.002e-05,95.48,BTC-25JUL25-200000-C,112543.79,buy,0.3,0.3,1752165008.663
262,374941131,1752165018859,3,0.0001,1.03e-05,95.31,BTC-25JUL25-200000-C,112655.71,buy,0.3,0.3,1752165018.859
263,374941454,1752165052657,3,0.0001,1.043e-05,95.25,BTC-25JUL25-200000-C,112708.36,buy,0.3,0.3,1752165052.657
264,374957680,1752167630475,3,0.0001,1.164e-05,94.57,BTC-25JUL25-200000-C,113353.2,buy,0.3,0.3,1752167630.475
265,374965422,1752168693626,3,0.0001,1.217e-05,94.28,BTC-25JUL25-200000-C,113580.71,buy,0.3,0.3,1752168693.626
269,374973086,1752170508999,1,0.0002,1.245e-05,100.33,BTC-25JUL25-200000-C,113689.76,buy,11.0,11.0,1752170508.999
266,374973083,1752170508999,0,0.0002,1.245e-05,100.33,BTC-25JUL25-200000-C,113689.76,buy,1.0,1.0,1752170508.999
268,374973085,1752170508999,1,0.0002,1.245e-05,100.33,BTC-25JUL25-200000-C,113689.76,buy,2.0,2.0,1752170508.999
267,374973084,1752170508999,1,0.0002,1.245e-05,100.33,BTC-25JUL25-200000-C,113689.76,buy,1.0,1.0,1752170508.999
270,374973090,1752170514064,1,0.0002,1.243e-05,100.34,BTC-25JUL25-200000-C,113686.49,buy,0.9,0.9,1752170514.064
271,374973091,1752170514064,1,0.0002,1.243e-05,100.34,BTC-25JUL25-200000-C,113686.49,buy,6.0,6.0,1752170514.064
272,374975491,1752171572110,1,0.0002,1.208e-05,100.53,BTC-25JUL25-200000-C,113580.82,buy,15.0,15.0,1752171572.11
