trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,liquidation,block_rfq_id,unix_sec
1084,369656013,1748686476672,2,0.093,0.09243047,45.95,BTC-25JUL25-100000-C,103444.42,buy,0.1,0.1,,,,,,,1748686476.672
1085,369662584,1748693626742,0,0.0955,0.09536543,45.92,BTC-25JUL25-100000-C,103907.16,buy,0.1,0.1,,,,,,,1748693626.742
1086,369665738,1748696828240,0,0.0975,0.09699883,46.14,BTC-25JUL25-100000-C,104199.88,sell,0.1,0.1,,,,,,,1748696828.24
1087,369674005,1748703350189,0,0.0985,0.09784437,45.94,BTC-25JUL25-100000-C,104470.32,buy,0.1,0.1,,,,,,,1748703350.189
1089,369682723,1748711409173,1,0.099,0.0981402,46.11,BTC-25JUL25-100000-C,104508.51,buy,0.9,0.9,,,,,,,1748711409.173
1088,369682722,1748711409173,0,0.099,0.0981402,46.11,BTC-25JUL25-100000-C,104508.51,buy,0.1,0.1,,,,,,,1748711409.173
1090,369682755,1748711419074,1,0.099,0.09823382,46.05,BTC-25JUL25-100000-C,104520.95,sell,1.0,1.0,,,,,,,1748711419.074
1091,369682756,1748711421843,1,0.099,0.09822981,46.06,BTC-25JUL25-100000-C,104518.83,sell,1.0,1.0,,,,,,,1748711421.843
1092,369682758,1748711424914,1,0.099,0.09822286,46.06,BTC-25JUL25-100000-C,104518.79,sell,1.0,1.0,,,,,,,1748711424.914
1093,369682836,1748711509371,1,0.099,0.09840143,45.95,BTC-25JUL25-100000-C,104537.5,sell,1.0,1.0,,,,,,,1748711509.371
1094,369684325,1748712689123,1,0.099,0.09880273,46.15,BTC-25JUL25-100000-C,104493.64,sell,0.4,0.4,,,,,,,1748712689.123
1095,369687188,1748713896122,1,0.099,0.09884542,46.24,BTC-25JUL25-100000-C,104465.95,sell,0.1,0.1,,,,,,,1748713896.122
1096,369687189,1748713896123,1,0.099,0.09884542,46.24,BTC-25JUL25-100000-C,104465.95,sell,0.5,0.5,,,,,,,1748713896.123
1097,369708017,1748741663195,2,0.0985,0.09827317,46.54,BTC-25JUL25-100000-C,104367.19,sell,0.3,0.3,,,,,,,1748741663.195
1098,369708026,1748741663598,3,0.0985,0.09827317,46.54,BTC-25JUL25-100000-C,104367.19,sell,0.7,0.7,,,,,,,1748741663.598
1099,369708196,1748741717391,2,0.098,0.0980438,46.34,BTC-25JUL25-100000-C,104325.44,sell,0.1,0.1,,,,,,,1748741717.391
1100,369708198,1748741717659,3,0.098,0.0980438,46.34,BTC-25JUL25-100000-C,104325.44,sell,0.1,0.1,,,,,,,1748741717.659
1101,369708544,1748741965273,3,0.098,0.09773804,46.57,BTC-25JUL25-100000-C,104259.25,sell,0.2,0.2,,,,,,,1748741965.273
1102,369708611,1748741993856,3,0.098,0.0977158,46.58,BTC-25JUL25-100000-C,104255.93,sell,0.1,0.1,,,,,,,1748741993.856
1103,369708758,1748742183759,3,0.098,0.09762173,46.65,BTC-25JUL25-100000-C,104240.81,sell,0.5,0.5,,,,,,,1748742183.759
1104,369731997,1748772183846,2,0.097,0.09682587,46.77,BTC-25JUL25-100000-C,104065.17,sell,0.2,0.2,,,,,,,1748772183.846
1105,369732005,1748772184610,3,0.097,0.09682568,46.78,BTC-25JUL25-100000-C,104054.82,sell,0.1,0.1,,,,,,,1748772184.61
1106,369732006,1748772184852,3,0.097,0.09682568,46.78,BTC-25JUL25-100000-C,104054.82,sell,0.2,0.2,,,,,,,1748772184.852
1107,369732013,1748772185851,3,0.097,0.09680483,46.82,BTC-25JUL25-100000-C,104045.95,sell,0.3,0.3,,,,,,,1748772185.851
1108,369732014,1748772186915,3,0.097,0.09674903,46.88,BTC-25JUL25-100000-C,104037.81,sell,0.3,0.3,,,,,,,1748772186.915
1109,369732025,1748772189981,3,0.097,0.09661306,46.92,BTC-25JUL25-100000-C,104028.98,sell,0.5,0.5,,,,,,,1748772189.981
1110,369732304,1748772264189,3,0.097,0.09662235,46.91,BTC-25JUL25-100000-C,104035.75,sell,0.4,0.4,,,,,,,1748772264.189
1111,369737784,1748782223040,2,0.096,0.09598942,46.79,BTC-25JUL25-100000-C,103940.56,buy,0.1,0.1,,,,,,,1748782223.04
1112,369737931,1748782644193,0,0.0965,0.09646422,46.83,BTC-25JUL25-100000-C,104005.86,buy,0.1,0.1,,,,,,,1748782644.193
1113,369737937,1748782673768,1,0.0965,0.09652736,46.79,BTC-25JUL25-100000-C,104015.48,buy,0.1,0.1,,,,,,,1748782673.768
1114,369738011,1748782994780,0,0.097,0.09656834,47.12,BTC-25JUL25-100000-C,104018.24,buy,0.1,0.1,,,,,,,1748782994.78
1115,369738056,1748783166694,1,0.097,0.09675516,46.99,BTC-25JUL25-100000-C,104046.93,buy,0.1,0.1,,,,,,,1748783166.694
1116,369739134,1748784443453,0,0.098,0.09823176,46.8,BTC-25JUL25-100000-C,104280.67,buy,0.1,0.1,,,,,,,1748784443.453
