trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,block_rfq_id,liquidation,unix_sec
2401,369580116,1748643630544,0,0.0445,0.04428799,45.12,BTC-25JUL25-100000-P,104609.91,sell,0.1,0.1,,,,,,,1748643630.544
2402,369580117,1748643630710,1,0.0445,0.04428799,45.12,BTC-25JUL25-100000-P,104609.91,sell,0.1,0.1,,,,,,,1748643630.71
2403,369580122,1748643635077,1,0.0445,0.04428236,45.17,BTC-25JUL25-100000-P,104624.48,sell,0.1,0.1,,,,,,,1748643635.077
2404,369580123,1748643635141,1,0.0445,0.04428236,45.17,BTC-25JUL25-100000-P,104624.48,sell,0.5,0.5,,,,,,,1748643635.141
2405,369580124,1748643636369,1,0.0445,0.04422709,45.17,BTC-25JUL25-100000-P,104625.4,sell,0.1,0.1,,,,,,,1748643636.369
2406,369580125,1748643636371,1,0.0445,0.04422709,45.17,BTC-25JUL25-100000-P,104625.4,sell,0.1,0.1,,,,,,,1748643636.371
2407,369582816,1748644894794,0,0.046,0.04565012,45.31,BTC-25JUL25-100000-P,104293.12,buy,0.1,0.1,,,,,,,1748644894.794
2408,369585589,1748645803828,1,0.046,0.04631305,44.92,BTC-25JUL25-100000-P,104172.48,buy,0.7,0.7,,,,,,,1748645803.828
2409,369585738,1748645840785,1,0.046,0.04649856,44.78,BTC-25JUL25-100000-P,104118.16,buy,0.7,0.7,,,,,,,1748645840.785
2410,369601859,1748651912873,0,0.0465,0.04619607,45.21,BTC-25JUL25-100000-P,104070.05,sell,0.1,0.1,,,,,,,1748651912.873
2411,369601860,1748651912924,1,0.0465,0.04619607,45.21,BTC-25JUL25-100000-P,104070.05,sell,0.9,0.9,,,,,,,1748651912.924
2412,369601986,1748652020537,2,0.046,0.04578166,45.22,BTC-25JUL25-100000-P,104200.33,sell,1.0,1.0,,,,,,,1748652020.537
2413,369603160,1748652564672,3,0.046,0.04601726,45.07,BTC-25JUL25-100000-P,104156.37,buy,0.1,0.1,,,,,,,1748652564.672
2414,369603756,1748653382374,0,0.0465,0.04675868,45.0,BTC-25JUL25-100000-P,103997.47,sell,0.1,0.1,,,,,,,1748653382.374
2415,369604584,1748653749996,1,0.0465,0.04692697,44.88,BTC-25JUL25-100000-P,103939.49,sell,0.1,0.1,,,,,,,1748653749.996
2416,369604586,1748653750001,1,0.0465,0.04692697,44.88,BTC-25JUL25-100000-P,103939.49,sell,0.1,0.1,,,,,,,1748653750.001
2417,369604703,1748653783756,0,0.047,0.04689785,45.11,BTC-25JUL25-100000-P,103898.87,sell,0.2,0.2,,,,,,,1748653783.756
2418,369604704,1748653784294,1,0.047,0.04693341,45.12,BTC-25JUL25-100000-P,103906.35,sell,0.1,0.1,,,,,,,1748653784.294
2419,369605507,1748654354370,2,0.046,0.04591131,45.1,BTC-25JUL25-100000-P,104165.05,sell,0.1,0.1,,,,,,,1748654354.37
2420,369605508,1748654354451,3,0.046,0.04591131,45.1,BTC-25JUL25-100000-P,104165.05,sell,0.1,0.1,,,,,,,1748654354.451
2421,369605510,1748654357386,3,0.046,0.04596705,45.1,BTC-25JUL25-100000-P,104166.58,sell,0.1,0.1,,,,,,,1748654357.386
2422,369605511,1748654357461,3,0.046,0.04596705,45.1,BTC-25JUL25-100000-P,104166.58,sell,0.1,0.1,,,,,,,1748654357.461
2423,369605968,1748654782668,0,0.047,0.04699638,45.1,BTC-25JUL25-100000-P,103922.04,sell,1.0,1.0,,,,,,,1748654782.668
2424,369606140,1748654983138,1,0.047,0.04702012,45.08,BTC-25JUL25-100000-P,103916.18,sell,1.0,1.0,,,,,,,1748654983.138
2425,369606174,1748655008479,1,0.047,0.04712277,44.99,BTC-25JUL25-100000-P,103885.03,sell,1.0,1.0,,,,,,,1748655008.479
2426,369606202,1748655036455,1,0.047,0.0470432,45.08,BTC-25JUL25-100000-P,103910.14,sell,1.0,1.0,,,,,,,1748655036.455
2427,369606269,1748655070187,1,0.047,0.04709952,45.02,BTC-25JUL25-100000-P,103890.05,sell,0.2,0.2,,,,,,,1748655070.187
2428,369606270,1748655070196,1,0.047,0.04709952,45.02,BTC-25JUL25-100000-P,103890.05,sell,0.1,0.1,,,,,,,1748655070.196
2429,369606273,1748655070541,1,0.047,0.04709599,45.06,BTC-25JUL25-100000-P,103905.33,sell,0.7,0.7,,,,,,,1748655070.541
2430,369606325,1748655137799,1,0.047,0.04712755,45.0,BTC-25JUL25-100000-P,103885.29,sell,0.1,0.1,,,,,,,1748655137.799
2431,369606327,1748655137986,1,0.047,0.04712755,45.0,BTC-25JUL25-100000-P,103885.29,sell,0.1,0.1,,,,,,,1748655137.986
2432,369606429,1748655240509,1,0.047,0.04688197,45.09,BTC-25JUL25-100000-P,103915.84,sell,0.1,0.1,,,,,,,1748655240.509
2433,369606551,1748655265846,0,0.0475,0.04746371,45.07,BTC-25JUL25-100000-P,103787.45,sell,0.2,0.2,,,,,,,1748655265.846
2434,369606552,1748655265852,1,0.0475,0.04746371,45.07,BTC-25JUL25-100000-P,103787.45,sell,0.2,0.2,,,,,,,1748655265.852
2435,369607158,1748655296991,0,0.0485,0.04825812,45.05,BTC-25JUL25-100000-P,103519.03,sell,1.0,1.0,,,,,,,1748655296.991
2436,369607340,1748655318284,2,0.048,0.04791143,45.08,BTC-25JUL25-100000-P,103637.81,sell,0.1,0.1,,,,,,,1748655318.284
2437,369607498,1748655381809,3,0.048,0.04805264,45.03,BTC-25JUL25-100000-P,103625.63,sell,1.0,1.0,,,,,,,1748655381.809
2438,369611163,1748657162310,0,0.049,0.04898616,45.09,BTC-25JUL25-100000-P,103406.12,sell,1.0,1.0,,,,,,,1748657162.31
2439,369614376,1748659655465,1,0.049,0.04872958,45.23,BTC-25JUL25-100000-P,103464.74,buy,0.8,0.8,,,,,,,1748659655.465
2440,369615893,1748660221951,0,0.05,0.04962631,45.48,BTC-25JUL25-100000-P,103295.71,buy,0.2,0.2,,,,,,,1748660221.951
2441,369615894,1748660221960,1,0.05,0.04962631,45.48,BTC-25JUL25-100000-P,103295.71,buy,0.1,0.1,,,,,,,1748660221.96
2442,369616010,1748660307883,1,0.05,0.04980764,45.41,BTC-25JUL25-100000-P,103271.92,buy,0.2,0.2,,,,,,,1748660307.883
2443,369616033,1748660311266,1,0.05,0.04981642,45.41,BTC-25JUL25-100000-P,103274.34,buy,0.2,0.2,,,,,,,1748660311.266
2444,369623963,1748665244637,2,0.049,0.04886245,46.23,BTC-25JUL25-100000-P,103698.56,sell,0.7,0.7,,,,,,,1748665244.637
2445,369623970,1748665244683,3,0.049,0.04886245,46.23,BTC-25JUL25-100000-P,103698.56,sell,0.1,0.1,,,,,,,1748665244.683
2446,369623995,1748665250382,3,0.049,0.04875188,46.31,BTC-25JUL25-100000-P,103725.95,sell,0.1,0.1,,,,,,,1748665250.382
2447,369624163,1748665319902,3,0.049,0.04870908,46.39,BTC-25JUL25-100000-P,103754.63,sell,1.1,1.1,,,,,,,1748665319.902
2448,369639000,1748673348452,3,0.049,0.04890334,46.32,BTC-25JUL25-100000-P,103789.84,sell,1.0,1.0,,,,,,,1748673348.452
2449,369645240,1748678607944,2,0.0485,0.04863922,46.06,BTC-25JUL25-100000-P,103839.56,sell,1.0,1.0,,,,,,,1748678607.944
2450,369660370,1748690716810,0,0.0495,0.04925391,45.91,BTC-25JUL25-100000-P,103540.69,buy,0.4,0.4,,,,,,,1748690716.81
