trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,liquidation,unix_sec
959,369614318,1748659642588,2,0.0345,0.03420932,45.39,BTC-25JUL25-115000-C,103520.0,sell,0.4,0.4,,,,,,,1748659642.588
960,369614331,1748659645706,3,0.0345,0.03419124,45.4,BTC-25JUL25-115000-C,103516.36,sell,0.5,0.5,,,,,,,1748659645.706
961,369614332,1748659645717,3,0.0345,0.03419124,45.4,BTC-25JUL25-115000-C,103516.36,sell,0.1,0.1,,,,,,,1748659645.717
962,369647393,1748679554046,0,0.0355,0.03585568,46.02,BTC-25JUL25-115000-C,103592.23,sell,0.1,0.1,,,,,,,1748679554.046
963,369647403,1748679556204,1,0.0355,0.03586108,46.01,BTC-25JUL25-115000-C,103604.93,sell,0.1,0.1,,,,,,,1748679556.204
964,369717138,1748753129514,0,0.04,0.0397694,47.09,BTC-25JUL25-115000-C,104770.12,buy,0.1,0.1,,,,,,,1748753129.514
965,369751232,1748794087796,1,0.04,0.04002964,46.97,BTC-25JUL25-115000-C,104904.69,buy,0.1,0.1,,,,,,,1748794087.796
966,369799747,1748831315726,2,0.0385,0.03859882,45.5,BTC-25JUL25-115000-C,105260.87,sell,0.3,0.3,,,,,,,1748831315.726
967,369805398,1748834698596,2,0.037,0.03704317,45.5,BTC-25JUL25-115000-C,104794.67,sell,0.2,0.2,,,,,,,1748834698.596
968,369805399,1748834700793,3,0.037,0.0370435,45.5,BTC-25JUL25-115000-C,104793.83,sell,0.2,0.2,,,,,,,1748834700.793
969,369806268,1748835675380,0,0.0375,0.03756846,45.5,BTC-25JUL25-115000-C,104968.69,buy,0.3,0.3,,,,,,,1748835675.38
970,369808980,1748837532351,2,0.037,0.03693787,45.47,BTC-25JUL25-115000-C,104840.15,sell,0.9,0.9,,,,,,,1748837532.351
971,369808983,1748837550241,3,0.037,0.03704699,45.43,BTC-25JUL25-115000-C,104856.5,buy,0.1,0.1,,,,,,,1748837550.241
972,369809155,1748837712583,0,0.0375,0.03738848,45.49,BTC-25JUL25-115000-C,104986.14,buy,1.0,1.0,,,,,,,1748837712.583
973,369809211,1748837740267,1,0.0375,0.03755694,45.4,BTC-25JUL25-115000-C,105031.67,sell,0.3,0.3,,,,,,,1748837740.267
974,369809278,1748837792670,1,0.0375,0.03751021,45.46,BTC-25JUL25-115000-C,105007.18,sell,0.5,0.5,,,,,,,1748837792.67
975,369809298,1748837835564,1,0.0375,0.03742402,45.5,BTC-25JUL25-115000-C,105001.9,sell,0.9,0.9,,,,,,,1748837835.564
976,369809326,1748837853449,1,0.0375,0.03749134,45.47,BTC-25JUL25-115000-C,105009.26,buy,0.1,0.1,,,,,,,1748837853.449
977,369809327,1748837853455,1,0.0375,0.03749134,45.47,BTC-25JUL25-115000-C,105009.26,sell,0.1,0.1,,,,,,,1748837853.455
978,369809625,1748838703492,1,0.0375,0.03740557,45.5,BTC-25JUL25-115000-C,104993.19,buy,0.1,0.1,,,,,,,1748838703.492
979,369830992,1748856709184,2,0.0365,0.03640272,45.25,BTC-25JUL25-115000-C,104781.67,buy,0.1,0.1,,,,,,,1748856709.184
980,369837203,1748859876275,2,0.035,0.03515856,45.1,BTC-25JUL25-115000-C,104363.95,sell,0.3,0.3,,,,,,,1748859876.275
981,369841542,1748863584533,3,0.035,0.03492854,45.13,BTC-25JUL25-115000-C,104334.81,buy,0.1,0.1,,,,,,,1748863584.533
983,369841898,1748864211574,3,0.035,0.03493955,45.15,BTC-25JUL25-115000-C,104335.09,buy,0.1,0.1,,,,,,,1748864211.574
982,369841897,1748864211574,3,0.035,0.03493955,45.15,BTC-25JUL25-115000-C,104335.09,buy,0.2,0.2,,,,,,,1748864211.574
984,369841899,1748864211576,3,0.035,0.03493955,45.15,BTC-25JUL25-115000-C,104335.09,sell,2.2,2.2,,,,,,,1748864211.576
985,369860192,1748871803586,2,0.034,0.03414556,44.68,BTC-25JUL25-115000-C,104251.17,sell,0.2,0.2,,,,,,,1748871803.586
986,369870931,1748873471625,2,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,buy,0.3,0.3,,,,,,,1748873471.625
987,369870932,1748873471625,3,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,buy,0.1,0.1,,,,,,,1748873471.625
988,369870933,1748873471625,3,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,buy,0.2,0.2,,,,,,,1748873471.625
989,369870934,1748873471628,3,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,sell,8.6,8.6,,,,,,,1748873471.628
990,369870935,1748873471631,3,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,sell,1.9,1.9,,,,,,,1748873471.631
991,369870936,1748873471643,3,0.0335,0.03324399,44.88,BTC-25JUL25-115000-C,104027.9,sell,0.1,0.1,,,,,,,1748873471.643
992,369870989,1748873474259,3,0.0335,0.03322564,44.86,BTC-25JUL25-115000-C,104037.83,sell,0.1,0.1,,,,,,,1748873474.259
993,369871040,1748873474561,3,0.0335,0.03322564,44.86,BTC-25JUL25-115000-C,104037.83,sell,0.4,0.4,,,,,,,1748873474.561
994,369871060,1748873477660,3,0.0335,0.03324299,44.89,BTC-25JUL25-115000-C,104014.14,sell,0.4,0.4,,,,,,,1748873477.66
995,369871090,1748873484547,3,0.0335,0.03320943,44.89,BTC-25JUL25-115000-C,104024.08,sell,2.9,2.9,,,,,,,1748873484.547
996,369872899,1748873766988,3,0.0335,0.03348672,44.72,BTC-25JUL25-115000-C,104096.16,sell,0.1,0.1,,,,,,,1748873766.988
997,369880170,1748875414726,0,0.0345,0.03442716,44.62,BTC-25JUL25-115000-C,104470.04,sell,0.1,0.1,,,,,,,1748875414.726
998,369883246,1748876371889,2,0.0335,0.03350857,44.52,BTC-25JUL25-115000-C,104196.93,buy,0.2,0.2,,,,,,,1748876371.889
999,369892767,1748879463404,0,0.0345,0.03452716,44.55,BTC-25JUL25-115000-C,104533.75,buy,0.2,0.2,,,,,,,1748879463.404
1000,369893492,1748880121803,2,0.034,0.03411948,44.48,BTC-25JUL25-115000-C,104400.97,sell,0.9,0.9,,,,,,,1748880121.803
1001,369898528,1748881502080,2,0.033,0.03271224,44.07,BTC-25JUL25-115000-C,104222.94,buy,8.6,8.6,,,,,,,1748881502.08
1002,369898529,1748881502082,3,0.033,0.03271224,44.07,BTC-25JUL25-115000-C,104222.94,sell,6.4,6.4,,,,,,,1748881502.082
1003,369907811,1748889029344,0,0.0345,0.03444446,44.39,BTC-25JUL25-115000-C,104639.26,buy,0.1,0.1,,,,,,,1748889029.344
1004,369910292,1748890780843,2,0.0335,0.0333831,44.23,BTC-25JUL25-115000-C,104366.91,buy,0.1,0.1,,,,,,,1748890780.843
1005,369910655,1748891139676,0,0.034,0.03389893,44.26,BTC-25JUL25-115000-C,104538.0,buy,0.1,0.1,,,,,,,1748891139.676
1006,369910656,1748891148896,1,0.034,0.03390872,44.25,BTC-25JUL25-115000-C,104539.24,sell,0.3,0.3,,,,,,,1748891148.896
1007,369925625,1748900409604,0,0.0345,0.03451301,44.09,BTC-25JUL25-115000-C,104829.79,buy,0.1,0.1,,,,,,,1748900409.604
1008,369926843,1748901635811,0,0.035,0.03506619,44.02,BTC-25JUL25-115000-C,105038.32,buy,0.1,0.1,,,,,,,1748901635.811
1009,369927988,1748902045816,0,0.0355,0.03563505,44.07,BTC-25JUL25-115000-C,105172.65,sell,1.0,1.0,,,,,,,1748902045.816
1010,369928072,1748902137183,1,0.0355,0.03550221,44.06,BTC-25JUL25-115000-C,105173.91,buy,0.1,0.1,,,,,,,1748902137.183
1011,369930487,1748903019053,0,0.0365,0.03653624,44.07,BTC-25JUL25-115000-C,105473.03,buy,0.1,0.1,,,,,,,1748903019.053
1012,369935627,1748906292731,0,0.0375,0.03754349,44.07,BTC-25JUL25-115000-C,105804.71,buy,0.1,0.1,,,,,,,1748906292.731
