trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
7,370569555,1749416047580,2,0.44,0.43980219,74.03,BTC-25JUL25-60000-C,106240.86,buy,5.0,5.0,1749416047.58
8,370623462,1749468305858,0,0.4465,0.44628554,75.47,BTC-25JUL25-60000-C,107514.36,buy,5.0,5.0,1749468305.858
9,372032164,1750270428407,2,0.4275,0.42702342,78.87,BTC-25JUL25-60000-C,104146.2,buy,3.8,3.8,1750270428.407
10,372032166,1750270428430,3,0.4275,0.42702342,78.87,BTC-25JUL25-60000-C,104146.2,buy,1.2,1.2,1750270428.43
11,372293170,1750431009094,0,0.4285,0.42903837,65.15,BTC-25JUL25-60000-C,104548.26,sell,13.9,13.9,1750431009.094
12,372293172,1750431009119,1,0.4285,0.42903837,65.15,BTC-25JUL25-60000-C,104548.26,sell,1.9,1.9,1750431009.119
13,372522447,1750558208718,2,0.414,0.41480842,59.87,BTC-25JUL25-60000-C,102113.3,sell,6.9,6.9,1750558208.718
14,372613609,1750602067160,2,0.4015,0.40263197,0.0,BTC-25JUL25-60000-C,100106.25,sell,1.2,1.2,1750602067.16
15,372888578,1750692607088,0,0.4105,0.41113642,66.82,BTC-25JUL25-60000-C,101511.01,sell,0.6,0.6,1750692607.088
16,374146056,1751477888949,0,0.4525,0.45310323,0.0,BTC-25JUL25-60000-C,109300.96,sell,0.2,0.2,1751477888.949
17,374146061,1751477889024,1,0.4525,0.45310323,0.0,BTC-25JUL25-60000-C,109300.96,sell,10.9,10.9,1751477889.024
18,374146065,1751477889056,1,0.4525,0.45310323,0.0,BTC-25JUL25-60000-C,109300.96,sell,5.3,5.3,1751477889.056
19,374937548,1752164670822,0,0.4675,0.46622855,135.47,BTC-25JUL25-60000-C,112202.38,buy,2.6,2.6,1752164670.822
20,376364711,1752754973235,0,0.4915,0.49158056,0.0,BTC-25JUL25-60000-C,117788.05,sell,7.9,7.9,1752754973.235
21,377333704,1753350553817,0,0.4935,0.49430542,0.0,BTC-25JUL25-60000-C,118551.44,sell,0.7,0.7,1753350553.817
