trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
415,369585770,1748645862615,0,0.0014,0.00136372,69.36,BTC-25JUL25-60000-P,104069.06,buy,0.1,0.1,1748645862.615
416,369589834,1748647537812,2,0.0012,0.00130143,67.89,BTC-25JUL25-60000-P,104076.01,buy,0.1,0.1,1748647537.812
417,369618236,1748661954775,3,0.0012,0.00129751,67.31,BTC-25JUL25-60000-P,103433.68,buy,0.1,0.1,1748661954.775
419,369625219,1748665984592,1,0.0014,0.00131988,69.39,BTC-25JUL25-60000-P,103802.73,buy,0.4,0.4,1748665984.592
418,369625218,1748665984592,0,0.0014,0.00131988,69.39,BTC-25JUL25-60000-P,103802.73,buy,0.1,0.1,1748665984.592
420,369625487,1748666284639,1,0.0014,0.00133708,69.39,BTC-25JUL25-60000-P,103790.07,buy,0.1,0.1,1748666284.639
421,369625488,1748666284649,1,0.0014,0.00133708,69.39,BTC-25JUL25-60000-P,103790.07,buy,0.1,0.1,1748666284.649
422,369625649,1748666584654,1,0.0014,0.00134524,69.39,BTC-25JUL25-60000-P,103786.31,buy,0.1,0.1,1748666584.654
423,369625848,1748666884714,1,0.0014,0.00134832,69.4,BTC-25JUL25-60000-P,103804.45,buy,0.1,0.1,1748666884.714
424,369626015,1748667184732,1,0.0014,0.0013547,69.37,BTC-25JUL25-60000-P,103779.94,buy,0.1,0.1,1748667184.732
425,369626232,1748667492469,1,0.0014,0.00134889,69.44,BTC-25JUL25-60000-P,103837.0,buy,0.1,0.1,1748667492.469
426,369626946,1748667795358,1,0.0014,0.00134916,69.47,BTC-25JUL25-60000-P,103854.67,buy,0.1,0.1,1748667795.358
427,369627361,1748668095388,1,0.0014,0.00135062,69.49,BTC-25JUL25-60000-P,103868.14,buy,0.1,0.1,1748668095.388
428,369627776,1748668577671,1,0.0014,0.00135627,69.29,BTC-25JUL25-60000-P,103706.81,buy,0.1,0.1,1748668577.671
429,369660039,1748690291267,2,0.0012,0.00124819,67.49,BTC-25JUL25-60000-P,103456.85,buy,0.1,0.1,1748690291.267
430,369676642,1748705173559,0,0.0013,0.00130806,69.76,BTC-25JUL25-60000-P,104742.92,buy,0.1,0.1,1748705173.559
431,369690651,1748719537826,1,0.0013,0.00130986,69.91,BTC-25JUL25-60000-P,104740.63,buy,0.1,0.1,1748719537.826
432,369703148,1748733937809,1,0.0013,0.0013638,69.93,BTC-25JUL25-60000-P,104707.44,buy,0.1,0.1,1748733937.809
433,369708992,1748742363653,0,0.0014,0.00144756,70.37,BTC-25JUL25-60000-P,104308.39,sell,1.0,1.0,1748742363.653
434,369715437,1748750550370,1,0.0014,0.00138505,70.65,BTC-25JUL25-60000-P,104485.4,buy,0.1,0.1,1748750550.37
435,369722623,1748762737841,2,0.0013,0.00137436,69.88,BTC-25JUL25-60000-P,104382.64,buy,0.1,0.1,1748762737.841
436,369734771,1748777137838,3,0.0013,0.00137431,69.51,BTC-25JUL25-60000-P,104069.93,buy,0.1,0.1,1748777137.838
437,369771684,1748804631638,2,0.0012,0.00127072,69.92,BTC-25JUL25-60000-P,104925.59,sell,0.9,0.9,1748804631.638
438,369771773,1748804641425,3,0.0012,0.00127001,69.92,BTC-25JUL25-60000-P,104923.07,sell,0.1,0.1,1748804641.425
439,369774456,1748808486820,3,0.0012,0.00117972,70.05,BTC-25JUL25-60000-P,105001.62,buy,0.1,0.1,1748808486.82
