trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,unix_sec
73,369793878,1748824597671,0,0.1716,0.17177824,47.25,BTC-25JUL25-90000-C,105517.59,sell,0.1,0.1,,,BTC-CDIAG-25JUL25_6JUN25-90000_106000,369793877,1748824597.671
74,370038467,1748982919139,2,0.169,0.16887895,45.83,BTC-25JUL25-90000-C,105611.61,sell,1.0,1.0,,,BTC-CBUT-25JUL25-90000_95000_102000,370038465,1748982919.139
75,370314419,1749157188210,2,0.132,0.13207783,44.15,BTC-25JUL25-90000-C,100499.05,buy,0.1,0.1,,,,,1749157188.21
76,370684993,1749495817026,0,0.1845,0.18453464,44.98,BTC-25JUL25-90000-C,108621.8,buy,0.1,0.1,,,,,1749495817.026
77,370685009,1749495822128,1,0.1845,0.18445525,45.32,BTC-25JUL25-90000-C,108591.05,buy,0.1,0.1,,,,,1749495822.128
78,370685154,1749495968585,1,0.1845,0.18450906,45.26,BTC-25JUL25-90000-C,108603.54,buy,0.1,0.1,,,,,1749495968.585
79,370685159,1749495968865,1,0.1845,0.18450906,45.26,BTC-25JUL25-90000-C,108603.54,buy,0.1,0.1,,,,,1749495968.865
80,370685916,1749496650678,1,0.1845,0.18433068,45.55,BTC-25JUL25-90000-C,108589.74,buy,0.1,0.1,,,,,1749496650.678
81,370685920,1749496651633,1,0.1845,0.18434661,45.54,BTC-25JUL25-90000-C,108590.39,buy,0.1,0.1,,,,,1749496651.633
82,370686001,1749496782220,1,0.1845,0.18461661,45.09,BTC-25JUL25-90000-C,108628.34,buy,0.1,0.1,,,,,1749496782.22
83,370686019,1749496796309,1,0.1845,0.18452474,45.13,BTC-25JUL25-90000-C,108625.9,buy,0.1,0.1,,,,,1749496796.309
84,370691969,1749499368000,0,0.185,0.18511012,45.21,BTC-25JUL25-90000-C,108693.68,buy,0.1,0.1,,,,,1749499368.0
85,370691997,1749499381419,1,0.185,0.18499355,45.4,BTC-25JUL25-90000-C,108678.46,buy,0.1,0.1,,,,,1749499381.419
86,370692037,1749499393567,1,0.185,0.1849717,45.57,BTC-25JUL25-90000-C,108665.82,buy,0.1,0.1,,,,,1749499393.567
87,370692049,1749499402859,1,0.185,0.18483467,45.68,BTC-25JUL25-90000-C,108658.19,buy,0.1,0.1,,,,,1749499402.859
88,370692072,1749499416017,1,0.185,0.18478339,45.77,BTC-25JUL25-90000-C,108653.6,buy,0.1,0.1,,,,,1749499416.017
89,370692074,1749499418024,1,0.185,0.18478387,45.78,BTC-25JUL25-90000-C,108652.65,buy,0.1,0.1,,,,,1749499418.024
90,370692233,1749499525363,1,0.185,0.1848746,45.63,BTC-25JUL25-90000-C,108668.34,buy,0.1,0.1,,,,,1749499525.363
