trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_trade_id,combo_id,block_rfq_id,unix_sec
661,369614712,1748659993575,0,0.02,0.02004754,47.05,BTC-25JUL25-90000-P,103324.97,buy,0.1,0.1,,,,,,1748659993.575
662,369673680,1748703105785,2,0.018,0.0183913,47.41,BTC-25JUL25-90000-P,104447.74,sell,0.1,0.1,,,,,,1748703105.785
663,369674571,1748703641354,0,0.0185,0.01811517,48.24,BTC-25JUL25-90000-P,104612.28,buy,0.1,0.1,,,,,,1748703641.354
664,369674572,1748703641354,1,0.0185,0.01811517,48.24,BTC-25JUL25-90000-P,104612.28,buy,9.9,9.9,,,,,,1748703641.354
665,369706721,1748739724015,1,0.0185,0.01874246,48.18,BTC-25JUL25-90000-P,104477.28,sell,0.3,0.3,,,,,,1748739724.015
666,369719854,1748758511029,1,0.0185,0.01830487,48.27,BTC-25JUL25-90000-P,104426.52,buy,17.5,17.5,,,,,,1748758511.029
667,369719855,1748758514106,1,0.0185,0.01830424,48.27,BTC-25JUL25-90000-P,104426.45,buy,2.5,2.5,,,,,,1748758514.106
668,369738290,1748783476982,0,0.019,0.01917212,48.31,BTC-25JUL25-90000-P,104182.46,sell,1.0,1.0,,,,,,1748783476.982
669,369738291,1748783476984,1,0.019,0.01917212,48.31,BTC-25JUL25-90000-P,104182.46,buy,1.0,1.0,,,,,,1748783476.984
671,369738297,1748783526182,1,0.019,0.01914354,48.33,BTC-25JUL25-90000-P,104202.01,sell,0.6,0.6,,,,,,1748783526.182
670,369738296,1748783526182,1,0.019,0.01914354,48.33,BTC-25JUL25-90000-P,104202.01,sell,1.0,1.0,,,,,,1748783526.182
672,369738635,1748783831929,2,0.0185,0.01875728,48.16,BTC-25JUL25-90000-P,104375.52,sell,1.4,1.4,,,,,,1748783831.929
673,369740822,1748786643003,3,0.0185,0.0188985,48.39,BTC-25JUL25-90000-P,104440.77,sell,0.4,0.4,,,,,,1748786643.003
674,369769475,1748803646136,2,0.0175,0.01772039,47.66,BTC-25JUL25-90000-P,104547.93,sell,0.5,0.5,,,,,,1748803646.136
675,369771934,1748804862721,2,0.0165,0.0168137,47.42,BTC-25JUL25-90000-P,104984.59,sell,0.3,0.3,,,,,,1748804862.721
676,369782412,1748815489427,2,0.0155,0.01551477,47.7,BTC-25JUL25-90000-P,105707.5,buy,0.1,0.1,,,,,,1748815489.427
677,369801321,1748832912039,3,0.0155,0.01588109,46.55,BTC-25JUL25-90000-P,105123.6,sell,0.4,0.4,,,,,,1748832912.039
678,369801851,1748833383738,0,0.016,0.01607019,46.89,BTC-25JUL25-90000-P,105009.03,buy,0.1,0.1,,,,,,1748833383.738
679,369805443,1748834727844,1,0.016,0.01637124,46.51,BTC-25JUL25-90000-P,104802.6,sell,0.1,0.1,,,,,,1748834727.844
680,369805444,1748834727844,1,0.016,0.01637124,46.51,BTC-25JUL25-90000-P,104802.6,sell,9.9,9.9,,,,,,1748834727.844
681,369810884,1748840542109,0,0.0166,0.01635926,47.17,BTC-25JUL25-90000-P,104808.99,buy,75.0,75.0,4.0,BLOCK-202618,,,5130.0,1748840542.109
682,369814843,1748846889942,2,0.0155,0.01558515,46.78,BTC-25JUL25-90000-P,105204.88,sell,1.0,1.0,,,,,,1748846889.942
683,369814844,1748846889944,3,0.0155,0.01558515,46.78,BTC-25JUL25-90000-P,105204.88,buy,4.0,4.0,,,,,,1748846889.944
684,369822402,1748852819615,2,0.015,0.01492796,47.14,BTC-25JUL25-90000-P,105699.54,sell,0.3,0.3,,,,,,1748852819.615
685,369822464,1748852823211,3,0.015,0.01484228,47.21,BTC-25JUL25-90000-P,105734.77,sell,0.3,0.3,,,,,,1748852823.211
686,369822466,1748852823229,3,0.015,0.01484228,47.21,BTC-25JUL25-90000-P,105734.77,sell,0.1,0.1,,,,,,1748852823.229
687,369822491,1748852824225,3,0.015,0.014825,47.23,BTC-25JUL25-90000-P,105748.36,sell,0.3,0.3,,,,,,1748852824.225
688,369825673,1748854395965,0,0.0155,0.01531206,47.07,BTC-25JUL25-90000-P,105351.77,buy,0.1,0.1,,,,,,1748854395.965
689,369825674,1748854395965,1,0.0155,0.01531206,47.07,BTC-25JUL25-90000-P,105351.77,buy,0.3,0.3,,,,,,1748854395.965
690,369825852,1748854611623,1,0.0155,0.01528948,47.15,BTC-25JUL25-90000-P,105386.77,buy,0.1,0.1,,,,,,1748854611.623
691,369832161,1748857458953,0,0.0165,0.01646824,46.91,BTC-25JUL25-90000-P,104660.84,buy,0.1,0.1,,,,,,1748857458.953
692,369833607,1748858169453,1,0.0165,0.01646378,46.86,BTC-25JUL25-90000-P,104598.42,buy,0.1,0.1,,,,,,1748858169.453
693,369847983,1748867283944,0,0.017,0.01727544,46.35,BTC-25JUL25-90000-P,104047.66,sell,1.0,1.0,,,,,,1748867283.944
694,369847984,1748867283944,1,0.017,0.01727544,46.35,BTC-25JUL25-90000-P,104047.66,sell,0.6,0.6,,,,,,1748867283.944
695,369849337,1748868313596,2,0.016,0.01640914,45.76,BTC-25JUL25-90000-P,104248.98,sell,0.3,0.3,,,,,,1748868313.596
696,369849628,1748868582670,3,0.016,0.01647692,45.7,BTC-25JUL25-90000-P,104230.42,sell,0.3,0.3,,,,,,1748868582.67
697,369851505,1748870525969,0,0.0165,0.01665966,45.8,BTC-25JUL25-90000-P,103975.78,buy,0.3,0.3,,,,,,1748870525.969
698,369851506,1748870525969,1,0.0165,0.01665966,45.8,BTC-25JUL25-90000-P,103975.78,buy,0.1,0.1,,,,,,1748870525.969
699,369863971,1748872459408,0,0.017,0.0170024,46.0,BTC-25JUL25-90000-P,103868.53,buy,0.3,0.3,,,,,,1748872459.408
700,369871384,1748873512585,2,0.0165,0.01695781,45.63,BTC-25JUL25-90000-P,103972.64,sell,3.3,3.3,,,,,,1748873512.585
701,369871385,1748873512585,3,0.0165,0.01695781,45.63,BTC-25JUL25-90000-P,103972.64,sell,11.1,11.1,,,,,,1748873512.585
702,369871386,1748873512585,3,0.0165,0.01695781,45.63,BTC-25JUL25-90000-P,103972.64,sell,0.6,0.6,,,,,,1748873512.585
703,369877402,1748874464469,3,0.0165,0.01605286,46.64,BTC-25JUL25-90000-P,104504.04,buy,0.1,0.1,,,,,,1748874464.469
704,369881918,1748876051334,0,0.017,0.01665736,46.44,BTC-25JUL25-90000-P,104084.48,buy,0.1,0.1,,,,,,1748876051.334
705,369883678,1748876437349,1,0.017,0.01647027,46.61,BTC-25JUL25-90000-P,104191.53,buy,0.1,0.1,,,,,,1748876437.349
706,369885998,1748876754746,1,0.017,0.01669328,46.37,BTC-25JUL25-90000-P,104055.6,buy,0.4,0.4,,,,,,1748876754.746
707,369885999,1748876754746,1,0.017,0.01669328,46.37,BTC-25JUL25-90000-P,104055.6,buy,0.1,0.1,,,,,,1748876754.746
708,369886759,1748877007458,1,0.017,0.01674335,46.27,BTC-25JUL25-90000-P,103995.18,buy,0.1,0.1,,,,,,1748877007.458
709,369888953,1748877521533,2,0.0165,0.0161319,46.44,BTC-25JUL25-90000-P,104370.16,buy,0.1,0.1,,,,,,1748877521.533
710,369888954,1748877521533,3,0.0165,0.0161319,46.44,BTC-25JUL25-90000-P,104370.16,buy,0.1,0.1,,,,,,1748877521.533
711,369898064,1748881324207,2,0.0155,0.01526687,45.36,BTC-25JUL25-90000-P,104339.51,buy,0.1,0.1,,,,,,1748881324.207
712,369898065,1748881324207,3,0.0155,0.01526687,45.36,BTC-25JUL25-90000-P,104339.51,buy,1.6,1.6,,,,,,1748881324.207
713,369898066,1748881324207,3,0.0155,0.01526687,45.36,BTC-25JUL25-90000-P,104339.51,buy,0.3,0.3,,,,,,1748881324.207
714,369907919,1748889188858,3,0.0155,0.01540532,45.77,BTC-25JUL25-90000-P,104584.95,buy,0.1,0.1,,,,,,1748889188.858
715,369914202,1748893279789,0,0.016,0.01594796,45.56,BTC-25JUL25-90000-P,104186.96,buy,0.1,0.1,,,,,,1748893279.789
716,369918620,1748895327263,2,0.0145,0.01481189,45.32,BTC-25JUL25-90000-P,104942.89,sell,0.1,0.1,,,,,,1748895327.263
717,369920293,1748896874609,3,0.0145,0.01491237,45.13,BTC-25JUL25-90000-P,104834.58,sell,0.3,0.3,,,,,,1748896874.609
718,369922860,1748899072079,3,0.0145,0.01445445,45.53,BTC-25JUL25-90000-P,105046.55,buy,0.3,0.3,,,,,,1748899072.079
719,369924880,1748900068988,0,0.015,0.01503728,45.42,BTC-25JUL25-90000-P,104714.83,buy,0.3,0.3,,,,,,1748900068.988
720,369933626,1748904398363,2,0.0135,0.01380251,45.51,BTC-25JUL25-90000-P,105628.51,sell,0.1,0.1,,,,,,1748904398.363
721,369933627,1748904398363,3,0.0135,0.01380251,45.51,BTC-25JUL25-90000-P,105628.51,sell,1.9,1.9,,,,,,1748904398.363
722,369940184,1748908909984,3,0.0135,0.01365407,45.91,BTC-25JUL25-90000-P,105842.05,sell,0.1,0.1,,,,,,1748908909.984
723,369941150,1748909553749,3,0.0135,0.01330884,46.35,BTC-25JUL25-90000-P,106063.1,buy,0.1,0.1,,,,,,1748909553.749
724,369953177,1748918442587,3,0.0135,0.01351539,46.45,BTC-25JUL25-90000-P,106101.79,buy,0.1,0.1,,,,,,1748918442.587
725,369958702,1748923148631,0,0.014,0.01416414,46.06,BTC-25JUL25-90000-P,105545.32,sell,0.1,0.1,,,,,,1748923148.631
726,369972516,1748938273980,0,0.0145,0.0148482,45.88,BTC-25JUL25-90000-P,105163.81,sell,0.1,0.1,,,,,,1748938273.98
727,369972742,1748938386723,1,0.0145,0.0149245,45.81,BTC-25JUL25-90000-P,105106.56,sell,0.1,0.1,,,,,,1748938386.723
728,369975677,1748939828136,1,0.0145,0.01501315,45.63,BTC-25JUL25-90000-P,104980.78,sell,0.1,0.1,,,,,,1748939828.136
729,369989978,1748952613994,2,0.014,0.01410492,45.69,BTC-25JUL25-90000-P,105322.31,sell,0.3,0.3,,,,,,1748952613.994
730,370015728,1748964835547,2,0.0125,0.01256646,46.25,BTC-25JUL25-90000-P,106694.81,buy,0.1,0.1,,,,,,1748964835.547
731,370016136,1748965021249,0,0.013,0.01251215,46.91,BTC-25JUL25-90000-P,106722.27,buy,0.1,0.1,,,,,,1748965021.249
732,370017655,1748965712704,1,0.013,0.01267909,46.71,BTC-25JUL25-90000-P,106615.13,buy,0.1,0.1,,,,,,1748965712.704
733,370018380,1748965867698,1,0.013,0.01274875,46.56,BTC-25JUL25-90000-P,106528.81,buy,0.1,0.1,,,,,,1748965867.698
734,370020713,1748967015374,1,0.013,0.01249761,46.63,BTC-25JUL25-90000-P,106525.1,buy,0.1,0.1,,,,,,1748967015.374
735,370020949,1748967170874,1,0.013,0.01253114,46.57,BTC-25JUL25-90000-P,106497.83,buy,0.1,0.1,,,,,,1748967170.874
736,370041484,1748986209374,1,0.013,0.01335283,45.21,BTC-25JUL25-90000-P,105712.71,sell,0.5,0.5,,,,,,1748986209.374
