trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,block_rfq_id,amount,combo_id,combo_trade_id,unix_sec
3,369895574,1748880537751,2,0.125,0.12532837,44.49,BTC-25JUL25-95000-C,104379.85,sell,0.3,,,,0.3,,,1748880537.751
4,370038468,1748982919139,0,0.131,0.1310691,44.09,BTC-25JUL25-95000-C,105611.61,buy,2.0,,,,2.0,BTC-CBUT-25JUL25-90000_95000_102000,370038465,1748982919.139
5,370299723,1749154891149,2,0.1,0.09995133,43.07,BTC-25JUL25-95000-C,101002.21,sell,0.1,,,,0.1,,,1749154891.149
6,370686180,1749496815429,0,0.145,0.14482577,43.36,BTC-25JUL25-95000-C,108642.18,buy,0.1,,,,0.1,,,1749496815.429
7,370691439,1749499136706,1,0.145,0.1447515,43.6,BTC-25JUL25-95000-C,108611.11,buy,0.1,,,,0.1,,,1749499136.706
8,370691988,1749499372032,1,0.145,0.14514894,43.12,BTC-25JUL25-95000-C,108678.63,buy,0.1,,,,0.1,,,1749499372.032
9,370692008,1749499388534,1,0.145,0.14509632,43.16,BTC-25JUL25-95000-C,108676.68,buy,0.1,,,,0.1,,,1749499388.534
10,370692025,1749499391553,1,0.145,0.14509825,43.17,BTC-25JUL25-95000-C,108676.73,buy,0.1,,,,0.1,,,1749499391.553
11,370692055,1749499406951,1,0.145,0.14495618,43.37,BTC-25JUL25-95000-C,108654.25,buy,0.1,,,,0.1,,,1749499406.951
12,370692075,1749499418037,1,0.145,0.14490405,43.4,BTC-25JUL25-95000-C,108652.65,buy,0.1,,,,0.1,,,1749499418.037
13,370692125,1749499433421,1,0.145,0.14499581,43.3,BTC-25JUL25-95000-C,108665.13,buy,0.1,,,,0.1,,,1749499433.421
14,370692134,1749499446291,1,0.145,0.14498159,43.3,BTC-25JUL25-95000-C,108666.18,buy,0.1,,,,0.1,,,1749499446.291
15,370692136,1749499446321,1,0.145,0.14498159,43.3,BTC-25JUL25-95000-C,108666.18,buy,0.1,,,,0.1,,,1749499446.321
16,370692143,1749499457943,1,0.145,0.144945,43.35,BTC-25JUL25-95000-C,108660.22,buy,0.1,,,,0.1,,,1749499457.943
17,370692145,1749499457970,1,0.145,0.144945,43.35,BTC-25JUL25-95000-C,108660.22,buy,0.1,,,,0.1,,,1749499457.97
18,370692160,1749499471574,1,0.145,0.14496621,43.29,BTC-25JUL25-95000-C,108664.4,buy,0.1,,,,0.1,,,1749499471.574
19,370692162,1749499471609,1,0.145,0.14496621,43.29,BTC-25JUL25-95000-C,108664.4,buy,0.1,,,,0.1,,,1749499471.609
20,370692179,1749499486900,1,0.145,0.144977,43.29,BTC-25JUL25-95000-C,108665.38,buy,0.1,,,,0.1,,,1749499486.9
21,370692180,1749499486926,1,0.145,0.144977,43.29,BTC-25JUL25-95000-C,108665.38,buy,0.1,,,,0.1,,,1749499486.926
22,370692187,1749499497315,1,0.145,0.14500181,43.27,BTC-25JUL25-95000-C,108668.39,buy,0.1,,,,0.1,,,1749499497.315
23,370692189,1749499497366,1,0.145,0.14500181,43.27,BTC-25JUL25-95000-C,108668.39,buy,0.1,,,,0.1,,,1749499497.366
24,370692202,1749499510598,1,0.145,0.14498825,43.3,BTC-25JUL25-95000-C,108666.41,buy,0.1,,,,0.1,,,1749499510.598
25,370692223,1749499523569,1,0.145,0.14498419,43.3,BTC-25JUL25-95000-C,108667.68,buy,0.1,,,,0.1,,,1749499523.569
26,370692249,1749499537675,1,0.145,0.14503096,43.24,BTC-25JUL25-95000-C,108675.54,buy,0.1,,,,0.1,,,1749499537.675
27,370692475,1749499617196,0,0.1455,0.14556896,43.2,BTC-25JUL25-95000-C,108751.34,buy,0.1,,,,0.1,,,1749499617.196
28,370692514,1749499631508,1,0.1455,0.14556136,43.25,BTC-25JUL25-95000-C,108746.81,buy,0.1,,,,0.1,,,1749499631.508
29,371675178,1750104424245,2,0.14,0.14078675,41.5,BTC-25JUL25-95000-C,108630.52,sell,0.3,,,,0.3,,,1750104424.245
30,371675180,1750104424254,3,0.14,0.14078675,41.5,BTC-25JUL25-95000-C,108630.52,sell,0.3,,,,0.3,,,1750104424.254
31,371675182,1750104424276,3,0.14,0.14078675,41.5,BTC-25JUL25-95000-C,108630.52,buy,0.1,,,,0.1,,,1750104424.276
32,372286590,1750429625070,2,0.114,0.11435974,41.3,BTC-25JUL25-95000-C,105158.85,sell,0.1,,,,0.1,,,1750429625.07
33,372293034,1750431008035,2,0.11,0.11031714,41.13,BTC-25JUL25-95000-C,104582.67,sell,0.1,,,,0.1,,,1750431008.035
34,372332926,1750440034815,2,0.1,0.10024837,41.68,BTC-25JUL25-95000-C,103083.13,sell,0.1,,,,0.1,,,1750440034.815
35,372340345,1750441053291,2,0.096,0.09615987,42.09,BTC-25JUL25-95000-C,102394.84,sell,0.1,,,,0.1,,,1750441053.291
36,372462918,1750541095639,2,0.09,0.09103898,41.29,BTC-25JUL25-95000-C,101747.34,sell,0.1,,,,0.1,,,1750541095.639
37,372505931,1750551661337,0,0.0953,0.09547727,42.32,BTC-25JUL25-95000-C,102404.5,buy,1.4,,,,1.4,BTC-CBUT-25JUL25-90000_95000_102000,372505928,1750551661.337
38,372505939,1750551663668,1,0.0953,0.09544286,42.41,BTC-25JUL25-95000-C,102393.26,buy,0.6,,,,0.6,BTC-CBUT-25JUL25-90000_95000_102000,372505937,1750551663.668
39,372555197,1750583325526,2,0.0935,0.09594234,39.32,BTC-25JUL25-95000-C,102608.08,sell,0.1,,,,0.1,,,1750583325.526
40,372649238,1750603980607,2,0.0775,0.07732254,43.83,BTC-25JUL25-95000-C,99371.5,buy,0.1,,,,0.1,,,1750603980.607
41,372662551,1750606376582,0,0.079,0.07855726,44.24,BTC-25JUL25-95000-C,99471.77,buy,0.1,,,,0.1,,,1750606376.582
42,372682938,1750611169858,2,0.078,0.07834784,43.27,BTC-25JUL25-95000-C,99543.8,buy,0.2,,,,0.2,,,1750611169.858
43,372739209,1750629923658,0,0.0805,0.07989241,43.36,BTC-25JUL25-95000-C,99935.83,buy,0.1,,,,0.1,,,1750629923.658
44,373485400,1750954174638,0,0.1265,0.12451464,43.38,BTC-25JUL25-95000-C,107306.73,buy,14.3,,,,14.3,,,1750954174.638
45,373485401,1750954174640,1,0.1265,0.12451464,43.38,BTC-25JUL25-95000-C,107306.73,sell,5.7,,,,5.7,,,1750954174.64
46,373514535,1750972000265,0,0.127,0.12798205,38.41,BTC-25JUL25-95000-C,107764.67,buy,5.4,,,,5.4,,,1750972000.265
47,373604132,1751028074135,2,0.12,0.11969065,38.91,BTC-25JUL25-95000-C,106867.77,buy,0.5,,,,0.5,,,1751028074.135
48,373604376,1751028124559,3,0.12,0.11959284,39.05,BTC-25JUL25-95000-C,106867.95,sell,1.0,,,,1.0,,,1751028124.559
49,374148977,1751478751874,0,0.135,0.13630792,39.07,BTC-25JUL25-95000-C,109102.97,sell,0.4,,,,0.4,,,1751478751.874
50,374148978,1751478751874,1,0.135,0.13630792,39.07,BTC-25JUL25-95000-C,109102.97,sell,5.1,,,,5.1,,,1751478751.874
51,374148979,1751478751876,1,0.135,0.13630792,39.07,BTC-25JUL25-95000-C,109102.97,buy,14.5,,,,14.5,,,1751478751.876
52,374173082,1751495669453,0,0.1385,0.13843746,43.02,BTC-25JUL25-95000-C,109388.76,buy,0.5,,,,0.5,,,1751495669.453
53,376968655,1753146997011,0,0.1874,0.18767615,79.26,BTC-25JUL25-95000-C,116809.11,sell,50.0,2.0,BLOCK-212537,9416.0,50.0,BTC-CDIAG-26DEC25_25JUL25-75000_95000,,1753146997.011
