trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,unix_sec
220,369587511,1748646622435,0,0.0295,0.02946939,45.86,BTC-25JUL25-95000-P,104235.42,sell,0.3,0.3,,,,,,1748646622.435
222,369587516,1748646626024,3,0.029,0.02947872,45.44,BTC-25JUL25-95000-P,104228.2,sell,0.1,0.1,,,,,,1748646626.024
221,369587515,1748646626024,2,0.029,0.02947872,45.44,BTC-25JUL25-95000-P,104228.2,sell,0.5,0.5,,,,,,1748646626.024
223,369587517,1748646626031,3,0.029,0.02947872,45.44,BTC-25JUL25-95000-P,104228.2,sell,0.2,0.2,,,,,,1748646626.031
224,369660605,1748691366638,0,0.0315,0.0319989,45.89,BTC-25JUL25-95000-P,103488.9,sell,0.1,0.1,,,,,,1748691366.638
225,369708161,1748741717042,2,0.03,0.03010185,46.82,BTC-25JUL25-95000-P,104325.44,buy,0.4,0.4,,,,,,1748741717.042
226,369708168,1748741717055,3,0.03,0.03010185,46.82,BTC-25JUL25-95000-P,104325.44,buy,0.4,0.4,,,,,,1748741717.055
227,369708171,1748741717085,3,0.03,0.03010185,46.82,BTC-25JUL25-95000-P,104325.44,buy,0.1,0.1,,,,,,1748741717.085
228,369708172,1748741717103,3,0.03,0.03010185,46.82,BTC-25JUL25-95000-P,104325.44,buy,0.1,0.1,,,,,,1748741717.103
229,369719101,1748756911805,2,0.0295,0.02964271,46.99,BTC-25JUL25-95000-P,104513.81,buy,0.4,0.4,,,,,,1748756911.805
230,369719424,1748757956192,3,0.0295,0.02965133,46.96,BTC-25JUL25-95000-P,104501.71,buy,0.1,0.1,,,,,,1748757956.192
231,369771626,1748804601119,2,0.0275,0.02740149,46.77,BTC-25JUL25-95000-P,105050.5,buy,0.1,0.1,,,,,,1748804601.119
232,369801279,1748832848333,2,0.0255,0.02610427,45.1,BTC-25JUL25-95000-P,105092.96,sell,0.2,0.2,,,,,,1748832848.333
233,369801314,1748832889401,0,0.026,0.02601092,45.6,BTC-25JUL25-95000-P,105119.85,buy,1.0,1.0,,,,,,1748832889.401
234,369847941,1748867267056,0,0.028,0.02823798,45.09,BTC-25JUL25-95000-P,104046.66,sell,1.0,1.0,,,,,,1748867267.056
238,369847949,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,15.0,15.0,,,,,,1748867283.163
246,369847957,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,0.6,0.6,,,,,,1748867283.163
236,369847947,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,0.4,0.4,,,,,,1748867283.163
241,369847952,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,3.5,3.5,,,,,,1748867283.163
240,369847951,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,11.0,11.0,,,,,,1748867283.163
237,369847948,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,0.4,0.4,,,,,,1748867283.163
244,369847955,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,4.0,4.0,,,,,,1748867283.163
242,369847953,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,8.0,8.0,,,,,,1748867283.163
245,369847956,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,5.0,5.0,,,,,,1748867283.163
235,369847946,1748867283163,2,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,9.4,9.4,,,,,,1748867283.163
243,369847954,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,5.0,5.0,,,,,,1748867283.163
239,369847950,1748867283163,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,sell,7.8,7.8,,,,,,1748867283.163
247,369847958,1748867283166,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,buy,1.0,1.0,,,,,,1748867283.166
249,369847960,1748867283167,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,buy,17.9,17.9,,,,,,1748867283.167
248,369847959,1748867283167,3,0.0275,0.02821111,44.68,BTC-25JUL25-95000-P,104047.93,buy,10.0,10.0,,,,,,1748867283.167
250,369907966,1748889192589,2,0.026,0.02586241,44.61,BTC-25JUL25-95000-P,104574.07,buy,0.1,0.1,,,,,,1748889192.589
251,369946721,1748913346722,2,0.022,0.02209165,44.86,BTC-25JUL25-95000-P,106241.91,buy,5.0,5.0,,,,,,1748913346.722
252,369953350,1748918753537,0,0.0225,0.02235572,44.95,BTC-25JUL25-95000-P,106062.53,buy,0.1,0.1,,,,,,1748918753.537
254,369954105,1748918899148,1,0.023,0.02305683,44.81,BTC-25JUL25-95000-P,105754.95,buy,0.1,0.1,,,,,,1748918899.148
