trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,block_rfq_id,combo_trade_id,liquidation,unix_sec
4139,364038514,1746063353831,0,0.0285,0.02861667,43.32,BTC-30MAY25-100000-C,94682.52,sell,0.5,0.5,,,,,,,1746063353.831
4140,364042024,1746066813763,0,0.029,0.0293494,43.09,BTC-30MAY25-100000-C,94893.16,sell,0.7,0.7,,,,,,,1746066813.763
4141,364042026,1746066813908,1,0.029,0.0293494,43.09,BTC-30MAY25-100000-C,94893.16,sell,0.5,0.5,,,,,,,1746066813.908
4142,364042032,1746066814065,1,0.029,0.0293494,43.09,BTC-30MAY25-100000-C,94893.16,buy,8.3,8.3,,,,,,,1746066814.065
4143,364042042,1746066815543,1,0.029,0.02932334,43.12,BTC-30MAY25-100000-C,94884.92,buy,0.3,0.3,,,,,,,1746066815.543
4145,364042044,1746066817216,1,0.029,0.02931569,43.1,BTC-30MAY25-100000-C,94888.53,buy,0.6,0.6,,,,,,,1746066817.216
4147,364042046,1746066817216,1,0.029,0.02931569,43.1,BTC-30MAY25-100000-C,94888.53,buy,0.3,0.3,,,,,,,1746066817.216
4146,364042045,1746066817216,1,0.029,0.02931569,43.1,BTC-30MAY25-100000-C,94888.53,buy,1.0,1.0,,,,,,,1746066817.216
4144,364042043,1746066817216,1,0.029,0.02931569,43.1,BTC-30MAY25-100000-C,94888.53,buy,6.4,6.4,,,,,,,1746066817.216
4148,364042055,1746066823313,1,0.029,0.0293134,43.12,BTC-30MAY25-100000-C,94886.67,buy,0.1,0.1,,,,,,,1746066823.313
4149,364042061,1746066824333,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.2,0.2,,,,,,,1746066824.333
4150,364042062,1746066824333,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.3,0.3,,,,,,,1746066824.333
4153,364042065,1746066824336,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.1,0.1,,,,,,,1746066824.336
4155,364042067,1746066824336,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.2,0.2,,,,,,,1746066824.336
4154,364042066,1746066824336,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.2,0.2,,,,,,,1746066824.336
4152,364042064,1746066824336,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.1,0.1,,,,,,,1746066824.336
4151,364042063,1746066824336,1,0.029,0.02931127,43.11,BTC-30MAY25-100000-C,94889.58,buy,0.1,0.1,,,,,,,1746066824.336
4156,364042171,1746066995219,1,0.029,0.02945692,42.9,BTC-30MAY25-100000-C,94954.65,sell,2.5,2.5,,,,,,,1746066995.219
4157,364050234,1746078684480,0,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,buy,0.1,0.1,,,,,,,1746078684.48
4159,364050236,1746078684480,1,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,buy,0.2,0.2,,,,,,,1746078684.48
4160,364050237,1746078684480,1,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,buy,1.0,1.0,,,,,,,1746078684.48
4158,364050235,1746078684480,1,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,buy,0.1,0.1,,,,,,,1746078684.48
4161,364050238,1746078684482,1,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,sell,0.2,0.2,,,,,,,1746078684.482
4162,364050239,1746078684487,1,0.0305,0.0302964,43.72,BTC-30MAY25-100000-C,95136.36,sell,5.4,5.4,,,,,,,1746078684.487
4163,364050861,1746079437325,1,0.0305,0.0304784,43.63,BTC-30MAY25-100000-C,95149.3,buy,0.6,0.6,,,,,,,1746079437.325
4164,364051154,1746080209582,2,0.03,0.03015699,43.3,BTC-30MAY25-100000-C,95120.04,sell,0.1,0.1,,,,,,,1746080209.582
4165,364051717,1746080868466,3,0.03,0.02980328,43.6,BTC-30MAY25-100000-C,95041.88,buy,0.1,0.1,,,,,,,1746080868.466
4166,364056267,1746086995205,3,0.03,0.0294575,43.93,BTC-30MAY25-100000-C,94936.53,buy,0.8,0.8,,,,,,,1746086995.205
4167,364056268,1746086995205,3,0.03,0.0294575,43.93,BTC-30MAY25-100000-C,94936.53,buy,5.2,5.2,,,,,,,1746086995.205
4168,364057599,1746088565810,0,0.0305,0.03025526,43.81,BTC-30MAY25-100000-C,95107.01,sell,0.2,0.2,,,,,,,1746088565.81
4169,364057728,1746088602157,1,0.0305,0.03034032,43.74,BTC-30MAY25-100000-C,95125.55,sell,0.1,0.1,,,,,,,1746088602.157
4170,364062463,1746093028255,0,0.0325,0.03247496,44.04,BTC-30MAY25-100000-C,95541.8,sell,0.1,0.1,,,,,,,1746093028.255
4171,364064895,1746093446586,0,0.0335,0.03294978,44.67,BTC-30MAY25-100000-C,95640.03,buy,0.1,0.1,,,,,,,1746093446.586
