trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,liquidation,unix_sec
2111,364033090,1746056289583,3,0.0155,0.01556626,44.63,BTC-30MAY25-105000-C,94257.9,sell,0.1,0.1,,,,,,,1746056289.583
2112,364043456,1746069183269,0,0.017,0.01694057,44.65,BTC-30MAY25-105000-C,94955.67,sell,1.0,1.0,,,,,,,1746069183.269
2113,364044103,1746070109419,2,0.0165,0.01665281,44.46,BTC-30MAY25-105000-C,94797.88,sell,1.3,1.3,,,,,,,1746070109.419
2114,364044104,1746070109419,3,0.0165,0.01665281,44.46,BTC-30MAY25-105000-C,94797.88,sell,0.8,0.8,,,,,,,1746070109.419
2115,364067787,1746094597316,0,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2120,364067792,1746094597316,1,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2119,364067791,1746094597316,1,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2117,364067789,1746094597316,1,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2116,364067788,1746094597316,1,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2118,364067790,1746094597316,1,0.02,0.01988742,45.59,BTC-30MAY25-105000-C,95818.54,buy,0.1,0.1,,,,,,,1746094597.316
2121,364068862,1746094675431,0,0.0205,0.02049551,45.42,BTC-30MAY25-105000-C,96045.6,buy,0.1,0.1,,,,,,,1746094675.431
2122,364081548,1746098697289,1,0.0205,0.02067615,45.62,BTC-30MAY25-105000-C,95970.04,sell,1.0,1.0,,,,,,,1746098697.289
2123,364091078,1746101614880,0,0.0215,0.02115329,45.89,BTC-30MAY25-105000-C,96285.71,buy,0.1,0.1,,,,,,,1746101614.88
2124,364094039,1746102258658,1,0.0215,0.02148145,45.61,BTC-30MAY25-105000-C,96379.22,buy,0.4,0.4,,,,,,,1746102258.658
2125,364094793,1746102597846,2,0.021,0.0212425,45.51,BTC-30MAY25-105000-C,96247.57,sell,1.0,1.0,,,,,,,1746102597.846
2126,364101139,1746104864030,0,0.022,0.0219822,46.02,BTC-30MAY25-105000-C,96448.03,buy,0.1,0.1,,,,,,,1746104864.03
2127,364106575,1746106505743,2,0.0215,0.0217967,45.78,BTC-30MAY25-105000-C,96338.54,sell,0.1,0.1,,,,,,,1746106505.743
2128,364107523,1746106692917,0,0.022,0.02206667,46.1,BTC-30MAY25-105000-C,96399.6,sell,0.1,0.1,,,,,,,1746106692.917
2129,364107524,1746106692923,1,0.022,0.02206667,46.1,BTC-30MAY25-105000-C,96399.6,buy,0.2,0.2,,,,,,,1746106692.923
2130,364107974,1746106816648,2,0.0215,0.02151743,46.15,BTC-30MAY25-105000-C,96209.22,sell,0.2,0.2,,,,,,,1746106816.648
2131,364108099,1746106842722,3,0.0215,0.02165267,46.05,BTC-30MAY25-105000-C,96240.48,sell,0.2,0.2,,,,,,,1746106842.722
2132,364109688,1746107088021,3,0.0215,0.02149435,46.27,BTC-30MAY25-105000-C,96168.07,buy,0.1,0.1,,,,,,,1746107088.021
2133,364110990,1746107225997,3,0.0215,0.02146456,46.35,BTC-30MAY25-105000-C,96151.62,buy,0.1,0.1,,,,,,,1746107225.997
2134,364113898,1746107762367,2,0.0205,0.02086524,45.88,BTC-30MAY25-105000-C,95953.2,sell,0.1,0.1,,,,,,,1746107762.367
2135,364118988,1746108890971,0,0.0217,0.02162469,46.24,BTC-30MAY25-105000-C,96281.64,buy,12.5,12.5,,BTC-CS-30MAY25-105000_108000,2.0,BLOCK-195471,,,1746108890.971
2136,364118991,1746108898147,2,0.021,0.02162057,45.51,BTC-30MAY25-105000-C,96282.51,sell,0.2,0.2,,,,,,,1746108898.147
2137,364120507,1746109260391,0,0.0215,0.02179838,45.72,BTC-30MAY25-105000-C,96406.8,sell,0.1,0.1,,,,,,,1746109260.391
2138,364120508,1746109260393,1,0.0215,0.02179838,45.72,BTC-30MAY25-105000-C,96406.8,buy,0.1,0.1,,,,,,,1746109260.393
2139,364120756,1746109401265,1,0.0215,0.02169603,45.76,BTC-30MAY25-105000-C,96392.29,sell,0.5,0.5,,,,,,,1746109401.265
2141,364121377,1746109794094,1,0.0215,0.02184457,45.48,BTC-30MAY25-105000-C,96476.52,sell,0.4,0.4,,,,,,,1746109794.094
2140,364121376,1746109794094,1,0.0215,0.02184457,45.48,BTC-30MAY25-105000-C,96476.52,sell,0.1,0.1,,,,,,,1746109794.094
2142,364123760,1746110774516,0,0.022,0.02167113,46.05,BTC-30MAY25-105000-C,96471.5,buy,1.0,1.0,,,,,,,1746110774.516
2144,364123762,1746110774516,1,0.022,0.02167113,46.05,BTC-30MAY25-105000-C,96471.5,buy,0.3,0.3,,,,,,,1746110774.516
2143,364123761,1746110774516,1,0.022,0.02167113,46.05,BTC-30MAY25-105000-C,96471.5,buy,0.7,0.7,,,,,,,1746110774.516
2145,364124022,1746110915769,0,0.0225,0.0220226,46.26,BTC-30MAY25-105000-C,96581.66,buy,2.0,2.0,,,,,,,1746110915.769
2146,364128357,1746111974778,0,0.0235,0.02343571,45.95,BTC-30MAY25-105000-C,97030.78,sell,0.9,0.9,,,,,,,1746111974.778
2147,364128377,1746111976776,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111976.776
2148,364128382,1746111976796,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111976.796
2149,364128389,1746111976838,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.2,0.2,,,,,,,1746111976.838
2150,364128392,1746111976908,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111976.908
2151,364128394,1746111976937,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111976.937
2152,364128396,1746111976960,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111976.96
2153,364128398,1746111976969,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.3,0.3,,,,,,,1746111976.969
2154,364128405,1746111977034,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.034
2155,364128409,1746111977075,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.075
2156,364128413,1746111977102,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.102
2157,364128415,1746111977108,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.108
2158,364128417,1746111977121,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.2,0.2,,,,,,,1746111977.121
2159,364128419,1746111977134,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.134
2160,364128421,1746111977145,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.2,0.2,,,,,,,1746111977.145
2161,364128426,1746111977206,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.2,0.2,,,,,,,1746111977.206
2162,364128427,1746111977211,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.2,0.2,,,,,,,1746111977.211
2163,364128428,1746111977216,1,0.0235,0.02343792,45.96,BTC-30MAY25-105000-C,97027.57,sell,0.1,0.1,,,,,,,1746111977.216
2164,364128464,1746111980962,1,0.0235,0.02338327,46.04,BTC-30MAY25-105000-C,97002.77,sell,0.4,0.4,,,,,,,1746111980.962
2165,364128465,1746111981224,1,0.0235,0.02338327,46.04,BTC-30MAY25-105000-C,97002.77,sell,1.3,1.3,,,,,,,1746111981.224
2166,364128512,1746111986972,1,0.0235,0.02335065,46.04,BTC-30MAY25-105000-C,97003.15,sell,5.0,5.0,,,,,,,1746111986.972
2167,364131215,1746112322027,0,0.0246,0.02447849,46.12,BTC-30MAY25-105000-C,97338.96,buy,25.0,25.0,,BTC-CS-30MAY25-105000_108000,2.0,BLOCK-195494,,,1746112322.027
