trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,block_rfq_id,liquidation,unix_sec
2236,364030942,1746054018247,3,0.009,0.00894357,46.68,BTC-30MAY25-110000-C,94130.77,sell,0.1,0.1,,,,,,,1746054018.247
2237,364031242,1746054248464,3,0.009,0.00888529,46.81,BTC-30MAY25-110000-C,94080.37,sell,0.2,0.2,,,,,,,1746054248.464
2238,364032371,1746055090453,3,0.009,0.00904895,46.35,BTC-30MAY25-110000-C,94286.36,sell,0.1,0.1,,,,,,,1746055090.453
2239,364032564,1746055576439,3,0.009,0.00909451,46.32,BTC-30MAY25-110000-C,94290.98,sell,0.1,0.1,,,,,,,1746055576.439
2240,364034860,1746057734731,3,0.009,0.00897256,46.56,BTC-30MAY25-110000-C,94194.72,sell,0.2,0.2,,,,,,,1746057734.731
2241,364036850,1746061362961,3,0.009,0.00908783,46.09,BTC-30MAY25-110000-C,94447.64,sell,0.2,0.2,,,,,,,1746061362.961
2242,364038071,1746062442733,3,0.009,0.0092573,45.62,BTC-30MAY25-110000-C,94673.37,sell,1.0,1.0,,,,,,,1746062442.733
2243,364038173,1746062607632,3,0.009,0.00919766,45.66,BTC-30MAY25-110000-C,94650.69,buy,0.1,0.1,,,,,,,1746062607.632
2244,364038236,1746062691918,0,0.0093,0.00915823,46.17,BTC-30MAY25-110000-C,94631.4,buy,15.0,15.0,4.0,BLOCK-195355,,,2625.0,,1746062691.918
2245,364040943,1746065934476,0,0.0095,0.00929389,46.2,BTC-30MAY25-110000-C,94759.93,buy,0.1,0.1,,,,,,,1746065934.476
2246,364041059,1746066190487,2,0.009,0.00930544,45.4,BTC-30MAY25-110000-C,94774.75,sell,0.8,0.8,,,,,,,1746066190.487
2247,364041060,1746066190487,3,0.009,0.00930544,45.4,BTC-30MAY25-110000-C,94774.75,sell,0.2,0.2,,,,,,,1746066190.487
2248,364041619,1746066474497,0,0.0095,0.00948701,45.83,BTC-30MAY25-110000-C,94925.51,buy,0.1,0.1,,,,,,,1746066474.497
2249,364041623,1746066491274,1,0.0095,0.00949112,45.82,BTC-30MAY25-110000-C,94929.41,buy,0.8,0.8,,,,,,,1746066491.274
2250,364041630,1746066502959,1,0.0095,0.00950356,45.8,BTC-30MAY25-110000-C,94937.52,buy,0.1,0.1,,,,,,,1746066502.959
2251,364043611,1746069225601,1,0.0095,0.00955265,46.03,BTC-30MAY25-110000-C,94863.75,sell,0.2,0.2,,,,,,,1746069225.601
2252,364044071,1746069917498,1,0.0095,0.00951448,46.16,BTC-30MAY25-110000-C,94784.7,buy,0.1,0.1,,,,,,,1746069917.498
2253,364046667,1746073649059,0,0.01,0.00969079,47.01,BTC-30MAY25-110000-C,94782.35,buy,0.1,0.1,,,,,,,1746073649.059
2254,364046867,1746074248793,1,0.01,0.00979437,46.92,BTC-30MAY25-110000-C,94810.2,buy,0.1,0.1,,,,,,,1746074248.793
2255,364048276,1746076656717,1,0.01,0.00979572,46.59,BTC-30MAY25-110000-C,94961.24,buy,0.1,0.1,,,,,,,1746076656.717
2256,364048691,1746077256453,1,0.01,0.00971497,46.74,BTC-30MAY25-110000-C,94903.17,buy,0.1,0.1,,,,,,,1746077256.453
2257,364049116,1746077827895,1,0.01,0.00994967,46.38,BTC-30MAY25-110000-C,95042.89,buy,0.6,0.6,,,,,,,1746077827.895
2258,364050511,1746079116809,1,0.01,0.01007198,46.13,BTC-30MAY25-110000-C,95164.99,sell,0.1,0.1,,,,,,,1746079116.809
2259,364050802,1746079349111,1,0.01,0.01007047,46.09,BTC-30MAY25-110000-C,95174.36,sell,0.2,0.2,,,,,,,1746079349.111
2260,364053753,1746083872700,1,0.01,0.00973767,46.6,BTC-30MAY25-110000-C,94970.41,buy,0.1,0.1,,,,,,,1746083872.7
2261,364054380,1746084473299,1,0.01,0.00977652,46.49,BTC-30MAY25-110000-C,95017.15,buy,0.1,0.1,,,,,,,1746084473.299
2262,364054409,1746084554722,2,0.0095,0.00978802,45.72,BTC-30MAY25-110000-C,95021.2,sell,0.1,0.1,,,,,,,1746084554.722
2263,364054410,1746084554722,3,0.0095,0.00978802,45.72,BTC-30MAY25-110000-C,95021.2,sell,3.4,3.4,,,,,,,1746084554.722
2264,364056712,1746087441619,0,0.01,0.00972927,46.3,BTC-30MAY25-110000-C,95094.51,buy,0.1,0.1,,,,,,,1746087441.619
2265,364057260,1746088041347,1,0.01,0.00974614,46.29,BTC-30MAY25-110000-C,95107.87,buy,0.1,0.1,,,,,,,1746088041.347
2266,364058452,1746089679270,1,0.01,0.00998782,46.15,BTC-30MAY25-110000-C,95166.64,buy,0.4,0.4,,,,,,,1746089679.27
2267,364059327,1746091139891,0,0.0105,0.0101052,46.76,BTC-30MAY25-110000-C,95222.73,buy,0.1,0.1,,,,,,,1746091139.891
2268,364060041,1746091679621,1,0.0105,0.0102435,46.53,BTC-30MAY25-110000-C,95326.64,buy,0.1,0.1,,,,,,,1746091679.621
2269,364060329,1746091956830,1,0.0105,0.01036483,46.4,BTC-30MAY25-110000-C,95370.28,buy,0.2,0.2,,,,,,,1746091956.83
2270,364060334,1746091957102,1,0.0105,0.01036483,46.4,BTC-30MAY25-110000-C,95370.28,buy,0.2,0.2,,,,,,,1746091957.102
2271,364060343,1746091958113,1,0.0105,0.01036493,46.38,BTC-30MAY25-110000-C,95378.85,buy,0.1,0.1,,,,,,,1746091958.113
2272,364060509,1746092098545,1,0.0105,0.01045679,46.28,BTC-30MAY25-110000-C,95421.23,buy,0.3,0.3,,,,,,,1746092098.545
2274,364062208,1746093017639,1,0.011,0.01080219,46.76,BTC-30MAY25-110000-C,95513.31,buy,0.1,0.1,,,,,,,1746093017.639
2273,364062207,1746093017639,0,0.011,0.01080219,46.76,BTC-30MAY25-110000-C,95513.31,buy,1.0,1.0,,,,,,,1746093017.639
2275,364063922,1746093138798,0,0.0115,0.01124922,46.87,BTC-30MAY25-110000-C,95772.65,buy,0.1,0.1,,,,,,,1746093138.798
2276,364063926,1746093139111,1,0.0115,0.01124922,46.87,BTC-30MAY25-110000-C,95772.65,buy,0.1,0.1,,,,,,,1746093139.111
2277,364064154,1746093196894,2,0.011,0.01124975,46.18,BTC-30MAY25-110000-C,95773.31,sell,0.1,0.1,,,,,,,1746093196.894
