trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,liquidation,unix_sec
1489,364032365,1746055087933,2,0.005,0.0054965,47.56,BTC-30MAY25-115000-C,94290.97,sell,0.1,0.1,,,,,,,1746055087.933
1490,364032656,1746055687938,3,0.005,0.0054549,47.59,BTC-30MAY25-115000-C,94280.62,sell,0.1,0.1,,,,,,,1746055687.938
1491,364035392,1746058632972,3,0.005,0.00535274,47.62,BTC-30MAY25-115000-C,94287.65,sell,0.1,0.1,,,,,,,1746058632.972
1492,364035706,1746059232987,3,0.005,0.00532561,47.56,BTC-30MAY25-115000-C,94320.82,sell,0.1,0.1,,,,,,,1746059232.987
1493,364037835,1746062251074,3,0.005,0.00537425,46.93,BTC-30MAY25-115000-C,94658.56,sell,0.1,0.1,,,,,,,1746062251.074
1494,364038281,1746062851100,3,0.005,0.0052875,46.96,BTC-30MAY25-115000-C,94665.47,sell,0.1,0.1,,,,,,,1746062851.1
1495,364039632,1746064845262,0,0.0055,0.00528196,48.04,BTC-30MAY25-115000-C,94680.9,buy,0.1,0.1,,,,,,,1746064845.262
1496,364039944,1746065265150,1,0.0055,0.00531533,47.92,BTC-30MAY25-115000-C,94743.86,buy,0.1,0.1,,,,,,,1746065265.15
1497,364039958,1746065265315,1,0.0055,0.00531533,47.92,BTC-30MAY25-115000-C,94743.86,buy,0.1,0.1,,,,,,,1746065265.315
1498,364040078,1746065274983,1,0.0055,0.00536346,47.84,BTC-30MAY25-115000-C,94784.14,buy,0.1,0.1,,,,,,,1746065274.983
1499,364040159,1746065352410,1,0.0055,0.00534038,47.84,BTC-30MAY25-115000-C,94785.86,buy,0.7,0.7,,,,,,,1746065352.41
1500,364040160,1746065352449,1,0.0055,0.00534038,47.84,BTC-30MAY25-115000-C,94785.86,buy,0.2,0.2,,,,,,,1746065352.449
1501,364043897,1746069477843,1,0.0055,0.0056061,47.97,BTC-30MAY25-115000-C,94740.05,sell,0.1,0.1,,,,,,,1746069477.843
1502,364044087,1746070077881,1,0.0055,0.00573908,47.84,BTC-30MAY25-115000-C,94794.17,sell,0.1,0.1,,,,,,,1746070077.881
1503,364046668,1746073649340,1,0.0055,0.00571348,47.94,BTC-30MAY25-115000-C,94782.35,sell,0.1,0.1,,,,,,,1746073649.34
1504,364046868,1746074249081,1,0.0055,0.00577657,47.86,BTC-30MAY25-115000-C,94810.2,sell,0.1,0.1,,,,,,,1746074249.081
1505,364048352,1746076716718,1,0.0055,0.00574402,47.64,BTC-30MAY25-115000-C,94939.38,sell,0.1,0.1,,,,,,,1746076716.718
1506,364048692,1746077256738,1,0.0055,0.00572492,47.71,BTC-30MAY25-115000-C,94903.14,sell,0.1,0.1,,,,,,,1746077256.738
1507,364051182,1746080247547,1,0.0055,0.00573286,47.35,BTC-30MAY25-115000-C,95085.86,sell,0.1,0.1,,,,,,,1746080247.547
1508,364051712,1746080847847,1,0.0055,0.00571219,47.48,BTC-30MAY25-115000-C,95027.68,sell,0.1,0.1,,,,,,,1746080847.847
1509,364053754,1746083873272,1,0.0055,0.00576326,47.61,BTC-30MAY25-115000-C,94967.95,sell,0.1,0.1,,,,,,,1746083873.272
1510,364054378,1746084472729,1,0.0055,0.00577574,47.52,BTC-30MAY25-115000-C,95011.9,sell,0.1,0.1,,,,,,,1746084472.729
1511,364056711,1746087441330,1,0.0055,0.00583242,47.35,BTC-30MAY25-115000-C,95094.51,sell,0.1,0.1,,,,,,,1746087441.33
1512,364057259,1746088041063,1,0.0055,0.00575298,47.34,BTC-30MAY25-115000-C,95107.87,sell,0.1,0.1,,,,,,,1746088041.063
1513,364058663,1746089938007,0,0.006,0.00589465,48.18,BTC-30MAY25-115000-C,95203.42,buy,0.2,0.2,,,,,,,1746089938.007
1514,364059250,1746091007022,1,0.006,0.00581356,48.2,BTC-30MAY25-115000-C,95200.91,buy,0.2,0.2,,,,,,,1746091007.022
1515,364059251,1746091007022,1,0.006,0.00581356,48.2,BTC-30MAY25-115000-C,95200.91,buy,4.5,4.5,,,,,,,1746091007.022
1516,364062035,1746092909282,0,0.0065,0.00632996,48.6,BTC-30MAY25-115000-C,95474.37,buy,1.0,1.0,,,,,,,1746092909.282
1517,364064109,1746093183497,1,0.0065,0.00669664,48.08,BTC-30MAY25-115000-C,95745.12,sell,0.1,0.1,,,,,,,1746093183.497
1518,364064110,1746093183497,1,0.0065,0.00669664,48.08,BTC-30MAY25-115000-C,95745.12,sell,0.9,0.9,,,,,,,1746093183.497
1520,364068837,1746094675131,1,0.007,0.00706581,48.42,BTC-30MAY25-115000-C,96030.61,buy,1.0,1.0,,,,,,,1746094675.131
1519,364068836,1746094675131,0,0.007,0.00706581,48.42,BTC-30MAY25-115000-C,96030.61,buy,0.3,0.3,,,,,,,1746094675.131
1521,364068838,1746094675131,1,0.007,0.00706581,48.42,BTC-30MAY25-115000-C,96030.61,buy,0.1,0.1,,,,,,,1746094675.131
1522,364069754,1746094806180,0,0.0075,0.00726614,48.93,BTC-30MAY25-115000-C,96227.43,buy,0.1,0.1,,,,,,,1746094806.18
1523,364071533,1746095015134,2,0.007,0.00715024,48.19,BTC-30MAY25-115000-C,96171.31,sell,0.1,0.1,,,,,,,1746095015.134
1524,364075065,1746096273384,0,0.0075,0.0073253,49.13,BTC-30MAY25-115000-C,96148.4,buy,0.1,0.1,,,,,,,1746096273.384
