trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,liquidation,block_trade_leg_count,block_trade_id,block_rfq_id,unix_sec
871,364032369,1746055088672,2,0.0023,0.00242778,53.45,BTC-30MAY25-125000-C,94288.53,sell,0.1,0.1,,,,,,,1746055088.672
872,364032657,1746055688223,3,0.0023,0.00240229,53.47,BTC-30MAY25-125000-C,94280.62,sell,0.1,0.1,,,,,,,1746055688.223
873,364033072,1746056277404,3,0.0023,0.00238135,53.54,BTC-30MAY25-125000-C,94250.17,sell,0.1,0.1,,,,,,,1746056277.404
874,364036913,1746061411793,3,0.0023,0.00243077,53.24,BTC-30MAY25-125000-C,94476.77,buy,0.1,0.1,,,,,,,1746061411.793
875,364037570,1746061911133,3,0.0023,0.00242666,53.13,BTC-30MAY25-125000-C,94551.86,buy,0.1,0.1,,,,,,,1746061911.133
876,364040244,1746065454752,3,0.0023,0.00247941,52.73,BTC-30MAY25-125000-C,94813.67,buy,0.2,0.2,,,,,,,1746065454.752
877,364043898,1746069478416,3,0.0023,0.00242906,52.9,BTC-30MAY25-125000-C,94740.05,sell,0.1,0.1,,,,,,,1746069478.416
878,364043926,1746069514022,0,0.0024,0.00243129,53.32,BTC-30MAY25-125000-C,94728.09,buy,0.1,0.1,,,,,,,1746069514.022
879,364046208,1746072809409,1,0.0024,0.00248525,53.21,BTC-30MAY25-125000-C,94823.7,buy,0.2,0.2,,,,,,,1746072809.409
880,364048029,1746076307549,1,0.0024,0.00251271,53.03,BTC-30MAY25-125000-C,94951.21,buy,0.2,0.2,,,,,,,1746076307.549
881,364051183,1746080248404,1,0.0024,0.00248793,52.81,BTC-30MAY25-125000-C,95085.65,sell,0.1,0.1,,,,,,,1746080248.404
882,364051711,1746080847558,2,0.0023,0.00247151,52.52,BTC-30MAY25-125000-C,95027.68,sell,0.1,0.1,,,,,,,1746080847.558
883,364053827,1746083932982,3,0.0023,0.00245642,52.62,BTC-30MAY25-125000-C,94977.99,sell,0.1,0.1,,,,,,,1746083932.982
884,364054379,1746084473011,3,0.0023,0.00245629,52.55,BTC-30MAY25-125000-C,95017.15,sell,0.1,0.1,,,,,,,1746084473.011
885,364056613,1746087381335,3,0.0023,0.00247309,52.55,BTC-30MAY25-125000-C,95025.62,buy,0.2,0.2,,,,,,,1746087381.335
886,364059249,1746091007018,0,0.0025,0.00254151,53.08,BTC-30MAY25-125000-C,95200.91,buy,0.2,0.2,,,,,,,1746091007.018
887,364061743,1746092613009,0,0.0026,0.0026082,53.05,BTC-30MAY25-125000-C,95432.52,buy,1.0,1.0,,,,,,,1746092613.009
888,364072443,1746095264297,0,0.0029,0.0030344,52.77,BTC-30MAY25-125000-C,96261.89,sell,0.1,0.1,,,,,,,1746095264.297
889,364087526,1746100263389,0,0.003,0.00310269,53.2,BTC-30MAY25-125000-C,96229.03,sell,0.1,0.1,,,,,,,1746100263.389
890,364094162,1746102292048,0,0.0032,0.00323153,53.61,BTC-30MAY25-125000-C,96399.28,buy,0.1,0.1,,,,,,,1746102292.048
891,364102516,1746105255971,0,0.0033,0.00336675,53.76,BTC-30MAY25-125000-C,96525.67,sell,0.2,0.2,,,,,,,1746105255.971
892,364113101,1746107678121,1,0.0033,0.0032496,54.75,BTC-30MAY25-125000-C,95975.24,sell,0.1,0.1,,,,,,,1746107678.121
893,364118366,1746108604826,1,0.0033,0.00334078,54.44,BTC-30MAY25-125000-C,96194.06,sell,0.1,0.1,,,,,,,1746108604.826
894,364121118,1746109633455,1,0.0033,0.00338541,54.01,BTC-30MAY25-125000-C,96432.08,sell,0.1,0.1,,,,,,,1746109633.455
895,364123343,1746110487071,0,0.0034,0.0034085,54.06,BTC-30MAY25-125000-C,96612.42,sell,12.5,12.5,,BTC-CS-30MAY25-125000_250000,,2.0,BLOCK-195484,,1746110487.071
896,364126463,1746111606020,0,0.0035,0.00357312,53.78,BTC-30MAY25-125000-C,96947.4,sell,0.1,0.1,,,,,,,1746111606.02
897,364126683,1746111638864,1,0.0035,0.00353517,53.89,BTC-30MAY25-125000-C,96885.38,sell,25.0,25.0,,BTC-CSR12-30MAY25-115000_125000,,2.0,BLOCK-195489,,1746111638.864
898,364134016,1746112639083,1,0.0035,0.00351888,53.37,BTC-30MAY25-125000-C,97209.59,buy,0.1,0.1,,,,,,,1746112639.083
899,364137497,1746113229834,1,0.0035,0.00352339,53.51,BTC-30MAY25-125000-C,97111.42,sell,0.1,0.1,,,,,,,1746113229.834
900,364145088,1746116235656,2,0.0034,0.00347099,53.51,BTC-30MAY25-125000-C,96959.13,sell,0.1,0.1,,,,,,,1746116235.656
901,364146171,1746116835673,0,0.0035,0.00361754,53.33,BTC-30MAY25-125000-C,97241.77,sell,0.1,0.1,,,,,,,1746116835.673
902,364152804,1746119838829,0,0.0036,0.00363285,53.62,BTC-30MAY25-125000-C,97268.36,sell,0.1,0.1,,,,,,,1746119838.829
903,364153598,1746120438563,2,0.0035,0.00351394,53.71,BTC-30MAY25-125000-C,97046.51,sell,0.1,0.1,,,,,,,1746120438.563
904,364159211,1746123587944,2,0.0033,0.0033785,53.69,BTC-30MAY25-125000-C,96693.48,sell,0.1,0.1,,,,,,,1746123587.944
905,364159643,1746123784677,3,0.0033,0.00333524,53.84,BTC-30MAY25-125000-C,96612.31,buy,0.1,0.1,,,,,,,1746123784.677
906,364165380,1746127084900,3,0.0033,0.00334353,53.94,BTC-30MAY25-125000-C,96586.41,sell,0.1,0.1,,,,,,,1746127084.9
907,364165496,1746127204920,0,0.0034,0.00338993,54.17,BTC-30MAY25-125000-C,96641.64,buy,0.1,0.1,,,,,,,1746127204.92
