trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,block_rfq_id,combo_trade_id,unix_sec
759,364041064,1746066196925,3,0.0009,0.00095226,69.8,BTC-30MAY25-150000-C,94780.67,sell,0.1,0.1,,,,,,1746066196.925
760,364064406,1746093315318,0,0.001,0.00099193,69.73,BTC-30MAY25-150000-C,95747.88,buy,0.1,0.1,,,,,,1746093315.318
761,364064460,1746093334256,1,0.001,0.00099915,69.68,BTC-30MAY25-150000-C,95779.33,sell,1.9,1.9,,,,,,1746093334.256
762,364065648,1746093713438,1,0.001,0.00099231,69.84,BTC-30MAY25-150000-C,95654.55,buy,0.1,0.1,,,,,,1746093713.438
763,364086334,1746099767259,1,0.001,0.0010685,69.23,BTC-30MAY25-150000-C,96135.36,sell,1.1,1.1,,,,,,1746099767.259
764,364094982,1746102601499,1,0.001,0.00098962,69.16,BTC-30MAY25-150000-C,96247.92,buy,0.1,0.1,,,,,,1746102601.499
765,364097848,1746103344589,0,0.0011,0.0011149,69.72,BTC-30MAY25-150000-C,96465.03,sell,1.0,1.0,,,,,,1746103344.589
766,364098054,1746103411540,1,0.0011,0.00110785,69.75,BTC-30MAY25-150000-C,96457.76,buy,0.1,0.1,,,,,,1746103411.54
767,364098057,1746103426173,1,0.0011,0.00110909,69.75,BTC-30MAY25-150000-C,96457.94,sell,1.0,1.0,,,,,,1746103426.173
768,364099242,1746104109893,1,0.0011,0.00109532,69.86,BTC-30MAY25-150000-C,96384.92,buy,0.1,0.1,,,,,,1746104109.893
769,364117861,1746108417399,1,0.0011,0.00121671,70.18,BTC-30MAY25-150000-C,96234.27,sell,3.0,3.0,,,,,,1746108417.399
770,364117985,1746108442029,1,0.0011,0.00121526,70.19,BTC-30MAY25-150000-C,96229.61,sell,3.0,3.0,,,,,,1746108442.029
771,364140171,1746114040001,0,0.0012,0.00115054,69.83,BTC-30MAY25-150000-C,97152.21,buy,0.1,0.1,,,,,,1746114040.001
772,364140172,1746114040001,1,0.0012,0.00115054,69.83,BTC-30MAY25-150000-C,97152.21,buy,12.0,12.0,,,,,,1746114040.001
773,364147498,1746117479519,1,0.0012,0.00126655,69.55,BTC-30MAY25-150000-C,97369.79,sell,2.9,2.9,,,,,,1746117479.519
