trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,unix_sec
233,364088765,1746100659507,0,0.0004,0.00028838,95.55,BTC-30MAY25-200000-C,96241.54,buy,1.0,1.0,,,,1746100659.507
234,364181766,1746143163567,2,0.0003,0.00031929,93.54,BTC-30MAY25-200000-C,96365.73,sell,0.5,0.5,,,,1746143163.567
235,364200309,1746156155325,3,0.0003,0.00030053,92.95,BTC-30MAY25-200000-C,97041.21,sell,0.5,0.5,,,,1746156155.325
236,364244601,1746174534286,3,0.0003,0.00028639,93.64,BTC-30MAY25-200000-C,96665.85,buy,0.1,0.1,,,,1746174534.286
237,364244602,1746174534288,3,0.0003,0.00028639,93.64,BTC-30MAY25-200000-C,96665.85,sell,0.1,0.1,,,,1746174534.288
238,364244603,1746174534289,3,0.0003,0.00028639,93.64,BTC-30MAY25-200000-C,96665.85,sell,1.3,1.3,,,,1746174534.289
239,364244604,1746174534291,3,0.0003,0.00028639,93.64,BTC-30MAY25-200000-C,96665.85,sell,1.0,1.0,,,,1746174534.291
240,364246812,1746175345314,0,0.0004,0.00028992,96.25,BTC-30MAY25-200000-C,96768.8,buy,12.5,12.5,4.0,BLOCK-195642,BTC-ICOND-30MAY25-76000_84000_125000_200000,1746175345.314
241,364246892,1746175387139,2,0.0003,0.0002908,93.49,BTC-30MAY25-200000-C,96795.76,buy,12.5,12.5,4.0,BLOCK-195644,BTC-ICOND-30MAY25-76000_85000_125000_200000,1746175387.139
242,364246954,1746175448686,3,0.0003,0.00028962,93.52,BTC-30MAY25-200000-C,96778.89,buy,0.1,0.1,,,,1746175448.686
243,364643320,1746393193871,2,0.0002,0.00020805,96.01,BTC-30MAY25-200000-C,95687.62,buy,0.1,0.1,,,,1746393193.871
244,364734687,1746447476603,3,0.0002,0.00016706,99.08,BTC-30MAY25-200000-C,94210.88,buy,0.8,0.8,,,,1746447476.603
245,364880996,1746542191106,3,0.0002,0.00014681,101.12,BTC-30MAY25-200000-C,94400.07,buy,1.1,1.1,,,,1746542191.106
