trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,combo_trade_id,unix_sec
72,364063177,1746093065423,0,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
75,364063180,1746093065423,1,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
74,364063179,1746093065423,1,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
73,364063178,1746093065423,1,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
76,364063181,1746093065423,1,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
77,364063182,1746093065423,1,0.377,0.37681072,75.92,BTC-30MAY25-60000-C,95681.2,buy,0.1,,,0.1,,,1746093065.423
78,367734183,1747849223976,0,0.4415,0.44202335,0.0,BTC-30MAY25-60000-C,107264.38,sell,1.0,,,1.0,,,1747849223.976
79,368244762,1748001310343,0,0.4545,0.45395853,181.95,BTC-30MAY25-60000-C,109675.49,buy,0.1,,,0.1,,,1748001310.343
80,368581982,1748187140180,2,0.4405,0.43987566,212.76,BTC-30MAY25-60000-C,106997.75,buy,0.6,,,0.6,,,1748187140.18
81,368581991,1748187140199,3,0.4405,0.43987566,212.76,BTC-30MAY25-60000-C,106997.75,buy,0.7,,,0.7,,,1748187140.199
82,368581998,1748187140213,3,0.4405,0.43987566,212.76,BTC-30MAY25-60000-C,106997.75,buy,1.5,,,1.5,,,1748187140.213
83,368582001,1748187140227,3,0.4405,0.43987566,212.76,BTC-30MAY25-60000-C,106997.75,buy,1.6,,,1.6,,,1748187140.227
84,368685121,1748261568178,0,0.4545,0.45452173,0.0,BTC-30MAY25-60000-C,109815.57,sell,0.1,,,0.1,,,1748261568.178
85,368685905,1748262114836,1,0.4545,0.4544615,193.06,BTC-30MAY25-60000-C,109817.09,sell,0.1,,,0.1,,,1748262114.836
86,368818421,1748334037553,2,0.4539,0.45361565,260.29,BTC-30MAY25-60000-C,109741.97,buy,10.0,,,10.0,BTC-CCAL-27JUN25_30MAY25-60000,368818420,1748334037.553
87,369354961,1748566641526,2,0.4285,0.42907205,0.0,BTC-30MAY25-60000-C,105079.73,sell,0.2,,,0.2,,,1748566641.526
88,369354965,1748566641595,3,0.4285,0.42907205,0.0,BTC-30MAY25-60000-C,105079.73,sell,1.8,,,1.8,,,1748566641.595
89,369377229,1748576943287,0,0.4347,0.43470946,0.0,BTC-30MAY25-60000-C,106120.23,buy,19.0,2.0,BLOCK-202080,19.0,BTC-CS-30MAY25-60000_82000,,1748576943.287
90,369378041,1748577210043,2,0.4342,0.43420401,0.0,BTC-30MAY25-60000-C,106047.35,buy,24.0,2.0,BLOCK-202082,24.0,BTC-CS-30MAY25-60000_80000,,1748577210.043
