trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
132,364062713,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
137,364062718,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
135,364062716,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
134,364062715,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
131,364062712,1746093033251,0,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
136,364062717,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
133,364062714,1746093033251,1,0.2735,0.2732151,60.75,BTC-30MAY25-70000-C,95606.96,buy,0.1,0.1,1746093033.251
138,365154068,1746687688367,0,0.2965,0.29663891,64.13,BTC-30MAY25-70000-C,99060.21,buy,11.5,11.5,1746687688.367
139,365154069,1746687688479,1,0.2965,0.29663891,64.13,BTC-30MAY25-70000-C,99060.21,buy,0.6,0.6,1746687688.479
140,365154084,1746687694025,1,0.2965,0.29670811,63.01,BTC-30MAY25-70000-C,99069.55,buy,5.2,5.2,1746687694.025
141,365154087,1746687694029,1,0.2965,0.29670811,63.01,BTC-30MAY25-70000-C,99069.55,buy,0.1,0.1,1746687694.029
142,365154090,1746687694044,1,0.2965,0.29670811,63.01,BTC-30MAY25-70000-C,99069.55,buy,22.6,22.6,1746687694.044
143,367585986,1747802350150,0,0.3505,0.34874926,134.24,BTC-30MAY25-70000-C,107286.17,buy,0.4,0.4,1747802350.15
144,367671609,1747839828772,0,0.361,0.36037973,124.6,BTC-30MAY25-70000-C,109197.92,buy,0.9,0.9,1747839828.772
145,367671616,1747839828817,1,0.361,0.36037973,124.6,BTC-30MAY25-70000-C,109197.92,buy,0.1,0.1,1747839828.817
146,367671766,1747839832163,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,0.3,0.3,1747839832.163
147,367671785,1747839832177,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,1.2,1.2,1747839832.177
148,367671789,1747839832195,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,0.1,0.1,1747839832.195
149,367671803,1747839832243,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,6.0,6.0,1747839832.243
150,367671806,1747839832268,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,0.5,0.5,1747839832.268
151,367671807,1747839832280,1,0.361,0.36086166,111.49,BTC-30MAY25-70000-C,109251.23,buy,4.9,4.9,1747839832.28
152,369354805,1748566640987,2,0.3335,0.33391739,0.0,BTC-30MAY25-70000-C,105079.73,sell,0.1,0.1,1748566640.987
