trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,unix_sec
3244,364031192,1746054198600,1,0.002,0.00200424,58.55,BTC-30MAY25-70000-P,94082.19,buy,0.1,0.1,,,,1746054198.6
3245,364032208,1746054946023,1,0.002,0.00191419,58.99,BTC-30MAY25-70000-P,94306.89,buy,0.1,0.1,,,,1746054946.023
3246,364043163,1746069007628,1,0.002,0.00184976,60.21,BTC-30MAY25-70000-P,94941.72,buy,12.0,12.0,,,,1746069007.628
3247,364064808,1746093422391,2,0.0017,0.00155988,60.15,BTC-30MAY25-70000-P,95661.62,buy,0.1,0.1,,,,1746093422.391
3248,364072423,1746095257519,0,0.0018,0.00162483,61.79,BTC-30MAY25-70000-P,96252.24,buy,0.1,0.1,,,,1746095257.519
3249,364072467,1746095288063,0,0.0019,0.00162864,62.39,BTC-30MAY25-70000-P,96253.5,buy,12.5,12.5,2.0,BLOCK-195399,BTC-PS-30MAY25-75000_70000,1746095288.063
3250,364121369,1746109781463,2,0.0018,0.00164216,62.31,BTC-30MAY25-70000-P,96471.92,buy,0.1,0.1,,,,1746109781.463
3251,364121370,1746109781463,3,0.0018,0.00164216,62.31,BTC-30MAY25-70000-P,96471.92,buy,3.6,3.6,,,,1746109781.463
3252,364139341,1746113654226,2,0.0016,0.00154749,62.11,BTC-30MAY25-70000-P,97077.0,buy,0.9,0.9,,,,1746113654.226
3253,364147128,1746117277620,0,0.0017,0.00162675,63.3,BTC-30MAY25-70000-P,97365.9,buy,0.1,0.1,,,,1746117277.62
3254,364149182,1746118146478,1,0.0017,0.00165892,63.18,BTC-30MAY25-70000-P,97309.88,buy,0.1,0.1,,,,1746118146.478
3255,364149925,1746118450195,1,0.0017,0.0016894,62.93,BTC-30MAY25-70000-P,97148.45,buy,0.1,0.1,,,,1746118450.195
3256,364150787,1746118750211,1,0.0017,0.0016791,62.88,BTC-30MAY25-70000-P,97098.55,buy,0.1,0.1,,,,1746118750.211
3257,364151765,1746119050254,1,0.0017,0.00163839,63.07,BTC-30MAY25-70000-P,97199.86,buy,0.1,0.1,,,,1746119050.254
3258,364152141,1746119350266,1,0.0017,0.00164059,63.07,BTC-30MAY25-70000-P,97211.38,buy,0.1,0.1,,,,1746119350.266
3259,364154374,1746120797822,1,0.0017,0.00165786,62.76,BTC-30MAY25-70000-P,97023.64,buy,0.1,0.1,,,,1746120797.822
3260,364157141,1746121849541,1,0.0017,0.00164713,62.32,BTC-30MAY25-70000-P,96724.52,buy,0.1,0.1,,,,1746121849.541
3261,364158131,1746122593591,0,0.0018,0.00162959,63.16,BTC-30MAY25-70000-P,96876.13,buy,0.5,0.5,,,,1746122593.591
3262,364159700,1746123799216,2,0.0017,0.00166175,62.16,BTC-30MAY25-70000-P,96624.64,buy,0.1,0.1,,,,1746123799.216
3263,364160534,1746124376977,3,0.0017,0.00166681,61.98,BTC-30MAY25-70000-P,96522.31,buy,0.1,0.1,,,,1746124376.977
3264,364166385,1746127653579,3,0.0017,0.00165775,61.97,BTC-30MAY25-70000-P,96518.8,buy,0.1,0.1,,,,1746127653.579
3265,364166548,1746127953623,3,0.0017,0.00163379,62.12,BTC-30MAY25-70000-P,96610.35,buy,0.1,0.1,,,,1746127953.623
3266,364166858,1746128253668,3,0.0017,0.00162013,62.29,BTC-30MAY25-70000-P,96715.81,buy,0.1,0.1,,,,1746128253.668
3267,364167549,1746128995777,3,0.0017,0.0016382,62.19,BTC-30MAY25-70000-P,96635.13,buy,0.1,0.1,,,,1746128995.777
3268,364167811,1746129295834,3,0.0017,0.00162942,62.27,BTC-30MAY25-70000-P,96684.97,buy,0.1,0.1,,,,1746129295.834
3269,364169190,1746129984932,3,0.0017,0.00167698,61.85,BTC-30MAY25-70000-P,96451.68,buy,0.1,0.1,,,,1746129984.932
3270,364169939,1746130293649,3,0.0017,0.001646,62.1,BTC-30MAY25-70000-P,96592.61,buy,0.1,0.1,,,,1746130293.649
