trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,unix_sec
84,364062634,1746093033121,1,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.121
81,364062631,1746093033121,0,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.121
82,364062632,1746093033121,1,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.121
83,364062633,1746093033121,1,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.121
85,364062640,1746093033130,1,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.13
86,364062641,1746093033130,1,0.2225,0.22236783,53.79,BTC-30MAY25-75000-C,95606.96,buy,0.1,0.1,,1746093033.13
87,364062827,1746093034269,0,0.223,0.22240033,54.95,BTC-30MAY25-75000-C,95631.82,buy,0.1,0.1,,1746093034.269
88,364069728,1746094800742,0,0.2275,0.2273897,54.83,BTC-30MAY25-75000-C,96216.83,sell,1.0,1.0,M,1746094800.742
89,366998344,1747577932657,0,0.286,0.28561248,84.1,BTC-30MAY25-75000-C,104634.53,sell,0.5,0.5,,1747577932.657
90,369295164,1748540570890,0,0.2955,0.29614673,0.0,BTC-30MAY25-75000-C,106524.62,sell,0.3,0.3,,1748540570.89
