trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,combo_trade_id,liquidation,unix_sec
570,364062623,1746093033103,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.103
571,364062624,1746093033103,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.103
567,364062620,1746093033103,0,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.103
569,364062622,1746093033103,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.103
568,364062621,1746093033103,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.103
573,364062630,1746093033117,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.117
572,364062629,1746093033117,1,0.173,0.17288831,48.99,BTC-30MAY25-80000-C,95606.96,buy,0.1,,,0.1,,,,1746093033.117
574,364173530,1746132803470,0,0.18,0.18014004,50.5,BTC-30MAY25-80000-C,96509.18,sell,0.1,,,0.1,,,,1746132803.47
575,364238791,1746172626885,2,0.1795,0.17978415,48.88,BTC-30MAY25-80000-C,96454.7,buy,0.1,,,0.1,,,M,1746172626.885
576,364311585,1746203246578,0,0.189,0.18921537,49.45,BTC-30MAY25-80000-C,97780.27,buy,0.2,,,0.2,,,,1746203246.578
577,365381426,1746760632406,0,0.2265,0.22615889,60.41,BTC-30MAY25-80000-C,102707.63,sell,5.0,,,5.0,,,,1746760632.406
578,365474973,1746790054892,1,0.2265,0.22650122,57.19,BTC-30MAY25-80000-C,102838.67,sell,0.1,,,0.1,,,,1746790054.892
579,365585159,1746871017962,0,0.2345,0.23400124,61.97,BTC-30MAY25-80000-C,103835.74,buy,0.1,,,0.1,BTC-CSR13-30MAY25-80000_104000,365585158,,1746871017.962
580,365585233,1746871070771,2,0.2335,0.23409889,52.38,BTC-30MAY25-80000-C,103848.53,sell,0.2,,,0.2,BTC-CSR13-30MAY25-80000_104000,365585231,,1746871070.771
581,365585281,1746871117016,0,0.2337,0.23391508,56.55,BTC-30MAY25-80000-C,103826.53,buy,0.4,,,0.4,BTC-CSR13-30MAY25-80000_104000,365585279,,1746871117.016
582,366096883,1747119885956,2,0.2245,0.2244128,58.48,BTC-30MAY25-80000-C,102641.1,buy,0.2,,,0.2,,,,1747119885.956
583,366705754,1747377981532,0,0.2335,0.23381464,57.71,BTC-30MAY25-80000-C,104051.93,buy,0.1,,,0.1,,,,1747377981.532
584,366837457,1747448066484,2,0.225,0.22484371,63.34,BTC-30MAY25-80000-C,102857.77,sell,0.1,,,0.1,,,,1747448066.484
585,366837470,1747448080778,3,0.225,0.2246568,65.86,BTC-30MAY25-80000-C,102833.04,sell,1.9,,,1.9,,,,1747448080.778
586,367403313,1747709578285,0,0.2485,0.24868488,66.95,BTC-30MAY25-80000-C,106134.83,buy,0.1,,,0.1,,,,1747709578.285
587,367538298,1747771958811,0,0.2545,0.25366657,89.97,BTC-30MAY25-80000-C,106916.75,sell,0.1,,,0.1,,,,1747771958.811
588,368581987,1748187140192,1,0.2545,0.25332382,130.24,BTC-30MAY25-80000-C,106997.75,buy,3.2,,,3.2,,,,1748187140.192
589,368699849,1748272614724,0,0.272,0.27200009,121.03,BTC-30MAY25-80000-C,109705.84,sell,0.1,,,0.1,BTC-CS-30MAY25-80000_95000,368699847,,1748272614.724
590,368699863,1748272621324,2,0.2719,0.27191611,120.39,BTC-30MAY25-80000-C,109684.61,sell,0.4,,,0.4,BTC-CS-30MAY25-80000_95000,368699862,,1748272621.324
591,369224363,1748522026897,2,0.2645,0.263834,301.93,BTC-30MAY25-80000-C,108648.12,sell,0.4,,,0.4,,,,1748522026.897
592,369248814,1748528168000,2,0.2545,0.25475551,0.0,BTC-30MAY25-80000-C,107322.14,sell,0.5,,,0.5,,,,1748528168.0
593,369252478,1748528740411,2,0.253,0.2531068,0.0,BTC-30MAY25-80000-C,107105.26,sell,0.2,,,0.2,,,,1748528740.411
594,369349366,1748564703746,2,0.246,0.24581614,395.02,BTC-30MAY25-80000-C,106094.98,sell,1.0,,,1.0,,,,1748564703.746
595,369349837,1748564862369,3,0.246,0.24588617,383.73,BTC-30MAY25-80000-C,106101.51,sell,0.7,,,0.7,,,,1748564862.369
596,369349838,1748564862377,3,0.246,0.24588617,383.73,BTC-30MAY25-80000-C,106101.51,sell,0.3,,,0.3,,,,1748564862.377
597,369350168,1748565133660,2,0.245,0.24472782,397.21,BTC-30MAY25-80000-C,105951.43,sell,2.0,,,2.0,,,,1748565133.66
598,369351122,1748565984093,2,0.2435,0.24332137,385.09,BTC-30MAY25-80000-C,105736.18,sell,1.0,,,1.0,,,,1748565984.093
599,369351394,1748566183852,2,0.243,0.24296377,339.06,BTC-30MAY25-80000-C,105679.84,sell,0.2,,,0.2,,,,1748566183.852
600,369351395,1748566183866,3,0.243,0.24296377,339.06,BTC-30MAY25-80000-C,105679.84,sell,0.2,,,0.2,,,,1748566183.866
601,369351406,1748566184148,3,0.243,0.24296148,373.33,BTC-30MAY25-80000-C,105668.66,sell,0.2,,,0.2,,,,1748566184.148
602,369351407,1748566184159,3,0.243,0.24296148,373.33,BTC-30MAY25-80000-C,105668.66,sell,0.3,,,0.3,,,,1748566184.159
603,369351408,1748566184164,3,0.243,0.24296148,373.33,BTC-30MAY25-80000-C,105668.66,sell,0.2,,,0.2,,,,1748566184.164
604,369351409,1748566184169,3,0.243,0.24296148,373.33,BTC-30MAY25-80000-C,105668.66,sell,0.9,,,0.9,,,,1748566184.169
605,369372020,1748574694615,0,0.2455,0.24537841,455.75,BTC-30MAY25-80000-C,106009.3,buy,0.1,,,0.1,,,,1748574694.615
606,369378042,1748577210043,0,0.2456,0.24560534,0.0,BTC-30MAY25-80000-C,106047.35,sell,24.0,2.0,BLOCK-202082,24.0,BTC-CS-30MAY25-60000_80000,,,1748577210.043
