trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,liquidation,block_rfq_id,combo_trade_id,unix_sec
3144,364032437,1746055191287,3,0.0065,0.00648596,47.9,BTC-30MAY25-80000-P,94200.17,sell,0.1,0.1,,,,,,,1746055191.287
3145,364037795,1746062181795,2,0.006,0.0059513,47.82,BTC-30MAY25-80000-P,94620.45,sell,0.1,0.1,,,,,,,1746062181.795
3146,364038059,1746062364784,3,0.006,0.00595213,47.89,BTC-30MAY25-80000-P,94655.02,sell,0.1,0.1,,,,,,,1746062364.784
3147,364038063,1746062364972,3,0.006,0.00595213,47.89,BTC-30MAY25-80000-P,94655.02,sell,0.1,0.1,,,,,,,1746062364.972
3148,364059530,1746091236103,2,0.0055,0.00567117,48.53,BTC-30MAY25-80000-P,95274.54,sell,0.1,0.1,,,,,,,1746091236.103
3149,364059641,1746091277129,3,0.0055,0.0056564,48.56,BTC-30MAY25-80000-P,95279.03,sell,0.1,0.1,,,,,,,1746091277.129
3150,364059693,1746091279840,3,0.0055,0.00562459,48.66,BTC-30MAY25-80000-P,95320.39,sell,0.1,0.1,,,,,,,1746091279.84
3151,364059698,1746091284117,3,0.0055,0.00561132,48.67,BTC-30MAY25-80000-P,95324.95,sell,0.1,0.1,,,,,,,1746091284.117
3153,364059700,1746091286064,3,0.0055,0.00561141,48.67,BTC-30MAY25-80000-P,95326.59,sell,0.5,0.5,,,,,,,1746091286.064
3152,364059699,1746091286064,3,0.0055,0.00561141,48.67,BTC-30MAY25-80000-P,95326.59,sell,0.1,0.1,,,,,,,1746091286.064
3154,364059926,1746091500217,3,0.0055,0.00568516,48.6,BTC-30MAY25-80000-P,95312.11,sell,0.3,0.3,,,,,,,1746091500.217
3155,364059927,1746091500217,3,0.0055,0.00568516,48.6,BTC-30MAY25-80000-P,95312.11,sell,0.1,0.1,,,,,,,1746091500.217
3156,364060064,1746091698336,3,0.0055,0.00568711,48.65,BTC-30MAY25-80000-P,95330.6,sell,0.1,0.1,,,,,,,1746091698.336
3157,364060173,1746091865342,3,0.0055,0.00570014,48.67,BTC-30MAY25-80000-P,95340.12,sell,0.2,0.2,,,,,,,1746091865.342
3158,364061085,1746092300028,3,0.0055,0.0056525,48.97,BTC-30MAY25-80000-P,95462.26,sell,0.3,0.3,,,,,,,1746092300.028
3159,364061112,1746092311155,3,0.0055,0.00562824,49.03,BTC-30MAY25-80000-P,95491.58,sell,0.2,0.2,,,,,,,1746092311.155
3160,364061679,1746092588141,3,0.0055,0.00571996,48.89,BTC-30MAY25-80000-P,95417.75,sell,0.1,0.1,,,,,,,1746092588.141
3162,364061746,1746092613023,3,0.0055,0.00570247,48.93,BTC-30MAY25-80000-P,95432.52,sell,2.0,2.0,,,,,,,1746092613.023
3161,364061745,1746092613023,3,0.0055,0.00570247,48.93,BTC-30MAY25-80000-P,95432.52,sell,0.3,0.3,,,,,,,1746092613.023
3164,364062098,1746092967759,3,0.005,0.0054196,47.87,BTC-30MAY25-80000-P,95493.66,sell,0.1,0.1,,,,,,,1746092967.759
3165,364062099,1746092967759,3,0.005,0.0054196,47.87,BTC-30MAY25-80000-P,95493.66,sell,0.3,0.3,,,,,,,1746092967.759
3163,364062097,1746092967759,2,0.005,0.0054196,47.87,BTC-30MAY25-80000-P,95493.66,sell,0.1,0.1,,,,,,,1746092967.759
3166,364071094,1746094935792,3,0.005,0.0050907,49.52,BTC-30MAY25-80000-P,96276.43,sell,12.5,12.5,2.0,BLOCK-195395,BTC-PS-30MAY25-80000_72000,,,,1746094935.792
3167,364072449,1746095266965,3,0.005,0.00517171,49.52,BTC-30MAY25-80000-P,96263.7,sell,2.0,2.0,,,,,,,1746095266.965
3168,364072605,1746095358588,3,0.005,0.0051478,49.61,BTC-30MAY25-80000-P,96295.83,sell,0.5,0.5,,,,,,,1746095358.588
3169,364089634,1746101052504,0,0.0055,0.00525078,50.64,BTC-30MAY25-80000-P,96190.51,buy,2.0,2.0,,,,,,,1746101052.504
3170,364100985,1746104787700,1,0.0055,0.00517707,51.21,BTC-30MAY25-80000-P,96441.27,buy,1.0,1.0,,,,,,,1746104787.7
3171,364101257,1746104868906,2,0.005,0.00516763,50.01,BTC-30MAY25-80000-P,96465.39,sell,0.1,0.1,,,,,,,1746104868.906
3172,364101296,1746104885172,3,0.005,0.00516672,50.02,BTC-30MAY25-80000-P,96463.41,sell,0.1,0.1,,,,,,,1746104885.172
3173,364101504,1746104944969,3,0.005,0.00518026,49.98,BTC-30MAY25-80000-P,96432.5,sell,0.1,0.1,,,,,,,1746104944.969
3174,364101516,1746104959637,3,0.005,0.00517336,50.0,BTC-30MAY25-80000-P,96441.4,sell,0.1,0.1,,,,,,,1746104959.637
3175,364101629,1746104962251,3,0.005,0.00517162,50.01,BTC-30MAY25-80000-P,96444.13,sell,0.2,0.2,,,,,,,1746104962.251
3176,364101630,1746104962251,3,0.005,0.00517162,50.01,BTC-30MAY25-80000-P,96444.13,sell,0.1,0.1,,,,,,,1746104962.251
3177,364105428,1746106223431,3,0.005,0.00498566,50.21,BTC-30MAY25-80000-P,96541.75,buy,3.6,3.6,,,,,,,1746106223.431
3178,364121356,1746109780196,0,0.0051,0.00516682,50.3,BTC-30MAY25-80000-P,96472.39,sell,12.5,12.5,2.0,BLOCK-195480,BTC-PS-30MAY25-80000_75000,,,,1746109780.196
3179,364128063,1746111925094,2,0.0048,0.00491854,50.74,BTC-30MAY25-80000-P,97035.49,sell,0.1,0.1,,,,,,,1746111925.094
3180,364131037,1746112312960,2,0.0046,0.00463245,50.81,BTC-30MAY25-80000-P,97327.79,sell,0.1,0.1,,,,,,,1746112312.96
3181,364136074,1746113060263,0,0.0047,0.00477191,50.63,BTC-30MAY25-80000-P,97106.07,sell,12.5,12.5,2.0,BLOCK-195499,BTC-PDIAG-30MAY25_16MAY25-80000_83000,,,,1746113060.263
3182,364142020,1746114678537,1,0.0047,0.00470967,50.52,BTC-30MAY25-80000-P,97047.89,buy,0.1,0.1,,,,,,,1746114678.537
3183,364142793,1746115080025,0,0.0048,0.00476632,50.58,BTC-30MAY25-80000-P,96933.35,buy,0.1,0.1,,,,,,,1746115080.025
3184,364144098,1746115673873,2,0.0047,0.00464864,50.71,BTC-30MAY25-80000-P,97132.49,buy,0.4,0.4,,,,,,,1746115673.873
3185,364144234,1746115780095,3,0.0047,0.00460322,50.84,BTC-30MAY25-80000-P,97192.3,buy,2.2,2.2,,,,,,,1746115780.095
3186,364144346,1746115836700,3,0.0047,0.00465294,50.7,BTC-30MAY25-80000-P,97136.38,buy,3.0,3.0,,,,,,,1746115836.7
3187,364144479,1746115962885,2,0.0046,0.00462331,50.56,BTC-30MAY25-80000-P,97187.5,sell,0.1,0.1,,,,,,,1746115962.885
3188,364144590,1746116014796,0,0.0047,0.00462795,50.83,BTC-30MAY25-80000-P,97192.79,buy,1.2,1.2,,,,,,,1746116014.796
3189,364145572,1746116522502,1,0.0047,0.00466052,50.75,BTC-30MAY25-80000-P,97155.09,buy,2.0,2.0,,,,,,,1746116522.502
3190,364147333,1746117377231,2,0.0046,0.00459889,50.88,BTC-30MAY25-80000-P,97342.54,sell,0.1,0.1,,,,,,,1746117377.231
3191,364147334,1746117377235,3,0.0046,0.00459889,50.88,BTC-30MAY25-80000-P,97342.54,buy,0.6,0.6,,,,,,,1746117377.235
3192,364165051,1746127043760,0,0.0047,0.00484442,49.75,BTC-30MAY25-80000-P,96606.79,sell,0.1,0.1,,,,,,,1746127043.76
3193,364165052,1746127043904,1,0.0047,0.00484442,49.75,BTC-30MAY25-80000-P,96606.79,sell,0.1,0.1,,,,,,,1746127043.904
3194,364165960,1746127442000,0,0.0048,0.00482862,49.91,BTC-30MAY25-80000-P,96591.67,buy,3.9,3.9,,,,,,,1746127442.0
3195,364165961,1746127442004,1,0.0048,0.00482862,49.91,BTC-30MAY25-80000-P,96591.67,sell,1.4,1.4,,,,,,,1746127442.004
3196,364167019,1746128437490,0,0.005,0.00495229,50.63,BTC-30MAY25-80000-P,96697.57,buy,0.1,0.1,,,,,,,1746128437.49
3197,364171809,1746131275434,2,0.0047,0.00490839,50.27,BTC-30MAY25-80000-P,96885.24,sell,12.5,12.5,2.0,BLOCK-195526,BTC-PS-30MAY25-80000_74000,,,,1746131275.434
3198,364184807,1746145892640,0,0.0048,0.00474195,50.86,BTC-30MAY25-80000-P,96936.46,sell,2.0,2.0,,,,,,,1746145892.64
3199,364184808,1746145892707,1,0.0048,0.00474195,50.86,BTC-30MAY25-80000-P,96936.46,sell,0.1,0.1,,,,,,,1746145892.707
3200,364184809,1746145894043,1,0.0048,0.00474248,50.86,BTC-30MAY25-80000-P,96938.65,sell,0.1,0.1,,,,,,,1746145894.043
3201,364184810,1746145894095,1,0.0048,0.00474248,50.86,BTC-30MAY25-80000-P,96938.65,sell,0.1,0.1,,,,,,,1746145894.095
3202,364184822,1746145894358,1,0.0048,0.00474248,50.86,BTC-30MAY25-80000-P,96938.65,sell,0.2,0.2,,,,,,,1746145894.358
3203,364184823,1746145894496,1,0.0048,0.00474119,50.88,BTC-30MAY25-80000-P,96947.48,sell,0.2,0.2,,,,,,,1746145894.496
3204,364184824,1746145894524,1,0.0048,0.00474119,50.88,BTC-30MAY25-80000-P,96947.48,sell,0.1,0.1,,,,,,,1746145894.524
3205,364184838,1746145918357,1,0.0048,0.00472676,50.92,BTC-30MAY25-80000-P,96962.12,sell,1.2,1.2,,,,,,,1746145918.357
3206,364184864,1746145920319,1,0.0048,0.00472691,50.92,BTC-30MAY25-80000-P,96963.66,sell,0.1,0.1,,,,,,,1746145920.319
3207,364184871,1746145921212,1,0.0048,0.0047255,50.94,BTC-30MAY25-80000-P,96972.26,sell,0.6,0.6,,,,,,,1746145921.212
3208,364188120,1746147618178,2,0.0047,0.00469642,50.87,BTC-30MAY25-80000-P,97088.2,sell,0.9,0.9,,,,,,,1746147618.178
3209,364188331,1746147619124,3,0.0047,0.00469383,50.89,BTC-30MAY25-80000-P,97096.48,sell,0.9,0.9,,,,,,,1746147619.124
3210,364195824,1746152816099,2,0.0045,0.0045478,50.29,BTC-30MAY25-80000-P,96967.34,sell,0.2,0.2,,,,,,,1746152816.099
3211,364199627,1746155687041,3,0.0045,0.00451197,50.79,BTC-30MAY25-80000-P,97178.48,sell,0.8,0.8,,,,,,,1746155687.041
3212,364205084,1746158661415,2,0.0044,0.00441409,50.49,BTC-30MAY25-80000-P,97189.35,buy,0.1,0.1,,,,,,,1746158661.415
3213,364218799,1746166509427,0,0.0046,0.00454974,50.34,BTC-30MAY25-80000-P,96741.17,sell,0.1,0.1,,,,,,,1746166509.427
3214,364244430,1746174481347,0,0.0047,0.00449164,50.52,BTC-30MAY25-80000-P,96634.54,buy,25.0,25.0,2.0,BLOCK-195632,BTC-PSR12-30MAY25-85000_80000,,,,1746174481.347
3215,364253072,1746180003292,2,0.0044,0.00445436,49.63,BTC-30MAY25-80000-P,96640.24,sell,0.1,0.1,,,,,,,1746180003.292
3216,364282826,1746195541190,2,0.004,0.00408987,49.38,BTC-30MAY25-80000-P,97033.39,sell,0.1,0.1,,,,,,,1746195541.19
3217,364283147,1746195863109,3,0.004,0.00410667,49.29,BTC-30MAY25-80000-P,96989.94,sell,0.1,0.1,,,,,,,1746195863.109
3218,364283151,1746195863221,3,0.004,0.00410667,49.29,BTC-30MAY25-80000-P,96989.94,sell,0.3,0.3,,,,,,,1746195863.221
3219,364283156,1746195865955,3,0.004,0.0040931,49.35,BTC-30MAY25-80000-P,97018.65,sell,0.2,0.2,,,,,,,1746195865.955
3220,364283157,1746195865978,3,0.004,0.0040931,49.35,BTC-30MAY25-80000-P,97018.65,sell,0.1,0.1,,,,,,,1746195865.978
3222,364283256,1746195885190,3,0.004,0.00404264,49.53,BTC-30MAY25-80000-P,97100.29,sell,0.2,0.2,,,,,,,1746195885.19
3221,364283255,1746195885190,3,0.004,0.00404264,49.53,BTC-30MAY25-80000-P,97100.29,sell,0.2,0.2,,,,,,,1746195885.19
3223,364283569,1746196061303,3,0.004,0.00398835,49.74,BTC-30MAY25-80000-P,97207.54,sell,1.0,1.0,,,,,,,1746196061.303
3224,364283574,1746196076980,3,0.004,0.00398593,49.75,BTC-30MAY25-80000-P,97216.02,sell,1.0,1.0,,,,,,,1746196076.98
3225,364284582,1746196476075,3,0.004,0.004027,49.83,BTC-30MAY25-80000-P,97257.74,sell,0.2,0.2,,,,,,,1746196476.075
3226,364285254,1746196575303,3,0.004,0.00391804,50.25,BTC-30MAY25-80000-P,97466.09,sell,0.3,0.3,,,,,,,1746196575.303
3227,364285267,1746196575758,3,0.004,0.0039131,50.29,BTC-30MAY25-80000-P,97483.99,sell,0.1,0.1,,,,,,,1746196575.758
3228,364285310,1746196576163,3,0.004,0.0039131,50.29,BTC-30MAY25-80000-P,97483.99,sell,0.2,0.2,,,,,,,1746196576.163
3229,364285935,1746196609776,3,0.004,0.00390247,50.55,BTC-30MAY25-80000-P,97612.27,sell,44.0,44.0,,,,,,,1746196609.776
3230,364286400,1746196635575,3,0.004,0.00387699,50.65,BTC-30MAY25-80000-P,97665.66,sell,0.2,0.2,,,,,,,1746196635.575
3231,364286401,1746196635679,3,0.004,0.00387699,50.65,BTC-30MAY25-80000-P,97665.66,sell,0.2,0.2,,,,,,,1746196635.679
3232,364287735,1746196806059,3,0.004,0.00391915,50.64,BTC-30MAY25-80000-P,97653.89,sell,12.6,12.6,,,,,,,1746196806.059
3233,364298612,1746199542665,3,0.004,0.00402027,50.22,BTC-30MAY25-80000-P,97430.24,buy,2.1,2.1,,,,,,,1746199542.665
3234,364299429,1746199583911,0,0.0041,0.0040698,50.34,BTC-30MAY25-80000-P,97344.84,buy,10.0,10.0,,,BTC-ICOND-30MAY25-80000_86000_100000_105000,,,364299426,1746199583.911
3235,364299903,1746199605507,1,0.0041,0.00416939,50.07,BTC-30MAY25-80000-P,97215.47,sell,0.4,0.4,,,,,,,1746199605.507
3236,364371065,1746236717074,2,0.0037,0.00375891,47.76,BTC-30MAY25-80000-P,96514.1,buy,0.1,0.1,,,,,,,1746236717.074
3237,364467765,1746278840068,2,0.0035,0.00371626,46.85,BTC-30MAY25-80000-P,96258.04,sell,1.0,1.0,,,,,,,1746278840.068
3238,364483927,1746287022392,0,0.0037,0.00366473,47.94,BTC-30MAY25-80000-P,96466.02,sell,1.0,1.0,,,,,,,1746287022.392
3239,364538432,1746319277371,0,0.004,0.00388742,47.93,BTC-30MAY25-80000-P,95844.75,buy,1.0,1.0,,,,,,,1746319277.371
3240,364538433,1746319277373,1,0.004,0.00388742,47.93,BTC-30MAY25-80000-P,95844.75,sell,5.0,5.0,,,,,,,1746319277.373
3241,364618343,1746367240848,0,0.0044,0.00429801,48.42,BTC-30MAY25-80000-P,95388.57,sell,0.1,0.1,,,BTC-PDIAG-30MAY25_16MAY25-80000_90000,,,364618341,1746367240.848
3242,364622778,1746372755709,2,0.0042,0.00424072,48.37,BTC-30MAY25-80000-P,95576.41,sell,0.1,0.1,,,,,,,1746372755.709
3243,364622787,1746372773513,3,0.0042,0.00425529,48.33,BTC-30MAY25-80000-P,95561.42,sell,0.1,0.1,,,,,,,1746372773.513
3244,364666927,1746401550190,0,0.0049,0.00490902,47.55,BTC-30MAY25-80000-P,94281.23,sell,0.1,0.1,,,,,,,1746401550.19
3245,364670898,1746402529555,0,0.005,0.00498797,47.76,BTC-30MAY25-80000-P,94270.14,buy,0.1,0.1,,,,,,,1746402529.555
3246,364671046,1746402577334,0,0.0055,0.00503876,48.87,BTC-30MAY25-80000-P,94221.82,buy,0.2,0.2,,,,,,,1746402577.334
3247,364672052,1746403223890,1,0.0055,0.0051174,49.0,BTC-30MAY25-80000-P,94264.91,buy,0.1,0.1,,,,,,,1746403223.89
3248,364676390,1746405772455,2,0.0048,0.00467436,48.43,BTC-30MAY25-80000-P,94749.17,sell,0.6,0.6,,,,,,,1746405772.455
