trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,unix_sec
13,364062610,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
14,364062611,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
11,364062608,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
12,364062609,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
15,364062612,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
9,364062606,1746093033065,0,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
10,364062607,1746093033065,1,0.1265,0.12632994,45.58,BTC-30MAY25-85000-C,95606.96,buy,0.1,0.1,,,1746093033.065
16,365484623,1746796075870,0,0.1805,0.18012078,51.6,BTC-30MAY25-85000-C,103001.51,sell,0.5,0.5,,,1746796075.87
17,365488628,1746798260193,0,0.1825,0.18235611,51.29,BTC-30MAY25-85000-C,103277.95,sell,0.2,0.2,,,1746798260.193
18,365488652,1746798302670,1,0.1825,0.18225627,51.73,BTC-30MAY25-85000-C,103265.75,sell,0.1,0.1,,,1746798302.67
19,365488654,1746798302724,1,0.1825,0.18225627,51.73,BTC-30MAY25-85000-C,103265.75,sell,0.1,0.1,,,1746798302.724
20,365488656,1746798303724,1,0.1825,0.18225091,51.76,BTC-30MAY25-85000-C,103264.63,sell,0.1,0.1,,,1746798303.724
21,365489207,1746798408015,0,0.1845,0.18412306,52.4,BTC-30MAY25-85000-C,103494.65,sell,0.1,0.1,,,1746798408.015
22,365489208,1746798408034,1,0.1845,0.18412306,52.4,BTC-30MAY25-85000-C,103494.65,sell,0.1,0.1,,,1746798408.034
23,365489467,1746798466354,0,0.185,0.18470979,52.2,BTC-30MAY25-85000-C,103571.98,sell,0.3,0.3,,,1746798466.354
24,365491058,1746798803140,0,0.1855,0.18493267,53.62,BTC-30MAY25-85000-C,103595.97,sell,0.5,0.5,,,1746798803.14
25,365491085,1746798809629,1,0.1855,0.18489695,53.83,BTC-30MAY25-85000-C,103589.69,sell,0.5,0.5,,,1746798809.629
26,365507089,1746802324682,2,0.1815,0.18088603,52.73,BTC-30MAY25-85000-C,103080.91,sell,0.1,0.1,,,1746802324.682
27,365507090,1746802324683,3,0.1815,0.18088603,52.73,BTC-30MAY25-85000-C,103080.91,sell,0.4,0.4,,,1746802324.683
28,365511978,1746804472098,2,0.1795,0.17925261,50.75,BTC-30MAY25-85000-C,102912.1,sell,0.2,0.2,,,1746804472.098
29,365512255,1746804631768,2,0.1785,0.17852771,50.52,BTC-30MAY25-85000-C,102798.3,sell,0.2,0.2,,,1746804631.768
30,365512828,1746805116288,0,0.179,0.17911448,50.4,BTC-30MAY25-85000-C,102865.94,sell,0.2,0.2,,,1746805116.288
31,365514448,1746806003203,0,0.18,0.1789493,54.17,BTC-30MAY25-85000-C,102879.47,sell,0.2,0.2,,,1746806003.203
32,365515406,1746806856209,2,0.1775,0.17734924,50.69,BTC-30MAY25-85000-C,102662.47,sell,0.1,0.1,,,1746806856.209
33,365515411,1746806856754,3,0.1775,0.17734453,50.86,BTC-30MAY25-85000-C,102657.37,sell,0.1,0.1,,,1746806856.754
34,365519091,1746808640378,0,0.1805,0.17935905,54.51,BTC-30MAY25-85000-C,102904.66,sell,0.2,0.2,,,1746808640.378
35,365521452,1746809967961,2,0.1775,0.17619198,54.59,BTC-30MAY25-85000-C,102506.03,sell,0.2,0.2,,,1746809967.961
36,365521815,1746810072389,2,0.176,0.17590711,50.48,BTC-30MAY25-85000-C,102458.88,sell,0.1,0.1,,,1746810072.389
37,365521816,1746810072392,3,0.176,0.17590711,50.48,BTC-30MAY25-85000-C,102458.88,sell,0.1,0.1,,,1746810072.392
38,365522151,1746810244706,0,0.177,0.17638722,51.92,BTC-30MAY25-85000-C,102534.41,sell,0.2,0.2,,,1746810244.706
39,365522230,1746810323661,2,0.1765,0.17619948,50.8,BTC-30MAY25-85000-C,102508.71,sell,0.2,0.2,,,1746810323.661
40,365522831,1746810545788,0,0.179,0.17831177,52.49,BTC-30MAY25-85000-C,102774.26,sell,0.2,0.2,,,1746810545.788
41,365523626,1746811274215,0,0.1805,0.18019729,51.45,BTC-30MAY25-85000-C,103018.7,sell,0.1,0.1,,,1746811274.215
42,365523627,1746811276279,1,0.1805,0.18015922,51.52,BTC-30MAY25-85000-C,103016.64,sell,0.1,0.1,,,1746811276.279
43,365524111,1746811407272,0,0.181,0.18041385,52.46,BTC-30MAY25-85000-C,103051.78,sell,0.2,0.2,,,1746811407.272
44,365524357,1746811567303,1,0.181,0.18025753,53.24,BTC-30MAY25-85000-C,103028.74,sell,0.2,0.2,,,1746811567.303
45,365525339,1746812320569,0,0.182,0.18152878,52.35,BTC-30MAY25-85000-C,103191.69,sell,0.5,0.5,,,1746812320.569
46,365526033,1746812932955,1,0.182,0.18168574,51.95,BTC-30MAY25-85000-C,103203.18,sell,0.4,0.4,,,1746812932.955
47,365526038,1746812933088,1,0.182,0.18168574,51.95,BTC-30MAY25-85000-C,103203.18,sell,0.1,0.1,,,1746812933.088
48,365526547,1746813418102,1,0.182,0.18132069,53.73,BTC-30MAY25-85000-C,103162.11,sell,0.5,0.5,,,1746813418.102
49,365527556,1746814157289,2,0.181,0.18074068,51.93,BTC-30MAY25-85000-C,103087.32,sell,0.5,0.5,,,1746814157.289
50,365529309,1746816013947,0,0.1825,0.18212536,52.48,BTC-30MAY25-85000-C,103273.91,sell,0.2,0.2,,,1746816013.947
51,365529491,1746816197354,0,0.183,0.18260619,52.76,BTC-30MAY25-85000-C,103337.68,sell,0.2,0.2,,,1746816197.354
52,365529510,1746816223305,1,0.183,0.18256582,52.91,BTC-30MAY25-85000-C,103332.46,sell,0.2,0.2,,,1746816223.305
53,365529710,1746816560592,0,0.1835,0.18288846,53.66,BTC-30MAY25-85000-C,103368.46,sell,0.2,0.2,,,1746816560.592
54,365529789,1746816713263,2,0.183,0.18253734,53.26,BTC-30MAY25-85000-C,103322.55,sell,0.2,0.2,,,1746816713.263
55,365530332,1746817585574,2,0.1825,0.1819234,53.66,BTC-30MAY25-85000-C,103237.69,sell,0.2,0.2,,,1746817585.574
56,365531658,1746819041555,2,0.18,0.17977829,52.02,BTC-30MAY25-85000-C,102962.06,sell,0.2,0.2,,,1746819041.555
57,365531884,1746819287475,0,0.181,0.18052114,52.99,BTC-30MAY25-85000-C,103055.36,sell,0.2,0.2,,,1746819287.475
58,365531885,1746819324367,1,0.181,0.18061127,52.69,BTC-30MAY25-85000-C,103066.12,sell,0.2,0.2,,,1746819324.367
59,365532423,1746820322963,0,0.1815,0.1809917,53.15,BTC-30MAY25-85000-C,103133.88,sell,0.2,0.2,,,1746820322.963
60,365533308,1746821167611,0,0.1825,0.182018,53.09,BTC-30MAY25-85000-C,103260.28,sell,0.1,0.1,,,1746821167.611
61,365533309,1746821167612,1,0.1825,0.182018,53.09,BTC-30MAY25-85000-C,103260.28,sell,0.1,0.1,,,1746821167.612
62,365533869,1746821587506,0,0.183,0.18287179,52.36,BTC-30MAY25-85000-C,103365.34,sell,0.5,0.5,,,1746821587.506
63,365536984,1746825659832,2,0.1795,0.17937544,51.64,BTC-30MAY25-85000-C,102909.1,sell,0.5,0.5,,,1746825659.832
64,365539413,1746828182473,0,0.1805,0.18037035,51.57,BTC-30MAY25-85000-C,103041.51,sell,0.2,0.2,,,1746828182.473
65,365539417,1746828198790,1,0.1805,0.18029253,51.67,BTC-30MAY25-85000-C,103039.55,sell,0.3,0.3,,,1746828198.79
