trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,unix_sec
435,364038194,1746062634932,2,0.0125,0.01246068,44.79,BTC-30MAY25-85000-P,94623.01,sell,0.2,0.2,,,,,,1746062634.932
436,364040101,1746065296562,3,0.0125,0.01228482,45.3,BTC-30MAY25-85000-P,94796.42,sell,0.1,0.1,,,,,,1746065296.562
437,364041049,1746066067133,3,0.0125,0.01244834,45.27,BTC-30MAY25-85000-P,94782.94,sell,0.2,0.2,,,,,,1746066067.133
438,364046026,1746072343886,2,0.0119,0.01216342,44.6,BTC-30MAY25-85000-P,94840.89,sell,0.2,0.2,364046025,BTC-PCAL-30MAY25_9MAY25-85000,,,,1746072343.886
439,364058943,1746090204927,2,0.0115,0.01151422,45.24,BTC-30MAY25-85000-P,95183.55,sell,0.1,0.1,,,,,,1746090204.927
440,364069735,1746094801037,2,0.0105,0.01022995,46.62,BTC-30MAY25-85000-P,96216.83,sell,0.1,0.1,,,,,,1746094801.037
441,364072016,1746095119535,3,0.0105,0.01028994,46.83,BTC-30MAY25-85000-P,96308.12,sell,1.5,1.5,,,,,,1746095119.535
442,364075303,1746096396980,3,0.0105,0.01088918,46.18,BTC-30MAY25-85000-P,96062.83,sell,0.1,0.1,,,,,,1746096396.98
443,364107368,1746106650105,3,0.0105,0.01030189,47.37,BTC-30MAY25-85000-P,96465.49,sell,0.1,0.1,,,,,,1746106650.105
444,364107792,1746106768799,0,0.011,0.01078918,47.4,BTC-30MAY25-85000-P,96223.39,buy,0.4,0.4,,,,,,1746106768.799
445,364108263,1746106885879,1,0.011,0.01091769,47.22,BTC-30MAY25-85000-P,96128.03,sell,0.2,0.2,,,,,,1746106885.879
447,364109182,1746107024466,1,0.0115,0.01106415,47.74,BTC-30MAY25-85000-P,96034.99,buy,0.1,0.1,,,,,,1746107024.466
446,364109181,1746107024466,0,0.0115,0.01106415,47.74,BTC-30MAY25-85000-P,96034.99,buy,0.1,0.1,,,,,,1746107024.466
448,364110140,1746107141916,2,0.011,0.01087305,47.3,BTC-30MAY25-85000-P,96159.87,sell,0.3,0.3,,,,,,1746107141.916
449,364111223,1746107279124,3,0.011,0.01084318,47.34,BTC-30MAY25-85000-P,96181.09,buy,0.2,0.2,,,,,,1746107279.124
450,364112012,1746107453597,2,0.0105,0.01085096,46.61,BTC-30MAY25-85000-P,96193.6,sell,1.0,1.0,,,,,,1746107453.597
451,364114431,1746107817300,0,0.0115,0.01117778,47.51,BTC-30MAY25-85000-P,95959.25,buy,0.3,0.3,,,,,,1746107817.3
452,364116134,1746108005821,2,0.011,0.01122347,46.61,BTC-30MAY25-85000-P,95906.61,sell,0.1,0.1,,,,,,1746108005.821
453,364118094,1746108471432,3,0.011,0.0108682,47.26,BTC-30MAY25-85000-P,96172.22,sell,0.1,0.1,,,,,,1746108471.432
454,364119204,1746108941371,3,0.011,0.01049243,47.72,BTC-30MAY25-85000-P,96340.25,buy,0.3,0.3,,,,,,1746108941.371
455,364120595,1746109326726,3,0.011,0.0104876,47.83,BTC-30MAY25-85000-P,96393.17,buy,0.2,0.2,,,,,,1746109326.726
456,364120871,1746109477672,3,0.011,0.01048188,47.86,BTC-30MAY25-85000-P,96406.08,buy,0.5,0.5,,,,,,1746109477.672
457,364121505,1746109849205,2,0.0105,0.01031535,47.43,BTC-30MAY25-85000-P,96527.13,sell,0.4,0.4,,,,,,1746109849.205
458,364125032,1746111406406,2,0.0095,0.00990887,46.37,BTC-30MAY25-85000-P,96740.59,sell,0.3,0.3,,,,,,1746111406.406
459,364144343,1746115829261,2,0.0089,0.00917781,46.44,BTC-30MAY25-85000-P,97152.47,sell,12.5,12.5,,BTC-PSR12-30MAY25-85000_78000,2.0,BLOCK-195509,,1746115829.261
461,364147509,1746117490372,1,0.009,0.00894328,47.13,BTC-30MAY25-85000-P,97369.33,sell,0.1,0.1,,,,,,1746117490.372
460,364147508,1746117490372,0,0.009,0.00894328,47.13,BTC-30MAY25-85000-P,97369.33,sell,0.1,0.1,,,,,,1746117490.372
462,364159457,1746123699061,0,0.0095,0.00961936,46.22,BTC-30MAY25-85000-P,96621.06,sell,0.1,0.1,,,,,,1746123699.061
463,364161327,1746124958753,1,0.0095,0.00944759,46.43,BTC-30MAY25-85000-P,96714.3,sell,5.0,5.0,,,,,,1746124958.753
464,364169154,1746129928298,0,0.01,0.00983292,46.45,BTC-30MAY25-85000-P,96418.88,buy,0.3,0.3,,,,,,1746129928.298
465,364172928,1746132106087,2,0.009,0.00947244,45.66,BTC-30MAY25-85000-P,96724.74,sell,0.1,0.1,,,,,,1746132106.087
466,364181025,1746142399224,0,0.01,0.0098692,46.27,BTC-30MAY25-85000-P,96277.02,buy,0.1,0.1,,,,,,1746142399.224
467,364194816,1746151422234,2,0.0095,0.00920745,46.96,BTC-30MAY25-85000-P,96795.42,buy,0.1,0.1,,,,,,1746151422.234
468,364194919,1746151495634,3,0.0095,0.00914613,47.06,BTC-30MAY25-85000-P,96829.84,buy,0.1,0.1,,,,,,1746151495.634
469,364197721,1746153663197,2,0.009,0.00902425,46.6,BTC-30MAY25-85000-P,96974.4,buy,0.1,0.1,,,,,,1746153663.197
470,364198056,1746154004213,3,0.009,0.00904755,46.71,BTC-30MAY25-85000-P,97002.81,sell,2.0,2.0,,,,,,1746154004.213
471,364198088,1746154025867,2,0.0085,0.00902924,45.89,BTC-30MAY25-85000-P,97015.21,sell,0.1,0.1,,,,,,1746154025.867
472,364198113,1746154037921,0,0.009,0.00901053,46.77,BTC-30MAY25-85000-P,97025.03,buy,0.1,0.1,,,,,,1746154037.921
473,364198151,1746154115572,2,0.0085,0.00900501,45.92,BTC-30MAY25-85000-P,97027.56,sell,1.2,1.2,,,,,,1746154115.572
474,364198152,1746154115572,3,0.0085,0.00900501,45.92,BTC-30MAY25-85000-P,97027.56,sell,0.8,0.8,,,,,,1746154115.572
475,364198166,1746154210402,3,0.0085,0.00901226,45.9,BTC-30MAY25-85000-P,97023.7,sell,0.5,0.5,,,,,,1746154210.402
476,364198167,1746154210402,3,0.0085,0.00901226,45.9,BTC-30MAY25-85000-P,97023.7,sell,1.5,1.5,,,,,,1746154210.402
477,364198203,1746154266021,0,0.009,0.00902988,46.76,BTC-30MAY25-85000-P,97027.67,sell,2.0,2.0,,,,,,1746154266.021
478,364198213,1746154326936,2,0.0085,0.009027,45.9,BTC-30MAY25-85000-P,97025.66,sell,2.0,2.0,,,,,,1746154326.936
479,364198298,1746154396283,3,0.0085,0.00900508,45.94,BTC-30MAY25-85000-P,97041.72,sell,2.0,2.0,,,,,,1746154396.283
480,364198299,1746154450533,3,0.0085,0.0090118,45.92,BTC-30MAY25-85000-P,97032.88,sell,2.0,2.0,,,,,,1746154450.533
481,364198311,1746154510678,3,0.0085,0.00901523,45.91,BTC-30MAY25-85000-P,97030.52,sell,2.0,2.0,,,,,,1746154510.678
482,364198326,1746154577621,3,0.0085,0.00900827,45.92,BTC-30MAY25-85000-P,97029.57,sell,2.0,2.0,,,,,,1746154577.621
483,364198350,1746154632909,3,0.0085,0.00900948,45.92,BTC-30MAY25-85000-P,97028.98,sell,0.2,0.2,,,,,,1746154632.909
484,364198351,1746154632909,3,0.0085,0.00900948,45.92,BTC-30MAY25-85000-P,97028.98,sell,1.8,1.8,,,,,,1746154632.909
485,364198360,1746154693997,3,0.0085,0.00900182,45.91,BTC-30MAY25-85000-P,97025.31,sell,2.0,2.0,,,,,,1746154693.997
486,364198380,1746154706336,0,0.009,0.00899709,46.76,BTC-30MAY25-85000-P,97023.92,buy,5.0,5.0,,,,,,1746154706.336
487,364198381,1746154706336,1,0.009,0.00899709,46.76,BTC-30MAY25-85000-P,97023.92,buy,0.1,0.1,,,,,,1746154706.336
488,364198468,1746154754473,1,0.009,0.00905206,46.68,BTC-30MAY25-85000-P,97000.0,sell,2.0,2.0,,,,,,1746154754.473
489,364198600,1746154810249,1,0.009,0.00899452,46.84,BTC-30MAY25-85000-P,97059.81,sell,2.0,2.0,,,,,,1746154810.249
490,364198664,1746154877952,1,0.009,0.0089413,46.96,BTC-30MAY25-85000-P,97089.93,sell,1.0,1.0,,,,,,1746154877.952
491,364198678,1746154889887,2,0.0085,0.00895345,46.07,BTC-30MAY25-85000-P,97084.83,sell,1.0,1.0,,,,,,1746154889.887
492,364198723,1746154932103,3,0.0085,0.00901215,45.96,BTC-30MAY25-85000-P,97051.61,sell,2.0,2.0,,,,,,1746154932.103
493,364198729,1746154992151,3,0.0085,0.00900308,45.97,BTC-30MAY25-85000-P,97054.96,sell,2.0,2.0,,,,,,1746154992.151
494,364198776,1746155053355,3,0.0085,0.00895592,46.06,BTC-30MAY25-85000-P,97083.83,sell,2.0,2.0,,,,,,1746155053.355
