trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,liquidation,block_rfq_id,combo_id,unix_sec
2885,364038197,1746062637703,0,0.0795,0.07863422,44.16,BTC-30MAY25-90000-C,94620.91,sell,0.2,0.2,,,,,,1746062637.703
2886,364039358,1746064480402,1,0.0795,0.07881455,44.06,BTC-30MAY25-90000-C,94637.16,sell,0.3,0.3,,,,,,1746064480.402
2887,364062615,1746093033083,0,0.086,0.08598244,43.82,BTC-30MAY25-90000-C,95606.96,buy,0.1,0.1,,,,,,1746093033.083
2889,364062822,1746093034268,1,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2892,364062825,1746093034268,1,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2893,364062826,1746093034268,1,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2891,364062824,1746093034268,1,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2888,364062821,1746093034268,0,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2890,364062823,1746093034268,1,0.0865,0.08601075,44.17,BTC-30MAY25-90000-C,95631.82,buy,0.1,0.1,,,,,,1746093034.268
2894,364067397,1746094406119,1,0.0865,0.08660163,44.04,BTC-30MAY25-90000-C,95652.92,buy,0.3,0.3,,,,,,1746094406.119
2895,364069336,1746094772201,0,0.09,0.08951275,44.85,BTC-30MAY25-90000-C,96063.23,buy,0.8,0.8,,,,,,1746094772.201
2897,364089025,1746100820099,1,0.0915,0.09115144,45.32,BTC-30MAY25-90000-C,96235.67,sell,0.8,0.8,,,,,,1746100820.099
2896,364089024,1746100820099,0,0.0915,0.09115144,45.32,BTC-30MAY25-90000-C,96235.67,sell,0.2,0.2,,,,,,1746100820.099
2898,364097428,1746103304942,0,0.0925,0.09251207,44.95,BTC-30MAY25-90000-C,96417.54,buy,0.3,0.3,,,,,,1746103304.942
2899,364097429,1746103304957,1,0.0925,0.09251207,44.95,BTC-30MAY25-90000-C,96417.54,buy,0.4,0.4,,,,,,1746103304.957
2900,364097430,1746103305019,1,0.0925,0.09251207,44.95,BTC-30MAY25-90000-C,96417.54,buy,0.3,0.3,,,,,,1746103305.019
2901,364109154,1746107023446,2,0.09,0.09018419,45.18,BTC-30MAY25-90000-C,96043.2,sell,10.0,10.0,,,,,,1746107023.446
2902,364158162,1746122605299,0,0.096,0.09467884,46.11,BTC-30MAY25-90000-C,96852.57,buy,0.5,0.5,,,,,,1746122605.299
2903,364319431,1746207329479,0,0.0965,0.09647296,42.81,BTC-30MAY25-90000-C,97482.6,buy,0.1,0.1,,,,,,1746207329.479
2904,364349976,1746217086693,2,0.093,0.09301475,42.44,BTC-30MAY25-90000-C,97041.92,sell,0.3,0.3,,,,,,1746217086.693
2905,364461381,1746275524883,2,0.0845,0.08454828,41.68,BTC-30MAY25-90000-C,96067.91,buy,0.2,0.2,,,,,,1746275524.883
2906,364487024,1746290184337,0,0.086,0.08562336,42.44,BTC-30MAY25-90000-C,96184.82,sell,0.2,0.2,,,,,,1746290184.337
2907,364487025,1746290184338,1,0.086,0.08562336,42.44,BTC-30MAY25-90000-C,96184.82,sell,0.2,0.2,,,,,,1746290184.338
2908,364493204,1746293861601,2,0.0845,0.08466076,41.68,BTC-30MAY25-90000-C,96053.18,buy,0.1,0.1,,,,,,1746293861.601
2909,364643256,1746392989016,2,0.0825,0.08247005,43.6,BTC-30MAY25-90000-C,95693.79,sell,0.1,0.1,,,,,,1746392989.016
2910,364643257,1746392992086,3,0.0825,0.08244916,43.59,BTC-30MAY25-90000-C,95694.08,sell,0.1,0.1,,,,,,1746392992.086
2911,364643258,1746392995136,3,0.0825,0.08245641,43.6,BTC-30MAY25-90000-C,95693.86,sell,0.1,0.1,,,,,,1746392995.136
2912,364643263,1746393028587,3,0.0825,0.08245444,43.59,BTC-30MAY25-90000-C,95692.35,sell,0.1,0.1,,,,,,1746393028.587
