trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,unix_sec
1158,364031806,1746054567870,2,0.0275,0.027324,43.54,BTC-30MAY25-90000-P,94193.24,sell,1.0,1.0,,,,,,1746054567.87
1159,364031840,1746054617908,3,0.0275,0.0272757,43.59,BTC-30MAY25-90000-P,94204.93,sell,1.0,1.0,,,,,,1746054617.908
1160,364031841,1746054617913,3,0.0275,0.0272757,43.59,BTC-30MAY25-90000-P,94204.93,sell,1.0,1.0,,,,,,1746054617.913
1161,364032793,1746056067897,2,0.027,0.0270096,43.49,BTC-30MAY25-90000-P,94311.02,sell,0.3,0.3,,,,,,1746056067.897
1162,364032798,1746056068007,3,0.027,0.0270096,43.49,BTC-30MAY25-90000-P,94311.02,sell,0.7,0.7,,,,,,1746056068.007
1163,364035576,1746059045926,3,0.027,0.02690376,43.29,BTC-30MAY25-90000-P,94260.5,sell,0.1,0.1,,,,,,1746059045.926
1164,364035580,1746059045954,3,0.027,0.02690376,43.29,BTC-30MAY25-90000-P,94260.5,sell,0.1,0.1,,,,,,1746059045.954
1165,364035581,1746059045964,3,0.027,0.02690376,43.29,BTC-30MAY25-90000-P,94260.5,sell,0.1,0.1,,,,,,1746059045.964
1166,364035582,1746059049136,3,0.027,0.02690967,43.32,BTC-30MAY25-90000-P,94269.33,sell,0.1,0.1,,,,,,1746059049.136
1167,364035583,1746059049140,3,0.027,0.02690967,43.32,BTC-30MAY25-90000-P,94269.33,sell,0.1,0.1,,,,,,1746059049.14
1168,364035585,1746059050874,3,0.027,0.02687731,43.32,BTC-30MAY25-90000-P,94269.9,sell,0.1,0.1,,,,,,1746059050.874
1169,364035586,1746059051855,3,0.027,0.02687547,43.33,BTC-30MAY25-90000-P,94272.64,sell,0.1,0.1,,,,,,1746059051.855
1170,364035587,1746059052406,3,0.027,0.02687585,43.34,BTC-30MAY25-90000-P,94273.6,sell,0.1,0.1,,,,,,1746059052.406
1171,364035588,1746059052563,3,0.027,0.02687585,43.34,BTC-30MAY25-90000-P,94273.6,sell,0.1,0.1,,,,,,1746059052.563
1172,364035589,1746059053073,3,0.027,0.02687585,43.34,BTC-30MAY25-90000-P,94273.6,sell,0.1,0.1,,,,,,1746059053.073
1173,364036828,1746061338516,2,0.0265,0.02642688,43.4,BTC-30MAY25-90000-P,94427.66,sell,1.0,1.0,,,,,,1746061338.516
1174,364036962,1746061508973,2,0.026,0.026159,43.15,BTC-30MAY25-90000-P,94501.17,buy,0.1,0.1,,,,,,1746061508.973
1175,364037374,1746061736878,3,0.026,0.02597647,43.33,BTC-30MAY25-90000-P,94551.71,sell,0.9,0.9,,,,,,1746061736.878
