unix_sec,timestamp,poly_prob,barrier_prob,F,divergence
1752832808.0,2025-07-18 10:00:00+00:00,0.535,0.6004045601925734,3617.61,-0.06540456019257335
1752836408.0,2025-07-18 11:00:00+00:00,0.63,0.5854799681524441,3610.24,0.04452003184755593
1752840008.0,2025-07-18 12:00:00+00:00,0.635,0.6401902367437741,3637.57,-0.005190236743774057
1752843608.0,2025-07-18 13:00:00+00:00,0.735,0.6549660479143831,3639.02,0.08003395208561692
1752847208.0,2025-07-18 14:00:00+00:00,0.735,0.5408475514794717,3585.23,0.19415244852052826
1752850808.0,2025-07-18 15:00:00+00:00,0.62,0.5040666867181272,3563.68,0.11593331328187284
1752854408.0,2025-07-18 16:00:00+00:00,0.585,0.5243625842164819,3573.19,0.06063741578351811
1752858009.0,2025-07-18 17:00:00+00:00,0.605,0.5595654286258013,3600.2,0.04543457137419871
1752861608.0,2025-07-18 18:00:00+00:00,0.645,0.5065408747394287,3572.54,0.13845912526057136
1752865208.0,2025-07-18 19:00:00+00:00,0.61,0.46349297260500427,3551.59,0.14650702739499571
1752868808.0,2025-07-18 20:00:00+00:00,0.565,0.4101326878752888,3517.3,0.15486731212471117
1752872409.0,2025-07-18 21:00:00+00:00,0.53,0.4652843572144949,3553.9,0.06471564278550512
1752876009.0,2025-07-18 22:00:00+00:00,0.58,0.43905035135220033,3538.48,0.14094964864779963
1752879609.0,2025-07-18 23:00:00+00:00,0.55,0.45286351568634714,3546.92,0.0971364843136529
1752883209.0,2025-07-19 00:00:00+00:00,0.56,0.4075898400628661,3522.21,0.15241015993713397
1752886807.0,2025-07-19 01:00:00+00:00,0.54,0.4465388456518199,3545.0,0.09346115434818014
1752890408.0,2025-07-19 02:00:00+00:00,0.56,0.4772882318542586,3569.5,0.08271176814574144
1752894008.0,2025-07-19 03:00:00+00:00,0.595,0.5226750558343916,3592.98,0.07232494416560842
1752897607.0,2025-07-19 04:00:00+00:00,0.63,0.5146279428058322,3589.68,0.11537205719416777
1752901208.0,2025-07-19 05:00:00+00:00,0.63,0.5064435602588008,3586.31,0.12355643974119923
1752904808.0,2025-07-19 06:00:00+00:00,0.625,0.475189572505452,3570.99,0.14981042749454798
1752908407.0,2025-07-19 07:00:00+00:00,0.6,0.46979869762375903,3571.47,0.13020130237624095
1752912008.0,2025-07-19 08:00:00+00:00,0.59,0.4389856485601301,3554.34,0.15101435143986985
1752915609.0,2025-07-19 09:00:00+00:00,0.57,0.4499859457362859,3558.1,0.12001405426371403
1752919208.0,2025-07-19 10:00:00+00:00,0.58,0.44180037969350594,3557.84,0.13819962030649402
1752922808.0,2025-07-19 11:00:00+00:00,0.58,0.43366103590138294,3552.75,0.14633896409861702
1752926408.0,2025-07-19 12:00:00+00:00,0.57,0.4459066694746664,3561.8,0.12409333052533356
1752930009.0,2025-07-19 13:00:00+00:00,0.575,0.4359971777984607,3558.76,0.13900282220153926
1752933608.0,2025-07-19 14:00:00+00:00,0.57,0.3906692588775096,3531.57,0.17933074112249037
1752937208.0,2025-07-19 15:00:00+00:00,0.525,0.4188859907292478,3552.0,0.10611400927075221
1752940808.0,2025-07-19 16:00:00+00:00,0.57,0.4324697414215184,3559.88,0.13753025857848156
1752944408.0,2025-07-19 17:00:00+00:00,0.575,0.3985158799654445,3543.0,0.17648412003455544
1752948007.0,2025-07-19 18:00:00+00:00,0.55,0.4168507322411716,3552.8,0.13314926775882846
1752951608.0,2025-07-19 19:00:00+00:00,0.555,0.4644098425755482,3577.61,0.09059015742445187
1752955209.0,2025-07-19 20:00:00+00:00,0.595,0.43720578598781146,3563.64,0.15779421401218852
1752958808.0,2025-07-19 21:00:00+00:00,0.595,0.47005946552229605,3571.44,0.12494053447770392
1752962408.0,2025-07-19 22:00:00+00:00,0.6,0.48101296890124245,3576.7,0.11898703109875752
1752966008.0,2025-07-19 23:00:00+00:00,0.61,0.504451386287371,3592.01,0.10554861371262902
1752969608.0,2025-07-20 00:00:00+00:00,0.635,0.5009960991204839,3591.11,0.13400390087951608
1752973208.0,2025-07-20 01:00:00+00:00,0.625,0.5286175019112391,3604.81,0.09638249808876087
1752976808.0,2025-07-20 02:00:00+00:00,0.66,0.557566958435389,3616.3,0.10243304156461108
1752980409.0,2025-07-20 03:00:00+00:00,0.675,0.6564463215332402,3658.01,0.018553678466759815
