trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,combo_trade_id,unix_sec
60,ETH-256249919,1751396324684,0,0.2975,0.298944,71.58,ETH-25JUL25-1700-C,2410.99,sell,39.0,,,39.0,,,1751396324.684
61,ETH-256249954,1751396324780,1,0.2975,0.29883,73.04,ETH-25JUL25-1700-C,2410.3,sell,38.0,,,38.0,,,1751396324.78
62,ETH-256249957,1751396324805,1,0.2975,0.29883,73.04,ETH-25JUL25-1700-C,2410.3,sell,186.0,,,186.0,,,1751396324.805
63,ETH-256317795,1751466353795,0,0.3135,0.312158,86.33,ETH-25JUL25-1700-C,2461.17,buy,64.0,,,64.0,,,1751466353.795
64,ETH-256317800,1751466353813,1,0.3135,0.312158,86.33,ETH-25JUL25-1700-C,2461.17,buy,63.0,,,63.0,,,1751466353.813
65,ETH-256467321,1751549839697,0,0.353,0.351686,95.95,ETH-25JUL25-1700-C,2612.21,buy,49.0,,,49.0,,,1751549839.697
66,ETH-257394754,1752329435633,0,0.425,0.423823,145.9,ETH-25JUL25-1700-C,2940.72,buy,41.0,,,41.0,,,1752329435.633
67,ETH-257401315,1752334477588,2,0.4185,0.419585,0.0,ETH-25JUL25-1700-C,2917.61,sell,31.0,,,31.0,,,1752334477.588
68,ETH-259165804,1753202425379,0,0.5458,0.545592,338.85,ETH-25JUL25-1700-C,3739.12,sell,500.0,,,500.0,ETH-CDIAG-29AUG25_25JUL25-2300_1700,ETH-259165802,1753202425.379
69,ETH-259166109,1753202505079,2,0.5445,0.544359,330.28,ETH-25JUL25-1700-C,3728.98,sell,141.0,,,141.0,,,1753202505.079
70,ETH-259166110,1753202505085,3,0.5445,0.544359,330.28,ETH-25JUL25-1700-C,3728.98,sell,89.0,,,89.0,,,1753202505.085
71,ETH-259166373,1753202619867,0,0.5452,0.544975,324.89,ETH-25JUL25-1700-C,3734.28,sell,370.0,,,370.0,ETH-CDIAG-29AUG25_25JUL25-2300_1700,ETH-259166371,1753202619.867
72,ETH-259261111,1753276374893,2,0.533,0.532375,456.26,ETH-25JUL25-1700-C,3633.54,buy,20.0,,,20.0,,,1753276374.893
73,ETH-259302139,1753289201924,2,0.525,0.525987,0.0,ETH-25JUL25-1700-C,3584.63,sell,10.0,,,10.0,,,1753289201.924
74,ETH-259302145,1753289201974,3,0.525,0.525987,0.0,ETH-25JUL25-1700-C,3584.63,sell,11.0,,,11.0,,,1753289201.974
75,ETH-259349878,1753316034560,0,0.531,0.530777,470.76,ETH-25JUL25-1700-C,3622.11,sell,8.0,,,8.0,,,1753316034.56
76,ETH-259349879,1753316034560,1,0.531,0.530777,470.76,ETH-25JUL25-1700-C,3622.11,sell,12.0,,,12.0,,,1753316034.56
77,ETH-259489896,1753371367666,0,0.544,0.544225,0.0,ETH-25JUL25-1700-C,3729.65,sell,1.0,,,1.0,,,1753371367.666
78,ETH-259495839,1753374818800,2,0.539,0.539188,0.0,ETH-25JUL25-1700-C,3689.78,sell,2.0,,,2.0,,,1753374818.8
79,ETH-259615726,1753426968620,2,0.5318,0.530869,999.0,ETH-25JUL25-1700-C,3623.07,sell,212.0,2.0,BLOCK-213691,212.0,ETH-CS-25JUL25-1700_2800,,1753426968.62
