trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
356,ETH-256210117,1751358102578,2,0.0027,0.00245,81.87,ETH-25JUL25-1700-P,2459.66,buy,5.0,5.0,1751358102.578
357,ETH-256285184,1751426656422,3,0.0027,0.002611,81.04,ETH-25JUL25-1700-P,2430.52,sell,1.0,1.0,1751426656.422
358,ETH-256285186,1751426656505,3,0.0027,0.002611,81.04,ETH-25JUL25-1700-P,2430.52,sell,4.0,4.0,1751426656.505
359,ETH-256285876,1751426962266,3,0.0027,0.002637,80.9,ETH-25JUL25-1700-P,2428.78,sell,4.0,4.0,1751426962.266
360,ETH-256410764,1751515040529,2,0.0019,0.001966,87.51,ETH-25JUL25-1700-P,2561.22,buy,1.0,1.0,1751515040.529
361,ETH-256419865,1751525694975,2,0.0018,0.001735,90.09,ETH-25JUL25-1700-P,2603.41,sell,5.0,5.0,1751525694.975
362,ETH-256420101,1751525972457,3,0.0018,0.001704,89.79,ETH-25JUL25-1700-P,2599.56,buy,130.0,130.0,1751525972.457
363,ETH-256544847,1751616352456,0,0.002,0.001768,88.85,ETH-25JUL25-1700-P,2535.03,buy,100.0,100.0,1751616352.456
364,ETH-256549215,1751618426081,2,0.0016,0.001627,86.7,ETH-25JUL25-1700-P,2549.35,buy,1.0,1.0,1751618426.081
365,ETH-256551378,1751620477272,3,0.0016,0.001635,86.9,ETH-25JUL25-1700-P,2551.14,buy,2.0,2.0,1751620477.272
366,ETH-256551379,1751620481472,3,0.0016,0.001637,86.87,ETH-25JUL25-1700-P,2550.72,buy,1.0,1.0,1751620481.472
367,ETH-256559421,1751634395775,2,0.0014,0.001411,85.71,ETH-25JUL25-1700-P,2554.98,buy,1000.0,1000.0,1751634395.775
368,ETH-256643403,1751787909957,2,0.0012,0.001474,84.84,ETH-25JUL25-1700-P,2520.62,sell,1.0,1.0,1751787909.957
369,ETH-256703468,1751854734850,3,0.0012,0.001228,91.24,ETH-25JUL25-1700-P,2581.36,buy,1.0,1.0,1751854734.85
370,ETH-256704025,1751855249838,2,0.0011,0.001234,90.09,ETH-25JUL25-1700-P,2581.5,sell,4.0,4.0,1751855249.838
371,ETH-256748416,1751904595398,0,0.0013,0.001315,90.42,ETH-25JUL25-1700-P,2537.01,buy,2000.0,2000.0,1751904595.398
374,ETH-256819968,1751994827612,3,0.0009,0.000932,94.3,ETH-25JUL25-1700-P,2617.55,sell,5.0,5.0,1751994827.612
372,ETH-256819966,1751994827612,2,0.0009,0.000932,94.3,ETH-25JUL25-1700-P,2617.55,sell,5.0,5.0,1751994827.612
373,ETH-256819967,1751994827612,3,0.0009,0.000932,94.3,ETH-25JUL25-1700-P,2617.55,sell,3.0,3.0,1751994827.612
375,ETH-256823468,1751995955498,3,0.0009,0.000826,94.34,ETH-25JUL25-1700-P,2617.61,sell,1.0,1.0,1751995955.498
376,ETH-256846620,1752027144605,2,0.0008,0.000852,93.32,ETH-25JUL25-1700-P,2609.93,sell,1.0,1.0,1752027144.605
377,ETH-256860036,1752044190893,3,0.0008,0.000805,95.48,ETH-25JUL25-1700-P,2631.67,sell,1.0,1.0,1752044190.893
378,ETH-256948256,1752092260047,2,0.0005,0.000529,100.12,ETH-25JUL25-1700-P,2757.2,sell,1.0,1.0,1752092260.047
379,ETH-256962245,1752100777028,0,0.0006,0.000511,103.83,ETH-25JUL25-1700-P,2770.72,buy,1.0,1.0,1752100777.028
380,ETH-256981919,1752114687997,1,0.0006,0.000577,105.62,ETH-25JUL25-1700-P,2789.2,buy,4.0,4.0,1752114687.997
381,ETH-257070408,1752173249703,1,0.0006,0.000675,109.0,ETH-25JUL25-1700-P,2804.01,sell,1.0,1.0,1752173249.703
382,ETH-257306967,1752251038598,2,0.0004,0.000445,117.48,ETH-25JUL25-1700-P,2959.05,sell,1.0,1.0,1752251038.598
383,ETH-257383940,1752323288102,3,0.0004,0.000463,120.93,ETH-25JUL25-1700-P,2954.04,sell,1.0,1.0,1752323288.102
384,ETH-257388586,1752325168168,0,0.0007,0.000437,129.0,ETH-25JUL25-1700-P,2943.49,buy,1.0,1.0,1752325168.168
385,ETH-257431216,1752383488354,2,0.0006,0.000518,131.2,ETH-25JUL25-1700-P,2961.04,sell,1.0,1.0,1752383488.354
386,ETH-257524918,1752464185920,2,0.0004,0.000436,134.4,ETH-25JUL25-1700-P,3023.46,sell,1.0,1.0,1752464185.92
387,ETH-257681230,1752555259520,3,0.0004,0.000403,136.99,ETH-25JUL25-1700-P,2969.15,sell,20.0,20.0,1752555259.52
388,ETH-257681238,1752555271889,3,0.0004,0.000403,136.99,ETH-25JUL25-1700-P,2969.23,sell,20.0,20.0,1752555271.889
389,ETH-257681239,1752555278054,3,0.0004,0.000404,136.96,ETH-25JUL25-1700-P,2968.82,sell,2.0,2.0,1752555278.054
390,ETH-257703356,1752578925252,2,0.0003,0.000297,134.08,ETH-25JUL25-1700-P,2965.79,buy,20.0,20.0,1752578925.252
391,ETH-257703363,1752578944811,3,0.0003,0.000294,134.16,ETH-25JUL25-1700-P,2966.82,buy,20.0,20.0,1752578944.811
392,ETH-257703369,1752578960522,3,0.0003,0.000293,134.18,ETH-25JUL25-1700-P,2967.17,buy,30.0,30.0,1752578960.522
393,ETH-257703376,1752578975077,3,0.0003,0.000293,134.15,ETH-25JUL25-1700-P,2966.79,buy,30.0,30.0,1752578975.077
394,ETH-257704255,1752579453994,3,0.0003,0.000291,134.08,ETH-25JUL25-1700-P,2966.06,buy,30.0,30.0,1752579453.994
395,ETH-257704288,1752579476024,3,0.0003,0.000292,133.99,ETH-25JUL25-1700-P,2964.6,buy,30.0,30.0,1752579476.024
396,ETH-257704388,1752579566079,3,0.0003,0.000288,134.16,ETH-25JUL25-1700-P,2966.86,buy,30.0,30.0,1752579566.079
