trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,unix_sec
644,ETH-256163587,1751305416949,0,0.17,0.169332,67.08,ETH-25JUL25-2100-C,2484.9,buy,1.0,,,1.0,,1751305416.949
646,ETH-256184405,1751322555995,2,0.1685,0.171226,61.29,ETH-25JUL25-2100-C,2490.76,sell,11.0,,,11.0,,1751322555.995
645,ETH-256184404,1751322555995,1,0.17,0.171226,64.09,ETH-25JUL25-2100-C,2490.76,sell,1.0,,,1.0,,1751322555.995
648,ETH-256184461,1751322619171,1,0.1705,0.171518,64.42,ETH-25JUL25-2100-C,2491.83,sell,1.0,,,1.0,,1751322619.171
647,ETH-256184460,1751322619171,0,0.1705,0.171518,64.42,ETH-25JUL25-2100-C,2491.83,sell,1.0,,,1.0,,1751322619.171
649,ETH-256185247,1751323726648,2,0.1695,0.170769,63.76,ETH-25JUL25-2100-C,2489.99,sell,8.0,,,8.0,,1751323726.648
650,ETH-256185433,1751324145198,0,0.17,0.171539,63.15,ETH-25JUL25-2100-C,2492.91,sell,7.0,,,7.0,,1751324145.198
651,ETH-256185457,1751324207849,0,0.1705,0.171296,64.57,ETH-25JUL25-2100-C,2491.97,sell,4.0,,,4.0,,1751324207.849
652,ETH-256185807,1751324722777,1,0.1705,0.170474,65.97,ETH-25JUL25-2100-C,2488.97,buy,20.0,,,20.0,,1751324722.777
653,ETH-256185913,1751325062856,0,0.1715,0.17139,65.9,ETH-25JUL25-2100-C,2492.61,buy,20.0,,,20.0,,1751325062.856
654,ETH-256185979,1751325153892,0,0.172,0.171935,66.02,ETH-25JUL25-2100-C,2494.35,buy,20.0,,,20.0,,1751325153.892
655,ETH-256186242,1751325787451,2,0.17,0.171,64.12,ETH-25JUL25-2100-C,2491.16,sell,11.0,,,11.0,,1751325787.451
656,ETH-256186445,1751326008902,3,0.17,0.170716,64.7,ETH-25JUL25-2100-C,2490.03,sell,5.0,,,5.0,,1751326008.902
657,ETH-256186501,1751326071757,3,0.17,0.170892,64.4,ETH-25JUL25-2100-C,2490.62,sell,1.0,,,1.0,,1751326071.757
658,ETH-256186632,1751326297756,2,0.1695,0.170435,64.42,ETH-25JUL25-2100-C,2489.25,sell,2.0,,,2.0,,1751326297.756
660,ETH-256187421,1751327350972,3,0.169,0.170051,64.11,ETH-25JUL25-2100-C,2487.6,sell,19.0,,,19.0,,1751327350.972
659,ETH-256187420,1751327350972,2,0.169,0.170051,64.11,ETH-25JUL25-2100-C,2487.6,sell,1.0,,,1.0,,1751327350.972
661,ETH-256188162,1751328410098,0,0.17,0.169701,66.3,ETH-25JUL25-2100-C,2487.01,buy,20.0,,,20.0,,1751328410.098
662,ETH-256188358,1751328720032,0,0.1715,0.171518,65.88,ETH-25JUL25-2100-C,2493.28,buy,1.0,,,1.0,,1751328720.032
663,ETH-256188777,1751329541143,2,0.1695,0.169324,66.07,ETH-25JUL25-2100-C,2485.96,buy,20.0,,,20.0,,1751329541.143
664,ETH-256189172,1751329822232,2,0.168,0.167745,65.83,ETH-25JUL25-2100-C,2481.2,buy,20.0,,,20.0,,1751329822.232
665,ETH-256189617,1751330164425,0,0.17,0.169961,65.79,ETH-25JUL25-2100-C,2488.29,buy,7.0,,,7.0,,1751330164.425
666,ETH-256206514,1751354979896,2,0.1625,0.161802,65.93,ETH-25JUL25-2100-C,2461.57,buy,1.0,,,1.0,,1751354979.896
667,ETH-256290521,1751433554743,2,0.155,0.154883,63.24,ETH-25JUL25-2100-C,2443.35,buy,1.0,,,1.0,,1751433554.743
668,ETH-256292860,1751437812602,3,0.155,0.154966,63.26,ETH-25JUL25-2100-C,2443.19,buy,1.0,,,1.0,,1751437812.602
669,ETH-256327545,1751469639123,0,0.1705,0.170197,64.62,ETH-25JUL25-2100-C,2497.24,buy,1.0,,,1.0,,1751469639.123
670,ETH-256362379,1751478187973,0,0.192,0.192229,68.42,ETH-25JUL25-2100-C,2566.71,buy,1.0,,,1.0,,1751478187.973
671,ETH-256364855,1751479197225,0,0.1925,0.19228,69.23,ETH-25JUL25-2100-C,2566.76,buy,1.0,,,1.0,,1751479197.225
672,ETH-256415944,1751521242188,0,0.201,0.200353,72.14,ETH-25JUL25-2100-C,2594.84,buy,1.0,,,1.0,,1751521242.188
673,ETH-256418485,1751523978194,0,0.202,0.201921,71.55,ETH-25JUL25-2100-C,2599.65,buy,1.0,,,1.0,,1751523978.194
674,ETH-256464281,1751548663009,2,0.199,0.199008,71.43,ETH-25JUL25-2100-C,2589.2,sell,1.0,,,1.0,,1751548663.009
675,ETH-256510726,1751577840387,0,0.2015,0.201295,71.57,ETH-25JUL25-2100-C,2597.58,buy,1.0,,,1.0,,1751577840.387
676,ETH-256512676,1751581620912,2,0.2,0.199967,71.42,ETH-25JUL25-2100-C,2592.73,sell,1.0,,,1.0,,1751581620.912
677,ETH-256535996,1751612610668,2,0.191,0.190921,69.45,ETH-25JUL25-2100-C,2563.58,buy,1.0,,,1.0,,1751612610.668
678,ETH-256549361,1751618569578,2,0.1875,0.187368,68.73,ETH-25JUL25-2100-C,2553.17,buy,1.0,,,1.0,,1751618569.578
679,ETH-256550751,1751619918087,2,0.1865,0.18663,68.16,ETH-25JUL25-2100-C,2550.61,buy,1.0,,,1.0,,1751619918.087
680,ETH-256554631,1751626986195,2,0.186,0.185913,66.97,ETH-25JUL25-2100-C,2550.52,buy,1.0,,,1.0,,1751626986.195
681,ETH-256564562,1751637186636,2,0.181,0.180833,66.8,ETH-25JUL25-2100-C,2533.93,buy,1.0,,,1.0,,1751637186.636
682,ETH-257145378,1752187736972,0,0.2965,0.295934,98.8,ETH-25JUL25-2100-C,2970.42,sell,6.0,,,6.0,,1752187736.972
683,ETH-257348579,1752280530131,2,0.288,0.289721,72.21,ETH-25JUL25-2100-C,2945.14,sell,3.0,,,3.0,,1752280530.131
684,ETH-257348580,1752280530142,3,0.288,0.289721,72.21,ETH-25JUL25-2100-C,2945.14,sell,20.0,,,20.0,,1752280530.142
685,ETH-257828863,1752642730016,0,0.333,0.333241,106.65,ETH-25JUL25-2100-C,3141.1,buy,1.0,,,1.0,,1752642730.016
686,ETH-257891449,1752674760823,0,0.3455,0.345734,102.54,ETH-25JUL25-2100-C,3201.71,buy,1.0,,,1.0,,1752674760.823
687,ETH-258440635,1752826573974,0,0.4205,0.420603,140.39,ETH-25JUL25-2100-C,3617.89,sell,1.0,,,1.0,,1752826573.974
688,ETH-258881161,1753058716719,0,0.437,0.437689,0.0,ETH-25JUL25-2100-C,3731.29,buy,1.0,,,1.0,,1753058716.719
689,ETH-259614905,1753426482269,2,0.4228,0.422663,999.0,ETH-25JUL25-2100-C,3637.08,sell,580.0,2.0,BLOCK-213684,580.0,ETH-CS-25JUL25-2100_2700,1753426482.269
