trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,unix_sec
873,ETH-256177307,1751315127447,2,0.012,0.011942,67.11,ETH-25JUL25-2100-P,2517.05,buy,1.0,1.0,,,,,,,1751315127.447
874,ETH-256180718,1751319048374,0,0.0125,0.012853,65.85,ETH-25JUL25-2100-P,2494.98,sell,1.0,1.0,,,,,,,1751319048.374
875,ETH-256190201,1751331003604,1,0.0125,0.012658,65.59,ETH-25JUL25-2100-P,2491.06,buy,1.0,1.0,,,,,,,1751331003.604
876,ETH-256190202,1751331003726,1,0.0125,0.012656,65.59,ETH-25JUL25-2100-P,2491.12,buy,7.0,7.0,,,,,,,1751331003.726
877,ETH-256197229,1751344717987,0,0.013,0.012973,65.32,ETH-25JUL25-2100-P,2477.61,buy,1.0,1.0,,,,,,,1751344717.987
878,ETH-256197563,1751345219686,1,0.013,0.013097,65.09,ETH-25JUL25-2100-P,2475.26,buy,3.0,3.0,,,,,,,1751345219.686
879,ETH-256198029,1751345719133,0,0.0135,0.013425,65.27,ETH-25JUL25-2100-P,2469.2,buy,1.0,1.0,,,,,,,1751345719.133
880,ETH-256199736,1751346708268,0,0.014,0.013995,65.11,ETH-25JUL25-2100-P,2459.75,buy,1.0,1.0,,,,,,,1751346708.268
881,ETH-256200022,1751347057194,1,0.014,0.013972,65.14,ETH-25JUL25-2100-P,2459.77,buy,1.0,1.0,,,,,,,1751347057.194
882,ETH-256213660,1751363019550,1,0.014,0.01386,64.65,ETH-25JUL25-2100-P,2453.91,sell,10.0,10.0,,,,,,,1751363019.55
883,ETH-256218964,1751370703974,1,0.014,0.013688,64.07,ETH-25JUL25-2100-P,2448.23,buy,27.0,27.0,,,,,,,1751370703.974
884,ETH-256226028,1751377248837,0,0.0145,0.014551,63.86,ETH-25JUL25-2100-P,2438.1,buy,4.0,4.0,,,,,,,1751377248.837
885,ETH-256237290,1751382161131,0,0.016,0.015345,64.51,ETH-25JUL25-2100-P,2421.88,buy,1.0,1.0,,,,,,,1751382161.131
886,ETH-256244004,1751388623564,2,0.015,0.01501,63.71,ETH-25JUL25-2100-P,2427.69,buy,2.0,2.0,,,,,,,1751388623.564
887,ETH-256244452,1751389437995,3,0.015,0.01543,62.95,ETH-25JUL25-2100-P,2421.08,sell,2.0,2.0,,,,,,,1751389437.995
888,ETH-256254399,1751399441163,0,0.016,0.015755,64.02,ETH-25JUL25-2100-P,2415.29,sell,8.0,8.0,,,,,,,1751399441.163
889,ETH-256270707,1751412800601,0,0.017,0.016865,63.74,ETH-25JUL25-2100-P,2398.84,sell,1.0,1.0,,,,,,,1751412800.601
890,ETH-256270708,1751412800604,1,0.017,0.016865,63.74,ETH-25JUL25-2100-P,2398.84,sell,1.0,1.0,,,,,,,1751412800.604
891,ETH-256270709,1751412800605,1,0.017,0.016865,63.74,ETH-25JUL25-2100-P,2398.84,sell,3.0,3.0,,,,,,,1751412800.605
