trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
416,ETH-256275462,1751419060588,2,0.1045,0.108002,57.24,ETH-25JUL25-2200-C,2389.01,sell,2.0,2.0,1751419060.588
417,ETH-256286926,1751428213373,0,0.1195,0.118539,62.25,ETH-25JUL25-2200-C,2430.18,sell,10.0,10.0,1751428213.373
419,ETH-256312074,1751461440482,0,0.1225,0.121455,61.69,ETH-25JUL25-2200-C,2444.31,buy,18.0,18.0,1751461440.482
418,ETH-256312073,1751461440482,0,0.122,0.121455,61.01,ETH-25JUL25-2200-C,2444.31,buy,1.0,1.0,1751461440.482
420,ETH-256322143,1751468879436,0,0.1305,0.129569,62.27,ETH-25JUL25-2200-C,2473.56,buy,1.0,1.0,1751468879.436
421,ETH-256348622,1751475119085,0,0.1555,0.155313,64.61,ETH-25JUL25-2200-C,2559.19,buy,1.0,1.0,1751475119.085
422,ETH-256362380,1751478188015,0,0.1585,0.158227,66.52,ETH-25JUL25-2200-C,2566.71,buy,1.0,1.0,1751478188.015
423,ETH-256363492,1751478606152,2,0.1555,0.155267,66.09,ETH-25JUL25-2200-C,2556.62,buy,1.0,1.0,1751478606.152
424,ETH-256364133,1751478783410,0,0.1575,0.156794,67.16,ETH-25JUL25-2200-C,2561.33,buy,1.0,1.0,1751478783.41
425,ETH-256364299,1751478836672,0,0.158,0.157851,66.23,ETH-25JUL25-2200-C,2565.03,buy,1.0,1.0,1751478836.672
426,ETH-256364786,1751479107385,1,0.158,0.157871,66.09,ETH-25JUL25-2200-C,2565.27,buy,1.0,1.0,1751479107.385
427,ETH-256366027,1751479367088,0,0.1595,0.15905,66.81,ETH-25JUL25-2200-C,2569.43,buy,1.0,1.0,1751479367.088
428,ETH-256415199,1751520868061,0,0.167,0.166636,68.7,ETH-25JUL25-2200-C,2594.95,buy,1.0,1.0,1751520868.061
429,ETH-256564560,1751637186633,2,0.1465,0.146489,63.79,ETH-25JUL25-2200-C,2533.93,buy,1.0,1.0,1751637186.633
430,ETH-256751243,1751905411215,2,0.1405,0.143189,60.78,ETH-25JUL25-2200-C,2528.32,sell,100.0,100.0,1751905411.215
431,ETH-256830943,1752001097332,0,0.1695,0.169418,66.54,ETH-25JUL25-2200-C,2624.36,sell,5.0,5.0,1752001097.332
432,ETH-256937330,1752090739935,0,0.2155,0.214521,74.97,ETH-25JUL25-2200-C,2784.2,buy,1.0,1.0,1752090739.935
433,ETH-256948721,1752092570566,2,0.206,0.206176,71.84,ETH-25JUL25-2200-C,2751.2,buy,2.0,2.0,1752092570.566
434,ETH-256982734,1752115203150,0,0.213,0.214287,68.62,ETH-25JUL25-2200-C,2780.21,buy,67.0,67.0,1752115203.15
435,ETH-257065957,1752171410657,0,0.2275,0.227477,80.47,ETH-25JUL25-2200-C,2828.6,buy,100.0,100.0,1752171410.657
436,ETH-257145466,1752187823811,0,0.263,0.26301,88.3,ETH-25JUL25-2200-C,2970.44,sell,12.0,12.0,1752187823.811
437,ETH-257209947,1752214864204,0,0.275,0.274909,92.7,ETH-25JUL25-2200-C,3017.54,sell,10.0,10.0,1752214864.204
438,ETH-257226873,1752220236011,2,0.269,0.269132,91.45,ETH-25JUL25-2200-C,2991.98,buy,9.0,9.0,1752220236.011
439,ETH-257748458,1752594916078,0,0.2795,0.280263,80.41,ETH-25JUL25-2200-C,3044.91,buy,1.0,1.0,1752594916.078
440,ETH-257762571,1752601691118,0,0.2915,0.291116,104.87,ETH-25JUL25-2200-C,3092.21,buy,1.0,1.0,1752601691.118
441,ETH-257885555,1752673692922,0,0.3135,0.313002,113.08,ETH-25JUL25-2200-C,3193.92,buy,1.0,1.0,1752673692.922
442,ETH-258355831,1752805135865,0,0.391,0.391014,146.36,ETH-25JUL25-2200-C,3604.77,sell,9.0,9.0,1752805135.865
443,ETH-258382503,1752815470860,0,0.395,0.394925,134.97,ETH-25JUL25-2200-C,3630.71,buy,1.0,1.0,1752815470.86
444,ETH-258429593,1752825167081,2,0.3935,0.39393,0.0,ETH-25JUL25-2200-C,3623.03,sell,1.0,1.0,1752825167.081
445,ETH-258644333,1752911201079,2,0.3855,0.385517,145.23,ETH-25JUL25-2200-C,3575.73,sell,1.0,1.0,1752911201.079
446,ETH-258667217,1752935633103,2,0.3805,0.380165,161.59,ETH-25JUL25-2200-C,3545.97,sell,1.0,1.0,1752935633.103
447,ETH-258721058,1752985331933,0,0.3975,0.398812,0.0,ETH-25JUL25-2200-C,3654.93,sell,1.0,1.0,1752985331.933
448,ETH-258990964,1753115629902,0,0.419,0.418511,228.81,ETH-25JUL25-2200-C,3779.62,sell,1.0,1.0,1753115629.902
449,ETH-258995756,1753116828515,2,0.418,0.417765,208.13,ETH-25JUL25-2200-C,3775.18,sell,1.0,1.0,1753116828.515
450,ETH-259512557,1753386519370,2,0.411,0.411475,0.0,ETH-25JUL25-2200-C,3738.2,sell,1.0,1.0,1753386519.37
451,ETH-259513036,1753386785931,0,0.412,0.412828,0.0,ETH-25JUL25-2200-C,3747.34,sell,11.0,11.0,1753386785.931
452,ETH-259513037,1753386785931,1,0.412,0.412828,0.0,ETH-25JUL25-2200-C,3747.34,sell,36.0,36.0,1753386785.931
453,ETH-259519085,1753391421690,2,0.411,0.411653,0.0,ETH-25JUL25-2200-C,3739.68,sell,12.0,12.0,1753391421.69
454,ETH-259536659,1753399542899,2,0.4065,0.407051,0.0,ETH-25JUL25-2200-C,3710.26,sell,9.0,9.0,1753399542.899
