trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,unix_sec
1544,ETH-256163702,1751305418061,2,0.0205,0.020607,63.7,ETH-25JUL25-2200-P,2485.33,sell,1.0,1.0,,,,,,1751305418.061
1545,ETH-256169514,1751309330049,2,0.02,0.020639,63.21,ETH-25JUL25-2200-P,2486.94,sell,9.0,9.0,,,,,,1751309330.049
1546,ETH-256174391,1751313414145,2,0.019,0.018882,64.78,ETH-25JUL25-2200-P,2511.36,buy,200.0,200.0,2.0,BLOCK-207917,,ETH-PSR12-25JUL25-2400_2200,,1751313414.145
1547,ETH-256175345,1751313788102,2,0.0185,0.019077,63.75,ETH-25JUL25-2200-P,2508.8,sell,1.0,1.0,,,,,,1751313788.102
1548,ETH-256180714,1751319040077,0,0.02,0.019918,64.41,ETH-25JUL25-2200-P,2494.99,buy,1.0,1.0,,,,,,1751319040.077
1549,ETH-256195318,1751341175648,1,0.02,0.019654,63.58,ETH-25JUL25-2200-P,2484.79,buy,1.0,1.0,,,,,,1751341175.648
1550,ETH-256195800,1751342006424,2,0.0195,0.019477,63.08,ETH-25JUL25-2200-P,2486.3,sell,1.0,1.0,,,,,,1751342006.424
1551,ETH-256197413,1751344981192,0,0.0205,0.020293,63.27,ETH-25JUL25-2200-P,2476.39,buy,1.0,1.0,,,,,,1751344981.192
1552,ETH-256198670,1751345975501,0,0.0215,0.021198,63.37,ETH-25JUL25-2200-P,2466.52,buy,1.0,1.0,,,,,,1751345975.501
1553,ETH-256201137,1751348094695,0,0.022,0.022011,62.92,ETH-25JUL25-2200-P,2457.33,buy,1.0,1.0,,,,,,1751348094.695
1554,ETH-256201675,1751348565681,0,0.0225,0.022152,63.38,ETH-25JUL25-2200-P,2455.43,buy,1.0,1.0,,,,,,1751348565.681
1555,ETH-256201697,1751348584466,1,0.0225,0.022082,63.49,ETH-25JUL25-2200-P,2456.27,buy,1.0,1.0,,,,,,1751348584.466
1556,ETH-256204553,1751353723837,2,0.0215,0.021531,63.09,ETH-25JUL25-2200-P,2463.19,buy,1.0,1.0,,,,,,1751353723.837
1557,ETH-256204554,1751353737345,3,0.0215,0.021539,63.09,ETH-25JUL25-2200-P,2463.15,sell,1.0,1.0,,,,,,1751353737.345
1558,ETH-256205152,1751354340345,0,0.0225,0.022466,63.05,ETH-25JUL25-2200-P,2452.85,buy,1.0,1.0,,,,,,1751354340.345
1559,ETH-256211528,1751359341747,2,0.022,0.021973,62.6,ETH-25JUL25-2200-P,2454.44,buy,1.0,1.0,,,,,,1751359341.747
1560,ETH-256214447,1751364115812,2,0.021,0.021468,61.67,ETH-25JUL25-2200-P,2456.8,sell,1.0,1.0,,,,,,1751364115.812
1561,ETH-256214758,1751364286713,3,0.021,0.02113,62.1,ETH-25JUL25-2200-P,2460.13,buy,1.0,1.0,,,,,,1751364286.713
1562,ETH-256214828,1751364479450,3,0.021,0.021111,62.1,ETH-25JUL25-2200-P,2460.11,buy,1.0,1.0,,,,,,1751364479.45
1563,ETH-256218113,1751368892029,0,0.0215,0.021492,61.59,ETH-25JUL25-2200-P,2451.01,sell,1.0,1.0,,,,,,1751368892.029
1564,ETH-256219460,1751370724814,0,0.022,0.021977,61.48,ETH-25JUL25-2200-P,2444.93,sell,1.0,1.0,,,,,,1751370724.814
1565,ETH-256220000,1751371227842,2,0.021,0.021447,60.84,ETH-25JUL25-2200-P,2449.83,sell,1.0,1.0,,,,,,1751371227.842
1566,ETH-256220342,1751371624811,0,0.0215,0.021088,62.0,ETH-25JUL25-2200-P,2453.52,buy,1.0,1.0,,,,,,1751371624.811
1567,ETH-256221750,1751372997693,0,0.0225,0.022242,61.89,ETH-25JUL25-2200-P,2442.46,buy,1.0,1.0,,,,,,1751372997.693
1568,ETH-256221751,1751372997696,1,0.0225,0.022242,61.89,ETH-25JUL25-2200-P,2442.46,sell,49.0,49.0,,,,,,1751372997.696
1569,ETH-256221803,1751373059980,1,0.0225,0.022225,61.96,ETH-25JUL25-2200-P,2442.99,buy,13.0,13.0,,,,,,1751373059.98
1570,ETH-256221804,1751373059987,1,0.0225,0.022225,61.96,ETH-25JUL25-2200-P,2442.99,sell,35.0,35.0,,,,,,1751373059.987
1571,ETH-256221805,1751373059988,1,0.0225,0.022225,61.96,ETH-25JUL25-2200-P,2442.99,sell,1.0,1.0,,,,,,1751373059.988
1572,ETH-256221806,1751373059989,1,0.0225,0.022225,61.96,ETH-25JUL25-2200-P,2442.99,sell,1.0,1.0,,,,,,1751373059.989
1573,ETH-256222703,1751373892324,1,0.0225,0.022461,61.6,ETH-25JUL25-2200-P,2440.35,buy,1.0,1.0,,,,,,1751373892.324
1574,ETH-256222719,1751373911466,1,0.0225,0.022507,61.56,ETH-25JUL25-2200-P,2440.1,sell,1.0,1.0,,,,,,1751373911.466
1575,ETH-256223687,1751374591784,1,0.0225,0.022691,61.32,ETH-25JUL25-2200-P,2437.89,sell,1.0,1.0,,,,,,1751374591.784
1576,ETH-256223688,1751374591787,1,0.0225,0.022691,61.32,ETH-25JUL25-2200-P,2437.89,buy,10.0,10.0,,,,,,1751374591.787
1577,ETH-256224082,1751374946685,0,0.023,0.022679,61.95,ETH-25JUL25-2200-P,2437.95,buy,1.0,1.0,,,,,,1751374946.685
1578,ETH-256224083,1751374946688,1,0.023,0.022679,61.95,ETH-25JUL25-2200-P,2437.95,sell,49.0,49.0,,,,,,1751374946.688
1579,ETH-256225928,1751377195000,2,0.0225,0.022326,61.98,ETH-25JUL25-2200-P,2442.79,buy,1.0,1.0,,,,,,1751377195.0
1580,ETH-256226216,1751377280193,0,0.023,0.023191,61.62,ETH-25JUL25-2200-P,2435.3,sell,1.0,1.0,,,,,,1751377280.193
