trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,combo_trade_id,block_rfq_id,unix_sec
2386,ETH-256161554,1751303643086,0,0.0445,0.044081,61.8,ETH-25JUL25-2600-C,2479.28,buy,1.0,,,1.0,,,,1751303643.086
2387,ETH-256161835,1751303653195,0,0.045,0.04473,61.67,ETH-25JUL25-2600-C,2483.36,buy,1.0,,,1.0,,,,1751303653.195
2388,ETH-256165184,1751306177984,0,0.046,0.045712,61.56,ETH-25JUL25-2600-C,2490.79,buy,1.0,,,1.0,,,,1751306177.984
2389,ETH-256170884,1751311296750,0,0.048,0.047772,61.59,ETH-25JUL25-2600-C,2504.12,buy,1.0,,,1.0,,,,1751311296.75
2390,ETH-256171161,1751311383185,0,0.0485,0.048158,61.79,ETH-25JUL25-2600-C,2506.24,buy,1.0,,,1.0,,,,1751311383.185
2391,ETH-256171162,1751311383185,1,0.0485,0.048158,61.79,ETH-25JUL25-2600-C,2506.24,buy,12.0,,,12.0,,,,1751311383.185
2392,ETH-256171163,1751311383188,1,0.0485,0.048158,61.79,ETH-25JUL25-2600-C,2506.24,sell,77.0,,,77.0,,,,1751311383.188
2394,ETH-256171283,1751311441652,1,0.049,0.048386,61.97,ETH-25JUL25-2600-C,2508.08,buy,13.0,,,13.0,,,,1751311441.652
2393,ETH-256171282,1751311441652,0,0.049,0.048386,61.97,ETH-25JUL25-2600-C,2508.08,buy,12.0,,,12.0,,,,1751311441.652
2395,ETH-256171773,1751311654377,0,0.05,0.049809,61.64,ETH-25JUL25-2600-C,2516.35,buy,1.0,,,1.0,,,,1751311654.377
2396,ETH-256178550,1751316717798,2,0.0485,0.048231,61.48,ETH-25JUL25-2600-C,2508.46,buy,1.0,,,1.0,,,,1751316717.798
2397,ETH-256178551,1751316717798,3,0.0485,0.048231,61.48,ETH-25JUL25-2600-C,2508.46,buy,6.0,,,6.0,,,,1751316717.798
2398,ETH-256178552,1751316717813,3,0.0485,0.048231,61.48,ETH-25JUL25-2600-C,2508.46,sell,3.0,,,3.0,,,,1751316717.813
2399,ETH-256179289,1751317806801,2,0.0465,0.046656,61.0,ETH-25JUL25-2600-C,2498.81,buy,1.0,,,1.0,,,,1751317806.801
2400,ETH-256180207,1751318632942,3,0.0465,0.046509,61.18,ETH-25JUL25-2600-C,2497.5,sell,1.0,,,1.0,,,,1751318632.942
2401,ETH-256197404,1751344981045,2,0.0415,0.041545,59.73,ETH-25JUL25-2600-C,2476.39,sell,2.0,,,2.0,,,,1751344981.045
2402,ETH-256200517,1751347516544,2,0.039,0.038686,60.29,ETH-25JUL25-2600-C,2455.4,buy,1.0,,,1.0,,,,1751347516.544
2403,ETH-256200518,1751347516547,3,0.039,0.038686,60.29,ETH-25JUL25-2600-C,2455.4,sell,2.0,,,2.0,,,,1751347516.547
2404,ETH-256202986,1751349762576,3,0.039,0.039019,59.96,ETH-25JUL25-2600-C,2458.01,sell,1.0,,,1.0,,,,1751349762.576
2405,ETH-256207659,1751355724637,0,0.04,0.039569,60.28,ETH-25JUL25-2600-C,2464.26,buy,1.0,,,1.0,,,,1751355724.637
2406,ETH-256211106,1751359043620,2,0.0385,0.038497,59.69,ETH-25JUL25-2600-C,2458.18,buy,1.0,,,1.0,,,,1751359043.62
2407,ETH-256211550,1751359367366,2,0.0375,0.037946,59.19,ETH-25JUL25-2600-C,2454.62,sell,1.0,,,1.0,,,,1751359367.366
2408,ETH-256212824,1751361948707,3,0.0375,0.038064,58.7,ETH-25JUL25-2600-C,2457.93,sell,2.0,,,2.0,,,,1751361948.707
2409,ETH-256212869,1751362042834,3,0.0375,0.037935,58.82,ETH-25JUL25-2600-C,2457.13,sell,1.0,,,1.0,,,,1751362042.834
2410,ETH-256214039,1751363488919,3,0.0375,0.037672,58.98,ETH-25JUL25-2600-C,2456.09,buy,2.0,,,2.0,,,,1751363488.919
2411,ETH-256214160,1751363763025,3,0.0375,0.037752,58.86,ETH-25JUL25-2600-C,2456.97,buy,2.0,,,2.0,,,,1751363763.025
2412,ETH-256216237,1751366341623,2,0.0365,0.03674,58.65,ETH-25JUL25-2600-C,2452.05,sell,8.0,,,8.0,,,,1751366341.623
2413,ETH-256216240,1751366341639,3,0.0365,0.03674,58.65,ETH-25JUL25-2600-C,2452.05,sell,2.0,,,2.0,,,,1751366341.639
2414,ETH-256216697,1751366916831,3,0.0365,0.036639,58.71,ETH-25JUL25-2600-C,2451.68,buy,21.0,,,21.0,,,,1751366916.831
2415,ETH-256238230,1751382482835,2,0.032,0.032501,58.55,ETH-25JUL25-2600-C,2420.69,sell,1.0,,,1.0,,,,1751382482.835
2416,ETH-256244722,1751389609646,0,0.0325,0.032167,59.14,ETH-25JUL25-2600-C,2420.69,buy,1.0,,,1.0,,,,1751389609.646
2417,ETH-256248596,1751395679285,2,0.032,0.031967,59.0,ETH-25JUL25-2600-C,2418.5,sell,1.0,,,1.0,,,,1751395679.285
2418,ETH-256252805,1751397859578,0,0.0325,0.032446,59.03,ETH-25JUL25-2600-C,2422.0,buy,2.0,,,2.0,,,,1751397859.578
2419,ETH-256253162,1751398502243,2,0.032,0.031895,59.07,ETH-25JUL25-2600-C,2418.2,buy,1.0,,,1.0,,,,1751398502.243
2420,ETH-256257190,1751400430507,2,0.0305,0.030484,58.88,ETH-25JUL25-2600-C,2407.67,buy,2.0,,,2.0,,,,1751400430.507
2421,ETH-256264809,1751407455841,3,0.0305,0.030511,58.77,ETH-25JUL25-2600-C,2409.3,buy,26.0,,,26.0,,,,1751407455.841
2422,ETH-256264810,1751407455848,3,0.0305,0.030511,58.77,ETH-25JUL25-2600-C,2409.3,buy,26.0,,,26.0,,,,1751407455.848
2423,ETH-256283307,1751424663368,0,0.031,0.031027,58.6,ETH-25JUL25-2600-C,2416.51,buy,2.0,,,2.0,,,,1751424663.368
2424,ETH-256283357,1751424921461,1,0.031,0.031035,58.61,ETH-25JUL25-2600-C,2416.48,buy,1.0,,,1.0,,,,1751424921.461
