trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,block_rfq_id,liquidation,combo_trade_id,unix_sec
924,ETH-256161402,1751303631844,0,0.016,0.015924,63.22,ETH-25JUL25-2900-C,2475.02,buy,1.0,1.0,,,,,,,1751303631.844
925,ETH-256161794,1751303652986,0,0.0165,0.016534,63.07,ETH-25JUL25-2900-C,2483.36,buy,1.0,1.0,,,,,,,1751303652.986
926,ETH-256169787,1751309997469,1,0.0165,0.016495,62.88,ETH-25JUL25-2900-C,2486.67,buy,10.0,10.0,,,,,,,1751309997.469
927,ETH-256175346,1751313788326,0,0.0175,0.017881,62.09,ETH-25JUL25-2900-C,2508.8,sell,1.0,1.0,,,,,,,1751313788.326
928,ETH-256177303,1751315122408,0,0.0185,0.018446,62.49,ETH-25JUL25-2900-C,2517.57,buy,1.0,1.0,,,,,,,1751315122.408
929,ETH-256180579,1751318940196,2,0.017,0.016848,62.55,ETH-25JUL25-2900-C,2497.21,buy,1.0,1.0,,,,,,,1751318940.196
930,ETH-256181158,1751319391948,3,0.017,0.016975,62.45,ETH-25JUL25-2900-C,2497.98,buy,1.0,1.0,,,,,,,1751319391.948
931,ETH-256182604,1751320895635,2,0.0165,0.016451,62.56,ETH-25JUL25-2900-C,2490.57,buy,1.0,1.0,,,,,,,1751320895.635
932,ETH-256186577,1751326236024,2,0.016,0.016003,61.89,ETH-25JUL25-2900-C,2491.07,buy,1.0,1.0,,,,,,,1751326236.024
933,ETH-256186874,1751326523142,2,0.0155,0.015787,61.49,ETH-25JUL25-2900-C,2487.97,sell,2.0,2.0,,,,,,,1751326523.142
934,ETH-256190063,1751330794174,0,0.016,0.015768,61.9,ETH-25JUL25-2900-C,2491.87,buy,1.0,1.0,,,,,,,1751330794.174
935,ETH-256190228,1751331085373,2,0.0155,0.015773,61.09,ETH-25JUL25-2900-C,2493.01,buy,1.0,1.0,,,,,,,1751331085.373
936,ETH-256191137,1751332906287,3,0.0155,0.015722,60.8,ETH-25JUL25-2900-C,2496.35,sell,12.0,12.0,,,,,,,1751332906.287
937,ETH-256191370,1751333550818,3,0.0155,0.015431,61.14,ETH-25JUL25-2900-C,2492.89,buy,5.0,5.0,,,,,,,1751333550.818
938,ETH-256191374,1751333552908,3,0.0155,0.015441,61.13,ETH-25JUL25-2900-C,2493.06,buy,5.0,5.0,,,,,,,1751333552.908
939,ETH-256191381,1751333554428,3,0.0155,0.01545,61.12,ETH-25JUL25-2900-C,2493.13,buy,5.0,5.0,,,,,,,1751333554.428
940,ETH-256191382,1751333555768,3,0.0155,0.015453,61.1,ETH-25JUL25-2900-C,2493.3,buy,5.0,5.0,,,,,,,1751333555.768
941,ETH-256191383,1751333563725,3,0.0155,0.015469,61.1,ETH-25JUL25-2900-C,2493.34,buy,5.0,5.0,,,,,,,1751333563.725
