trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,liquidation,block_rfq_id,unix_sec
1,ETH-257137210,1752185649785,1,0.036,0.035163,69.22,ETH-25JUL25-3100-C,2959.25,buy,5.0,5.0,,,,,,,1752185649.785
2,ETH-257139646,1752186172940,0,0.0365,0.036553,67.93,ETH-25JUL25-3100-C,2971.93,sell,3.0,3.0,,,,,,,1752186172.94
3,ETH-257142286,1752186754959,2,0.0335,0.034087,66.88,ETH-25JUL25-3100-C,2953.73,sell,3.0,3.0,,,,,,,1752186754.959
4,ETH-257144571,1752187330971,0,0.035,0.034767,67.42,ETH-25JUL25-3100-C,2962.99,buy,2.0,2.0,,,,,,,1752187330.971
5,ETH-257147710,1752188814248,0,0.036,0.035882,67.84,ETH-25JUL25-3100-C,2968.56,buy,50.0,50.0,,,,,,,1752188814.248
6,ETH-257148043,1752189120754,2,0.0355,0.035509,67.84,ETH-25JUL25-3100-C,2965.01,buy,50.0,50.0,,,,,,,1752189120.754
7,ETH-257160867,1752194851009,2,0.031,0.031232,66.83,ETH-25JUL25-3100-C,2933.84,buy,30.0,30.0,,,,,,,1752194851.009
8,ETH-257173819,1752201814057,0,0.0335,0.033845,65.72,ETH-25JUL25-3100-C,2963.07,sell,1.0,1.0,,,,,,,1752201814.057
9,ETH-257174482,1752202250561,0,0.0345,0.034261,66.4,ETH-25JUL25-3100-C,2966.68,buy,1.0,1.0,,,,,,,1752202250.561
10,ETH-257183925,1752208409352,2,0.033,0.033031,66.15,ETH-25JUL25-3100-C,2956.49,sell,10.0,10.0,,,,,,,1752208409.352
11,ETH-257186785,1752209784273,0,0.035,0.03506,66.26,ETH-25JUL25-3100-C,2971.16,buy,1.0,1.0,,,,,,,1752209784.273
12,ETH-257193419,1752211665389,0,0.0385,0.038014,66.87,ETH-25JUL25-3100-C,2995.27,buy,20.0,20.0,,,,,,,1752211665.389
