trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,liquidation,block_rfq_id,unix_sec
1,ETH-257141635,1752186496285,1,0.017,0.017623,68.21,ETH-25JUL25-3300-C,2954.97,sell,2.0,2.0,,,,,,,1752186496.285
2,ETH-257147782,1752188900049,0,0.0185,0.018517,68.89,ETH-25JUL25-3300-C,2970.05,buy,3.0,3.0,,,,,,,1752188900.049
3,ETH-257149908,1752189977758,2,0.0175,0.017335,69.39,ETH-25JUL25-3300-C,2952.93,sell,5.0,5.0,,,,,,,1752189977.758
4,ETH-257149909,1752189977758,3,0.0175,0.017335,69.39,ETH-25JUL25-3300-C,2952.93,sell,5.0,5.0,,,,,,,1752189977.758
5,ETH-257160803,1752194817314,2,0.0155,0.015812,68.12,ETH-25JUL25-3300-C,2935.74,buy,2.0,2.0,,,,,,,1752194817.314
6,ETH-257164125,1752196992464,3,0.0155,0.015886,66.97,ETH-25JUL25-3300-C,2946.46,sell,5.0,5.0,,,,,,,1752196992.464
7,ETH-257164126,1752196992464,3,0.0155,0.015886,66.97,ETH-25JUL25-3300-C,2946.46,sell,5.0,5.0,,,,,,,1752196992.464
8,ETH-257165215,1752197589469,0,0.016,0.016046,67.32,ETH-25JUL25-3300-C,2950.65,buy,1.0,1.0,,,,,,,1752197589.469
9,ETH-257174105,1752202006685,0,0.0165,0.016809,67.1,ETH-25JUL25-3300-C,2960.28,sell,4.0,4.0,,,,,,,1752202006.685
10,ETH-257177673,1752203932460,0,0.0175,0.017653,67.64,ETH-25JUL25-3300-C,2969.34,buy,2.0,2.0,,,,,,,1752203932.46
11,ETH-257178635,1752204551528,0,0.0185,0.01807,68.63,ETH-25JUL25-3300-C,2974.75,buy,1.0,1.0,,,,,,,1752204551.528
12,ETH-257181002,1752206067561,2,0.018,0.017866,67.97,ETH-25JUL25-3300-C,2973.29,buy,1.0,1.0,,,,,,,1752206067.561
13,ETH-257182721,1752207800432,2,0.017,0.017036,67.69,ETH-25JUL25-3300-C,2962.75,buy,1.0,1.0,,,,,,,1752207800.432
14,ETH-257188915,1752210534821,0,0.019,0.018766,68.1,ETH-25JUL25-3300-C,2985.36,buy,19.0,19.0,,,,,,,1752210534.821
15,ETH-257206487,1752213634843,0,0.021,0.021396,68.69,ETH-25JUL25-3300-C,3005.58,sell,1.0,1.0,,,,,,,1752213634.843
16,ETH-257208535,1752214238943,0,0.022,0.022022,69.69,ETH-25JUL25-3300-C,3010.03,buy,1.0,1.0,,,,,,,1752214238.943
17,ETH-257237537,1752222295737,2,0.02,0.02032,70.35,ETH-25JUL25-3300-C,2982.22,sell,5.0,5.0,,,,,,,1752222295.737
18,ETH-257240277,1752223261946,3,0.02,0.020371,69.69,ETH-25JUL25-3300-C,2987.94,sell,60.0,60.0,,,,,,,1752223261.946
19,ETH-257244765,1752225268371,0,0.022,0.021863,70.56,ETH-25JUL25-3300-C,3005.73,buy,10.0,10.0,,,,,,,1752225268.371
20,ETH-257245254,1752225468093,0,0.023,0.02274,70.68,ETH-25JUL25-3300-C,3016.17,buy,100.0,100.0,,,,,,,1752225468.093
21,ETH-257245802,1752225731081,2,0.0225,0.022565,70.07,ETH-25JUL25-3300-C,3015.21,buy,40.0,40.0,ETH-257245801,ETH-CLAD-25JUL25-3200_3300_3400,,,,,1752225731.081
22,ETH-257250876,1752227268835,0,0.0241,0.023932,71.12,ETH-25JUL25-3300-C,3025.5,buy,8.0,8.0,ETH-257250874,ETH-CLAD-25JUL25-3300_3400_3500,,,,,1752227268.835
23,ETH-257258970,1752230214181,2,0.0225,0.02248,70.85,ETH-25JUL25-3300-C,3009.33,buy,18.0,18.0,,,,,,,1752230214.181
24,ETH-257258971,1752230215349,3,0.0225,0.0225,70.83,ETH-25JUL25-3300-C,3009.45,buy,18.0,18.0,,,,,,,1752230215.349
25,ETH-257259684,1752231107607,3,0.0225,0.022385,71.13,ETH-25JUL25-3300-C,3007.87,buy,5.0,5.0,,,,,,,1752231107.607
27,ETH-257264651,1752233459017,3,0.021,0.02069,71.52,ETH-25JUL25-3300-C,2987.68,buy,60.0,60.0,,,,,,,1752233459.017
26,ETH-257264650,1752233459017,2,0.021,0.02069,71.52,ETH-25JUL25-3300-C,2987.68,buy,100.0,100.0,,,,,,,1752233459.017
28,ETH-257264652,1752233459017,3,0.021,0.02069,71.52,ETH-25JUL25-3300-C,2987.68,buy,20.0,20.0,,,,,,,1752233459.017
30,ETH-257264654,1752233459017,3,0.021,0.02069,71.52,ETH-25JUL25-3300-C,2987.68,buy,20.0,20.0,,,,,,,1752233459.017
29,ETH-257264653,1752233459017,3,0.021,0.02069,71.52,ETH-25JUL25-3300-C,2987.68,buy,50.0,50.0,,,,,,,1752233459.017
31,ETH-257271804,1752238321851,2,0.02,0.020008,71.2,ETH-25JUL25-3300-C,2979.28,buy,50.0,50.0,,,,,,,1752238321.851
32,ETH-257276305,1752240260877,0,0.021,0.020999,70.99,ETH-25JUL25-3300-C,2993.66,buy,10.0,10.0,,,,,,,1752240260.877
33,ETH-257288595,1752245041821,0,0.0215,0.021193,70.78,ETH-25JUL25-3300-C,3001.29,buy,5.0,5.0,,,,,,,1752245041.821
34,ETH-257291846,1752246389494,2,0.0195,0.019486,70.4,ETH-25JUL25-3300-C,2981.03,buy,50.0,50.0,,,,,,,1752246389.494
