trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,block_rfq_id,liquidation,unix_sec
1324,ETH-256173274,1751312925054,0,0.0028,0.002737,69.6,ETH-25JUL25-3500-C,2512.79,sell,2.0,2.0,,,,,,,1751312925.054
1325,ETH-256173953,1751313256301,1,0.0028,0.002723,69.64,ETH-25JUL25-3500-C,2512.2,buy,1.0,1.0,,,,,,,1751313256.301
1326,ETH-256175814,1751314092489,1,0.0028,0.002758,69.6,ETH-25JUL25-3500-C,2512.88,buy,1.0,1.0,,,,,,,1751314092.489
1327,ETH-256178653,1751316903067,2,0.0027,0.002572,69.71,ETH-25JUL25-3500-C,2505.0,buy,1.0,1.0,,,,,,,1751316903.067
1328,ETH-256179248,1751317709769,2,0.0026,0.002495,69.67,ETH-25JUL25-3500-C,2498.77,buy,1.0,1.0,,,,,,,1751317709.769
1329,ETH-256186277,1751325820022,2,0.0024,0.002288,69.37,ETH-25JUL25-3500-C,2490.56,buy,1.0,1.0,,,,,,,1751325820.022
1330,ETH-256186538,1751326120081,3,0.0024,0.002295,69.35,ETH-25JUL25-3500-C,2491.08,buy,1.0,1.0,,,,,,,1751326120.081
1331,ETH-256186757,1751326420110,3,0.0024,0.002279,69.45,ETH-25JUL25-3500-C,2489.62,buy,1.0,1.0,,,,,,,1751326420.11
1332,ETH-256188371,1751328747338,0,0.0025,0.002273,69.74,ETH-25JUL25-3500-C,2493.15,buy,2.0,2.0,,,,,,,1751328747.338
1333,ETH-256196909,1751344142261,2,0.0018,0.001872,67.27,ETH-25JUL25-3500-C,2477.73,sell,7.0,7.0,,,,,,,1751344142.261
1334,ETH-256196910,1751344142261,3,0.0018,0.001872,67.27,ETH-25JUL25-3500-C,2477.73,sell,5.0,5.0,,,,,,,1751344142.261
1335,ETH-256203195,1751350202603,2,0.0017,0.001671,67.95,ETH-25JUL25-3500-C,2458.8,buy,30.0,30.0,,,,,,,1751350202.603
1336,ETH-256203197,1751350205247,3,0.0017,0.00167,67.95,ETH-25JUL25-3500-C,2458.75,buy,30.0,30.0,,,,,,,1751350205.247
1337,ETH-256203252,1751350546597,3,0.0017,0.001659,67.93,ETH-25JUL25-3500-C,2459.11,buy,30.0,30.0,,,,,,,1751350546.597
1338,ETH-256203258,1751350551100,3,0.0017,0.001656,67.95,ETH-25JUL25-3500-C,2458.82,buy,30.0,30.0,,,,,,,1751350551.1
1339,ETH-256203632,1751351282145,3,0.0017,0.001631,67.95,ETH-25JUL25-3500-C,2459.3,buy,30.0,30.0,,,,,,,1751351282.145
