trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,liquidation,combo_id,unix_sec
1,ETH-258385904,1752816109099,1,0.033,0.033178,70.95,ETH-25JUL25-3700-C,3642.75,buy,20.0,20.0,,,,,1752816109.099
2,ETH-258386349,1752816265441,0,0.0335,0.033742,71.37,ETH-25JUL25-3700-C,3644.94,sell,7.0,7.0,,,,,1752816265.441
4,ETH-258386504,1752816335642,1,0.0335,0.033505,71.67,ETH-25JUL25-3700-C,3643.73,sell,54.0,54.0,,,,,1752816335.642
3,ETH-258386503,1752816335642,1,0.0335,0.033505,71.67,ETH-25JUL25-3700-C,3643.73,sell,139.0,139.0,,,,,1752816335.642
5,ETH-258388115,1752816762217,0,0.0345,0.034496,72.16,ETH-25JUL25-3700-C,3648.47,buy,106.0,106.0,,,,,1752816762.217
6,ETH-258388116,1752816762217,0,0.035,0.034496,73.06,ETH-25JUL25-3700-C,3648.47,buy,36.0,36.0,,,,,1752816762.217
7,ETH-258388117,1752816762217,1,0.035,0.034496,73.06,ETH-25JUL25-3700-C,3648.47,buy,358.0,358.0,,,,,1752816762.217
9,ETH-258388304,1752816790228,1,0.035,0.034595,73.12,ETH-25JUL25-3700-C,3648.07,buy,41.0,41.0,,,,,1752816790.228
10,ETH-258388305,1752816790228,1,0.035,0.034595,73.12,ETH-25JUL25-3700-C,3648.07,buy,11.0,11.0,,,,,1752816790.228
8,ETH-258388303,1752816790228,1,0.035,0.034595,73.12,ETH-25JUL25-3700-C,3648.07,buy,1.0,1.0,,,,,1752816790.228
11,ETH-258388306,1752816790231,1,0.035,0.034595,73.12,ETH-25JUL25-3700-C,3648.07,sell,6.0,6.0,,,,,1752816790.231
15,ETH-258388474,1752816824216,1,0.035,0.034332,73.84,ETH-25JUL25-3700-C,3644.97,buy,36.0,36.0,,,,,1752816824.216
12,ETH-258388471,1752816824216,1,0.035,0.034332,73.84,ETH-25JUL25-3700-C,3644.97,buy,1.0,1.0,,,,,1752816824.216
16,ETH-258388475,1752816824216,1,0.035,0.034332,73.84,ETH-25JUL25-3700-C,3644.97,buy,24.0,24.0,,,,,1752816824.216
13,ETH-258388472,1752816824216,1,0.035,0.034332,73.84,ETH-25JUL25-3700-C,3644.97,buy,41.0,41.0,,,,,1752816824.216
14,ETH-258388473,1752816824216,1,0.035,0.034332,73.84,ETH-25JUL25-3700-C,3644.97,buy,398.0,398.0,,,,,1752816824.216
17,ETH-258388938,1752816997303,2,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,13.0,13.0,,,,,1752816997.303
18,ETH-258388939,1752816997308,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,5.0,5.0,,,,,1752816997.308
19,ETH-258388943,1752816997531,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,12.0,12.0,,,,,1752816997.531
20,ETH-258388944,1752816997542,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,1.0,1.0,,,,,1752816997.542
21,ETH-258388946,1752816997556,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,3.0,3.0,,,,,1752816997.556
22,ETH-258388947,1752816997564,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,3.0,3.0,,,,,1752816997.564
23,ETH-258388952,1752816997622,3,0.0335,0.033758,72.68,ETH-25JUL25-3700-C,3638.1,buy,2.0,2.0,,,,,1752816997.622
24,ETH-258388960,1752816997909,3,0.0335,0.033737,72.61,ETH-25JUL25-3700-C,3638.41,buy,5.0,5.0,,,,,1752816997.909
25,ETH-258388961,1752816999307,3,0.0335,0.033731,72.61,ETH-25JUL25-3700-C,3639.38,buy,13.0,13.0,,,,,1752816999.307
26,ETH-258388968,1752817003001,3,0.0335,0.03384,72.45,ETH-25JUL25-3700-C,3639.58,buy,43.0,43.0,,,,,1752817003.001
27,ETH-258389145,1752817071767,0,0.034,0.034081,72.74,ETH-25JUL25-3700-C,3641.91,buy,8.0,8.0,,,,,1752817071.767
28,ETH-258389147,1752817073107,1,0.034,0.034177,72.57,ETH-25JUL25-3700-C,3642.65,buy,28.0,28.0,,,,,1752817073.107
29,ETH-258389156,1752817074315,1,0.034,0.034215,72.46,ETH-25JUL25-3700-C,3643.15,buy,2.0,2.0,,,,,1752817074.315
30,ETH-258389161,1752817075145,1,0.034,0.034261,72.21,ETH-25JUL25-3700-C,3644.27,buy,17.0,17.0,,,,,1752817075.145
31,ETH-258389162,1752817075177,1,0.034,0.034261,72.21,ETH-25JUL25-3700-C,3644.27,buy,45.0,45.0,,,,,1752817075.177
32,ETH-258391449,1752817879375,0,0.0355,0.035452,73.66,ETH-25JUL25-3700-C,3651.32,buy,2.0,2.0,,,,,1752817879.375
33,ETH-258391450,1752817879378,1,0.0355,0.035452,73.66,ETH-25JUL25-3700-C,3651.32,sell,6.0,6.0,,,,,1752817879.378
34,ETH-258391968,1752818016305,1,0.0355,0.035508,73.52,ETH-25JUL25-3700-C,3652.26,sell,242.0,242.0,,,,,1752818016.305
35,ETH-258393076,1752818099253,0,0.0365,0.036554,73.42,ETH-25JUL25-3700-C,3660.94,sell,6.0,6.0,,,,,1752818099.253
36,ETH-258394438,1752818274948,0,0.038,0.038166,73.87,ETH-25JUL25-3700-C,3671.35,sell,2.0,2.0,,,,,1752818274.948
