trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,liquidation,unix_sec
1,ETH-257972590,1752692898762,1,0.0085,0.008954,75.23,ETH-25JUL25-3800-C,3346.07,buy,1.0,1.0,,,,,,1752692898.762
2,ETH-257973350,1752693148126,1,0.0085,0.008791,75.52,ETH-25JUL25-3800-C,3344.17,sell,1.0,1.0,,,,,,1752693148.126
4,ETH-257975731,1752693912128,1,0.009,0.009186,74.53,ETH-25JUL25-3800-C,3364.51,buy,50.0,50.0,,,,,,1752693912.128
3,ETH-257975730,1752693912128,0,0.009,0.009186,74.53,ETH-25JUL25-3800-C,3364.51,buy,1.0,1.0,,,,,,1752693912.128
5,ETH-257986596,1752695840156,1,0.009,0.009129,73.48,ETH-25JUL25-3800-C,3375.72,sell,1.0,1.0,,,,,,1752695840.156
6,ETH-257987922,1752696033276,1,0.009,0.009484,72.34,ETH-25JUL25-3800-C,3385.01,sell,1.0,1.0,,,,,,1752696033.276
7,ETH-257989853,1752696269080,0,0.0095,0.009543,73.28,ETH-25JUL25-3800-C,3388.44,buy,2.0,2.0,,,,,,1752696269.08
8,ETH-257989860,1752696271592,1,0.0095,0.009562,73.14,ETH-25JUL25-3800-C,3389.6,buy,8.0,8.0,,,,,,1752696271.592
9,ETH-257994958,1752696595686,0,0.0105,0.010209,73.71,ETH-25JUL25-3800-C,3405.34,buy,8.0,8.0,,,,,,1752696595.686
10,ETH-258000267,1752697068320,1,0.0105,0.010576,73.65,ETH-25JUL25-3800-C,3406.24,sell,20.0,20.0,,,,,,1752697068.32
11,ETH-258000268,1752697068324,1,0.0105,0.010576,73.65,ETH-25JUL25-3800-C,3406.24,sell,14.0,14.0,,,,,,1752697068.324
12,ETH-258000292,1752697070953,1,0.0105,0.01055,73.76,ETH-25JUL25-3800-C,3405.38,sell,66.0,66.0,,,,,,1752697070.953
14,ETH-258002638,1752697183001,2,0.0105,0.011018,72.42,ETH-25JUL25-3800-C,3416.38,sell,5.0,5.0,,,,,,1752697183.001
13,ETH-258002637,1752697183001,0,0.011,0.011018,73.64,ETH-25JUL25-3800-C,3416.38,sell,5.0,5.0,,,,,,1752697183.001
15,ETH-258012963,1752698144857,2,0.01,0.010304,72.33,ETH-25JUL25-3800-C,3407.09,sell,11.0,11.0,,,,,,1752698144.857
16,ETH-258012964,1752698144857,3,0.01,0.010304,72.33,ETH-25JUL25-3800-C,3407.09,sell,39.0,39.0,,,,,,1752698144.857
17,ETH-258013148,1752698188118,3,0.01,0.010269,72.37,ETH-25JUL25-3800-C,3406.87,sell,20.0,20.0,,,,,,1752698188.118
18,ETH-258013149,1752698188122,3,0.01,0.010269,72.37,ETH-25JUL25-3800-C,3406.87,buy,1.0,1.0,,,,,,1752698188.122
19,ETH-258013150,1752698188122,3,0.01,0.010269,72.37,ETH-25JUL25-3800-C,3406.87,buy,8.0,8.0,,,,,,1752698188.122
20,ETH-258013151,1752698188126,3,0.01,0.010269,72.37,ETH-25JUL25-3800-C,3406.87,buy,21.0,21.0,,,,,,1752698188.126
21,ETH-258017351,1752699066227,2,0.0095,0.009491,73.79,ETH-25JUL25-3800-C,3383.96,buy,1.0,1.0,,,,,,1752699066.227
22,ETH-258020018,1752699811092,2,0.0087,0.009282,72.57,ETH-25JUL25-3800-C,3376.33,sell,500.0,500.0,2.0,BLOCK-211334,ETH-RR-25JUL25-3200_3800,,,1752699811.092
23,ETH-258020269,1752699923684,0,0.009,0.009227,73.43,ETH-25JUL25-3800-C,3376.48,buy,1.0,1.0,,,,,,1752699923.684
24,ETH-258020395,1752699960050,2,0.0085,0.009245,71.96,ETH-25JUL25-3800-C,3377.49,sell,500.0,500.0,2.0,BLOCK-211336,ETH-RR-25JUL25-3200_3800,,,1752699960.05
25,ETH-258020397,1752699960059,0,0.0087,0.009245,72.51,ETH-25JUL25-3800-C,3377.49,sell,500.0,500.0,2.0,BLOCK-211337,ETH-RR-25JUL25-3200_3800,,,1752699960.059
26,ETH-258020748,1752700062934,2,0.0085,0.009253,71.62,ETH-25JUL25-3800-C,3380.95,sell,500.0,500.0,2.0,BLOCK-211338,ETH-RR-25JUL25-3200_3800,,,1752700062.934
27,ETH-258022877,1752700786606,0,0.0095,0.009202,73.31,ETH-25JUL25-3800-C,3390.06,buy,50.0,50.0,,,,,,1752700786.606
28,ETH-258022923,1752700804900,1,0.0095,0.009307,73.18,ETH-25JUL25-3800-C,3391.18,sell,5.0,5.0,,,,,,1752700804.9
29,ETH-258025324,1752701840877,2,0.0085,0.008497,73.14,ETH-25JUL25-3800-C,3369.58,sell,62.0,62.0,,,,,,1752701840.877
30,ETH-258025338,1752701841870,3,0.0085,0.008545,73.09,ETH-25JUL25-3800-C,3370.01,sell,62.0,62.0,,,,,,1752701841.87
31,ETH-258025476,1752701858129,3,0.0085,0.008423,73.58,ETH-25JUL25-3800-C,3365.95,buy,1.0,1.0,,,,,,1752701858.129
32,ETH-258025477,1752701858153,3,0.0085,0.008423,73.58,ETH-25JUL25-3800-C,3365.95,buy,86.0,86.0,,,,,,1752701858.153
33,ETH-258030070,1752702721190,2,0.0075,0.007914,69.19,ETH-25JUL25-3800-C,3380.21,sell,62.0,62.0,,,,,,1752702721.19
34,ETH-258030071,1752702721190,3,0.0075,0.007914,69.19,ETH-25JUL25-3800-C,3380.21,sell,20.0,20.0,,,,,,1752702721.19
36,ETH-258034440,1752703633164,3,0.0075,0.007858,68.4,ETH-25JUL25-3800-C,3387.42,sell,38.0,38.0,,,,,,1752703633.164
35,ETH-258034439,1752703633164,3,0.0075,0.007858,68.4,ETH-25JUL25-3800-C,3387.42,sell,62.0,62.0,,,,,,1752703633.164
37,ETH-258037152,1752704225410,3,0.0075,0.007477,68.85,ETH-25JUL25-3800-C,3383.97,sell,18.0,18.0,,,,,,1752704225.41
38,ETH-258037163,1752704233123,3,0.0075,0.007501,68.89,ETH-25JUL25-3800-C,3383.57,sell,32.0,32.0,,,,,,1752704233.123
39,ETH-258037440,1752704387121,3,0.0075,0.007512,68.93,ETH-25JUL25-3800-C,3383.2,sell,175.0,175.0,,,,,,1752704387.121
41,ETH-258040056,1752704972700,3,0.007,0.006994,68.18,ETH-25JUL25-3800-C,3377.2,buy,1.0,1.0,,,,,,1752704972.7
40,ETH-258040055,1752704972700,2,0.007,0.006994,68.18,ETH-25JUL25-3800-C,3377.2,buy,1.0,1.0,,,,,,1752704972.7
42,ETH-258040149,1752705005030,3,0.007,0.006918,68.27,ETH-25JUL25-3800-C,3376.62,buy,536.0,536.0,,,,,,1752705005.03
44,ETH-258063052,1752712042002,3,0.007,0.007262,66.72,ETH-25JUL25-3800-C,3392.78,sell,12.0,12.0,,,,,,1752712042.002
43,ETH-258063051,1752712042002,3,0.007,0.007262,66.72,ETH-25JUL25-3800-C,3392.78,sell,18.0,18.0,,,,,,1752712042.002
45,ETH-258077042,1752717511976,2,0.0055,0.005824,68.43,ETH-25JUL25-3800-C,3338.18,sell,2.0,2.0,,,,,,1752717511.976
46,ETH-258077828,1752718029134,0,0.006,0.00599,68.8,ETH-25JUL25-3800-C,3349.41,buy,30.0,30.0,,,,,,1752718029.134
47,ETH-258078692,1752718692435,0,0.0065,0.006097,69.93,ETH-25JUL25-3800-C,3353.86,buy,100.0,100.0,,,,,,1752718692.435
50,ETH-258078697,1752718694633,1,0.0065,0.006095,69.9,ETH-25JUL25-3800-C,3354.06,buy,30.0,30.0,,,,,,1752718694.633
48,ETH-258078695,1752718694633,1,0.0065,0.006095,69.9,ETH-25JUL25-3800-C,3354.06,buy,20.0,20.0,,,,,,1752718694.633
51,ETH-258078698,1752718694633,1,0.0065,0.006095,69.9,ETH-25JUL25-3800-C,3354.06,buy,30.0,30.0,,,,,,1752718694.633
49,ETH-258078696,1752718694633,1,0.0065,0.006095,69.9,ETH-25JUL25-3800-C,3354.06,buy,20.0,20.0,,,,,,1752718694.633
52,ETH-258078700,1752718699710,1,0.0065,0.006101,69.87,ETH-25JUL25-3800-C,3354.34,buy,10.0,10.0,,,,,,1752718699.71
53,ETH-258078701,1752718700841,1,0.0065,0.006104,69.84,ETH-25JUL25-3800-C,3354.58,buy,10.0,10.0,,,,,,1752718700.841
54,ETH-258078702,1752718702043,1,0.0065,0.00611,69.82,ETH-25JUL25-3800-C,3354.79,buy,10.0,10.0,,,,,,1752718702.043
