trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,liquidation,unix_sec
1149,ETH-256173300,1751312945694,3,0.001,0.001004,78.48,ETH-25JUL25-4000-C,2514.47,sell,1.0,1.0,,,,,,,1751312945.694
1150,ETH-256180240,1751318633617,2,0.0008,0.000864,77.28,ETH-25JUL25-4000-C,2497.29,sell,2.0,2.0,,,,,,,1751318633.617
1151,ETH-256196902,1751344121780,2,0.0006,0.000657,76.11,ETH-25JUL25-4000-C,2477.89,sell,9.0,9.0,,,,,,,1751344121.78
1152,ETH-256213705,1751363157659,2,0.0005,0.000405,76.18,ETH-25JUL25-4000-C,2453.94,buy,23.0,23.0,,,,,,,1751363157.659
1153,ETH-256213765,1751363196409,3,0.0005,0.000402,76.21,ETH-25JUL25-4000-C,2453.4,buy,22.0,22.0,,,,,,,1751363196.409
1154,ETH-256213967,1751363451654,3,0.0005,0.000396,76.14,ETH-25JUL25-4000-C,2454.62,buy,20.0,20.0,,,,,,,1751363451.654
1155,ETH-256214223,1751363839993,3,0.0005,0.000393,75.93,ETH-25JUL25-4000-C,2458.55,buy,26.0,26.0,,,,,,,1751363839.993
1156,ETH-256214230,1751363848149,3,0.0005,0.000392,75.93,ETH-25JUL25-4000-C,2458.41,buy,23.0,23.0,,,,,,,1751363848.149
1157,ETH-256214233,1751363856299,3,0.0005,0.000392,75.94,ETH-25JUL25-4000-C,2458.34,buy,25.0,25.0,,,,,,,1751363856.299
1158,ETH-256214236,1751363862416,3,0.0005,0.000391,75.94,ETH-25JUL25-4000-C,2458.21,buy,28.0,28.0,,,,,,,1751363862.416
1159,ETH-256214239,1751363872604,3,0.0005,0.000391,75.95,ETH-25JUL25-4000-C,2458.07,buy,23.0,23.0,,,,,,,1751363872.604
1160,ETH-256245870,1751391628397,3,0.0005,0.000459,78.09,ETH-25JUL25-4000-C,2428.64,buy,1.0,1.0,,,,,,,1751391628.397
1161,ETH-256284793,1751426259293,0,0.0007,0.000599,82.21,ETH-25JUL25-4000-C,2424.18,buy,1.0,1.0,,,,,,,1751426259.293
1162,ETH-256290933,1751434278682,2,0.0005,0.00061,78.34,ETH-25JUL25-4000-C,2439.24,sell,1.0,1.0,,,,,,,1751434278.682
